"","영화명","개봉일","누적관객수","스크린수","상영횟수","대표국적","배급사","17371"
"6","군함도","42942","4070080","2027","52152","한국","씨제이이앤엠(주)",2017-07-24
"7","슈퍼배드 3","42942","1225839","1057","17801","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-24
"8","덩케르크","42936","2179492","1153","23516","미국","워너브러더스 코리아(주)",2017-07-24
"9","스파이더맨: 홈 커밍","42921","7131999","879","10829","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-24
"10","47 미터","42935","572901","633","7797","영국","씨네그루(주)키다리이엔티",2017-07-24
"11","극장판 짱구는 못말려 : 습격!! 외계인 덩덩이","42936","237116","414","2992","일본","씨제이이앤엠(주)",2017-07-24
"12","플립","42928","328717","185","2631","미국","(주)팝엔터테인먼트",2017-07-24
"13","내 사랑","42928","214243","174","1512","아일랜드","오드",2017-07-24
"14","카3: 새로운 도전","42929","472712","394","1716","미국","월트디즈니컴퍼니코리아 유한책임회사",2017-07-24
"15","예수는 역사다","42929","135885","136","865","미국","(재)CBS",2017-07-24
"16","오즈: 신기한 마법가루","42936","74946","282","1079","러시아","(주)스마일이엔티",2017-07-24
"17","택시운전사","42949","85664","32","84","한국","(주)쇼박스",2017-07-24
"18","박열","42914","2354331","351","1445","한국","메가박스(주)플러스엠",2017-07-24
"19","송 투 송","42942","14621","97","832","미국","CGV아트하우스",2017-07-24
"20","옥자","42915","309541","59","675","미국","(주)넥스트엔터테인먼트월드(NEW)",2017-07-24
"21","위시 어폰","42936","54654","262","1158","미국","(주)이수C&E",2017-07-24
"22","청년경찰","42956","14258","26","66","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-07-24
"23","내가 죽기 전에 가장 듣고 싶은 말","42935","39715","147","750","미국","(주)메인타이틀픽쳐스,주식회사 키위컴퍼니",2017-07-24
"24","프란츠","42936","11749","42","346","프랑스","찬란",2017-07-24
"25","킹 오브 프리즘 - 프라이드 더 히어로","42896","65951","24","157","일본","(주)박수엔터테인먼트",2017-07-24
"26","다크 나이트","39666","4174101","71","229","미국","주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2017-07-24
"27","노무현입니다","42880","1852645","12","56","한국","CGV아트하우스,영화사 풀",2017-07-24
"28","공범자들","42964","2034","1","5","한국","(주)엣나인필름",2017-07-24
"29","명탐정 코난:진홍의 연가","42949","1662","4","6","일본","씨제이이앤엠(주)",2017-07-24
"30","다이노소어 아일랜드","42935","7407","82","186","호주","(주)더블앤조이픽쳐스",2017-07-24
"31","우리를 침범하는 것들","42936","4303","47","238","영국","그린나래미디어(주)",2017-07-24
"32","무브! 댄스 유어 라이프",NA,"1533","2","14","프랑스",NA,2017-07-24
"33","키스 미 데들리",NA,"1643","1","15","미국",NA,2017-07-24
"34","너의 이름은.","42739","3672698","24","125","일본","메가박스(주)플러스엠",2017-07-24
"35","비긴 어게인","41864","3431851","14","14","미국","판씨네마(주)",2017-07-24
"36","아메리칸 허니: 방황하는 별의 노래","42929","7983","19","120","영국","(주)티캐스트",2017-07-24
"37","리얼","42914","469952","7","39","한국","씨제이이앤엠(주)",2017-07-24
"38","돈 슬립","42935","1416","24","152","미국","(주)제이앤씨미디어그룹",2017-07-24
"39","헤드윅","37477","40715","11","83","미국","(주)엣나인필름,(주)씨네월드",2017-07-24
"40","7인의 사무라이",NA,"2079","1","9","일본",NA,2017-07-24
"41","서서평, 천천히 평온하게","42851","121373","4","24","한국","커넥트픽쳐스(주)",2017-07-24
"42","카사블랑카","36253","14312","1","11","미국",NA,2017-07-24
"43","지난 여름 갑자기",NA,"5960","1","15","미국",NA,2017-07-24
"44","불온한 당신","42936","2236","14","89","한국","무브먼트",2017-07-24
"45","극장판 도라에몽: 진구의 남극 꽁꽁 대모험","42957","800","4","8","일본","(주)넥스트엔터테인먼트월드(NEW)",2017-07-24
"46","빅터 영 페레즈","42929","4846","1","2","프랑스","(주)에이원엔터테인먼트",2017-07-24
"47","불한당: 나쁜 놈들의 세상","42872","936262","3","11","한국","씨제이이앤엠(주)",2017-07-24
"48","그 후","42922","17887","24","116","한국","(주)영화제작전원사 ,(주)콘텐츠판다",2017-07-24
"49","버터필드 8",NA,"3550","1","15","미국",NA,2017-07-24
"50","트랜스포머: 최후의 기사","42907","2614601","9","22","미국","롯데쇼핑㈜롯데엔터테인먼트",2017-07-24
"51","가디언즈 오브 갤럭시","41851","1344319","1","1","미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2017-07-24
"52","헛소동","42943","591","5","31","미국","㈜영화사 백두대간",2017-07-24
"53","예감은 틀리지 않는다","42957","1244","3","5","영국","CGV아트하우스",2017-07-24
"54","킹 오브 프리즘","42593","105609","1","2","일본","(주)박수엔터테인먼트",2017-07-24
"55","여자들","42950","845","2","3","한국","㈜인디스토리",2017-07-24
"56","청일전쟁과 여걸 민비",NA,"2627","1","6","한국",NA,2017-07-24
"57","황야의 7인","26605","7305","1","6","미국",NA,2017-07-24
"58","100미터","42936","1547","41","121","스페인","㈜코리아스크린,와이드 릴리즈(주)",2017-07-24
"59","전쟁과 평화","28395","12205","1","4","미국",NA,2017-07-24
"60","빅풋 주니어","42956","1808","2","4","벨기에","(주)이수C&E",2017-07-24
"61","리오 그란데",NA,"3408","1","5","미국",NA,2017-07-24
"62","재꽃","42922","4592","17","74","한국","딥 포커스",2017-07-24
"63","사형수 탈옥하다",NA,"395","1","6","프랑스",NA,2017-07-24
"64","스펠바운드",NA,"639","1","6","미국",NA,2017-07-24
"65","러빙 빈센트","43048","322","1","4","영국","판씨네마(주)",2017-07-24
"66","애천",NA,"2446","1","6",NA,NA,2017-07-24
"67","열정의 랩소디",NA,"3143","1","16","미국",NA,2017-07-24
"68","미이라","42892","3689265","5","29","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-24
"69","에스더의 왕",NA,"1545","1","4","이탈리아",NA,2017-07-24
"70","루살카","42917","1197","11","20","미국","(주)인스터피씨엠",2017-07-24
"71","오두막","42845","74947","2","15","미국","판씨네마(주)",2017-07-24
"72","파밍 보이즈","42929","2545","12","49","한국","(주)영화사 진진",2017-07-24
"73","장미의 이름","32662","5525","1","3","프랑스","이십세기폭스필름코퍼레이션",2017-07-24
"74","시소","42684","9425","1","1","한국","(주)대명문화공장,(주)리틀빅픽쳐스",2017-07-24
"75","샤인","35455","16325","3","17","호주","(주)라이크 콘텐츠",2017-07-24
"76","행성탈출: 반란의 서막","42942","238","1","1","호주","(주)액티버스엔터테인먼트",2017-07-24
"77","아가씨(확장판)",NA,"12471","1","2","한국",NA,2017-07-24
"78","엘르","42901","35255","4","13","프랑스","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-24
"79","레이디 맥베스","42950","720","1","2","영국","주식회사 씨네룩스",2017-07-24
"80","직지코드","42914","9473","5","31","한국","(주)엣나인필름",2017-07-24
"81","안녕 히어로","42985","424","1","1","한국","(주)시네마달",2017-07-24
"82","투란도트","42407","2913","9","11","독일","(주)케빈앤컴퍼니",2017-07-24
"83","블루 하와이",NA,"979","1","12",NA,NA,2017-07-24
"84","나데시코 더 무비 : 더 프린스 오브 다크니스",NA,"200","1","2","일본",NA,2017-07-24
"85","꿈의 제인","42886","24292","4","14","한국","(주)엣나인필름,CGV아트하우스",2017-07-24
"86","올 리브 올리브","42929","1990","15","79","한국","(주)시네마달",2017-07-24
"87","올드보이","37946","308014","1","2","한국","쇼이스트(주),씨제이이앤엠(주)",2017-07-24
"88","올 댓 재즈",NA,"417","1","3","미국",NA,2017-07-24
"89","기쿠지로의 여름","37498","1526","1","5","일본","(주)영화사 진진,(주)튜브엔터테인먼트",2017-07-24
"90","헤어",NA,"180","1","2","미국",NA,2017-07-24
"91","라라랜드","42711","3506686","1","2","미국","판씨네마(주)",2017-07-24
"92","마리안느와 마가렛","42845","28103","1","1","한국","(주)팝엔터테인먼트",2017-07-24
"93","벨벳 골드마인","36400","5749","1","2","영국","(주)엔케이컨텐츠",2017-07-24
"94","로스트 인 파리","42873","27047","2","15","프랑스","그린나래미디어(주)",2017-07-24
"95","암고양이들","42943","529","4","16","일본","홀리가든,(주)오렌지옐로우하임",2017-07-24
"96","이모티: 더 무비","42949","151","1","1","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-24
"97","단편2: 다섯 번째 계절들 [썸머프라이드시네마]",NA,"150","1","2","한국",NA,2017-07-24
"98","레미제라블 디 오리지널",NA,"4285","1","6","독일",NA,2017-07-24
"99","꼬마돼지 베이브의 대모험","42901","42516","4","5","독일","(주)박수엔터테인먼트",2017-07-24
"100","아빠는 딸","42837","646924","1","1","한국","메가박스(주)플러스엠",2017-07-24
"101","무정",NA,"238","1","10","한국",NA,2017-07-24
"102","SICAF2017 마스터클래스: 폴란드",NA,"139","1","1","폴란드",NA,2017-07-24
"103","캐리비안의 해적: 죽은 자는 말이 없다","42879","3049894","1","1","미국","월트디즈니컴퍼니코리아 유한책임회사",2017-07-24
"104","SICAF2017 특별경쟁:시카프 아시아",NA,"138","1","1","기타",NA,2017-07-24
"105","SICAF2017 경쟁: 단편2",NA,"138","1","1","기타",NA,2017-07-24
"106","SICAF2017 경쟁:학생1",NA,"137","1","1","기타",NA,2017-07-24
"107","SICAF2017 경쟁: 단편1",NA,"137","1","1","기타",NA,2017-07-24
"108","SICAF2017 특별경쟁: 시카프 데뷰 1",NA,"136","1","1","기타",NA,2017-07-24
"109","SICAF2017 경쟁:학생3",NA,"135","1","1","기타",NA,2017-07-24
"110","SICAF2017 폴란드 특별전: 현대전",NA,"133","1","1","폴란드",NA,2017-07-24
"111","판타스티카",NA,"131","1","1","중국",NA,2017-07-24
"112","SICAF2017 특별경쟁:시카프 초이스1",NA,"131","1","1","기타",NA,2017-07-24
"113","SICAF2017 폴란드 특별전: 회고전",NA,"131","1","1","폴란드",NA,2017-07-24
"114","SICAF2017 경쟁:단편4",NA,"131","1","1","기타",NA,2017-07-24
"115","SICAF2017 경쟁:단편3",NA,"129","1","1","기타",NA,2017-07-24
"116","바람",NA,"195","1","1","미국",NA,2017-07-24
"117","블랙","40052","876410","1","4","인도","이언픽쳐스,(주)넥스트엔터테인먼트월드(NEW)",2017-07-24
"118","비포 선라이즈","35154","56745","1","2","미국","(주)드림팩트엔터테인먼트",2017-07-24
"119","SICAF2017 체코특별전: 애니필름 베스트 2017",NA,"128","1","1","기타",NA,2017-07-24
"120","메밀꽃, 운수 좋은 날, 그리고 봄봄","41872","34623","1","1","한국","이달투",2017-07-24
"121","SICAF2017 특별경쟁: 시카프 데뷰 2",NA,"127","1","1","기타",NA,2017-07-24
"122","SICAF2017 체코특별전: 현대전",NA,"126","1","1","체코",NA,2017-07-24
"123","비포 선셋","38282","125958","1","2","미국","THE 픽쳐스,워너브러더스 코리아(주)",2017-07-24
"124","토미",NA,"124","1","2","영국",NA,2017-07-24
"125","SICAF2017 경쟁:학생2",NA,"124","1","1","기타",NA,2017-07-24
"126","시암","42943","123","5","14","태국","봄바람영화사",2017-07-24
"127","극장판 프리파라 모두 모여라! 프리즘☆투어즈","42656","32731","1","1","한국","(주)박수엔터테인먼트",2017-07-24
"128","로마의 휴일",NA,"13538","1","9","미국",NA,2017-07-24
"129","비포 미드나잇","41416","209207","1","2","미국","(주)팝엔터테인먼트",2017-07-24
"130","박쥐","39933","2206391","1","1","한국","씨제이엔터테인먼트",2017-07-24
"131","열녀문",NA,"3982","1","2","한국",NA,2017-07-24
"132","목소리의 형태","42864","275983","1","2","일본","(주)디스테이션",2017-07-24
"133","걸즈 앤 판처 극장판","42607","29241","1","1","일본","(주)머스트씨무비릴리징컴퍼니",2017-07-24
"134","더 탱크","42943","108","5","6","미국","(주)수키픽쳐스",2017-07-24
"135","사랑의 전주곡",NA,"1558","1","4","미국",NA,2017-07-24
"136","용순","42894","13193","5","27","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-07-24
"137","쉘부르의 우산","33873","796","1","1","프랑스",NA,2017-07-24
"138","오페라의 유령","38329","1577079","1","1","미국","(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,씨제이엔터테인먼트",2017-07-24
"139","레미제라블","41262","5920623","1","1","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-24
"140","시카고","37708","20748","1","1","미국","씨네그루(주)키다리이엔티,코리아픽쳐스(주)",2017-07-24
"141","아마데우스 감독판","42306","14884","1","1","미국","시네마 뉴원",2017-07-24
"142","사랑은 비를 타고",NA,"6953","1","1","미국",NA,2017-07-24
"143","위로공단","42229","14464","1","1","한국","(주)엣나인필름",2017-07-24
"144","파리의 아메리카인",NA,"1693","1","1","미국",NA,2017-07-24
"145","웨스트 사이드 스토리","36309","4209","1","1","미국",NA,2017-07-24
"146","로슈포르의 숙녀들",NA,"490","1","1","프랑스",NA,2017-07-24
"147","캬바레",NA,"220","1","1","미국",NA,2017-07-24
"148","친절한 금자씨","38562","3120292","1","1","한국","씨제이엔터테인먼트",2017-07-24
"149","순수의 시대","34594","258","1","2","미국",NA,2017-07-24
"150","누구를 위하여 종은 울리나","26376","15466","1","5","미국",NA,2017-07-24
"151","안녕하세요 하나님","32135","287","1","3","한국",NA,2017-07-24
"152","나, 다니엘 블레이크","42712","95099","1","1","영국","(주)영화사 진진",2017-07-24
"153","마당을 나온 암탉","40752","2202509","1","1","한국","롯데쇼핑㈜롯데엔터테인먼트",2017-07-24
"154","장미의 행렬","39560","292","1","1","일본",NA,2017-07-24
"155","노후 대책 없다","42915","1685","3","14","한국","서울독립영화제",2017-07-24
"156","당나귀 발타자르",NA,"397","1","1","프랑스",NA,2017-07-24
"157","레니",NA,"81","1","2","미국",NA,2017-07-24
"158","SICAF2017 경쟁:키즈1",NA,"81","1","1","기타",NA,2017-07-24
"159","토요일 밤의 열기","28750","248","1","2","미국",NA,2017-07-24
"160","부러진 화살",NA,"78","1","3","미국",NA,2017-07-24
"161","포크레인","42943","74","6","20","한국","(주)김기덕 필름",2017-07-24
"162","초속5센티미터","39254","42177","1","2","일본","대원디지털엔터테인먼트,(주)팝엔터테인먼트",2017-07-24
"163","언어의 정원","41500","69446","1","2","일본","에이원엔터테인먼트,(주)팝엔터테인먼트",2017-07-24
"164","원더 우먼","42886","2165401","1","2","미국","워너브러더스 코리아(주)",2017-07-24
"165","세브린느","26061","348","1","1","프랑스",NA,2017-07-24
"166","청춘 합창단 - 또 하나의 꿈","42901","7269","1","1","한국","와이드 릴리즈(주)",2017-07-24
"167","공동경비구역 JSA","36777","817","1","1","한국","씨제이엔터테인먼트",2017-07-24
"168","유랑극단",NA,"69","1","1",NA,NA,2017-07-24
"169","단편3: 이 사랑을 구해줘[썸머프라이드시네마]",NA,"67","1","2","한국",NA,2017-07-24
"170","8월의 크리스마스","35819","24717","1","1","한국","한국영상투자개발(주),(주)싸이더스",2017-07-24
"171","율리시즈의 시선","35357","66","1","1","그리스",NA,2017-07-24
"172","미드웨이","28321","78","1","1","미국",NA,2017-07-24
"173","꼬마참새 리차드: 아프리카 원정대","42901","80812","3","3","독일","씨네그루(주)키다리이엔티",2017-07-24
"174","학살기관",NA,"64","1","2","일본",NA,2017-07-24
"175","이시다 히로야스 X 아라이 요지로 특별전",NA,"61","1","3","일본",NA,2017-07-24
"176","앳 유어 도어스텝",NA,"60","1","1","스페인",NA,2017-07-24
"177","왓치 미 다이",NA,"60","1","1","미국",NA,2017-07-24
"178","사탄의 영혼","42943","60","1","1","미국","주식회사 루믹스미디어",2017-07-24
"179","새",NA,"2357","1","1","미국","(주)영화사 안다미로",2017-07-24
"180","현기증",NA,"7481","1","1","미국","(주)영화사 안다미로",2017-07-24
"181","싸이코",NA,"5510","1","1","미국","(주)영화사 안다미로",2017-07-24
"182","SICAF2017 시카프의 시선",NA,"58","1","1","기타",NA,2017-07-24
"183","북극의 제왕","40561","270","1","2","미국",NA,2017-07-24
"184","백야의 탈출",NA,"1248","1","2","미국",NA,2017-07-24
"185","댄서","42838","44559","2","2","영국","(주)엣나인필름",2017-07-24
"186","수집가",NA,"53","1","1","프랑스",NA,2017-07-24
"187","인디스데이 7월 단편",NA,"53","1","2","한국",NA,2017-07-24
"188","파리의 밤이 열리면","42908","5877","2","7","프랑스","찬란",2017-07-24
"189","풍뎅이뎅이","43139","53","1","2","한국","(주)콘텐츠판다",2017-07-24
"190","어폴로지","42810","9399","1","1","캐나다","(주)영화사 그램",2017-07-24
"191","헝거","42446","7129","1","2","영국","오드",2017-07-24
"192","강박충동",NA,"198","1","2","미국",NA,2017-07-24
"193","클리프 행어","34132","51","1","2","미국",NA,2017-07-24
"194","금지구역: 로스트 크릭","42941","50","1","1","미국","(주)티에스앤컴퍼니",2017-07-24
"195","범죄의 재구성",NA,"49","1","1","그리스",NA,2017-07-24
"196","파란나비효과","42908","4585","1","3","한국","(주)인디플러그",2017-07-24
"197","이모 더 뮤지컬",NA,"47","1","1","호주",NA,2017-07-24
"198","비스티걸스","42929","488","2","6","한국","(주)마고필름",2017-07-24
"199","군중",NA,"187","1","1","미국",NA,2017-07-24
"200","황야의 결투","40512","4459","1","2","미국",NA,2017-07-24
"201","뮤직 룸",NA,"82","1","1","인도",NA,2017-07-24
"202","씽","42725","1730729","1","1","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-24
"203","아파라지토",NA,"42","1","1","인도",NA,2017-07-24
"204","살인의 추억","37736","2476","1","1","한국","씨제이엔터테인먼트",2017-07-24
"205","포핀큐",NA,"41","1","1","일본",NA,2017-07-24
"206","지랄발광 17세","42914","83258","1","3","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-24
"207","에이리언: 커버넌트","42864","1307226","1","2","미국","이십세기폭스코리아(주)",2017-07-24
"208","바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동","42760","60980","1","1","영국","와이드 릴리즈(주)",2017-07-24
"209","겟 아웃","42872","2138140","1","7","미국","유니버설픽쳐스인터내셔널 코리아(유)",2017-07-24
"210","단편1: 하드보일드 랜드[썸머프라이드시네마]",NA,"34","1","2","한국",NA,2017-07-24
"211","줄리아",NA,"180","1","1","미국",NA,2017-07-24
"212","시도니아의 기사 극장판",NA,"32","1","2","일본",NA,2017-07-24
"213","쇼처럼 즐거운 인생은 없다",NA,"1737","1","1","미국",NA,2017-07-24
"214","젊은 사자들",NA,"2494","1","1","미국",NA,2017-07-24
"215","바다 탐험대 옥토넛 시즌4: 더 파이널","42887","73797","1","1","영국","와이드 릴리즈(주)",2017-07-24
"216","맹룡과강","27313","5266","1","8","홍콩","(주)팝엔터테인먼트",2017-07-24
"217","세기말 하모니",NA,"47","1","1","일본",NA,2017-07-24
"218","지구로 떨어진 사나이",NA,"59","1","2","영국",NA,2017-07-24
"219","언더더씨","42908","49958","1","1","미국","(주)팝엔터테인먼트",2017-07-24
"220","녹색광선",NA,"1116","1","3","프랑스",NA,2017-07-24
"221","사망유희","28628","139","1","7","미국","(유)조이앤시네마",2017-07-24
"222","오즈의 마법사","41032","4368","1","1","미국","(주)씨타마운틴픽쳐스",2017-07-24
"223","시간을 달리는 소녀","39247","95657","1","1","일본","THE 픽쳐스,씨제이엔터테인먼트",2017-07-24
"224","희미한 곰별자리",NA,"387","1","1","이탈리아",NA,2017-07-24
"225","드롭박스","42509","2258","1","1","한국","(사)필레마,필름포럼,홀리가든",2017-07-24
"226","귀여운 빌리",NA,"1279","1","2","미국",NA,2017-07-24
"227","춘희",NA,"4844","1","1","미국",NA,2017-07-24
"228","죽은 자의 제국","42425","2604","1","1","일본","(주)프레인글로벌",2017-07-24
"229","을식이는 재수 없어",NA,"23","1","1","한국",NA,2017-07-24
"230","사랑과 욕망의 짐노페디","42922","476","1","5","일본","홀리가든,(주)오렌지옐로우하임",2017-07-24
"231","해변의 폴린느",NA,"622","1","3","프랑스",NA,2017-07-24
"232","버클리",NA,"22","1","1","대만",NA,2017-07-24
"233","철도원","36560","1790","1","1","일본",NA,2017-07-24
"234","지금, 만나러 갑니다","38436","167382","1","1","일본","(주)디스테이션,(주)엔케이컨텐츠,롯데쇼핑㈜롯데엔터테인먼트",2017-07-24
"235","안녕, 전우치! 도술로봇대결전","42285","13076","1","1","한국","(주)리틀빅픽쳐스",2017-07-24
"236","우리들","42537","48944","1","1","한국","(주)엣나인필름",2017-07-24
"237","트래픽",NA,"95","1","1","이탈리아",NA,2017-07-24
"238","정무문","26872","6525","1","7","홍콩","(주)영화사 빅",2017-07-24
"239","하이 눈",NA,"8610","1","1","미국",NA,2017-07-24
"240","슬로우 웨스트","42285","9509","1","2","영국","THE 픽쳐스",2017-07-24
"241","바람의 춤꾼","42892","1629","1","6","한국","강 컨텐츠",2017-07-24
"242","당산대형","26965","1310","1","2","홍콩",NA,2017-07-24
"243","나의 소녀시대","42502","409819","1","1","대만","오드",2017-07-24
"244","7월 단편 상상극장-정하담",NA,"31","1","1","한국",NA,2017-07-24
"245","보름달이 뜨는 밤",NA,"232","1","3","프랑스",NA,2017-07-24
"246","덫","42929","228","5","15","한국","(주)케이알씨지",2017-07-24
"247","잡식가족의 딜레마","42131","6724","1","3","한국","(주)시네마달",2017-07-24
"248","구름의 저편, 약속의 장소","42794","4368","1","1","일본","(주)삼지애니메이션",2017-07-24
"249","내 이름은 꾸제트","42803","10367","1","1","프랑스","(주)스마일이엔티",2017-07-24
"250","뮤지컬 쉬 러브즈 미","42922","3966","2","8","미국","C 무비",2017-07-24
"251","프랭크","41907","52901","1","2","영국","(주)영화사 진진",2017-07-24
"252","비행사의 아내",NA,"213","1","2","프랑스",NA,2017-07-24
"253","사망탑의 결전",NA,"37","1","5","중국","(주)케이알씨지",2017-07-24
"254","내 여자친구의 남자친구",NA,"668","1","2","프랑스",NA,2017-07-24
"255","그리고 싶은 것","41501","5011","1","3","한국","(주)시네마달",2017-07-24
"256","안티포르노","42901","1932","1","1","일본","홀리가든,(주)오렌지옐로우하임",2017-07-24
"257","블랙 쉐도우","42929","4502","3","12","미국","(주)스톰픽쳐스코리아",2017-07-24
"258","인터메조",NA,"51","1","1","스웨덴",NA,2017-07-24
"259","캡틴 판타스틱","42704","15259","1","1","미국","주식회사 더쿱",2017-07-24
"260","SICAF2017 특별경쟁: 시카프 데뷰 3",NA,"11","1","1","기타",NA,2017-07-24
"261","레전드 갱스터 2 크레이스 형제","42943","10","5","10","영국","주식회사 풍경소리",2017-07-24
"262","스페셜포스: 블러드마운틴","42943","10","5","10","터키","(주)스토리제이",2017-07-24
"263","옴브레",NA,"22","1","1","미국",NA,2017-07-24
"264","릴리즈프롬헤븐",NA,"9","1","1","이란",NA,2017-07-24
"265","하루","42901","1129609","1","2","한국","CGV아트하우스",2017-07-24
"266","토마스와 친구들: 수수께끼 해적선과 보물찾기","42915","23389","3","3","영국","KBS 미디어",2017-07-24
"267","길","42866","16191","1","8","한국","(주)더블앤조이픽쳐스",2017-07-24
"268","아나스타샤","35784","4473","1","1","미국",NA,2017-07-24
"269","SICAF2017 특별경쟁:시카프 초이스2",NA,"7","2","2","기타",NA,2017-07-24
"270","앤트보이: 초딩 히어로의 탄생","42943","7","1","1","덴마크","(주)액티버스엔터테인먼트",2017-07-24
"271","리버 로드","42824","1504","1","1","중국","주식회사 골든럭",2017-07-24
"272","바다 탐험대 옥토넛 시즌4: 늪지탐험선K","42641","69918","1","1","영국","와이드 릴리즈(주)",2017-07-24
"273","어떤 하루","42914","167","1","3","한국","(주)비엠컬쳐스",2017-07-24
"274","세이빙셀리",NA,"5","1","1","필리핀",NA,2017-07-24
"275","맥베스","42341","98489","1","2","영국","판씨네마(주)",2017-07-24
"276","아름다운 결혼",NA,"447","1","1","프랑스",NA,2017-07-24
"277","더 가디언즈","42936","12","1","4","러시아","윤스",2017-07-24
"278","소림사 무림제자","42941","4","4","4","미국","(주)케이알씨지",2017-07-24
"279","캠프 살인사건의 비밀","42942","4","4","4","미국","(주)케이알씨지",2017-07-24
"280","델타 보이즈","42894","4290","1","1","한국","㈜인디스토리",2017-07-24
"281","파스카","42194","1188","1","1","한국","무브먼트",2017-07-24
"282","고려 아리랑: 천산의 디바","42880","3457","1","3","한국","(주)시네마달",2017-07-24
"283","북두의 권",NA,"3","1","1","일본",NA,2017-07-24
"284","암살","42207","12706391","1","1","한국","(주)쇼박스",2017-07-24
"285","바다 탐험대 옥토넛 시즌4: 빙하탐험선S","42425","60979","1","1","영국","와이드 릴리즈(주)",2017-07-24
"286","시칠리아 햇빛아래","42914","2139","1","1","홍콩","(주)드림팩트엔터테인먼트",2017-07-24
"287","부니베어: 로거빅 컴백홈 프로젝트","42915","25903","1","1","중국","예지림엔터테인먼트",2017-07-24
"288","SICAF2017 경쟁:TV& 커미션드1",NA,"2","1","1","기타",NA,2017-07-24
"289","힐링캠프-한세상 무삭제","42943","1","1","1","한국","(주)콘텐츠윙",2017-07-24
"290","내 친구의 애인 무삭제판","42941","1","1","1","한국","(주)영화사가을",2017-07-24
"291","엄마의 불륜 무삭제판","42941","1","1","1","한국","(주)영화사가을",2017-07-24
"292","음란한 형제 : 형수와 처제 무삭제판","42941","1","1","1","한국","(주)영화사가을",2017-07-24
"293","내 아들의 여자 무삭제판","42941","1","1","1","한국","(주)영화사가을",2017-07-24
"294","예쁜 형수 무삭제판","42943","1","1","1","한국","(주)영화사가을",2017-07-24
"295","정사 : 내 친구의 애인 무삭제판","42943","1","1","1","한국","(주)영화사가을",2017-07-24
"296","형부와 처제 무삭제판","42943","1","1","1","한국","(주)영화사가을",2017-07-24
"297","아내의 욕망:거대한 그것","42942","1","1","1","일본","(주)영진크리에이티브",2017-07-24
"298","굶주린 여신:쾌락의 길","42942","1","1","1","일본","(주)영진크리에이티브",2017-07-24
"299","몸을 바치는 제수씨","42942","1","1","1","일본","(주)영진크리에이티브",2017-07-24
"300","회사 스와핑 : 사장과 여직원들 무삭제판","42943","1","1","1","한국","(주)영화사가을",2017-07-24
"301","붉은 비키니","42941","1","1","1","한국","(주)로드하우스",2017-07-24
"302","사무라이vs좀비","42941","1","1","1","일본","(주)아이브픽쳐스",2017-07-24
"303","사내커플의 외출","42943","1","1","1","일본","(주)빅마운틴컬쳐스",2017-07-24
"304","동창회의 목적: 더 비기닝 (무삭제)","42942","1","1","1","한국","(주)소나무픽쳐스",2017-07-24
"305","작은 엄마: 삼촌의 아내를 탐하다 (무삭제)","42943","1","1","1","한국","(주)소나무픽쳐스",2017-07-24
"306","젊은 아내 (무삭제)","42942","1","1","1","일본","(주)소나무픽쳐스",2017-07-24
"307","젊은 며느리: 시아버지의 유혹에 빠지다(무삭제)","42942","1","1","1","일본","(주)소나무픽쳐스",2017-07-24
"308","부부교환의 날: 직장 상사 부부의 초대 (무삭제)","42943","1","1","1","일본","(주)소나무픽쳐스",2017-07-24
"309","미스파이어","42943","1","1","1","미국","모비딕엔터테인먼트(주)",2017-07-24
"310","그린 인페르노","42943","1","1","1","미국","㈜코리아스크린",2017-07-24
"311","히트맨 2017","42943","1","1","1","터키","(주)소나무픽쳐스",2017-07-24
"312","비마나 미스터리","42943","1","1","1","모로코","(유)영화사 화수분",2017-07-24
"313","한방 마사지의 욕정","42943","1","1","1","일본","(주)도키엔터테인먼트",2017-07-24
"314","떠난 남편과 새로운 남자","42943","1","1","1","일본","(주)도키엔터테인먼트",2017-07-24
"315","꼬치구이집의 세여인","42943","1","1","1","일본","(주)도키엔터테인먼트",2017-07-24
"316","미인 여주인의 애욕일기","42943","1","1","1","일본","(주)도키엔터테인먼트",2017-07-24
"317","로드","42943","1","1","1","영국","(주)퍼스트런",2017-07-24
"318","데몬 헌터","42943","1","1","1","미국","(주)퍼스트런",2017-07-24
"319","호프만 이야기","42935","0","6","7","영국","에스디시코리아 주식회사",2017-07-24
"320","SICAF2017 경쟁:키즈2",NA,"0","1","1","기타",NA,2017-07-24
