"","people","mv_name","screen","play_t","play_wk","re_open","top_country","record_month","record_date","month_week","top_sup"
"9",15,"007 제2편 : 위기일발",1,1,1,1,0,"4",4,"1",0
"12",2235,"100미터",129,438,6,0,0,"2",10,"2",0
"19",223581,"12 솔져스",714,9835,14,0,1,"4",22,"4",0
"20",5069,"120 BPM",90,431,12,0,0,"3",30,"5",0
"21",1,"127시간",1,1,1,1,1,"2",3,"1",1
"24",1,"13일의 금요일: 더 파이널",1,1,1,0,1,"1",5,"1",0
"26",43,"14인의 여걸",1,1,1,1,0,"1",19,"3",0
"28",67,"17인의사자들",2,3,2,1,1,"4",29,"5",0
"31",7231770,"1987",6632,138217,17,0,1,"4",11,"2",1
"33",14,"1999, 면회",1,2,1,1,1,"1",23,"4",0
"34",1,"19금 특별한 정사",1,1,1,0,1,"1",23,"4",0
"35",218808,"1급기밀",1198,11359,13,0,1,"4",18,"3",0
"60",182,"2017복상사",20,20,1,0,1,"3",6,"1",0
"62",1732,"22년 후의 고백",77,306,4,0,1,"4",8,"2",0
"63",21,"23 아이덴티티",2,7,2,0,1,"3",23,"4",0
"65",417,"24주",9,56,3,0,0,"2",3,"1",0
"67",1,"28살 미망인의 속옷",1,1,1,0,1,"3",13,"2",0
"70",50,"3류들의 사랑",1,1,1,0,1,"2",14,"2",0
"71",129,"3분 파트너",18,21,2,0,1,"2",14,"2",0
"72",1,"3분 파트너-무삭제",1,1,1,0,1,"3",11,"2",0
"76",114,"400번의 구타",2,4,2,0,0,"2",28,"4",0
"78",46,"43354",7,22,2,0,1,"4",29,"5",0
"79",54,"45년 후",2,2,2,0,0,"3",16,"3",0
"80",722967,"47 미터",2378,28254,11,0,0,"2",10,"2",0
"81",337,"4등",3,3,3,0,1,"2",21,"3",0
"83",27,"4월 이야기",1,1,1,1,1,"2",3,"1",0
"85",717,"500일의 썸머",17,25,17,1,1,"2",31,"5",0
"86",217785,"50가지 그림자: 해방",652,10046,9,0,1,"4",19,"3",0
"87",1,"50가지 욕망의 그림자",1,1,1,0,1,"3",30,"5",0
"88",1,"50대 장모님의 불타는 사위사랑",1,1,1,0,1,"4",4,"1",0
"90",30,"5일의 마중",2,3,2,0,0,"3",18,"3",0
"91",3378,"6 웨이 투 다이",10,15,5,0,1,"3",4,"1",0
"92",43,"60만번의 트라이",2,4,2,0,1,"3",13,"2",0
"93",1,"666 사탄의 아들",1,1,1,0,1,"4",11,"2",0
"94",561,"7년-그들이 없는 언론",5,14,5,0,1,"2",3,"1",0
"96",527994,"7년의 밤",1903,26816,6,0,1,"1",19,"3",1
"97",70,"7번째 내가 죽던 날",3,4,3,0,1,"2",3,"1",0
"100",428,"7인의 신부",1,8,1,1,1,"2",28,"4",0
"101",347790,"7호실",1419,21846,7,0,1,"3",6,"1",1
"106",483,"8월의 크리스마스",10,14,10,1,1,"2",3,"1",0
"107",10,"8인의 수상한 신사들",1,4,1,0,1,"2",3,"1",0
"111",9,"A.I.",2,2,2,1,1,"3",11,"2",0
"115",19636,"B급 며느리",319,1910,17,0,1,"2",28,"4",0
"126",1,"D컵 여형사-가슴으로 느껴져요",1,1,1,0,1,"1",9,"2",0
"127",1,"E-19 바이러스",1,1,1,0,1,"1",9,"2",0
"132",0,"K-19",1,1,1,1,1,"1",2,"1",0
"133",228,"K2",2,24,2,1,1,"3",16,"3",0
"246",1,"S걸의 덫",1,1,1,0,0,"1",9,"2",0
"247",1,"VJ의 은밀한 사생활",1,1,1,0,1,"4",25,"4",0
"249",1196,"가디언즈 오브 갤럭시",2,2,2,0,1,"2",24,"4",0
"250",2,"가라데로 죽여라",1,2,1,0,1,"3",18,"3",0
"251",132,"가래떡의 맛: 감독판",20,20,1,0,1,"1",19,"3",0
"252",491,"가려진 시간",2,9,2,0,1,"4",11,"2",1
"253",2,"가루지기: 변강쇠 더 비기닝",2,2,2,0,1,"2",28,"4",0
"254",181,"가루지기: 변강쇠 더 비기닝 - 무삭제판",20,20,1,0,1,"3",18,"3",0
"255",4,"가름워즈: 마지막 예언자",1,2,1,0,1,"3",27,"4",0
"256",37,"가면의 정사",1,1,1,1,1,"1",5,"1",0
"258",0,"가베",1,2,1,1,0,"4",11,"2",0
"259",1,"가부키쵸 육체 마사지",1,1,1,0,1,"3",2,"1",0
"262",17,"가슴에 돋는 칼로 슬픔을 자르고",4,4,4,1,1,"3",27,"4",0
"264",70,"가위손",2,2,2,1,1,"4",4,"1",0
"265",3099,"가을 우체국",144,618,7,0,1,"3",9,"2",0
"267",24,"가을의 전설",1,1,1,1,1,"3",2,"1",0
"270",296,"가장 따뜻한 색, 블루",4,8,4,0,0,"2",28,"4",0
"271",1,"가정교사의 비밀수업",1,1,1,0,1,"4",1,"1",0
"272",1,"가정교사의 은밀한 개인교습-무삭제판-",1,1,1,0,1,"2",31,"5",0
"273",1,"가정방문과 거유부인",1,1,1,0,1,"2",21,"3",0
"274",11,"가정부의 목적 무삭제판",4,11,4,0,1,"3",16,"3",0
"275",159,"가정부의 손맛 감독판",20,20,1,0,1,"3",4,"1",0
"277",1,"가족사진",1,1,1,0,1,"3",30,"5",0
"278",8,"가족의 탄생",3,5,3,1,1,"2",7,"1",1
"280",69,"간디",1,1,1,1,0,"1",12,"2",0
"281",19,"간신",2,8,2,0,1,"3",18,"3",1
"287",120,"감금의 시간 2 무삭제",20,20,1,0,1,"4",15,"3",0
"289",1,"강가와 온천의 정사",1,1,1,0,1,"2",31,"5",0
"292",47,"강시선생 2",5,12,5,0,0,"2",31,"5",0
"294",1,"강제로 당하는 새엄마",1,1,1,0,1,"4",22,"4",0
"295",4452755,"강철비",5075,80359,18,0,1,"3",13,"2",1
"296",1229,"개같은 내인생",13,65,4,1,0,"1",2,"1",0
"297",0,"개그맨",4,5,4,1,1,"2",7,"1",0
"298",0,"개를 훔치는 완벽한 방법",1,1,1,0,1,"3",23,"4",0
"301",1,"거근이 좋아",1,1,1,0,1,"1",5,"1",0
"302",1,"거대 불개미의 습격",1,1,1,0,0,"4",19,"3",0
"303",1,"거래처 여직원",1,1,1,0,1,"4",19,"3",0
"307",1,"거부 못할 제자의 향기",1,1,1,0,1,"3",13,"2",0
"311",1,"거유 관능소설작가",1,1,1,0,1,"1",2,"1",0
"312",1,"거유 마사지사가 듬뿍",1,1,1,0,1,"1",12,"2",0
"313",2,"거유를 끼워라",1,1,1,0,1,"3",9,"2",0
"314",4,"거유형수는 치과의사",1,1,1,0,1,"3",11,"2",0
"316",131,"거짓말 2018: 감독판",19,19,1,0,1,"1",26,"4",0
"317",161,"거짓말 애인-감독판",22,22,1,0,1,"4",19,"3",0
"318",1,"건마의 신: 어린 아내의 알바",1,1,1,0,1,"4",26,"4",0
"319",1152,"건축학개론",113,405,7,1,1,"2",10,"2",1
"321",1,"걸스 나잇",1,1,1,0,1,"1",5,"1",0
"322",110,"걸어도 걸어도",3,5,3,1,1,"4",25,"4",0
"323",2470,"걸즈 앤 판처 극장판",11,37,11,0,1,"2",24,"4",0
"327",134,"검은 사제들",1,1,1,0,1,"4",29,"5",1
"329",1,"검은 숲",1,1,1,0,1,"2",21,"3",0
"334",1,"게발트 파이브:구타본능",1,1,1,0,1,"4",25,"4",0
"336",303,"게스트하우스",32,139,6,0,1,"4",12,"2",0
"338",26,"게이샤의 추억",1,1,1,1,1,"1",19,"3",0
"339",101173,"게이트",525,5455,8,0,1,"4",19,"3",0
"341",152,"게임의 규칙",5,15,5,0,0,"3",30,"5",0
"342",1,"겟 더 걸",1,1,1,0,1,"2",28,"4",0
"343",8775,"겟 아웃",107,507,12,0,1,"2",3,"1",0
"344",63,"겟어웨이",3,3,3,1,1,"1",5,"1",0
"348",718,"겨울로 가는 마차",1,15,1,1,1,"3",27,"4",0
"349",969,"겨울여자",1,16,1,1,1,"4",18,"3",0
"350",19294,"겨울왕국의 무민",280,1271,12,0,0,"4",5,"1",0
"354",1,"결혼 상담사가 맘에 들어",1,1,1,0,1,"1",5,"1",0
"355",4,"경복",1,1,1,1,1,"3",6,"1",0
"356",59,"경심파",15,59,3,0,0,"3",11,"2",0
"364",268,"계춘할망",2,9,2,0,1,"3",6,"1",0
"365",8,"고갈",1,1,1,1,1,"3",6,"1",0
"366",43,"고고 70",1,2,1,1,1,"2",3,"1",1
"368",183,"고녀석 맛나겠다2 : 함께라서 행복해",4,22,4,0,1,"3",23,"4",0
"370",523,"고려 아리랑: 천산의 디바",10,54,10,0,1,"2",3,"1",0
"372",8747,"고령가 소년 살인사건",71,268,17,0,0,"3",20,"3",0
"373",1,"고백! 세명의 풍속녀",1,1,1,0,1,"4",1,"1",0
"374",8339,"고스트 스토리",150,675,14,0,1,"4",11,"2",0
"376",1728,"고야 : 살과 피의 환상",62,250,6,0,0,"3",20,"3",0
"377",7082,"고양이 케디",111,637,7,0,1,"3",11,"2",0
"378",0,"고양이를 부탁해",2,2,2,1,1,"2",7,"1",0
"383",2275,"고향이 어디세요",96,346,9,0,1,"3",23,"4",0
"385",35,"곡성",2,8,2,0,1,"3",23,"4",1
"386",2674217,"곤지암",3986,88380,7,0,1,"1",12,"2",1
"388",1387562,"골든슬럼버",2313,43016,8,0,1,"4",5,"1",1
"389",287,"공각기동대",4,6,4,1,1,"3",11,"2",0
"390",502,"공동경비구역 JSA",9,12,9,1,1,"2",24,"4",1
"391",11438,"공동정범",225,1144,17,0,1,"2",28,"4",0
"392",262548,"공범자들",1223,10983,20,0,1,"2",24,"4",0
"395",172,"공조",3,5,3,0,1,"2",7,"1",1
"398",135,"공즉시색 2",20,20,1,0,1,"4",29,"5",0
"399",1,"공포극장:저주편",1,1,1,0,1,"3",4,"1",0
"400",1,"공포극장:절규편",1,1,1,0,1,"3",9,"2",0
"403",1,"과부:젖어버린 그곳",1,1,1,0,1,"3",9,"2",0
"406",4,"관상",2,2,2,1,1,"2",17,"3",1
"407",1,"관음:아내의 꽃잎",1,1,1,0,1,"3",18,"3",0
"408",1,"관음증:옆집여자",1,1,1,0,1,"1",26,"4",0
"410",326,"광란의 사랑",5,6,5,1,1,"2",7,"1",0
"411",2985,"광인옥한흠",47,170,13,0,1,"4",4,"1",0
"413",12,"광해, 왕이 된 남자",1,2,1,1,1,"2",10,"2",1
"414",17691,"괜찮아요, 미스터 브래드",319,1853,9,0,1,"3",11,"2",0
"415",3277,"괴물들",120,671,7,0,1,"4",19,"3",0
"417",212,"교주전: 천공의 눈",13,38,4,0,0,"3",18,"3",0
"418",1,"교환섹스 : 동생의 여자",1,1,1,0,1,"4",5,"1",0
"424",104,"구름의 저편, 약속의 장소",5,5,5,0,1,"2",24,"4",0
"425",6151,"구세주: 리턴즈",237,1197,5,0,1,"2",7,"1",0
"427",188,"국가대표 2",1,1,1,0,1,"2",10,"2",0
"431",87,"국두",2,2,2,1,0,"4",19,"3",0
"432",502,"국정교과서 516일 : 끝나지 않은 역사전쟁",37,149,7,0,1,"3",25,"4",0
"433",309,"국제시장",6,10,5,0,1,"3",18,"3",1
"435",10653935,"군함도",7589,160927,16,0,1,"2",10,"2",1
"438",2,"굶주린 여신:쾌락의 길",2,2,2,0,1,"2",24,"4",0
"439",199,"굿 매너스",2,2,2,0,0,"1",9,"2",0
"440",1313,"굿 윌 헌팅",3,22,3,1,1,"4",8,"2",0
"442",181,"굿모닝 맨하탄",5,9,5,0,0,"3",4,"1",0
"446",5,"굿바이 보이",1,1,1,1,1,"3",6,"1",0
"447",288,"굿바이 싱글",2,9,2,0,1,"3",20,"3",1
"448",3246,"굿타임",65,320,10,0,1,"3",27,"4",0
"449",1340149,"궁합",2734,52465,10,0,1,"4",12,"2",1
"451",1,"권태기:잠든 조카 옆에서 아내와",1,1,1,0,1,"3",6,"1",0
"454",59,"귀주 이야기",2,2,2,1,0,"4",5,"1",0
"455",1,"귀파주는 밀실가게",1,1,1,0,1,"1",2,"1",0
"456",91,"귀향",1,9,1,1,1,"1",16,"3",0
"457",14490,"귀향, 끝나지 않은 이야기",429,2356,7,0,1,"2",21,"3",0
"460",92,"그 사람 그 사랑 그 세상",1,10,1,0,1,"1",2,"1",0
"462",43,"그 시절, 우리가 좋아했던 소녀",1,1,1,1,0,"1",5,"1",0
"463",274,"그 여름 가장 조용한 바다",4,11,3,1,1,"2",3,"1",0
"464",9145,"그 여자 작사 그 남자 작곡",133,698,4,1,1,"3",6,"1",0
"466",19161,"그 후",438,2566,13,0,1,"2",3,"1",0
"468",888836,"그것",2271,35430,14,0,1,"2",28,"4",0
"469",1,"그것: 광대의 저주",1,1,1,0,1,"1",16,"3",0
"470",3418029,"그것만이 내 세상",4867,95415,18,0,1,"4",25,"4",1
"471",213,"그날 본 꽃의 이름을 우리는 아직 모른다",5,12,1,0,1,"1",16,"3",0
"472",476304,"그날, 바다",1811,25510,6,0,1,"1",19,"3",0
"473",108,"그날의 기억",1,1,1,0,1,"1",23,"4",0
"475",584,"그녀",12,21,10,0,1,"3",18,"3",0
"476",4448,"그녀는 거짓말을 너무 사랑해",194,799,7,0,1,"4",8,"2",0
"478",181,"그녀의 깊은 정사-감독판",23,30,5,0,1,"3",11,"2",0
"479",1,"그녀의 색맛: 감독판",1,1,1,0,1,"1",23,"4",0
"480",1,"그녀의 속사정",1,1,1,0,1,"4",5,"1",0
"481",213,"그녀의 인생은 잘못이 없어",7,15,2,0,1,"1",2,"1",0
"482",2,"그녀의 정사",2,2,1,0,1,"1",23,"4",0
"483",719,"그대와 영원히",3,24,3,1,1,"3",23,"4",0
"484",645,"그대품에 다시한번",2,23,2,1,0,"3",16,"3",0
"486",145,"그들도 우리처럼",1,6,1,1,1,"4",22,"4",0
"487",1,"그들만의 섹스매치",1,1,1,0,1,"2",3,"1",0
"489",5436,"그들이 진심으로 엮을 때",127,579,8,0,1,"3",30,"5",0
"490",1,"그라운드의 이방인",2,2,2,0,1,"2",3,"1",0
"491",35,"그랑블루 리마스터링 감독판",1,1,1,1,0,"2",28,"4",0
"492",14,"그랜 토리노",1,1,1,1,1,"4",18,"3",0
"494",1564,"그럼에도 불구하고",48,173,15,0,1,"2",21,"3",0
"495",246,"그렇게 아버지가 된다",5,8,4,1,1,"3",23,"4",0
"496",105,"그레이트 뷰티",1,2,1,0,0,"1",16,"3",0
"497",1,"그레이트 파이트",1,1,1,0,1,"3",30,"5",0
"498",1,"그렌델",1,1,1,0,1,"3",27,"4",0
"499",1,"그룹섹스: 미모의 여직원",1,1,1,0,1,"4",8,"2",0
"500",1,"그룹섹스:너무 밝히는 여자",1,1,1,0,1,"3",11,"2",0
"501",29,"그리고 싶은 것",4,9,4,1,1,"2",17,"3",0
"502",861,"그리다",40,148,9,0,1,"3",16,"3",0
"504",2,"그린 인페르노",2,2,2,0,1,"2",24,"4",0
"505",1078,"그린 파파야 향기",2,26,2,1,0,"3",11,"2",0
"506",30,"그린마일",1,1,1,1,1,"1",12,"2",0
"509",75,"그림자들의 섬",4,8,4,0,1,"2",28,"4",0
"511",1,"극강 성감 마사지의 쾌감",1,1,1,0,1,"1",26,"4",0
"512",167852,"극장판 도라에몽: 진구의 남극 꽁꽁 대모험",843,4282,12,0,1,"2",24,"4",1
"513",273,"극장판 또봇: 로봇군단의 습격",13,51,10,0,1,"3",4,"1",1
"514",6459,"극장판 뚝딱뚝딱 밥아저씨: 메가 머신의 역습",142,598,3,0,0,"1",9,"2",0
"515",34466,"극장판 레이디버그: 미라클스톤의 비밀",573,2310,6,0,0,"4",15,"3",0
"516",5650,"극장판 마법소녀 마도카 마기카(신편): 반역의 이야기",127,603,5,0,1,"1",12,"2",0
"517",3520,"극장판 소드 아트 온라인 -오디널 스케일-",15,61,8,0,1,"2",21,"3",0
"518",59375,"극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~",420,2054,8,0,1,"4",4,"1",0
"519",79,"극장판 안녕 자두야",2,14,2,0,1,"3",16,"3",1
"520",137052,"극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계",561,4066,8,0,1,"2",28,"4",1
"521",215203,"극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!",1239,6240,8,0,1,"3",18,"3",1
"522",32021,"극장판 위 베어 베어스: 곰 브라더스",521,2221,6,0,1,"2",14,"2",0
"523",432341,"극장판 짱구는 못말려 : 습격!! 외계인 덩덩이",1809,10611,14,0,1,"2",10,"2",1
"524",1121,"극장판 쿠로코의 농구 라스트 게임",6,16,6,0,1,"2",17,"3",0
"525",65895,"극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지",686,3536,6,0,1,"3",30,"5",1
"526",509555,"극장판 포켓몬스터 너로 정했다!",1821,10449,11,0,1,"4",11,"2",0
"527",8471,"극장판 프리! - 테이크 유어 마크 -",142,779,4,0,1,"1",26,"4",0
"528",1309,"극장판 프리! <U+2013> 타임리스 메들리 - 약속",19,77,4,0,1,"1",2,"1",0
"529",1263,"극장판 프리! <U+2013> 타임리스 메들리 - 인연",19,79,4,0,1,"1",2,"1",0
"530",466,"극장판 프리파라 모두 모여라! 프리즘☆투어즈",15,36,15,0,1,"2",24,"4",0
"531",56539,"극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리",500,2632,6,0,1,"4",18,"3",0
"532",325,"근거리 연애",8,14,4,0,1,"3",4,"1",0
"533",1,"근친의 사랑:형수님과 며느리",1,1,1,0,1,"2",28,"4",0
"534",1,"근친의 사랑2:며느리와 가사도우미",1,1,1,0,1,"4",25,"4",0
"535",1,"근친의 사랑3:양아버지",1,1,1,0,1,"4",22,"4",0
"536",623,"글루미 선데이",9,15,8,1,0,"2",7,"1",0
"538",46,"금의위: 혈지도",11,46,3,0,0,"4",29,"5",0
"539",100,"금지구역: 로스트 크릭",2,2,2,0,1,"2",24,"4",0
"540",154,"금지된 애욕",20,20,1,0,1,"2",17,"3",0
"541",355,"금지된 장난",1,6,1,1,0,"3",2,"1",0
"542",1,"금지된 장난: 시아주버니",1,1,1,0,1,"1",5,"1",0
"550",0,"기막힌 사내들",2,2,2,1,1,"3",6,"1",0
"551",60,"기묘: 비밀의 집",1,1,1,0,1,"3",11,"2",0
"552",1426,"기생-꽃의 고백",30,167,13,0,1,"4",15,"3",0
"556",1387779,"기억의 밤",2778,53003,12,0,1,"3",6,"1",0
"557",54,"기억의 소리",1,1,1,0,1,"2",17,"3",0
"559",1034,"기적",5,30,5,1,1,"3",11,"2",0
"560",654,"기적: 그 날의 소비토",30,111,3,0,1,"3",16,"3",0
"561",24,"기적의 오케스트라 - 엘 시스테마",1,2,1,1,0,"3",30,"5",0
"562",1,"기적의 피아노",1,1,1,0,1,"3",23,"4",0
"563",1185,"기쿠지로의 여름",12,29,10,1,1,"2",3,"1",0
"564",1267,"길",15,125,14,0,1,"2",17,"3",0
"566",1092,"길소뜸",1,20,1,1,1,"4",4,"1",0
"567",1048,"길은 멀어도 마음만은",2,21,2,1,0,"2",7,"1",0
"568",98231,"김광석",952,6265,17,0,1,"2",31,"5",0
"575",118,"깊은 밤 갑자기",5,5,5,1,1,"2",31,"5",0
"577",4,"깨끗한 유부녀",1,1,1,0,1,"2",28,"4",0
"578",21,"꼬마돼지 베이브 2",1,1,1,1,1,"2",31,"5",0
"579",5865,"꼬마돼지 베이브의 대모험",45,214,8,0,0,"2",3,"1",0
"580",13521,"꼬마참새 리차드: 아프리카 원정대",101,455,10,0,0,"2",3,"1",0
"581",0,"꼬방동네 사람들",2,2,2,1,1,"4",5,"1",0
"582",2,"꼬치구이집의 세여인",2,2,2,0,1,"2",24,"4",0
"584",915,"꼭두각시",1,12,1,1,1,"4",18,"3",0
"586",1,"꽃미남 연하 마사지사",1,1,1,0,1,"2",14,"2",0
"588",52,"꾸루꾸루와 친구들: 무지개 나무의 비밀",2,10,2,0,1,"3",13,"2",0
"589",4018341,"꾼",4990,117417,12,0,1,"3",30,"5",1
"592",2486,"꿈의 제인",58,261,16,0,1,"2",3,"1",0
"594",1,"끝내주는 미망인",1,1,1,0,1,"4",5,"1",0
"599",1830,"나, 다니엘 블레이크",17,27,11,0,0,"2",24,"4",0
"601",331,"나는 고양이로소이다",8,25,5,0,1,"2",3,"1",0
"602",175673,"나는 내일, 어제의 너와 만난다",756,8691,18,0,1,"3",25,"4",0
"603",322,"나는 부정한다",3,5,3,0,0,"3",4,"1",0
"605",1904,"나는 아들을 사랑하지 않는다",41,173,7,0,0,"3",20,"3",0
"610",198,"나라야마 부시코",2,2,2,1,1,"3",4,"1",0
"611",18305,"나라타주",306,1992,6,0,1,"4",26,"4",0
"612",138198,"나를 기억해",1047,14012,4,0,1,"1",26,"4",0
"614",1,"나만의 비밀정사-78일",1,1,1,0,1,"2",3,"1",0
"616",0,"나무들 비탈에 서다",2,2,2,1,1,"4",1,"1",0
"617",171,"나무없는 산",11,80,11,1,1,"2",10,"2",1
"618",192495,"나미야 잡화점의 기적",1184,10254,12,0,1,"3",27,"4",0
"620",786,"나바론 요새",4,16,4,1,1,"2",14,"2",0
"621",1216,"나부코",55,82,6,0,1,"3",27,"4",0
"622",1,"나쁜 섹스:신입 보험영업",1,1,1,0,1,"4",5,"1",0
"623",201,"나쁜 엄마",18,20,1,0,1,"1",23,"4",0
"624",61,"나쁜 여자들",1,3,1,1,1,"4",5,"1",0
"625",0,"나쁜 영화",2,2,2,1,1,"3",4,"1",0
"626",78,"나쁜 피",1,1,1,1,0,"3",23,"4",0
"627",8,"나쁜놈은 죽는다",3,5,3,0,0,"3",30,"5",0
"629",0,"나에게 오라",2,2,2,1,1,"3",4,"1",0
"634",166,"나의 노예가 되어주세요 감독판",22,23,2,0,1,"3",27,"4",0
"635",1072,"나의 붉은고래",15,81,4,0,0,"2",3,"1",0
"636",24,"나의 사적인 여자친구",1,2,1,0,0,"2",31,"5",0
"637",0,"나의 산티아고",1,1,1,0,0,"3",2,"1",0
"638",560,"나의 살던 고향은",2,26,2,0,1,"2",3,"1",0
"639",3648,"나의 서른에게",138,534,12,0,0,"3",30,"5",0
"640",124,"나의 소녀시대",5,7,5,0,0,"2",10,"2",0
"642",20,"나의 아들, 나의 어머니",3,6,3,0,1,"2",21,"3",0
"643",18,"나의 아름다운 세탁소",1,1,1,1,0,"3",30,"5",0
"647",9097,"나의 엔젤",233,1433,7,0,0,"3",25,"4",0
"648",1316,"나의 연기 워크샵",48,213,9,0,1,"4",4,"1",0
"649",101,"나의 위대한 친구, 세잔",1,1,1,0,0,"2",17,"3",0
"650",0,"나의 첫번째 장례식",2,2,2,0,0,"2",14,"2",0
"654",0,"나이트 크롤러",1,1,1,0,1,"3",30,"5",0
"655",76,"나이팅게일",4,19,4,0,0,"4",29,"5",0
"657",3090,"나인스 라이프",142,677,4,0,0,"2",28,"4",0
"658",25,"나일의 대모험",1,1,1,1,1,"2",10,"2",0
"659",0,"나타샤",1,1,1,1,0,"4",22,"4",0
"664",1,"날씨 아나운서의 정사",1,1,1,0,1,"4",8,"2",0
"665",0,"남과 여",1,1,1,1,0,"4",29,"5",0
"666",24,"남영동1985",3,7,3,1,1,"2",28,"4",0
"668",739,"남자가 사랑할 때",108,298,3,0,1,"3",30,"5",1
"669",1,"남자기숙사의 여관리인",1,1,1,0,1,"2",7,"1",0
"671",908,"남태평양",2,16,2,1,1,"2",7,"1",0
"672",1,"남편 몰래 날마다 신음하는 거유비서",1,1,1,0,1,"1",19,"3",0
"673",1,"남편 몰래 떠난 불륜 여행",1,1,1,0,1,"4",11,"2",0
"674",1,"남편 몰래:마사지에 탐닉하는 아내",1,1,1,0,1,"1",9,"2",0
"675",1,"남편 친구와의 불륜",1,1,1,0,1,"4",19,"3",0
"676",1,"남편몰래이웃남자와",1,1,1,0,1,"1",5,"1",0
"677",1,"남편보다 근육질 남자",1,1,1,0,1,"4",4,"1",0
"678",1,"남편보다 젊은 남자",1,1,1,0,1,"4",15,"3",0
"679",4,"남편을 위해 산 속옷이지만",1,1,1,0,1,"3",6,"1",0
"680",3849129,"남한산성",3874,71102,16,0,1,"3",18,"3",1
"681",8145,"낮잠 공주 : 모르는 나의 이야기",271,1030,5,0,1,"2",14,"2",0
"683",25,"낯선 집",4,9,4,0,0,"2",31,"5",0
"684",1,"내 남편의 친구 무삭제",1,1,1,0,1,"2",3,"1",0
"685",1,"내 누이의 연인",1,1,1,0,1,"3",9,"2",0
"686",1,"내 동생의 아내 2",1,1,1,0,1,"3",25,"4",0
"687",1,"내 동생의 여자친구 무삭제판",1,1,1,0,1,"2",17,"3",0
"688",113,"내 마음의 고향",4,30,4,0,1,"3",2,"1",0
"689",1942,"내 머리 속의 지우개",146,628,3,1,1,"3",30,"5",1
"690",378712,"내 사랑",1302,13462,40,0,0,"2",3,"1",0
"691",53,"내 사랑 왕가흔",13,53,3,0,0,"3",23,"4",0
"692",1,"내 삼촌의 아내: 내 여자가 되던 날",1,1,1,0,1,"2",10,"2",0
"693",1,"내 삼촌의 아내: 내 여자가 되던 날 (무삭제)",1,1,1,0,1,"3",25,"4",0
"694",1,"내 삼촌의 여자 무삭제판",1,1,1,0,1,"3",18,"3",0
"697",1,"내 아내의 새엄마 무삭제",1,1,1,0,1,"3",6,"1",0
"698",120,"내 아내의 언니 2",20,20,1,0,1,"4",8,"2",0
"699",1,"내 아내의 언니 2 무삭제",1,1,1,0,1,"1",16,"3",0
"700",1,"내 아내의 여자",1,1,1,0,0,"1",9,"2",0
"701",1,"내 아내의 초대남들: 네토라레_무삭제판",1,1,1,0,1,"1",16,"3",0
"702",163,"내 아내의 초대남들:네토라레",20,20,1,0,1,"3",30,"5",0
"703",1,"내 아내의 친구",1,1,1,0,1,"1",2,"1",0
"704",1,"내 아내의 친구-무삭제판",1,1,1,0,1,"4",12,"2",0
"705",1,"내 아내의 친구 무삭제",1,1,1,0,1,"2",10,"2",0
"706",1,"내 아내의 친구: 아내가 집에 없던 날",1,1,1,0,1,"2",7,"1",0
"707",1,"내 아내의 친구: 아내가 집에 없던 날 (무삭제)",1,1,1,0,1,"3",23,"4",0
"708",2,"내 아들의 여자 무삭제판",2,2,2,0,1,"2",24,"4",0
"709",1,"내 애인의 엄마: 내 여자가 되던 날",1,1,1,0,1,"2",28,"4",0
"710",1,"내 애인의 엄마: 내 여자가 되던 날 (무삭제)",1,1,1,0,1,"4",18,"3",0
"711",295,"내 어깨 위 고양이, 밥",5,10,4,0,0,"3",11,"2",0
"713",1,"내 엄마의 친구: 완숙한 육체를 탐하다",1,1,1,0,1,"1",5,"1",0
"714",1,"내 엄마의 친구: 완숙한 육체를 탐하다-무삭제판",1,1,1,0,1,"1",16,"3",0
"715",1,"내 여자가 된 형수",1,1,1,0,1,"4",29,"5",0
"716",1,"내 여자의 엄마(무삭제)",1,1,1,0,1,"2",21,"3",0
"718",252,"내 이름은 꾸제트",3,4,3,0,0,"2",24,"4",0
"719",16238,"내 이야기!!",329,2238,5,0,1,"1",26,"4",0
"720",1,"내 이웃의 아내 2: 이웃 부부와 교환하던 날",1,1,1,0,1,"2",7,"1",0
"721",1,"내 이웃의 아내 2: 이웃 부부와 교환하던 날 (무삭제)",1,1,1,0,1,"3",23,"4",0
"722",1,"내 이웃의 아내 3",1,1,1,0,1,"4",29,"5",0
"723",1,"내 이웃의 아내 3 (무삭제)",1,1,1,0,1,"1",26,"4",0
"724",45,"내 책상 위의 천사",1,2,1,1,0,"3",4,"1",0
"725",129,"내 친구 엄마",20,20,1,0,1,"1",12,"2",0
"726",11904,"내 친구 정일우",250,1484,14,0,1,"3",18,"3",0
"727",1,"내 친구, 그의 아내 무삭제",1,1,1,0,1,"2",10,"2",0
"728",1,"내 친구의 남편 (무삭제)",1,1,1,0,1,"2",3,"1",0
"729",1,"내 친구의 아내 3",1,1,1,0,1,"3",6,"1",0
"730",1,"내 친구의 아내 3 (무삭제)",1,1,1,0,1,"1",5,"1",0
"731",1,"내 친구의 아내: 만져봐도 될까요?",1,1,1,0,1,"2",28,"4",0
