"","people","mv_name","screen","play_t","play_wk","re_open","top_country","record_month","record_date","month_week","top_sup"
"11889",26103,"폭스캐처",212,1475,18,0,1,"4",22,"4",0
"11890",1,"폭유 여관주인님",1,1,1,0,1,"4",9,"2",0
"11891",1,"폭유! 가정교사",1,1,1,0,1,"3",8,"2",0
"11892",1,"폭유녀의 가면정사",1,1,1,0,1,"2",2,"1",0
"11893",1485,"폭풍의 언덕",12,40,12,1,0,"2",30,"5",0
"11894",54,"폭풍정사",1,1,1,0,1,"2",25,"4",0
"11895",58,"폭행 잭더리퍼",3,7,3,0,1,"1",19,"3",0
"11896",181,"폴 매카트니의 락쇼",10,34,2,0,0,"1",9,"2",0
"11897",12457,"폴라로이드",53,169,8,0,1,"2",4,"1",0
"11898",90,"폴라로이드 작동법",1,1,1,0,1,"2",25,"4",0
"11899",224,"폴란드 동화",2,2,2,0,0,"1",18,"3",0
"11900",60,"폴란드1943",1,1,1,0,0,"1",23,"4",0
"11901",4062,"폴레트의 수상한 베이커리",36,245,9,0,0,"2",6,"1",0
"11902",87,"폴리스 스토리",9,28,5,1,0,"1",19,"3",0
"11903",9,"폴리스 스토리 2 - 구룡의 눈",1,3,1,1,0,"1",25,"4",0
"11904",6,"폴리스 스토리3",1,3,1,1,0,"1",9,"2",0
"11905",46,"폴리티컬 애니멀",2,3,2,0,1,"3",6,"1",0
"11906",1268,"폴링",24,135,7,0,0,"1",10,"2",0
"11907",3065,"폴링 스노우",36,225,7,0,0,"2",16,"3",0
"11908",71,"폴링 인 러브",3,3,3,1,1,"2",11,"2",0
"11909",1,"폴터가이스트 액티비티",1,1,1,0,0,"1",9,"2",0
"11910",880,"폼페이 최후의 날",2,22,2,1,0,"4",5,"1",0
"11911",96,"폼포코 너구리 대작전",2,2,2,1,1,"3",17,"3",0
"11912",1680,"퐁네프의 연인들",26,58,20,1,0,"4",1,"1",0
"11913",0,"표량마마",2,2,2,0,0,"3",29,"5",0
"11914",597,"표류도",1,9,1,1,1,"4",14,"2",0
"11915",8,"표정들",2,2,2,0,1,"4",15,"3",0
"11916",78,"푸드 체인스 - 착취의 역사",1,2,1,0,1,"2",9,"2",0
"11917",598,"푸른노을",1,1,1,0,1,"1",11,"2",0
"11918",22,"푸른잔디",1,1,1,0,0,"1",11,"2",0
"11919",43,"푸쉬오버",1,3,1,0,1,"1",18,"3",0
"11920",59,"푸줏간 소년",2,3,2,1,0,"1",4,"1",0
"11921",54,"풀: 분노의 광기",1,1,1,0,1,"3",20,"3",0
"11922",116,"풀문 인 차이나",1,1,1,0,1,"2",2,"1",0
"11923",24,"풀밭 위의 양",2,2,2,0,0,"4",3,"1",0
"11924",22,"풀보이",1,2,1,0,0,"3",29,"5",0
"11925",105,"품행제로",6,8,6,1,0,"4",1,"1",0
"11926",54,"풍만한 마리아의 가슴",1,1,1,0,1,"2",2,"1",0
"11927",10,"풍만한 하숙집 여주인",1,1,1,0,1,"4",10,"2",0
"11928",1390,"풍운의 젠다성",7,36,7,0,1,"4",9,"2",0
"11929",10,"퓨쳐 베이비",1,3,1,0,0,"3",22,"4",0
"11930",203,"프라이 오토의 움직이는 미래",1,2,1,0,1,"3",17,"3",0
"11931",223,"프라이드",2,3,1,0,0,"3",29,"5",0
"11932",1100,"프라이비트 레슨:개인교수",2,24,2,1,1,"4",29,"5",0
"11933",320,"프란시스 하",14,24,14,0,1,"4",1,"1",0
"11934",2,"프란체스코와 교황",1,2,1,1,0,"1",10,"2",0
"11935",415,"프란츠",3,4,3,0,0,"2",1,"1",0
"11936",18802,"프란치스코",238,2121,8,0,0,"1",10,"2",0
"11937",4885,"프랑스 영화처럼",91,714,11,0,1,"4",31,"5",0
"11938",60,"프랑켄슈타인 VS 미라",1,1,1,0,1,"1",28,"4",0
"11939",114,"프랑켄위니",3,4,3,1,1,"3",13,"2",0
"11940",23,"프랑코 스칼다티의 연극과 삶",1,2,1,0,0,"4",10,"2",0
"11941",4109,"프랑코포니아",64,404,10,0,0,"1",19,"3",0
"11942",310,"프랭크",11,16,11,0,0,"4",1,"1",0
"11943",136,"프레데릭 로 옴스테드, 미국을 디자인하다",1,3,1,0,1,"3",29,"5",0
"11944",1,"프레셔",1,1,1,0,0,"4",3,"1",0
"11945",1745,"프레셔스 카고: 프로 범죄단",60,134,3,0,1,"3",1,"1",0
"11946",105,"프레쉬 드레스드",1,2,1,0,1,"3",27,"4",0
"11947",3,"프레스",1,1,1,0,1,"3",8,"2",0
"11948",1,"프레지던트 테러 라이브",1,1,1,0,0,"1",31,"5",0
"11949",1860,"프렌치 캉캉",4,25,4,0,0,"4",22,"4",0
"11950",76,"프렌치 커넥션: 마약 수사",1,1,1,0,0,"1",2,"1",0
"11951",64,"프로듀서",1,2,1,0,1,"2",7,"1",0
"11952",244,"프로듀서스",1,2,1,1,1,"2",7,"1",0
"11953",60,"프로모션 걸의 사생활",1,1,1,0,0,"3",27,"4",0
"11954",171,"프로젝트-M",6,18,2,0,0,"1",31,"5",0
"11955",6,"프로젝트 A",1,3,1,1,0,"1",16,"3",0
"11956",0,"프로젝트 님",1,1,1,1,0,"1",24,"4",0
"11957",77,"프로젝트 후쿠시마!",1,2,1,0,1,"1",24,"4",0
"11958",11,"프로파간다 게임",2,2,2,0,0,"3",22,"4",0
"11959",100,"프롬 더 다크",1,1,1,0,0,"2",2,"1",0
"11960",106460,"프리덤",353,3116,17,0,1,"3",29,"5",0
"11961",65,"프리덤 투 메리",1,2,1,0,1,"3",20,"3",0
"11962",126,"프리스타일-라임의 예술",1,3,1,0,1,"3",29,"5",0
"11963",2931897,"프리즌",4472,89023,12,0,1,"1",2,"1",1
"11964",27,"프릭 아웃",2,2,2,0,0,"1",7,"1",0
"11965",69,"플라스틱 차이나",1,2,1,0,0,"1",18,"3",0
"11966",432,"플라워",12,39,7,0,0,"3",15,"3",0
"11967",1628,"플라워 쇼",30,171,8,0,0,"1",5,"1",0
"11968",136,"플라워링 하트",2,7,2,0,1,"2",30,"5",0
"11969",173,"플라이",1,8,1,0,1,"2",23,"4",0
"11970",130,"플라이트 엑시던트",1,7,1,0,1,"1",17,"3",0
"11971",10,"플라잉 홈",1,1,1,0,0,"2",30,"5",0
"11972",100,"플란다스의 개",2,2,2,1,1,"4",5,"1",0
"11973",604,"플랑크 상수",19,94,10,0,1,"1",16,"3",0
"11974",44574,"플래그 더 문",317,1719,16,0,0,"1",19,"3",0
"11975",3236,"플래툰",72,557,5,1,1,"2",1,"1",0
"11976",54,"플랜 Z",1,1,1,0,0,"2",15,"3",0
"11977",1,"플레어",1,1,1,0,1,"2",8,"2",0
"11978",0,"플레이",1,3,1,1,1,"1",10,"2",0
"11979",18,"플레이스 비욘드 더 파인즈",1,2,1,1,1,"4",26,"4",0
"11980",1,"플레이스 인 헬",1,1,1,0,1,"2",14,"2",0
"11981",223,"플레이온",4,8,4,0,1,"1",23,"4",0
"11982",344,"플레이타임",2,3,2,0,0,"4",19,"3",0
"11983",94,"플레저 파티",4,5,4,0,0,"4",16,"3",0
"11984",139841,"플로렌스",929,8147,11,0,0,"2",11,"2",0
"11985",152,"플립",2,3,2,0,1,"4",25,"4",0
"11986",186,"피",5,5,5,0,0,"3",10,"2",0
"11987",3566,"피가로의 결혼",75,170,16,0,1,"4",19,"3",0
"11988",1,"피곤한 남편 대신 출장서비스",1,1,1,0,1,"2",14,"2",0
"11989",2,"피그",1,1,1,0,1,"2",2,"1",0
"11990",727,"피나",11,42,11,1,0,"4",12,"2",0
"11991",127,"피닉스",3,3,3,0,0,"3",8,"2",0
"11992",747,"피닉스 라이트 사건",21,100,4,0,1,"2",21,"3",0
"11993",1,"피라냐콘다",1,1,1,0,1,"1",17,"3",0
"11994",14,"피로",1,1,1,0,1,"4",16,"3",0
"11995",58,"피부색깔=꿀색",3,3,3,0,0,"3",10,"2",0
"11996",2239,"피서지에서 생긴 일",7,36,7,1,1,"2",13,"2",0
"11997",1,"피서지의 가정교사",1,1,1,0,1,"1",3,"1",0
"11998",1,"피서지의 미인 유부녀",1,1,1,0,1,"2",2,"1",0
"11999",236,"피쉬와 칩스 극장판",1,2,1,0,0,"3",29,"5",0
"12000",723,"피스 오브 케이크",18,76,2,0,1,"1",3,"1",0
"12001",362,"피아골",1,10,1,1,1,"2",8,"2",0
"12002",58,"피아노",4,4,4,1,0,"4",1,"1",0
"12003",1,"피아노 정사 레슨 - 불륜",1,1,1,0,1,"4",7,"1",0
"12004",86,"피아노로 쓰는 시네마 다이어리",1,1,1,0,0,"2",18,"3",0
"12005",1300,"피아노의 숲",22,150,5,1,1,"4",17,"3",0
"12006",18943,"피아니스트",152,874,42,1,0,"2",18,"3",0
"12007",22734,"피아니스트 세이모어의 뉴욕 소네트",127,958,24,0,1,"1",24,"4",0
"12008",25,"피아니스트의 전설",1,1,1,0,0,"1",25,"4",0
"12009",20,"피어 오브 다크니스",1,1,1,0,0,"1",19,"3",0
"12010",10,"피어 클리닉",1,1,1,0,1,"2",18,"3",0
"12011",66,"피와 뼈",2,2,2,1,1,"2",8,"2",0
"12012",15,"피우마",2,2,2,0,0,"4",8,"2",0
"12013",11,"피움 초이스 수상작",1,1,1,0,1,"3",17,"3",0
"12014",9,"피움 초이스1",1,2,1,0,1,"3",17,"3",0
"12015",4,"피움 초이스2",1,2,1,0,1,"3",17,"3",0
"12016",5,"피움 초이스4",1,2,1,0,1,"3",17,"3",0
"12017",57,"피의 극장",2,4,2,0,0,"1",12,"2",0
"12018",147,"피의 복수",3,5,3,0,0,"4",26,"4",0
"12019",75598,"피치 퍼펙트: 언프리티 걸즈",364,5381,6,0,1,"1",7,"1",0
"12020",282,"피카소의 미스테리",4,4,4,0,0,"2",28,"4",0
"12021",45349,"피케이: 별에서 온 얼간이",271,2703,15,0,0,"2",13,"2",0
"12022",1227,"피케이: 별에서 온 얼간이 감독판",18,95,11,0,0,"3",3,"1",0
"12023",1014,"피크닉",6,21,5,0,1,"2",25,"4",0
"12024",109137,"피터와 드래곤",658,5201,9,0,1,"3",22,"4",0
"12025",31,"피터의 LP투어",2,3,2,0,1,"3",26,"4",0
"12026",85,"피터의 상상초월 작업실",1,2,1,0,1,"2",27,"4",0
"12027",58,"피핑 라이프 - 위 아 더 히어로",1,1,1,0,1,"1",21,"3",0
"12028",1,"피해자",1,1,1,0,0,"2",14,"2",0
"12029",681945,"픽셀",929,21307,6,0,1,"2",9,"2",0
"12030",102,"픽시: 꼬마요정의 대소동",1,1,1,0,0,"2",22,"4",0
"12031",413,"핀치 콘티니의 정원",8,27,8,0,0,"4",11,"2",0
"12032",2,"필드 오브 로스트 슈즈",1,1,1,0,1,"2",13,"2",0
"12033",1,"필드오브데드",1,1,1,0,1,"4",4,"1",0
"12034",721,"필라델피아 스토리",3,27,3,0,1,"3",22,"4",0
"12035",0,"필로미나의 기적",2,2,2,0,0,"3",8,"2",0
"12036",1,"필로우 북",1,1,1,1,0,"2",30,"5",0
"12037",1098,"필로우 토크",4,28,4,0,1,"2",9,"2",0
"12038",79,"필름맨",1,2,1,0,0,"2",6,"1",0
"12039",1611,"필름시대사랑",46,304,10,0,1,"3",15,"3",0
"12040",14,"필사의 추적",1,2,1,0,1,"3",20,"3",0
"12041",60,"필사의검 토리사시",1,1,1,0,1,"1",3,"1",0
"12042",110,"핑크 팬더",4,4,4,1,1,"2",21,"3",0
"12043",193,"하고 싶은 날",20,20,1,0,1,"2",23,"4",0
"12044",1,"하고 싶은 날 무삭제",1,1,1,0,1,"1",20,"3",0
"12045",0,"하나 그리고 둘",1,1,1,1,0,"2",11,"2",0
"12046",25,"하나 둘 셋",1,2,1,0,0,"3",17,"3",0
"12047",500,"하나비",6,11,6,1,1,"1",30,"5",0
"12048",15096,"하나와 미소시루",254,1452,10,0,1,"1",10,"2",0
"12049",640,"하나와 앨리스",12,18,9,1,1,"4",26,"4",0
"12050",14518,"하나와 앨리스: 살인사건",192,1366,18,0,1,"1",14,"2",1
"12051",2218,"하녀",14,58,14,1,1,"1",21,"3",0
"12052",1,"하녀-기모노 섹스",1,1,1,0,1,"4",10,"2",0
"12053",1,"하녀: 에나미",1,1,1,0,1,"1",30,"5",0
"12054",54,"하녀의 방",1,1,1,0,1,"1",19,"3",0
"12055",52,"하늘색 심포니",1,2,1,0,1,"3",22,"4",0
"12056",11,"하늘은 흔들리고",2,2,2,0,0,"2",4,"1",0
"12057",238439,"하늘을 걷는 남자",978,12019,13,0,1,"3",8,"2",0
"12058",15,"하늘을 향한 여정, K2",2,2,2,0,0,"2",18,"3",0
