순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,미스 페레그린과 이상한 아이들의 집,2016-09-28,7548673272,0.336,17550851264,930829,2184784,899,24889,미국,"미국,벨기에,영국",,이십세기폭스코리아(주),12세이상관람가,"미스터리,판타지",팀 버튼,"에바 그린,사무엘 L. 잭슨,아사 버터필드,앨리슨 제니,킴 디킨스,주디 덴치,크리스 오다우드"
2,맨 인 더 다크,2016-10-05,5091252472,0.227,5944336672,603965,708515,671,19471,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,스릴러,페드 알바레즈,"제인 레비,딜런 미네트,스티븐 랭,다니엘 조바토"
3,아수라,2016-09-28,2660454100,0.119,20176763162,324567,2543479,739,18382,한국,한국,(주)사나이픽처스,씨제이이앤엠(주),청소년관람불가,"범죄,액션",김성수,"정우성,황정민,주지훈,곽도원,정만식,김원해,김종수,김해곤,윤지혜,오연아,윤제문,이종성,장근영,박지환,손영진,양영일,유정호,윤성민,이가경,이광기,이상민,채성원,김남조,노남석,박갑진"
4,브리짓 존스의 베이비,2016-09-28,1858881000,0.083,5618682074,229871,692909,449,9064,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,멜로/로맨스",샤론 맥과이어,"르네 젤위거,콜린 퍼스,패트릭 뎀시"
5,설리: 허드슨강의 기적,2016-09-28,1319357028,0.059,4877195254,162219,580281,460,8238,미국,미국,,워너브러더스 코리아(주),12세이상관람가,드라마,클린트 이스트우드,"톰 행크스,아론 에크하트,로라 린니"
6,럭키,2016-10-13,1176664400,0.052,1265452400,135634,146036,345,1316,한국,한국,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식"
7,밀정,2016-09-07,718864100,0.032,61138947531,92486,7483039,386,6056,한국,한국,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",워너브러더스 코리아(주),15세이상관람가,액션,김지운,"송강호,공유,한지민,츠루미 신고,엄태구,신성록,서영주,박민우,이진한,이진한,임서영,임서영,전수빈,정유안,조권수,조윤담,이동진,이상희,이수광,이승진,하민,노준표,김정우"
8,죽여주는 여자,2016-10-06,483738400,0.022,498740400,66183,68004,317,5081,한국,한국,"한국영화아카데미,주식회사 뭉클픽쳐스",CGV아트하우스,청소년관람불가,드라마,이재용,"윤여정,전무송,윤계상,박성진,윤효진"
9,그물,2016-10-06,379135800,0.017,390324300,50192,51588,381,5719,한국,한국,(주)김기덕 필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,김기덕,"류승범,이원근,김영민,최귀화,박준형,정지은,안지혜,이상현,이승현,이은우,김순모,이상진"
10,벤허,2016-09-14,159176200,0.007,11371433195,21143,1394721,170,1706,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"어드벤처,드라마",티무르 베크맘베토브,"잭 휴스턴,토비 켑벨,모건 프리먼,로드리고 산토로,할룩 빌기너,요한 필리프 아스베크,모이세스 아리아스,아예렛 주러,소피아 블랙 디엘리아,제임스 코스모,다토 바크하제,자레스 J. 메즈"
11,피터와 드래곤,2016-09-28,164708000,0.007,719815600,20700,90058,138,1341,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"어드벤처,가족,판타지",데이빗 로워리,"브라이스 달라스 하워드,오크스 페글리,웨스 벤틀리,칼 어번,로버트 레드포드,크레이그 홀,이시아 휘틀록 주니어"
12,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,2016-09-28,79516500,0.004,331172000,13160,55207,132,836,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,다라 오코넬,
13,백설공주 : 사라진 아빠를 찾아서,2016-09-29,69268900,0.003,401954400,9205,51874,112,466,중국,중국,,예지림엔터테인먼트,전체관람가,"애니메이션,가족",벤 차오,"이제인,사문영,박상훈"
14,디시에르토,2016-10-05,64941900,0.003,99606000,8554,13227,113,1643,멕시코,"멕시코,프랑스",,(주)제이앤씨미디어그룹,15세이상관람가,"드라마,스릴러",조나스 쿠아론,"가엘 가르시아 베르날,제프리 딘 모건,디에고 카타노,마르코 페레즈"
15,인필트레이터 : 잠입자들,2016-10-06,47535000,0.002,57908000,6368,7614,128,1277,미국,미국,,(주)리틀빅픽쳐스,15세이상관람가,"범죄,드라마",브래드 퍼맨,"브라이언 크랜스톤,존 레귀자모,다이앤 크루거,에이미 라이언,조셉 길건,벤자민 브랫,줄리엣 아브레이,루벤 오칸디아노,시몬 앤드류,세이드 타그마오우이,엘레나 아나야,제이슨 아이삭스,올림피아 듀카키스,율 바즈케즈,마크 홀든,벤틀리 카루"
16,다가오는 것들,2016-09-29,45412100,0.002,112882600,5800,14444,28,272,프랑스,프랑스,,찬란,15세이상관람가,드라마,미아 한센-로브,"이자벨 위페르,에디뜨 스콥"
17,극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-13,45860400,0.002,48100400,5403,5627,106,298,한국,한국,동우에이앤이(주),(주)박수엔터테인먼트,전체관람가,애니메이션,히시다 마사카즈,
18,킹 오브 프리즘,2016-08-11,40142000,0.002,632907000,5178,73504,13,103,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,
19,카페 소사이어티,2016-09-14,39035300,0.002,1007642738,4639,121653,36,326,미국,미국,,CGV아트하우스,15세이상관람가,"멜로/로맨스,드라마",우디 앨런,"제시 아이젠버그,크리스틴 스튜어트,스티브 카렐,블레이크 라이블리"
20,드림 쏭,2016-09-14,31305900,0.001,1798259000,4626,229393,54,206,미국,미국,,(주)이수C&E,전체관람가,애니메이션,애쉬 브래넌,"J.K. 시몬스,루크 윌슨,에디 이자드,맷 딜런"
21,예전부터 계속 좋아했어 ~고백실행위원회~,2016-09-29,30908500,0.001,100735000,4197,13447,64,478,일본,일본,,(주)디스테이션,전체관람가,"애니메이션,멜로/로맨스",야나기자와 테츠야,"카미야 히로시,토마츠 하루카,카지 유키,스즈무라 켄이치,토요사키 아키"
22,립반윙클의 신부,2016-09-28,34339800,0.002,143213400,4183,17681,43,387,일본,일본,,"TCO(주)더콘텐츠온,주식회사 더쿱",15세이상관람가,"드라마,멜로/로맨스",이와이 슌지,"쿠로키 하루,아야노 고"
23,자백,2016-10-13,24872000,0.001,134546000,4069,19662,6,21,한국,한국,한국탐사저널리즘센터,(주)엣나인필름,15세이상관람가,다큐멘터리,최승호,최승호
24,아이 엠 어 히어로,2016-09-21,25313600,0.001,1793393400,2988,210597,45,422,일본,일본,,(주)영화사 빅,청소년관람불가,"액션,공포(호러)",사토 신스케,"오오이즈미 요,아리무라 카스미,나가사와 마사미"
25,로빈슨 크루소,2016-09-07,22515600,0.001,1049744800,2953,136496,37,114,벨기에,벨기에,,(주)영화사 빅,전체관람가,"애니메이션,어드벤처,코미디","벤 스타센,빈센트 케스텔루트","마티아스 슈바이그호퍼,데이비드 하워드,콜린 메츠거,라일라 베르진,조이 카멘,마리브 헤링턴"
26,바스티유 데이,2016-10-13,21824000,0.001,24016000,2728,3002,10,13,미국,"미국,프랑스",,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,제임스 왓킨스,"이드리스 엘바,리처드 매든,샬롯 르 본,호세 가르시아,켈리 라일리"
27,비포 미드나잇,2013-05-22,18613570,0.001,1515424070,2638,207699,53,585,미국,미국,,(주)팝엔터테인먼트,청소년관람불가,드라마,리차드 링클레이터,"에단 호크,줄리 델피,샤무스 데이비 피츠패트릭"
28,"고산자, 대동여지도",2016-09-07,16646000,0.001,7793646258,2562,972895,10,49,한국,한국,(주)시네마서비스,씨제이이앤엠(주),전체관람가,사극,강우석,"김율호,차승원,유준상,김인권,남지현,신동미,남경읍,태인호,공형진,김종수,이형길,임경욱,박선용,박상훈,박정호,박진영,백동현,송민석,송원종,양해길,양희정,전수정,전호근,정명수,정봉연,정진근,조경섭,윤성민,윤준호,이덕형,이문형,이성원,이수민,이승철,이윤상,지동주,지현준,최은식,최한기,한명철,홍광표,홍대영,노남석,정준용"
29,인페르노,2016-10-19,19880000,0.001,21420000,2485,2639,19,19,미국,"미국,일본,터키,헝가리",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,스릴러",론 하워드,"톰 행크스,펠리시티 존스,벤 포스터,이르판 칸,오마 사이,시드 바벳 크누센,안나 울라루"
30,페드라,1996-11-16,3451000,0,3909000,1708,1937,1,20,그리스,그리스,,,연소자관람불가,드라마,줄스 다신,"멜리나 메코우리,안소니 퍼킨스"
31,스타트렉 비욘드,2016-08-17,14953500,0.001,10153542720,1631,1152329,6,26,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"액션,SF",저스틴 린,"크리스 파인,사이몬 페그,조 샐다나,재커리 퀸토,칼 어번,안톤 옐친,존 조,이드리스 엘바,소피아 부텔라"
32,비틀스: 에잇 데이즈 어 위크 ? 투어링 이어즈,2016-10-19,10918000,0,15579100,1290,1827,2,5,영국,"영국,미국",,메가박스(주)플러스엠,12세이상관람가,"드라마,다큐멘터리",론 하워드,"존 레논,폴 매카트니,조지 해리슨,링고 스타"
33,칠드런 오브 맨,2016-09-22,9353000,0,157487200,1161,19162,16,95,영국,"영국,미국",,"영화사 마농(주),(주)씨네클럽봉봉미엘",15세이상관람가,"SF,액션,스릴러",알폰소 쿠아론,"클라이브 오웬,줄리안 무어"
34,달빛궁궐,2016-09-07,6181000,0,1138607500,1144,151605,14,101,한국,한국,"스튜디오홀호리(주),(주)콘텐츠판다",(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,판타지,어드벤처",김현주,"김서영,이하늬,권율,김슬기,신용우,이장원,시영준,이상범,이현,강시현,문유정,정주원,신경선,이유리"
35,물숨,2016-09-29,7153400,0,48752900,982,6383,26,204,한국,한국,영화사 숨비,(주)영화사 진진,전체관람가,다큐멘터리,고희영,고희영
36,걷기왕,2016-10-20,6689000,0,6689000,913,913,2,4,한국,한국,㈜인디스토리,CGV아트하우스,12세이상관람가,드라마,백승화,"심은경,박주희,김새벽,허정도,윤지원,안승균,김광규,김정영,이재진,이준용,박민준,장현진,방범석,정규환,오은비,조주형,이규진,이동혁,이수아,최봉석,최효주,황수진,김신동"
37,우리도 사랑일까,2012-09-27,6423000,0,586334919,862,73854,16,112,캐나다,캐나다,,(주)티캐스트,청소년관람불가,"멜로/로맨스,코미디",사라 폴리,"미쉘 윌리엄스,세스 로건,루크 커비"
38,할머니의 먼 집,2016-09-29,6074100,0,18236400,846,2543,16,133,한국,한국,영화사 연필,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),전체관람가,다큐멘터리,이소현,"박삼순,이소현,장춘옥,홍순영"
39,비바,2016-10-13,6735000,0,8175000,813,993,2,5,아일랜드,"아일랜드,쿠바",,(주)팝엔터테인먼트,청소년관람불가,드라마,패디 브레스내치,"헥터 메디나,호르헤 페루고리아,루이스 알베르토 가르시아"
40,매그니피센트 7,2016-09-14,5504500,0,7631911421,774,921088,9,60,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,서부극(웨스턴)",안톤 후쿠아,"덴젤 워싱턴,크리스 프랫,이병헌,에단 호크,맷 보머,빈센트 도노프리오,해일리 베넷,캠 지갠뎃"
41,대원군,,1539000,0,2488000,767,1234,1,8,한국,한국,,,,사극,신상옥,"신영균,김지미,최남현,이풍구"
42,거울나라의 앨리스,2016-09-07,3855000,0,4142233267,715,512502,20,52,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"어드벤처,가족,판타지",제임스 보빈,"조니 뎁,앤 해서웨이,미아 와시코브스카,헬레나 본햄 카터,사챠 바론 코헨,알란 릭맨,마이클 쉰,앤드류 스캇"
43,"불량소녀, 너를 응원해!",2016-09-21,5304500,0,137602500,692,17232,28,174,일본,일본,,글뫼 주식회사,12세이상관람가,드라마,도이 노부히로,"아리무라 카스미,이토 아츠시,요시다 요,타나카 테츠시,노무라 슈헤이"
44,미워도 다시 한번 2,,1349000,0,5917000,672,2956,1,12,한국,한국,,,,"드라마,멜로/로맨스",정소영,"김정훈,김정옥,김지영,문희,신영균"
45,진홍의 도적,,1920000,0,7294000,640,3307,1,15,미국,미국,,,,"액션,코미디,어드벤처",로버트 시오드막,"버트 랭카스터,닉 크라바트"
46,춘몽,2016-10-13,5314000,0,5314000,627,627,3,9,한국,한국,률필름,"(주)프레인글로벌,(주)스톰픽쳐스코리아",15세이상관람가,드라마,장률,"한예리,양익준,박정범,윤종빈,신민아,유연석,김의성,김태훈,조달환,이재환,임해준,장우진,백종관,백주은,백현진,양영민,정석휘,정재필,조달환,오세현,오재은,윤상일,이관훈,이서,조현정,노슬기"
47,대결,2016-09-22,5552000,0,242608500,618,31326,3,8,한국,한국,"휴메니테라픽쳐스(주),컴퍼니에이이엔티(주)","(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",15세이상관람가,액션,신동엽,"이주승,오지호,이정진,신정근,손은서,임효우,박주혜,박준범,전혜인,이규희,이대겸,조훈휘,홍민혜,황진호,김철구"
48,다음 침공은 어디?,2016-09-08,4989000,0,116847200,600,14553,10,54,미국,미국,,판씨네마(주),15세이상관람가,다큐멘터리,마이클 무어,
49,라라미에서 온 사나이,,1197000,0,4039000,596,2032,1,12,미국,미국,콜럼비아 픽쳐스 코포레이션,,,"액션,서부극(웨스턴),미스터리",안소니 만,"제임스 스튜어트,아서 케네디,도날드 크리스프,캐시 오도넬,알렉스 니콜,알린 맥마흔,월러스 포드,잭 엘램"
50,우리들,2016-06-16,2278000,0,348060960,545,46769,3,9,한국,한국,(주)아토,(주)엣나인필름,전체관람가,드라마,윤가은,"최수인,설혜인,이서연,박혜진,안정우,전석민,주재윤,최승혁"
51,덕혜옹주,2016-08-03,3137000,0,44381680109,543,5596416,2,6,한국,한국,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,드라마",허진호,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규"
52,사랑하는 시바여 돌아오라,,1350000,0,2188000,450,869,1,18,미국,미국,파라마운트 픽쳐스,,,드라마,다니엘 만,
53,비포 선라이즈,1996-03-30,2579570,0,453572161,430,55754,2,4,미국,"미국, 오스트리아,스위스",캐슬 락 엔터테인먼트,(주)드림팩트엔터테인먼트,"고등학생이상관람가,15세이상관람가","멜로/로맨스,드라마",리차드 링클레이터,"에단 호크,줄리 델피"
53,비포 선셋,2004-10-22,2580430,0,856297939,430,125220,2,4,미국,미국,"캐슬 락 엔터테인먼트,디투어 필름프로덕션","THE 픽쳐스,워너브러더스 코리아(주)","15세관람가,15세이상관람가",드라마,리차드 링클레이터,"줄리 델피,에단 호크"
55,어카운턴트,2016-10-13,3418000,0,3418000,428,428,1,2,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,스릴러",개빈 오코너,"벤 애플렉,안나 켄드릭,J.K. 시몬스,존 번탈"
56,마스: 화성으로 가는 길,2016-10-06,2124000,0,2124000,425,425,5,11,미국,미국,,(주)소나무픽쳐스,12세이상관람가,다큐멘터리,장-크리스토프 조프르,재커리 퀸토
57,별을 쫓는 아이,2011-08-25,2720000,0,418454000,406,58594,12,52,일본,일본,,"(주)박수엔터테인먼트,에이원엔터테인먼트",전체관람가,애니메이션,신카이 마코토,
58,바다의 뚜껑,2016-09-29,2900700,0,14490400,403,1860,13,73,일본,일본,,(주)영화사 안다미로,전체관람가,드라마,토요시마 케이스케,"키쿠치 아키코,미네 아즈사"
59,미스터 캣,2016-10-19,2946000,0,2946000,384,384,1,2,프랑스,"프랑스,중국",,(주)리틀빅픽쳐스,전체관람가,코미디,배리 소넨필드,"케빈 스페이시,제니퍼 가너,크리스토퍼 월켄,말리나 와이즈먼"
60,장난감이 살아있다,2016-09-07,2253400,0,1104685600,320,141959,4,27,아르헨티나,"아르헨티나,스페인",,"㈜코리아스크린,와이드 릴리즈(주)",전체관람가,"애니메이션,어드벤처,가족",후안 호세 캄파넬라,"니콜라스 홀트,아리아나 그란데,케이티 홈즈,루퍼트 그린트"
61,바라바,,616000,0,3509000,317,1761,1,4,이탈리아,이탈리아,,,,어드벤처,리차드 플레이셔,앤소니 퀸
62,권총왕,,593000,0,593000,315,315,1,6,미국,미국,,,,서부극(웨스턴),헨리 킹,"그레고리 펙,헬렌 웨스트코트"
63,최악의 하루,2016-08-25,2551000,0,638158190,311,80532,9,55,한국,한국,㈜인디스토리,CGV아트하우스,15세이상관람가,멜로/로맨스,김종관,"한예리,이와세 료,권율,이희준,이승연,강 숙"
64,우주의 크리스마스,2016-10-13,2754000,0,4896000,306,663,1,1,한국,한국,"뿌리깊은 나무들 주식회사,영화사삼십육번지유한회사",(주)인디플러그,15세이상관람가,"판타지,드라마",김경형,"김지수,허이재,윤소미,심은진,조덕희,조덕진,이동건,이수연"
65,사랑의 별장,,575000,0,2025000,285,1010,1,5,미국,미국,,,,멜로/로맨스,조지 스티븐스,"캐리 그랜트,진 아서,로날드 콜맨"
66,걸즈 앤 판처 극장판,2016-08-25,1988000,0,248325100,284,27614,1,3,일본,일본,,(주)머스트씨무비릴리징컴퍼니,12세이상관람가,애니메이션,미즈시마 츠토무,
67,서울의 지붕 밑,,552000,0,2573000,276,1293,1,12,한국,한국,신필름,,,"코미디,드라마",이형표,"김승호,허장강,김희갑,최은희,김진규,황정순"
68,록키 호러 픽쳐 쇼,1998-06-20,2159000,0,16211500,263,2255,1,1,미국,"미국,영국",이십세기폭스필름코퍼레이션,"(주)팝엔터테인먼트,(주)피터팬픽쳐스",18세 미만인 자는 관람할 수 없는 등급,"공포(호러),뮤지컬,코미디",짐 셔먼,"팀 커리,수잔 서랜든"
69,애꾸눈 잭,,512000,0,9276000,256,4648,1,8,미국,미국,,,,기타,,
70,서부의 사나이,,472000,0,2196000,248,1119,1,4,미국,미국,,,,서부극(웨스턴),윌리엄 와일러,"게리 쿠퍼,월터 브레넌"
71,사랑이 이끄는 대로,2016-09-01,1760000,0,87275900,222,11422,2,8,프랑스,프랑스,,그린나래미디어(주),청소년관람불가,코미디,끌로드 를르슈,"장 뒤자르댕,엘자 질버스타인"
72,네온 데몬,2016-10-20,1964000,0,1964000,219,219,1,2,프랑스,"프랑스,미국,덴마크",,주식회사 쇼미미디어앤트레이딩,청소년관람불가,"드라마,스릴러",니콜라스 윈딩 레픈,"엘르 패닝,크리스티나 헨드릭스,키아누 리브스,지나 말론"
73,사랑할 때와 죽을 때,,434000,0,17703000,217,8571,1,4,미국,미국,,,,"드라마,멜로/로맨스,전쟁",더글라스 서크,"존 개빈,리셀로테 풀베르"
74,황금팔을 가진 사나이,,396000,0,396000,198,198,1,2,,,,,,,,
75,토마스와 친구들: 용감한 기관차와 괴물소동,2016-10-13,2145000,0,2145000,195,195,1,1,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,롭 실베스트리,
76,바람과 함께 사라지다,1972-12-23,376000,0,47920000,190,17691,2,3,미국,미국,메트로-골드윈-마이어,,"12세이상관람가,국민학생관람불가","드라마,사극,전쟁",빅터 플레밍,"클라크 게이블,비비안 리,레슬리 하워드"
77,그림자들의 섬,2016-08-25,1014000,0,28672300,185,4167,2,10,한국,한국,부산민주언론시민연합사업단 미디토리,(주)시네마달,15세이상관람가,다큐멘터리,김정근,
77,태풍이 지나가고,2016-07-27,1703000,0,765887472,185,92161,2,8,일본,일본,,(주)티캐스트,12세이상관람가,드라마,고레에다 히로카즈,"아베 히로시,키키 키린,마키 요코,코바야시 사토미"
79,머나먼 서부,,358000,0,1003000,179,511,1,4,미국,미국,,,,"서부극(웨스턴),멜로/로맨스",안소니 만,"제임스 스튜어트,루스 로만"
80,장희빈,,354000,0,11207000,177,5591,1,3,한국,한국,화성영화,,,사극,정창화,"김진규,김지미,주증녀"
81,로베르토 드브뢰,2016-10-01,3934500,0,7398000,171,322,6,11,미국,미국,,(주)인스터피씨엠,전체관람가,공연,,
82,진시황제와 만리장성,,330000,0,330000,165,165,1,2,한국,한국,,,,드라마,권영순,"김진규,김지미,김승호,박노식"
83,한강블루스,2016-09-22,1614000,0,16406100,162,1947,2,4,한국,한국,"(주)큰손엔터테인먼트,주식회사 윗돌",(주)맑은시네마,12세이상관람가,드라마,이무영,"봉만대,기태영,김정석,김희정,한민희"
84,아가씨(확장판),,876400,0,86991800,161,11567,1,6,한국,한국,,,청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형"
85,애심,1973-03-10,316000,0,16241000,158,8088,1,3,미국,미국,콜럼비아 픽쳐스 코포레이션,,12세이상관람가,"드라마,뮤지컬",조지 시드니,"타이론 파워,킴 노박"
86,귀담백경,2016-10-19,1232000,0,1232000,154,154,1,1,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,공포(호러),"나카무라 요시히로,시라이시 코지,아사토 마리,오하타 하지메,이와사와 히로키,나이토 에이스케","다케우치 유코,후지모토 이즈미,후치카미 야스시,타카다 리호"
87,폭력의 법칙: 나쁜 피 두 번째 이야기,2016-10-20,1208000,0,1208000,151,151,1,1,한국,한국,(주)키노크러시,(주)영화사 안다미로,청소년관람불가,드라마,강효진,"김영무,한여울,김영용,이풍운,박지선,서승원,이동진,이성환,이신우,최민영,최영근,한석호"
