순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,베테랑,2015-08-05,12562328705 ,0.416,87607269526 ,1597745 ,11193174 ,876 ,30635 ,한국,한국,(주)외유내강,씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,김성종,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류선영,정재헌,안길강,마동석,김응수"
2,뷰티 인사이드,2015-08-20,5017812611 ,0.166,12175944067 ,633127 ,1557590 ,583 ,15472 ,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"판타지,멜로/로맨스",백,"오상철,한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,유재상,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,이미도,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,신동미,이진성,김시은"
3,암살,2015-07-22,4035639900 ,0.134,95479681626 ,521807 ,12318136 ,511 ,13618 ,한국,한국,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭"
4,치외법권,2015-08-27,2451152705 ,0.081,2495381705 ,317979 ,323629 ,446 ,13248 ,한국,한국,"(주)유니프로,(주)스톰픽쳐스코리아",판씨네마(주),15세이상관람가,액션,신동엽,"임창정,최다니엘,임은경,장광,이경영,문제영,정한비,박영진,임정아,박일우,정형석,조원재,서동수,서진원,이응준,안현준,최병모,방은희,반민정"
5,미쓰 와이프,2015-08-13,1533854911 ,0.051,6776376066 ,201561 ,903619 ,368 ,7387 ,한국,한국,(주)영화사아이비젼,메가박스(주)플러스엠,15세이상관람가,코미디,강효진,"엄정화,송승헌,김상호,라미란,서신애,임보경,강현구,백승호,정지안,조훈휘,최윤철,유영채,홍석현,이승호,이연주,이은정,고수희,안소연,양도연,염동현,황석하,정지훈,조덕제,김병춘,최종률,정유석,이용녀,최일화"
6,아메리칸 울트라,2015-08-27,1247357295 ,0.041,1267141295 ,154871 ,157193 ,341 ,8142 ,미국,미국,,씨제이이앤엠(주),청소년관람불가,"액션,코미디",니마 누리자데,"제시 아이젠버그,크리스틴 스튜어트,코니 브리튼,토퍼 그레이스,월튼 고긴스,존 레귀자모"
7,미션 임파서블: 로그네이션,2015-07-30,918867200 ,0.03,48355492007 ,115020 ,6103081 ,252 ,3782 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,스릴러,어드벤처",크리스토퍼 맥쿼리,"톰 크루즈,제레미 레너,사이몬 페그,알렉 볼드윈,레베카 퍼거슨"
8,미니언즈,2015-07-29,551322500 ,0.018,18725870378 ,75414 ,2588876 ,336 ,2345 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"피에르 꼬팽,카일 발다","산드라 블록,존 햄,마이클 키튼"
9,미라클 벨리에,2015-08-27,476559989 ,0.016,582978989 ,62681 ,76954 ,245 ,3716 ,프랑스,프랑스,,(주)영화사 진진,12세이상관람가,드라마,에릭 라티고,"로앤 에머라,카렝 비야,프랑소아 다미앙,에릭 엘모스니노"
10,판타스틱 4,2015-08-20,331277000 ,0.011,3022819600 ,44182 ,398864 ,243 ,3083 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,판타지,SF",조쉬 트랭크,"마일즈 텔러,케이트 마라,제이미 벨,마이클 B. 조던"
11,인사이드 아웃,2015-07-09,317214300 ,0.01,37851578036 ,41609 ,4947388 ,193 ,1290 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,코미디",피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더"
