순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,조작된 도시,2017-02-09,11393409444 ,0.362,11541976644 ,1417165 ,1435368 ,1019 ,27429 ,한국,한국,(주)티피에스컴퍼니,씨제이이앤엠(주),15세이상관람가,"범죄,액션",박광현,"지창욱,심은경,안재홍,오정세,김상호,김민교,김기천,이하늬"
2,공조,2017-01-18,6620190861 ,0.21,60731025448 ,809958 ,7437849 ,811 ,21711 ,한국,한국,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠(주),15세이상관람가,액션,김성훈,"현빈,유해진,김주혁,장영남,이해영,윤아,이동휘"
3,트리플 엑스 리턴즈,2017-02-08,3085735595 ,0.098,3633651195 ,365245 ,434853 ,590 ,14753 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,스릴러",D.J. 카루소,"빈 디젤,사무엘 L. 잭슨,루비 로즈,니나 도브레브,토니 콜렛,디피카 파드콘,토니 자"
4,더 킹,2017-01-18,1414887900 ,0.045,43415185735 ,175012 ,5306801 ,482 ,7665 ,한국,한국,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",한재림,"조인성,정우성,배성우,김아중,류준열,김의성,김민재,정성모,정은채,김소진,황승언,이주연,정준용"
5,50가지 그림자: 심연,2017-02-09,1274620200 ,0.041,1275721200 ,152345 ,152504 ,435 ,7417 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스",제임스 폴리,"제이미 도넌,다코타 존슨"
6,컨택트,2017-02-02,1119553139 ,0.036,4859506721 ,133809 ,591671 ,422 ,5456 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"SF,드라마,스릴러",드니 빌뇌브,"에이미 아담스,제레미 레너,포레스트 휘테커"
7,재심,2017-02-15,958478400 ,0.03,1014371400 ,126749 ,134255 ,727 ,3606 ,한국,한국,(주)이디오플랜,"오퍼스픽쳐스,CGV아트하우스",15세이상관람가,드라마,김태윤,"정우,강하늘,김해숙,이동휘,한재영,이경영"
8,발레리나,2017-02-09,855892000 ,0.027,902714500 ,114619 ,120445 ,434 ,3537 ,프랑스,"프랑스,캐나다",,판씨네마(주),전체관람가,"애니메이션,어드벤처,가족,뮤지컬","에릭 섬머,에릭 와린","엘르 패닝,데인 드한"
9,모아나,2017-01-12,759528300 ,0.024,17823770007 ,97685 ,2280431 ,401 ,2852 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"론 클레멘츠,존 머스커","드웨인 존슨,아우이 크라발호,알란 터딕,제메인 클레멘트,테무에라 모리슨"
10,레고 배트맨 무비,2017-02-09,734516505 ,0.023,977873105 ,93037 ,122617 ,427 ,3989 ,미국,미국,,워너브러더스 코리아(주),전체관람가,"애니메이션,액션,코미디",크리스 맥케이,"윌 아넷,로자리오 도슨,랄프 파인즈,마이클 세라"
