순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,럭키,2016-10-13,17084389225 ,0.569,38960486273 ,2132739 ,4818346 ,1234 ,38362 ,한국,한국,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식"
2,닥터 스트레인지,2016-10-26,3900531300 ,0.13,3900531300 ,553614 ,553614 ,1503 ,11299 ,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",스콧 데릭슨,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,마이클 스털버그,베네딕트 왕"
3,인페르노,2016-10-19,4091310275 ,0.136,4597873775 ,492823 ,557906 ,754 ,20142 ,미국,"미국,일본,터키,헝가리",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,스릴러",론 하워드,"톰 행크스,펠리시티 존스,벤 포스터,이르판 칸,오마 사이,시드 바벳 크누센,안나 울라루"
4,미스 페레그린과 이상한 아이들의 집,2016-09-28,1130356700 ,0.038,21589254686 ,142048 ,2686518 ,468 ,6573 ,미국,"미국,벨기에,영국",,이십세기폭스코리아(주),12세이상관람가,"미스터리,판타지",팀 버튼,"에바 그린,사무엘 L. 잭슨,아사 버터필드,앨리슨 제니,킴 디킨스,주디 덴치,크리스 오다우드"
5,맨 인 더 다크,2016-10-05,548774100 ,0.018,8425612072 ,63836 ,997082 ,333 ,4021 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,스릴러,페드 알바레즈,"제인 레비,딜런 미네트,스티븐 랭,다니엘 조바토"
6,걷기왕,2016-10-20,483931275 ,0.016,571347875 ,63617 ,74530 ,462 ,7979 ,한국,한국,㈜인디스토리,CGV아트하우스,12세이상관람가,드라마,백승화,"심은경,박주희,김새벽,허정도,윤지원,안승균,김광규,김정영,이재진,이준용,박민준,장현진,방범석,정규환,오은비,조주형,이규진,이동혁,이수아,최봉석,최효주,황수진,김신동"
7,노트북,2004-11-26,460303700 ,0.015,3257538200 ,57235 ,489260 ,148 ,3745 ,미국,미국,뉴라인 시네마,"글뫼 주식회사,씨제이엔터테인먼트","15세관람가,15세이상관람가",멜로/로맨스,닉 카사베츠,"레이첼 맥아덤즈,라이언 고슬링"
8,혼숨,2016-10-26,215007000 ,0.007,216673000 ,34049 ,34287 ,421 ,949 ,한국,한국,(주)무비스퀘어,(주)프레인글로벌,15세이상관람가,공포(호러),이두환,"류덕환,조복래,박형서,조동혁,이규섭,이수빈,조혜원"
9,브리짓 존스의 베이비,2016-09-28,249744000 ,0.008,6601625174 ,30400 ,811419 ,140 ,1564 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,멜로/로맨스",샤론 맥과이어,"르네 젤위거,콜린 퍼스,패트릭 뎀시"
10,자백,2016-10-13,213986500 ,0.007,777628000 ,27201 ,99387 ,87 ,1423 ,한국,한국,한국탐사저널리즘센터,(주)엣나인필름,15세이상관람가,다큐멘터리,최승호,최승호
11,해리포터와 죽음의 성물2,2011-07-13,152107500 ,0.005,34668545500 ,19845 ,4421210 ,25 ,428 ,미국,미국,,워너브러더스 코리아(주),전체관람가,"판타지,미스터리",데이빗 예이츠,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트"
12,미스터 캣,2016-10-19,147762950 ,0.005,173142750 ,18784 ,22052 ,241 ,2023 ,프랑스,"프랑스,중국",,(주)리틀빅픽쳐스,전체관람가,코미디,배리 소넨필드,"케빈 스페이시,제니퍼 가너,크리스토퍼 월켄,말리나 와이즈먼"
13,죽여주는 여자,2016-10-06,101926800 ,0.003,789324900 ,13833 ,106965 ,84 ,897 ,한국,한국,"한국영화아카데미,주식회사 뭉클픽쳐스",CGV아트하우스,청소년관람불가,드라마,이재용,"윤여정,전무송,윤계상,박성진,윤효진"
14,키즈모노가타리 II : 열혈편,2016-10-20,85994000 ,0.003,85994000 ,11095 ,11095 ,69 ,667 ,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,드라마,판타지,액션",신보 아키유키,"카미야 히로시,사카모토 마아야,호리에 유이,사쿠라이 타카히로"
15,해리 포터와 죽음의 성물1,2010-12-15,79597000 ,0.003,20219758000 ,10730 ,2853500 ,25 ,349 ,미국,미국,헤이데이필름,워너브러더스 코리아(주),전체관람가,"미스터리,판타지",데이빗 예이츠,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트"
16,비틀스: 에잇 데이즈 어 위크 ? 투어링 이어즈,2016-10-19,83327800 ,0.003,110335900 ,10648 ,13847 ,150 ,1365 ,영국,"영국,미국",,메가박스(주)플러스엠,12세이상관람가,"드라마,다큐멘터리",론 하워드,"존 레논,폴 매카트니,조지 해리슨,링고 스타"
17,바스티유 데이,2016-10-13,67801600 ,0.002,760140600 ,8857 ,95676 ,197 ,1522 ,미국,"미국,프랑스",,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,제임스 왓킨스,"이드리스 엘바,리처드 매든,샬롯 르 본,호세 가르시아,켈리 라일리"
18,극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-13,57207100 ,0.002,240728400 ,7005 ,28922 ,116 ,490 ,한국,한국,동우에이앤이(주),(주)박수엔터테인먼트,전체관람가,애니메이션,히시다 마사카즈,
19,어카운턴트,2016-10-13,51885600 ,0.002,548236428 ,6652 ,69461 ,97 ,716 ,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,스릴러",개빈 오코너,"벤 애플렉,안나 켄드릭,J.K. 시몬스,존 번탈"
20,설리: 허드슨강의 기적,2016-09-28,51430100 ,0.002,5206798354 ,6644 ,622757 ,58 ,417 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,드라마,클린트 이스트우드,"톰 행크스,아론 에크하트,로라 린니"
21,귀담백경,2016-10-19,51419000 ,0.002,63800000 ,6369 ,7976 ,182 ,1402 ,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,공포(호러),"나카무라 요시히로,시라이시 코지,아사토 마리,오하타 하지메,이와사와 히로키,나이토 에이스케","다케우치 유코,후지모토 이즈미,후치카미 야스시,타카다 리호"
22,미드나잇 인 파리,2012-07-05,45711072 ,0.002,2728287789 ,6183 ,368308 ,56 ,640 ,미국,"미국,스페인",,"(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트",15세이상관람가,"코미디,멜로/로맨스,판타지",우디 알렌,"오웬 윌슨,마리온 꼬띨라르,레이첼 맥아담스,애드리언 브로디"
23,피터와 드래곤,2016-09-28,47244000 ,0.002,852438100 ,6084 ,107331 ,90 ,397 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"어드벤처,가족,판타지",데이빗 로워리,"브라이스 달라스 하워드,오크스 페글리,웨스 벤틀리,칼 어번,로버트 레드포드,크레이그 홀,이시아 휘틀록 주니어"
24,토마스와 친구들: 용감한 기관차와 괴물소동,2016-10-13,37183500 ,0.001,170170700 ,5303 ,23448 ,119 ,416 ,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,롭 실베스트리,
25,유주얼 서스펙트,1996-01-27,41971800 ,0.001,48718300 ,5271 ,6195 ,76 ,824 ,미국,미국,폴리그램 필름드 엔터테인먼트,와이드 릴리즈(주),연소자관람불가,"범죄,스릴러,미스터리",브라이언 싱어,"스티븐 볼드윈,가브리엘 번,채즈 팔민테리,케빈 스페이시,베니치오 델 토로,케빈 폴락,피트 포스틀스웨이트"
26,BIAF2016-(국제경쟁) 학생 A Graduation Film A,,29286000 ,0.001,29286000 ,4881 ,4881 ,3 ,38 ,기타,기타,,,,애니메이션,"알리샤 자시나,안나 시레치,루도비카 오타비아니,마리아 테스타,오윤재,킴벌리 베르크모에스,이토 게이고,팀 패틴슨,강 쩡,제니아 스미르노프,셀레스틴 플레이,시몬 고비,루치아 믈즈략,보니 포사이스,에리 오카자키,휴고 리조,크리스트 아이보비,알렉산더 버거,나디아 안드라세브",
27,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,2016-09-28,28168500 ,0.001,398597500 ,4661 ,66282 ,62 ,289 ,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,다라 오코넬,
28,"무현, 두 도시 이야기",2016-10-26,26115000 ,0.001,26115000 ,4384 ,4384 ,31 ,78 ,한국,한국,"제작위원회 ,엠앤씨에프",(주)모멘텀엔터테인먼트,15세이상관람가,다큐멘터리,전인환,"김원명,노무현"
29,아수라,2016-09-28,28560100 ,0.001,20560364162 ,4121 ,2591519 ,55 ,318 ,한국,한국,(주)사나이픽처스,씨제이이앤엠(주),청소년관람불가,"범죄,액션",김성수,"정우성,황정민,주지훈,곽도원,정만식,김원해,김종수,김해곤,윤지혜,오연아,윤제문,이종성,장근영,박지환,손영진,양영일,유정호,윤성민,이가경,이광기,이상민,채성원,김남조,노남석,박갑진"
30,킹 오브 프리즘,2016-08-11,27615000 ,0.001,702192000 ,3593 ,82558 ,12 ,88 ,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,
31,다가오는 것들,2016-09-29,28724000 ,0.001,171870200 ,3559 ,21744 ,14 ,142 ,프랑스,프랑스,,찬란,15세이상관람가,드라마,미아 한센-로브,"이자벨 위페르,에디뜨 스콥"
32,선생님의 일기,2016-11-02,24919300 ,0.001,32557300 ,3377 ,4375 ,12 ,37 ,태국,태국,,"(주)드림팩트엔터테인먼트,(주)미로스페이스",12세이상관람가,"멜로/로맨스,드라마",니티왓 다라톤,레일라 분야삭
33,별을 쫓는 아이,2011-08-25,15865000 ,0.001,434565000 ,3173 ,61802 ,1 ,9 ,일본,일본,,"(주)박수엔터테인먼트,에이원엔터테인먼트",전체관람가,애니메이션,신카이 마코토,
34,춘몽,2016-10-13,22866700 ,0.001,101863600 ,2992 ,12842 ,46 ,342 ,한국,한국,률필름,"(주)프레인글로벌,(주)스톰픽쳐스코리아",15세이상관람가,드라마,장률,"한예리,양익준,박정범,윤종빈,신민아,유연석,김의성,김태훈,조달환,이재환,임해준,장우진,백종관,백주은,백현진,양영민,정석휘,정재필,조달환,오세현,오재은,윤상일,이관훈,이서,조현정,노슬기"
35,마터스,2016-10-20,17636500 ,0.001,18500500 ,2147 ,2255 ,73 ,521 ,미국,미국,,(주)디스테이션,청소년관람불가,"공포(호러),스릴러","케빈 고츠,마이클 고츠","트로이안 벨리사리오,베일리 노블"
36,파이트 클럽,1999-11-13,14366200 ,0,23421200 ,1979 ,3223 ,64 ,111 ,미국,미국,"아트린슨프로덕션즈,폭스2000픽처스,리젠시 엔터프라이즈,타우러스 필름",(주)팝엔터테인먼트,"18세관람가,청소년관람불가","액션,범죄,드라마,스릴러",데이빗 핀처,"브래드 피트,에드워드 노튼,헬레나 본햄 카터"
37,밀정,2016-09-07,13461300 ,0,61265417831 ,1937 ,7499465 ,29 ,182 ,한국,한국,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",워너브러더스 코리아(주),15세이상관람가,액션,김지운,"송강호,공유,한지민,츠루미 신고,엄태구,신성록,서영주,박민우,이진한,이진한,임서영,임서영,전수빈,정유안,조권수,조윤담,이동진,이상희,이수광,이승진,하민,노준표,김정우"
38,와와의 학교 가는 날,2016-10-27,10087400 ,0,17156300 ,1928 ,3317 ,16 ,99 ,중국,중국,,(주)마노엔터테인먼트,전체관람가,드라마,펑천,"딩지아리,아나무랑,차오시웬"
39,왕자와 무희,,3839000 ,0,7376000 ,1912 ,3689 ,1 ,16 ,미국,"미국,영국",워너 브러더스 픽쳐스,,,"코미디,드라마",로렌스 올리비에,"리차드 와티스,데이빗 혼,제레미 스펜서,시빌 손다이크,로렌스 올리비에,마릴린 몬로"
40,쿠보와 전설의 악기,2016-10-26,11713000 ,0,11713000 ,1830 ,1830 ,75 ,183 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,어드벤처,가족,판타지",트래비스 나이트,"샤를리즈 테론,랄프 파인즈,루니 마라,매튜 매커너히,조지 타케이,캐리-히로유키 타가와,브렌다 바카로"
41,뉴 스텝업: 어반댄스,2016-09-22,8900000 ,0,171059700 ,1780 ,26488 ,4 ,10 ,뉴질랜드,뉴질랜드,,THE 픽쳐스,15세이상관람가,"액션,드라마",타미 데이비스,"티아 마이피,케링튼 페인,스탠 워커"
42,세븐,1995-11-11,12126500 ,0,12878500 ,1752 ,1902 ,63 ,112 ,미국,미국,뉴라인 시네마,(주)드림팩트엔터테인먼트,"연소자관람불가,청소년관람불가","범죄,스릴러",데이빗 핀처,"브래드 피트,모건 프리먼,기네스 팰트로우"
43,카페 소사이어티,2016-09-14,11990928 ,0,1038516666 ,1426 ,125267 ,8 ,73 ,미국,미국,,CGV아트하우스,15세이상관람가,"멜로/로맨스,드라마",우디 앨런,"제시 아이젠버그,크리스틴 스튜어트,스티브 카렐,블레이크 라이블리"
44,네온 데몬,2016-10-20,9039300 ,0,11003300 ,1145 ,1364 ,24 ,191 ,프랑스,"프랑스,미국,덴마크",,주식회사 쇼미미디어앤트레이딩,청소년관람불가,"드라마,스릴러",니콜라스 윈딩 레픈,"엘르 패닝,크리스티나 헨드릭스,키아누 리브스,지나 말론"
45,백설공주 : 사라진 아빠를 찾아서,2016-09-29,6880500 ,0,419022000 ,979 ,54302 ,10 ,53 ,중국,중국,,예지림엔터테인먼트,전체관람가,"애니메이션,가족",벤 차오,"이제인,사문영,박상훈"
46,인어공주,1991-12-21,6877000 ,0,9995000 ,936 ,1253 ,1 ,4 ,미국,미국,월트디즈니,,연소자관람가,"애니메이션,멜로/로맨스,가족,뮤지컬","존 머스커,론 클레멘츠",
47,그물,2016-10-06,6832500 ,0,422996300 ,908 ,56147 ,11 ,72 ,한국,한국,(주)김기덕 필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,김기덕,"류승범,이원근,김영민,최귀화,박준형,정지은,안지혜,이상현,이승현,이은우,김순모,이상진"
48,드림 쏭,2016-09-14,5047500 ,0,1820789700 ,817 ,233045 ,12 ,70 ,미국,미국,,(주)이수C&E,전체관람가,애니메이션,애쉬 브래넌,"J.K. 시몬스,루크 윌슨,에디 이자드,맷 딜런"
49,장난감이 살아있다,2016-09-07,5850000 ,0,1112178600 ,737 ,142928 ,3 ,6 ,아르헨티나,"아르헨티나,스페인",,"㈜코리아스크린,와이드 릴리즈(주)",전체관람가,"애니메이션,어드벤처,가족",후안 호세 캄파넬라,"니콜라스 홀트,아리아나 그란데,케이티 홈즈,루퍼트 그린트"
50,라이온 킹,1994-07-02,4772000 ,0,3174753000 ,701 ,297874 ,1 ,4 ,미국,미국,월트디즈니,브에나비스타인터내셔널코리아/월트디즈니,"연소자관람가,전체관람가","애니메이션,어드벤처,가족,뮤지컬,드라마","로저 알러스,롭 민코프","매튜 브로데릭,모이라 켈리,조나단 테일러 토마스"
