순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
22,인어공주 : 새로운 모험의 시작,2016-11-03,"40,412,700",0.2%,"232,525,900","5,475","30,234",91,343,중국,중국,,예지림엔터테인먼트,전체관람가,애니메이션,아담 추,
23,카페 6,2016-11-16,"36,594,800",0.2%,"38,092,800","5,247","5,461",122,357,대만,대만,,(주)라이크 콘텐츠,12세이상관람가,"멜로/로맨스,코미디",오자운,"동자건,안탁령,임백굉,오양니니"
24,"제자도 - 제자,옥한흠2",2016-11-10,"37,423,000",0.2%,"38,725,000","5,183","5,400",79,777,한국,한국,파이오니아21,파이오니아21,전체관람가,다큐멘터리,김상철,"권오중,옥한흠"
25,혼숨,2016-10-26,"35,431,924",0.2%,"2,254,825,445","4,470","287,568",73,576,한국,한국,(주)무비스퀘어,(주)프레인글로벌,15세이상관람가,공포(호러),이두환,"류덕환,조복래,박형서,조동혁,이규섭,이수빈,조혜원"
26,위스키 탱고 폭스트롯,2016-11-10,"29,975,370",0.1%,"32,437,370","4,001","4,324",108,969,미국,미국,,(주)디스테이션,15세이상관람가,"전쟁,드라마,코미디","글렌 피카라,존 레쿼","티나 페이,마고 로비,마틴 프리먼"
27,쿠보와 전설의 악기,2016-10-26,"23,576,000",0.1%,"205,592,862","3,378","30,017",72,318,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,어드벤처,가족,판타지",트래비스 나이트,"샤를리즈 테론,랄프 파인즈,루니 마라,매튜 매커너히,조지 타케이,캐리-히로유키 타가와,브렌다 바카로"
28,무한대를 본 남자,2016-11-03,"18,383,400",0.1%,"252,590,254","2,496","32,774",32,210,영국,영국,,판씨네마(주),12세이상관람가,드라마,맷 브라운,"데브 파텔,제레미 아이언스,토비 존스,스티븐 프라이,제레미 노담,케빈 맥널리,엔조 실렌티,리차드 존슨"
29,순종,2016-11-17,"15,958,000",0.1%,"32,258,000","2,445","4,633",8,17,한국,한국,(재)CBS,"(재)CBS,(주)영화사 안다미로",전체관람가,다큐멘터리,"김동민,이주훈","최강희,최수종,김은혜,김영화"
30,세 얼간이 감독판,2011-08-18,"18,098,900",0.1%,"60,559,400","2,224","7,382",41,309,인도,인도,,"와이드 릴리즈(주),필라멘트픽쳐스",12세이상관람가,"코미디,드라마",라즈쿠마르 히라니,"아미르 칸,마드하반,셔먼 조쉬,카리나 카푸르"
31,시소,2016-11-10,"13,983,200",0.1%,"34,360,200","1,920","4,292",49,421,한국,한국,(주)에스엠 컬처앤콘텐츠,"(주)대명문화공장,(주)리틀빅픽쳐스",전체관람가,다큐멘터리,고희영,"이동우,임재신,김윤태,김진희"
32,킹 오브 프리즘,2016-08-11,"13,502,000",0.1%,"761,353,000","1,812","90,392",11,76,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,
33,드래곤 네스트: 평화 기사단 VS 블랙 드래곤,2016-11-17,"12,877,000",0.1%,"12,877,000","1,629","1,629",8,12,중국,중국,,THE 픽쳐스,전체관람가,"애니메이션,어드벤처,가족,판타지",송유평,블라이스 오파스
34,워락,,"3,257,000",0.0%,"4,184,000","1,611","2,096",1,12,미국,미국,,,,"멜로/로맨스,서부극(웨스턴)",에드워드 디미트릭,"리차드 위드마크,헨리 폰다,앤소니 퀸"
35,와와의 학교 가는 날,2016-10-27,"7,347,000",0.0%,"59,968,800","1,597","10,854",13,78,중국,중국,,(주)마노엔터테인먼트,전체관람가,드라마,펑천,"딩지아리,아나무랑,차오시웬"
36,뷰티풀 레이디스,2016-11-10,"11,568,000",0.1%,"14,888,000","1,552","1,982",39,361,프랑스,프랑스,,(주)디스테이션,15세이상관람가,"드라마,범죄",오드리 에스트루고,"소피 마르소,수잔 클레망,앨리스 벨라이디,앤 르니"
37,다가오는 것들,2016-09-29,"12,771,500",0.1%,"223,786,334","1,542","27,953",8,71,프랑스,프랑스,,찬란,15세이상관람가,드라마,미아 한센-로브,"이자벨 위페르,에디뜨 스콥"
38,걷기왕,2016-10-20,"8,051,500",0.0%,"687,206,975","1,505","91,532",28,85,한국,한국,㈜인디스토리,CGV아트하우스,12세이상관람가,드라마,백승화,"심은경,박주희,김새벽,허정도,윤지원,안승균,김광규,김정영,이재진,이준용,박민준,장현진,방범석,정규환,오은비,조주형,이규진,이동혁,이수아,최봉석,최효주,황수진,김신동"
39,바후발리 : 더 비기닝,2016-11-10,"9,959,000",0.0%,"24,512,000","1,279","2,982",31,260,인도,인도,,팔레드시네마(주),15세이상관람가,"액션,어드벤처,전쟁",S.S. 라자몰리,"프라바스,타만나 바티아,아누쉬카 쉐티,라나 닥구바티,사티 아라즈,람야 크리쉬나"
40,코리올라누스,2016-11-10,"17,112,000",0.1%,"17,112,000","1,228","1,228",10,69,영국,영국,,메가박스(주),12세이상관람가,공연,조시 루크,"톰 히들스턴,마크 거티스"
41,판도라,2016-12-07,"9,624,000",0.0%,"9,624,000","1,203","1,203",1,3,한국,한국,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성"
42,라우더 댄 밤즈,2016-10-27,"9,621,500",0.0%,"78,678,700","1,155","9,888",13,90,노르웨이,"노르웨이,프랑스,덴마크",,그린나래미디어(주),15세이상관람가,드라마,요아킴 트리에,"제시 아이젠버그,이자벨 위페르,가브리엘 번"
43,사랑하기 때문에,2017-01-04,"8,996,000",0.0%,"22,988,000","1,037","2,786",4,5,한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,멜로/로맨스",주지홍,"차태현,김유정,서현진,박근형,선우용녀,성동일,배성우,임주환,김윤혜,오나라,김사희,장도윤,김강훈"
44,"사랑해, 파리",2007-02-01,"7,680,000",0.0%,"373,681,000","1,029","59,228",22,161,프랑스,프랑스,,"(주)드림팩트엔터테인먼트,㈜미로비젼",15세이상관람가,멜로/로맨스,"조엘 코엔,에단 코엔,이자벨 코이젯트,월터 살레스,톰 튀크베어","나탈리 포트만,일라이저 우드"
45,스퀴즈,2016-11-10,"7,939,000",0.0%,"14,074,000","1,020","1,740",40,312,미국,미국,,"시네마 뉴원,(주)드림팩트엔터테인먼트",15세이상관람가,"코미디,드라마",테리 재스트로,"제레미 섬터,제이슨 도링,크리스토퍼 맥도날드,캐서린 라나사,질리언 머레이,마이클 누리,데이빗 오도넬,팀 웨어"
46,실록 김두한,1974-12-22,"2,038,000",0.0%,"2,938,000","1,019","1,469",1,15,한국,한국,신프로덕션,,15세이상관람가,"액션,드라마",김효천,"이대근,이대엽"
47,부활,2016-03-17,"6,480,000",0.0%,"1,247,191,600",960,"176,122",3,9,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,케빈 레이놀즈,"조셉 파인즈,톰 펠튼"
48,미스 페레그린과 이상한 아이들의 집,2016-09-28,"8,112,000",0.0%,"21,839,694,586",937,"2,717,968",8,48,미국,"미국,벨기에,영국",,이십세기폭스코리아(주),12세이상관람가,"미스터리,판타지",팀 버튼,"에바 그린,사무엘 L. 잭슨,아사 버터필드,앨리슨 제니,킴 디킨스,주디 덴치,크리스 오다우드"
49,두 남자,2016-11-30,"6,802,000",0.0%,"6,802,000",820,820,3,5,한국,한국,(주)엠씨엠씨,씨네그루(주)키다리이엔티,청소년관람불가,"범죄,액션",이성태,"마동석,최민호,김기현,김형주,양희정,이유진"
50,램스,2016-11-03,"6,203,500",0.0%,"22,921,300",810,"3,048",16,84,아이슬란드,"아이슬란드,덴마크,노르웨이,폴란드",,"미디어 컨텐츠 스토어,(주)인디플러그",15세이상관람가,드라마,그리무르 하코나르슨,테오도로 줄리어슨
51,나의 살던 고향은,2016-11-24,"6,168,000",0.0%,"6,168,000",771,771,1,3,한국,한국,후즈닷컴,(주)시네마달,전체관람가,다큐멘터리,류종헌,김용옥
52,연애담,2016-11-17,"5,966,900",0.0%,"11,077,500",717,"1,444",3,10,한국,한국,한국영화아카데미,(주)인디플러그,청소년관람불가,멜로/로맨스,이현주,"이상희,류선영,박근록,임성미,김종수,유우람,이성용,이성용,이지수,장병기,차승호"
53,죽여주는 여자,2016-10-06,"4,733,000",0.0%,"859,265,800",715,"116,654",8,54,한국,한국,"한국영화아카데미,주식회사 뭉클픽쳐스",CGV아트하우스,청소년관람불가,드라마,이재용,"윤여정,전무송,윤계상,박성진,윤효진"
54,줄리에타,2016-11-17,"5,282,000",0.0%,"7,426,000",668,930,3,4,스페인,스페인,,주식회사 쇼미미디어앤트레이딩,15세이상관람가,드라마,페드로 알모도바르,"엠마 수아레즈,로시 드 팔마"
55,미드나잇 인 파리,2012-07-05,"4,864,000",0.0%,"2,771,513,617",622,"373,996",4,42,미국,"미국,스페인",,"(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트",15세이상관람가,"코미디,멜로/로맨스,판타지",우디 알렌,"오웬 윌슨,마리온 꼬띨라르,레이첼 맥아담스,애드리언 브로디"
56,시간의 종말,2016-11-03,"3,842,600",0.0%,"23,291,400",617,"3,388",12,81,한국,한국,인디라인,(주)영화사 진진,전체관람가,다큐멘터리,김대현,
57,아내업고 달리기,2016-11-10,"4,624,500",0.0%,"4,624,500",602,602,10,97,인도,인도,,주식회사 씨엠닉스,15세이상관람가,"코미디,멜로/로맨스",샤랏 카타리야,"아유쉬만 커라나,부미 페드네카르"
58,"나의 위대한 친구, 세잔",2016-12-15,"4,966,700",0.0%,"4,966,700",588,588,4,9,프랑스,프랑스,,그린나래미디어(주),15세이상관람가,드라마,다니엘르 톰슨,"기욤 까네,기욤 갈리엔"
59,건힐의 결투,,"1,130,000",0.0%,"4,027,000",565,"2,028",1,12,미국,미국,,,,"스릴러,서부극(웨스턴)",존 스터지스,"커크 더글라스,앤소니 퀸"
60,두 번째 스물,2016-11-03,"3,650,300",0.0%,"81,245,500",511,"10,605",17,112,한국,한국,민영화사,(주)리틀빅픽쳐스,청소년관람불가,"멜로/로맨스,드라마",박흥식,"김승우,이태란,김민경,김예진,김태환,박성민,차영석"
61,맨발의 백작부인,,"1,018,000",0.0%,"6,873,000",509,"3,339",1,9,미국,미국,,,,"드라마,멜로/로맨스",조셉 L. 맨키위즈,"험프리 보가트,에바 가드너"
62,드래곤 포스 극장판,2016-11-17,"3,796,000",0.0%,"3,796,000",475,475,3,4,미국,"미국,일본",,와이드 릴리즈(주),전체관람가,"애니메이션,액션,어드벤처",토미 왕,세키 토모카즈
63,알렉산더대왕,,"860,000",0.0%,"10,787,000",453,"5,410",1,6,미국,미국,(주)유나이티드아티스트,,,"전쟁,사극","로버트 로즌,다니엘 다리우","리차드 버튼,프레드릭 마치,클레어 블룸"
64,내부자들,2015-11-19,"888,000",0.0%,"56,599,221,057",444,"7,072,507",1,8,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명"
