순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,주토피아,2016-02-17,3815417052 ,0.274,22510909314 ,470659 ,2897499 ,723 ,14757 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라"
2,런던 해즈 폴른,2016-03-10,2190453452 ,0.157,5384879435 ,270680 ,665623 ,526 ,15295 ,미국,"미국,영국",,메가박스(주)플러스엠,15세이상관람가,"액션,범죄,스릴러",바박 나자피,"제라드 버틀러,아론 에크하트,모건 프리먼,안젤라 바셋"
3,귀향,2016-02-24,1762340248 ,0.127,26432359190 ,232834 ,3476468 ,607 ,14848 ,한국,한국,주식회사 제이오엔터테인먼트코리아,(주)와우픽쳐스,15세이상관람가,드라마,조정래,"손숙,강하나,서미지,최리,정인기,오지혜,김시은,이채현,임성철,임혜영,박주현,박지희,박진경,장현익,정광윤,정부경,정승현,안재성,이경훈,이민영,이선희,이수현,이승현,이여원,김완기,김은나"
4,널 기다리며,2016-03-10,1675833532 ,0.12,4915452192 ,203384 ,595871 ,491 ,13930 ,한국,한국,"(주)영화사수작,주식회사 모티브랩,(주)디씨지플러스",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,스릴러,모홍진,"심은경,윤제문,김성오,오태경,정해균,안재홍,김원해,지대한,이호열,장준현,정재숙,정진혁,조제웅,유경훈,이동혁"
5,갓 오브 이집트,2016-03-03,735445200 ,0.053,7584296924 ,91760 ,915170 ,382 ,6732 ,미국,미국,,"(주)시네마서비스,(주)나이너스엔터테인먼트",12세이상관람가,"어드벤처,판타지",알렉스 프로야스,"제라드 버틀러,니콜라이 코스터 왈도,코트니 이튼,브렌튼 스웨이츠,애비 리"
6,오 마이 그랜파,2016-03-17,578277032 ,0.042,595092032 ,72335 ,74592 ,396 ,8432 ,미국,미국,,판씨네마(주),청소년관람불가,코미디,댄 마저,"로버트 드니로,잭 에프런"
7,동주,2016-02-17,470723100 ,0.034,8529357689 ,61952 ,1122916 ,280 ,4257 ,한국,한국,(주) 루스이소니도스,메가박스(주)플러스엠,12세이상관람가,드라마,이준익,"강하늘,박정민,김인우,최홍일,김정석,최희서,신윤주,문성근,최종률,전재형,정운봉,이선주,허욱진"
8,부활,2016-03-17,352460100 ,0.025,358248100 ,49698 ,50635 ,120 ,2205 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,케빈 레이놀즈,"조셉 파인즈,톰 펠튼"
9,데드풀,2016-02-17,358744000 ,0.026,27568816851 ,42556 ,3314003 ,211 ,2962 ,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,SF",팀 밀러,"라이언 레놀즈,모레나 바카린,에드 스크레인,지나 카라노,T.J. 밀러,브리아나 힐데브란드"
10,스푹스:MI5,2016-03-17,305990549 ,0.022,306854549 ,39882 ,39990 ,341 ,5947 ,영국,영국,,(주)영화사 빅,15세이상관람가,"액션,드라마,스릴러",바랫 낼러리,"킷 해링턴,피터 퍼스"
