순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,덕혜옹주,2016-08-03,16788085879 ,0.24,18900625679 ,2116782 ,2398837 ,964 ,25436 ,한국,한국,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,드라마",허진호,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규"
2,인천상륙작전,2016-07-27,14052417211 ,0.201,44183423838 ,1765394 ,5669373 ,831 ,24086 ,한국,한국,(주)태원엔터테인먼트,씨제이이앤엠(주),12세이상관람가,"전쟁,드라마",이재한,"김정철,이정재,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,황석하,이창세,박정원,박현선,션 리차드,이유진,한비,김희진"
3,수어사이드 스쿼드,2016-08-03,10580269330 ,0.151,13768093530 ,1245031 ,1644839 ,823 ,19840 ,미국,미국,,워너브러더스 코리아(주),15세이상관람가,액션,데이비드 에이어,"윌 스미스,자레드 레토,마고 로비,스콧 이스트우드,카라 델러비인,제이 코트니,조엘 킨나만,비올라 데이비스,제이 헤르난데즈,애덤 비치,카렌 후쿠하라,커먼,벤 애플렉"
4,부산행,2016-07-20,8927628949 ,0.127,83457759608 ,1114992 ,10371044 ,636 ,15040 ,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,스릴러",연상호,"공유,김정희,정유미,김율호,마동석,최우식,안소희,김의성,김수안,박민우,박민혁,임종훈,박종관,장문성,박혜진,손지훈,손지훈,연상호,조춘호,지동현,윤미중,이동하,이윤상,최창수,편준의,허성우,황유경"
5,마이펫의 이중생활,2016-08-03,8397170670 ,0.12,9727327770 ,1090518 ,1275932 ,726 ,14247 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,코미디,가족",크리스 리노드,"스티브 쿠건,엘리 켐퍼,레이크 벨,데이너 카비,케빈 하트"
6,제이슨 본,2016-07-27,3671649400 ,0.052,20037178343 ,450032 ,2466123 ,484 ,8050 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",폴 그린그래스,"맷 데이먼,줄리아 스타일즈,토미 리 존스,뱅상 카셀,알리시아 비칸데르"
7,터널,2016-08-10,2939372400 ,0.042,3010413400 ,391931 ,399933 ,820 ,3949 ,한국,한국,"(주)어나더썬데이,(주)비에이엔터테인먼트",(주)쇼박스,12세이상관람가,드라마,김성훈,"하정우,배두나,오달수,김종수,임한빈,정민희,송민석,윤성민,이동진,이상희,최춘범,권승구"
8,명탐정 코난: 순흑의 악몽,2016-08-03,2362982300 ,0.034,2926689800 ,317172 ,398209 ,447 ,5133 ,일본,일본,,씨제이이앤엠(주),12세이상관람가,"애니메이션,미스터리,어드벤처","시즈노 코분,야마모토 야스이치로",
9,국가대표 2,2016-08-10,595472200 ,0.008,682059300 ,79866 ,90356 ,562 ,2621 ,한국,한국,케이엠컬쳐㈜,메가박스(주)플러스엠,12세이상관람가,드라마,김종현,"수애,오달수,오연서,하재숙,김슬기,김예원,진지희,임진영,박진하,전송이,방추성,백상훈,서은정,조규영,안승호,조수지,조희윤,이경선,이민지,이선미,이영화"
10,도리를 찾아서,2016-07-06,583233400 ,0.008,20546568033 ,77072 ,2580499 ,179 ,1390 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,어드벤처,코미디",앤드류 스탠튼,"엘렌 드제너스,알버트 브룩스,다이안 키튼"
11,태풍이 지나가고,2016-07-27,190022800 ,0.003,478483472 ,22763 ,58293 ,50 ,784 ,일본,일본,,(주)티캐스트,12세이상관람가,드라마,고레에다 히로카즈,"아베 히로시,키키 키린,마키 요코,코바야시 사토미"
12,아이스 에이지: 지구 대충돌,2016-07-20,117497400 ,0.002,4069640800 ,17285 ,550685 ,89 ,515 ,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처,코미디",마이크 트메이어,"존 레귀자모,레이 로마노,제니퍼 로페즈,아담 드바인,제시 타일러 퍼거슨,사이몬 페그,멜리사 로치"
13,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-20,106732800 ,0.002,2413601080 ,14007 ,322548 ,49 ,298 ,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,타카하시 시게하루,"토마츠 하루카,유키 아오이,세키 토모카즈,코자쿠라 에츠코"
14,나의 산티아고,2016-07-14,98347800 ,0.001,576396600 ,12723 ,74958 ,39 ,446 ,독일,독일,,(주)영화사 진진,12세이상관람가,코미디,줄리아 폰 하인츠,"데비드 스트리에소브,마르티나 게덱,카타리나 탈바흐"
15,슈퍼 프렌즈,2016-08-10,72912800 ,0.001,127515600 ,9658 ,16151 ,215 ,292 ,한국,한국,㈜디지아트프로덕션,씨네그루(주)키다리이엔티,전체관람가,애니메이션,"이경호,이원재","변현우,김지혜,박조호,서지연,남도형,홍진욱,김승태,오인성,유지현,이세은"
16,나우 유 씨 미 2,2016-07-13,64321500 ,0.001,25102161613 ,7772 ,3098307 ,21 ,159 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"범죄,액션",존 추,"제시 아이젠버그,마크 러팔로,우디 해럴슨,데이브 프랑코,다니엘 래드클리프,리지 캐플란,주걸륜,마이클 케인,모건 프리먼"
17,비거 스플래쉬,2016-08-03,60216300 ,0.001,71164800 ,7630 ,8991 ,40 ,398 ,이탈리아,"이탈리아,프랑스",,찬란,청소년관람불가,멜로/로맨스,루카 구아다그니노,"틸다 스윈튼,랄프 파인즈,마티아스 쇼에나에츠,다코타 존슨"
18,마이 리틀 자이언트,2016-08-10,49045400 ,0.001,49545400 ,6640 ,6689 ,122 ,233 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"어드벤처,가족,판타지",스티븐 스필버그,"마크 라이런스,레베카 홀,빌 헤이더,제메인 클레멘트,매트 프류어,라프 스팰,아담 가들리,헤이그 수더랜드,마이클 아담스웨이트"
19,스타트렉 비욘드,2016-08-17,49878000 ,0.001,56686000 ,4743 ,5594 ,10 ,18 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"액션,SF",저스틴 린,"크리스 파인,사이몬 페그,조 샐다나,재커리 퀸토,칼 어번,안톤 옐친,존 조,이드리스 엘바,소피아 부텔라"
20,빅,2016-07-27,32195800 ,0,1166246620 ,4533 ,159275 ,24 ,140 ,미국,"미국,인도",,(주)이수C&E,전체관람가,"애니메이션,어드벤처,코미디,가족",트레버 월,
21,걸어도 걸어도,2009-06-18,35358600 ,0.001,164913900 ,4245 ,22733 ,15 ,132 ,일본,일본,,(주)영화사 진진,전체관람가,"드라마,가족",고레에다 히로카즈,"나츠카와 유이,요우,하야기 료가,하라다 요시오,아베 히로시"
22,봉이 김선달,2016-07-06,26134200 ,0,16210947642 ,3958 ,2048396 ,23 ,64 ,한국,한국,"(주)엠픽처스,(주)에스엔케이픽처스",씨제이이앤엠(주),12세이상관람가,사극,박대민,"유승호,조재현,고창석,라미란,시우민,연우진,전석호,서예지,주영호,박예슬,박상현,박진성,유일한,이선희"
23,데몰리션,2016-07-13,30696500 ,0,502035321 ,3534 ,61563 ,18 ,143 ,미국,미국,,(주)리틀빅픽쳐스,청소년관람불가,드라마,장 마크 발레,"제이크 질렌할,나오미 왓츠,유다 르위스,크리스 쿠퍼"
24,쇼생크 탈출,1995-02-04,3982000 ,0,72185000 ,1986 ,11188 ,1 ,12 ,미국,미국,"캐슬 락 엔터테인먼트,콜럼비아 픽쳐스 코포레이션",THE 픽쳐스,"고등학생이상관람가,15세이상관람가",드라마,프랭크 다라본트,"팀 로빈스,모건 프리먼"
25,이레셔널 맨,2016-07-21,12743300 ,0,138899500 ,1620 ,17251 ,14 ,77 ,미국,미국,,(주)프레인글로벌,청소년관람불가,"범죄,드라마,미스터리",우디 앨런,"호아킨 피닉스,엠마 스톤,파커 포시,제이미 블랙리"
26,아가씨,2016-06-01,10429500 ,0,35205023991 ,1585 ,4287083 ,9 ,59 ,한국,한국,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",씨제이이앤엠(주),청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재"
27,현기증,,13506100 ,0,22985100 ,1467 ,5165 ,17 ,22 ,미국,미국,,(주)영화사 안다미로,15세이상관람가,"스릴러,범죄",알프레드 히치콕,"킴 노박,제임스 스튜어트,바바라 벨 게디스"
28,지상에서 영원으로,,2878000 ,0,25835000 ,1424 ,11984 ,1 ,10 ,미국,미국,콜럼비아 픽쳐스 코포레이션,,전체관람가,"전쟁,드라마,멜로/로맨스",프레드 진네만,몽고메리 클리프트
29,서울역,2016-08-17,10632000 ,0,15903000 ,1326 ,1809 ,5 ,5 ,한국,한국,"주식회사 다다쇼,(주)화인컷",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,애니메이션,연상호,"류승룡,심은경,이준,연상호,연상호,연상호,연상호,오윤석,이건우,이동하,이상희,이상희,최길수"
30,우리들,2016-06-16,8611000 ,0,307292460 ,1295 ,40650 ,12 ,122 ,한국,한국,(주)아토,(주)엣나인필름,전체관람가,드라마,윤가은,"최수인,설혜인,이서연,박혜진,안정우,전석민,주재윤,최승혁"
31,노마: 뉴 노르딕 퀴진의 비밀,2016-07-28,8421400 ,0,30202182 ,1127 ,3885 ,13 ,89 ,영국,영국,,(주)엣나인필름,전체관람가,다큐멘터리,피에르 드샹,
32,극장판 푸른 강철의 아르페지오 -아르스 노바- 카덴차,2016-08-04,7834500 ,0,7834500 ,1076 ,1076 ,26 ,158 ,일본,일본,,(주)머스트씨무비릴리징컴퍼니,12세이상관람가,애니메이션,키시 세이지,
33,갤럭시 히어로즈: 라쳇 앤 클랭크,2016-08-17,8546000 ,0,11345000 ,1030 ,1355 ,5 ,5 ,미국,미국,,(주)영화사 빅,전체관람가,"애니메이션,액션,어드벤처",케빈 먼로,"폴 지아마티,존 굿맨,벨라 쏜"
34,환상의 빛,2016-07-07,6799800 ,0,141656700 ,861 ,17743 ,9 ,51 ,일본,일본,,주식회사 씨네룩스,15세이상관람가,드라마,고레에다 히로카즈,"마키코 에수미,나이토 타카시,아사노 타다노부"
35,바그다드 카페 : 디렉터스컷,2016-07-14,5227800 ,0,132361709 ,760 ,17971 ,6 ,39 ,독일,"독일,미국",,(주)팝엔터테인먼트,15세이상관람가,"코미디,드라마",퍼시 애들론,"마리안느 세이지브레트,CCH 파운더,잭 팰런스,크리스틴 카우프먼"
36,안네의 일기,,1494000 ,0,2288000 ,747 ,1144 ,1 ,9 ,,,,,,,,
37,아라비아의 로렌스,1998-10-24,1471000 ,0,16094000 ,733 ,6781 ,2 ,4 ,영국,영국,콜럼비아 픽쳐스 코포레이션,,12세 미만인 자는 관람할 수 없는 등급,드라마,데이빗 린,"피터 오툴,알렉 기네스,앤소니 퀸"
38,신스 유 웬트 어웨이,,2116000 ,0,2116000 ,704 ,704 ,1 ,9 ,미국,미국,,,,"드라마,전쟁",존 크롬웰,"클로데트 콜베트,제니퍼 존스"
39,밤은 돌아오지 않는다,,2007000 ,0,2007000 ,669 ,669 ,1 ,10 ,미국,미국,,,,드라마,헨리 킹,"제니퍼 존스,제이슨 로바즈"
40,죽은 시인의 사회,1990-05-19,5304000 ,0,6006000 ,663 ,804 ,1 ,3 ,미국,미국,터치스톤 픽처스,"(주)드림팩트엔터테인먼트,브에나비스타픽쳐스","12세이상관람가,연소자관람가",드라마,피터 위어,"로빈 윌리엄스,로버트 숀 레오나드,에단 호크"
41,모감보,,1310000 ,0,17155000 ,655 ,8479 ,1 ,12 ,미국,미국,메트로-골드윈-마이어,,,"드라마,어드벤처",존 포드,"그레이스 켈리,클라크 게이블,에바 가드너"
42,이창,,4633500 ,0,6562500 ,623 ,1581 ,4 ,10 ,미국,미국,파라마운트 픽쳐스,(주)영화사 안다미로,,"드라마,범죄,미스터리,스릴러",알프레드 히치콕,
43,마일스,2016-08-10,4661800 ,0,11878283 ,617 ,1454 ,36 ,56 ,미국,미국,,(주)영화사 빅,청소년관람불가,드라마,돈 치들,"돈 치들,이완 맥그리거,마이클 스털버그"
44,카사블랑카,1999-04-03,1250000 ,0,30552500 ,615 ,12880 ,1 ,5 ,미국,미국,워너브러더스사㈜,,12세 미만인 자는 관람할 수 없는 등급,"드라마,멜로/로맨스,전쟁",마이클 커티즈,"험프리 보가트,잉그리드 버그만,폴 헌레이드"
45,오베라는 남자,2016-05-25,4919000 ,0,725146888 ,574 ,90911 ,1 ,11 ,스웨덴,스웨덴,,"(주)싸이더스,(주)디스테이션",12세이상관람가,드라마,하네스 홀름,"롤프 라스가드,바하르 파르스,필립 버그,이다 엥볼"
46,피닉스 라이트 사건,2016-08-03,4146000 ,0,5498000 ,563 ,733 ,15 ,93 ,미국,미국,,주식회사 쇼미미디어앤트레이딩,15세이상관람가,"미스터리,스릴러",키스 아렘,"마이클 아담스웨이트,유리 로웬탈"
47,일본패망하루전,2016-08-11,3276000 ,0,3276000 ,525 ,525 ,2 ,3 ,일본,일본,,"(주)시네마엔터,(주)모멘텀엔터테인먼트",12세이상관람가,드라마,하라다 마사토,"야쿠쇼 코지,모토키 마사히로,츠츠미 신이치,마츠자카 토리"
48,본 투 비 블루,2016-06-09,4723200 ,0,753089882 ,510 ,92578 ,4 ,28 ,캐나다,"캐나다,영국,미국",,그린나래미디어(주),청소년관람불가,드라마,로버트 뷔드로,"에단 호크,카르멘 에조고"
49,불의 전차,2016-06-16,3665600 ,0,320970200 ,494 ,49016 ,4 ,23 ,영국,영국,,(주)프레인글로벌,12세이상관람가,드라마,휴 허드슨,"니콜라스 파렐,나이젤 하버스,벤 크로스"
50,다윗과 밧세바,,914000 ,0,4606000 ,471 ,2317 ,1 ,6 ,미국,미국,,,,"드라마,멜로/로맨스",헨리 킹,"그레고리 펙,수잔 헤이워드"
51,벤허,1972-09-07,5030000 ,0,274535932 ,470 ,43207 ,3 ,14 ,미국,미국,메트로-골드윈-마이어,(주)팝엔터테인먼트,"12세이상관람가,연소자관람가,전체관람가","드라마,액션",윌리엄 와일러,"찰톤 헤스톤,잭 호킨스,하야 할라이드,스티븐 보이드"
52,나의 딸,2016-08-04,2944200 ,0,2944200 ,457 ,457 ,7 ,31 ,호주,호주,,THE 픽쳐스,청소년관람불가,드라마,사이몬 스톤,"미란다 오토,제프리 러쉬,안나 토브,샘 닐,폴 슈나이더"
53,유리씨즈,1975-12-27,859000 ,0,19039000 ,443 ,9486 ,1 ,6 ,이탈리아,이탈리아,,,,"사극,액션,어드벤처,판타지",마리오 카메리니,"실바나 망가노,커크 더글라스,안소니 퀸"
54,죽은 자와 산 자,,884000 ,0,884000 ,442 ,442 ,1 ,8 ,한국,한국,,,,드라마,이강천,"신영균,김혜정"
55,싸이코,,4426000 ,0,17560000 ,440 ,3066 ,3 ,9 ,미국,미국,,(주)영화사 안다미로,청소년관람불가,"공포(호러),스릴러,미스터리",알프레드 히치콕,"안소니 퍼킨스,베라 마일즈,존 개빈,마틴 발삼,존 맥킨타이어,사이먼 오클랜드,본 테일러,프랭크 알버트슨,루렌 터틀,패트리샤 히치콕,존 앤더슨,자넷 리"
56,태양은늙지않는다,,843000 ,0,843000 ,419 ,419 ,1 ,12 ,한국,한국,,,,드라마,고영남,"박노식,고상미,오수미,허장강"
57,노조키메,2016-08-10,2964500 ,0,7410500 ,392 ,921 ,41 ,58 ,일본,일본,,브릿지웍스 엔터테인먼트(주),15세이상관람가,공포(호러),미키 코이치로,이타노 토모미
58,500일의 썸머,2010-01-21,3350000 ,0,2262747200 ,377 ,284821 ,4 ,20 ,미국,미국,스네이크 프리뷰,"(주)팝엔터테인먼트,이십세기폭스코리아(주)",15세이상관람가,"드라마,멜로/로맨스",마크 웹,"조셉 고든 레빗,주이 데샤넬,제프리 아렌드,클로이 모레츠"
59,마농 레스코,2016-08-06,8805000 ,0,8805000 ,373 ,373 ,6 ,11 ,미국,미국,,(주)인스터피씨엠,전체관람가,공연,,
60,카이: 거울 호수의 전설,2016-08-17,2196000 ,0,4436000 ,366 ,590 ,2 ,2 ,한국,한국,"주식회사 다다쇼,(주)영화사레드피터",메가박스(주)플러스엠,전체관람가,애니메이션,이성강,"김영은,박고운,강진아,이창규,임무권,이건우,채민지"
61,건힐의 결투,,712000 ,0,2345000 ,356 ,1192 ,1 ,11 ,미국,미국,,,,"스릴러,서부극(웨스턴)",존 스터지스,"커크 더글라스,앤소니 퀸"
62,언더 워터,2016-07-13,2224000 ,0,3111772391 ,342 ,384789 ,5 ,24 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",자움 콜렛 세라,"블레이크 라이블리,오스카 제나다"
63,트루스,2016-08-24,2608000 ,0,3816000 ,326 ,477 ,2 ,2 ,미국,미국,,(주)라이크 콘텐츠,15세이상관람가,드라마,제임스 밴더빌트,"케이트 블란쳇,로버트 레드포드,토퍼 그레이스,엘리자베스 모스,데니스 퀘이드,브루스 그린우드,존 벤자민 히키"
64,베티블루 37.2 디오리지널,2016-07-28,2395000 ,0,9009000 ,321 ,1197 ,3 ,17 ,프랑스,프랑스,,(주)디스테이션,청소년관람불가,멜로/로맨스,장 자크 베넥스,"장-위그 앙글라드,베아트리체 달"
64,비수,,855000 ,0,855000 ,321 ,321 ,1 ,8 ,미국,미국,,,,드라마,헨리 킹,"그레고리 펙,데보라 카"
66,새,,2729000 ,0,4517000 ,319 ,638 ,4 ,9 ,미국,미국,,(주)영화사 안다미로,15세이상관람가,"공포(호러),스릴러",알프레드 히치콕,"제시카 탠디,로드 테일러"
67,"사랑해, 매기",2016-07-27,2189000 ,0,72482000 ,302 ,9703 ,9 ,44 ,멕시코,멕시코,,와이드 릴리즈(주),15세이상관람가,"코미디,드라마",유지니오 델베즈,유지니오 델베즈
68,최악의 하루,2016-08-25,2610000 ,0,3318000 ,290 ,408 ,1 ,1 ,한국,한국,㈜인디스토리,CGV아트하우스,15세이상관람가,멜로/로맨스,김종관,"한예리,이와세 료,권율,이희준,이승연,강 숙"
69,삼등과장,,547000 ,0,1093000 ,283 ,556 ,1 ,6 ,한국,한국,,,,"코미디,멜로/로맨스,드라마",이봉래,"김승호,도금봉,황정순,김희갑"
70,거인,,498000 ,0,5250000 ,249 ,2489 ,1 ,4 ,미국,미국,이십세기폭스필름코퍼레이션,,,"드라마,서부극(웨스턴),어드벤처",라울 월쉬,
71,보이 앤 더 월드,2016-08-04,1870200 ,0,2138400 ,244 ,576 ,3 ,30 ,브라질,브라질,,㈜영화사 백두대간,12세이상관람가,애니메이션,알레 아브레우,
72,공주와 해적,,454000 ,0,2683000 ,227 ,1348 ,1 ,6 ,미국,미국,,,,"어드벤처,코미디,멜로/로맨스",데이빗 버틀러,"밥 호프,버지니아 마요"
73,비밀은 없다,2016-06-23,1696000 ,0,2026654239 ,217 ,250506 ,2 ,5 ,한국,한국,"(주)영화사거미,필름트레인",씨제이이앤엠(주),청소년관람불가,스릴러,이경미,"손예진,김주혁,장재우,장한승,신지훈,이민아,이상희"
74,탐정사무소-평강공주와 바보온달 무삭제판,2016-06-15,1080000 ,0,1728000 ,211 ,292 ,20 ,23 ,한국,한국,(주)매니아22,(주)나우콘텐츠,청소년관람불가,"스릴러,드라마",이동현,"강현중,조영택,주연서"
75,"시발, 놈: 인류의 시작",2016-08-18,1456000 ,0,1456000 ,208 ,208 ,3 ,4 ,한국,한국,(주)엣나인필름,(주)엣나인필름,15세이상관람가,"코미디,드라마",백승기,"손이용,김보리,백승기,이지규,장철민,박은수,영건,윤하리"
76,고스트버스터즈,2016-08-25,2600000 ,0,2600000 ,200 ,200 ,1 ,1 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,코미디,SF",폴 페이그,"멜리사 맥카시,크리스 헴스워스,크리스틴 위그,케이트 맥키넌,레슬리 존스"
76,에브리바디 원츠 썸!!,2016-07-14,1361000 ,0,57785400 ,200 ,7248 ,4 ,16 ,미국,미국,,(주)디스테이션,청소년관람불가,코미디,리차드 링클레이터,"블레이크 제너,조이 도이치,글렌 포웰,라이언 구즈만,테일러 후츨린,포레스트 빅커리"
78,극장판 유희왕 더 다크 사이드 오브 디멘션즈,2016-06-09,1710000 ,0,254924200 ,190 ,31995 ,1 ,1 ,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,쿠와바라 사토시,"엄상현,장성호,강수진"
79,킹 오브 프리즘,2016-08-11,1268000 ,0,1268000 ,181 ,181 ,1 ,2 ,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,
80,나만이 없는 거리,2016-08-17,1080000 ,0,1080000 ,180 ,180 ,1 ,1 ,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"드라마,미스터리,SF,스릴러",히라카와 유이치로,"후지와라 타츠야,아리무라 카스미"
81,색다른 정사,2016-08-04,933000 ,0,933000 ,177 ,177 ,20 ,20 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,"멜로/로맨스,드라마",이재남,
82,마탄의 사수,2016-07-03,4411500 ,0,28420500 ,175 ,1170 ,7 ,13 ,독일,독일,,(주)케빈앤컴퍼니,12세이상관람가,공연,크리스티안 틸레만,
83,콰이강의 다리,1981-04-10,340000 ,0,18937000 ,170 ,9403 ,1 ,3 ,미국,미국,콜럼비아 픽쳐스 코포레이션,,연소자관람가,"드라마,전쟁",데이빗 린,"알렉 기네스,하야카와 세슈,잭 호킨스"
84,알래스카의 혼,,296000 ,0,3754000 ,151 ,1378 ,1 ,3 ,미국,미국,,,,"서부극(웨스턴),코미디",헨리 해서웨이,"스튜어트 그랜저,존 웨인"
84,크리피: 일가족 연쇄 실종 사건,2016-08-18,1057000 ,0,1057000 ,151 ,151 ,1 ,1 ,일본,일본,,(주)영화사 진진,청소년관람불가,"공포(호러),스릴러",구로사와 기요시,"니시지마 히데토시,다케우치 유코,카가와 테루유키,카와구치 하루나,히가시데 마사히로,후지노 료코,토다 마사히로,후지노 료코"
