순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,마스터,2016-12-21,27494413759,0.552,30652582859,3419683,3835983,1501,46886,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,오달수,진경,김정우,장한별"
2,씽,2016-12-21,5535650689,0.111,5801583389,714579,751104,795,13241,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,뮤지컬",가스 제닝스,"매튜 매커너히,리즈 위더스푼,스칼렛 요한슨,태런 에저튼,세스 맥팔레인"
3,판도라,2016-12-07,5105816202,0.102,32319498164,663049,4106836,704,14543,한국,한국,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성"
4,라라랜드,2016-12-07,5145953198,0.103,17912725476,626934,2136290,681,11746,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",다미엔 차젤레,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
5,"당신, 거기 있어줄래요",2016-12-14,2303351800,0.046,8524587448,282508,1067441,647,11002,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",홍지영,"김윤석,변요한,채서진,김상호,안세하,박혜수,김호정,한한나"
6,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,1289215100,0.026,1303417100,169332,171224,480,3592,일본,일본,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,판타지,가족",유야마 쿠니히코,
7,로그 원: 스타워즈 스토리,2016-12-28,1049652200,0.021,1059348200,146827,147433,907,4017,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF",가렛 에드워즈,"펠리시티 존스,디에고 루나,매즈 미켈슨,리즈 아메드,포레스트 휘테커,견자단,알란 터딕,강문"
8,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,364702900,0.007,394718000,47520,51330,282,1701,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,야쿠와 신노스케,"채민지,김정아,최낙윤,이현주,조현정,곽규미,김현욱,김민정"
9,신비한 동물사전,2016-11-16,180855100,0.004,39269076558,22293,4658641,62,481,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,가족,판타지",데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이"
10,아기배달부 스토크,2016-12-07,157563400,0.003,2432708000,21454,321761,136,537,미국,미국,,워너브러더스 코리아(주),전체관람가,애니메이션,"니콜라스 스톨러,더그 스윗랜드","앤디 샘버그,켈시 그래머,제니퍼 애니스턴,티 버렐"
11,에곤 쉴레: 욕망이 그린 그림,2016-12-22,125569500,0.003,139219700,15815,17603,50,520,오스트리아,"오스트리아,룩셈부르크",,(주)티캐스트,청소년관람불가,드라마,디에터 버너,"노아 자베드라,마레지 리크너"
12,"나, 다니엘 블레이크",2016-12-08,106442600,0.002,379319100,13484,48063,43,496,영국,영국,,(주)영화사 진진,12세이상관람가,드라마,켄 로치,데이브 존스
13,형,2016-11-23,97900700,0.002,23107612793,13335,2978662,107,678,한국,한국,굿초이스컷픽쳐스(주),씨제이이앤엠(주),12세이상관람가,"코미디,드라마",권수경,"조정석,도경수,박신혜,권지훈,김승아,김진희,이연수"
14,루돌프와 많이있어,2016-12-28,88684800,0.002,103259800,12428,14051,285,339,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,"유야마 쿠니히코,사카키바라 모토노리","김율,신용우,홍범기,시영준,김영찬,정유정,김가령,이노우에 마오,스즈키 료헤이,미즈키 나나,후루타 아라타"
15,하이큐!! 승자와 패자,2016-12-28,71526000,0.001,71526000,10815,10815,103,201,일본,일본,,(주)팝엔터테인먼트,12세이상관람가,애니메이션,미츠나카 스스무,
16,매드 맥스: 분노의 도로,2015-05-14,79521400,0.002,33382453362,9917,3883171,103,912,미국,"미국,호주",,워너브러더스 코리아(주),15세이상관람가,"액션,어드벤처,스릴러",조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼"
17,업 포 러브,2016-12-21,55757500,0.001,65252500,7028,8363,64,532,프랑스,프랑스,,(주)엣나인필름,15세이상관람가,"멜로/로맨스,코미디",로랑 티라르,"장 뒤자르댕,비르지니 에피라"
18,"그 시절, 우리가 좋아했던 소녀",2012-08-22,50886000,0.001,318171770,6675,43991,62,670,대만,대만,,"(주)드림팩트엔터테인먼트,(주)미로스페이스,씨너스엔터테인먼트(주),㈜미로비젼,(주)박수엔터테인먼트",15세이상관람가,멜로/로맨스,구파도,"가진동,진연희,언승우"
19,해리가 샐리를 만났을 때,1989-11-18,31817200,0.001,35435700,4751,5183,81,213,미국,미국,"캐슬 락 엔터테인먼트,콜럼비아 픽쳐스 코포레이션","씨네그루(주)키다리이엔티,콜럼비아 픽쳐스 코포레이션","연소자관람불가,15세이상관람가","코미디,드라마,멜로/로맨스",롭 라이너,"빌리 크리스탈,맥 라이언"
20,"나의 위대한 친구, 세잔",2016-12-15,32518000,0.001,106540100,4565,14514,25,198,프랑스,프랑스,,그린나래미디어(주),15세이상관람가,드라마,다니엘르 톰슨,"기욤 까네,기욤 갈리엔"
21,오페라의 유령,2004-12-08,36040900,0.001,10060307100,4519,1573722,27,178,미국,미국,워너 브러더스 픽쳐스,"(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,씨제이엔터테인먼트","12세이상관람가,12세관람가","뮤지컬,드라마",조엘 슈마허,"제라드 버틀러,에미 로섬,패트릭 윌슨,미란다 리차드슨"
22,사랑하기 때문에,2017-01-04,34722000,0.001,129664000,4248,15908,11,18,한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,멜로/로맨스",주지홍,"차태현,김유정,서현진,박근형,선우용녀,성동일,배성우,임주환,김윤혜,오나라,김사희,장도윤,김강훈"
23,스노우타임,2016-12-15,21518000,0,209618400,3558,29274,18,95,캐나다,캐나다,,(주)영화사 빅,전체관람가,"애니메이션,가족",장 프랑소아 풀리오,
24,로마 제국의 멸망,,5813000,0,5813000,2904,2904,2,18,미국,미국,,,,드라마,안소니 만,"소피아 로렌,스티븐 보이드,알렉 기네스"
