순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,내부자들,2015-11-19,7554343977 ,0.347,49555974744 ,939405 ,6192125 ,980 ,29238 ,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명"
2,하트 오브 더 씨,2015-12-03,2784966723 ,0.128,6693701923 ,342559 ,798732 ,525 ,11732 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,드라마",론 하워드,"크리스 헴스워스,킬리언 머피,벤 위쇼,샬롯 라일리,브렌단 글리슨,벤자민 워커"
3,히말라야,2015-12-16,1655469600 ,0.076,1703678600 ,223259 ,229949 ,1009 ,5065 ,한국,한국,(주)제이케이필름,씨제이이앤엠(주),12세이상관람가,드라마,이석훈,"황정민,정우,조성하,김인권,라미란,김원해,이해영,전배수,정유미,유선,한명환,김재준,박민우,배상민,이춘우,이혜진,최종률"
4,검은 사제들,2015-11-05,1499727600 ,0.069,42332120692 ,197283 ,5432182 ,421 ,7494 ,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철"
5,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,1358265500 ,0.062,1378035500 ,183663 ,185830 ,544 ,5813 ,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기"
6,레전드,2015-12-10,1397049930 ,0.064,1399481930 ,175026 ,175320 ,449 ,9754 ,프랑스,"프랑스,영국",,(주)이수C&E,청소년관람불가,"액션,범죄,드라마",브라이언 헬겔랜드,"톰 하디,태런 에저튼,에밀리 브라우닝"
7,대호,2015-12-16,984028500 ,0.045,1096339500 ,133922 ,147460 ,892 ,4049 ,한국,한국,(주)사나이픽처스,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,사극,박훈정,"최민식,정만식,김상호,성유빈,오스기 렌,정석원,김홍파,라미란,이은우,현승민,우정국,박인수,김진혁,양준호,양호성,윤성민,이상민,장한별,주창욱,남연우,유재명,박지환"
8,극적인 하룻밤,2015-12-03,658953647 ,0.03,2593002829 ,80434 ,318156 ,336 ,5447 ,한국,한국,"(주)연우무대,(주)인사이드픽쳐스",CGV아트하우스,청소년관람불가,"멜로/로맨스,코미디",하기호,"윤계상,한예리,박효주,조복래,박병은,정수영,조영균,하정완,한정국,김수정,한지은,이지훈,정수연,김재화,박현지,진선규,김의성"
9,열정같은소리하고있네,2015-11-25,470608200 ,0.022,4753744402 ,66387 ,653391 ,290 ,3427 ,한국,한국,반짝반짝영화사(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정기훈,"정재영,박보영,오달수,배성우,류덕환,류현경,진경,윤균상,최홍원,김보람,김정훈,서동원,신정훈,육진영,이미경,이상훈,이영진,이병준,유하복"
10,보루토 - 나루토 더 무비,2015-12-10,375807800 ,0.017,376671800 ,50677 ,50785 ,219 ,2216 ,일본,일본,,와이드 릴리즈(주),12세이상관람가,애니메이션,야마시타 히로유키,"산페이 유코,키쿠치 코코로,타케우치 준코,스기야마 노리아키,키지마 류이치,아베 아츠시,Kensho Ono,하야미 사오리"
