순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,스물,2015-03-25,11126544719,0.468,11283354219,1457114,1475615,926,36601,한국,한국,"(주)영화나무,(주)아이에이치큐",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이병헌,"김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영"
2,위플래쉬,2015-03-12,3222105070,0.136,10472396386,411561,1317884,524,16039,미국,미국,,(주)쇼박스,15세이상관람가,드라마,다미엔 차젤레,"마일즈 텔러,J.K. 시몬스"
3,킹스맨 : 시크릿 에이전트,2015-02-11,2917435300,0.123,47493644995,366611,5779091,474,13676,미국,"미국,영국",,이십세기폭스코리아(주),청소년관람불가,"액션,스릴러",매튜 본,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인"
4,인서전트,2015-03-25,1873518289,0.079,1893102289,246475,248923,480,14601,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"SF,액션",로베르트 슈벤트케,"쉐일린 우들리,테오 제임스,케이트 윈슬렛,나오미 왓츠,매기 큐,안셀 엘고트,마일즈 텔러,대니얼 대 킴"
5,신데렐라,2015-03-19,1567139000,0.066,4709120000,211257,611808,438,9578,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,멜로/로맨스,케네스 브래너,"릴리 제임스,리처드 매든,케이트 블란쳇,헬레나 본햄 카터,홀리데이 그레인저,소피 맥쉐라"
6,분노의 질주: 더 세븐,2015-04-01,1070002700,0.045,1070002700,135946,135946,774,3643,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",제임스 완,"빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀"
7,런 올 나이트,2015-03-19,521626370,0.022,2267970595,67518,286202,306,5125,미국,미국,,워너브러더스 코리아(주),청소년관람불가,"액션,스릴러",자움 콜렛 세라,"리암 니슨,조엘 킨나만,에드 해리스,커먼,제네시스 로드리게스"
8,살인의뢰,2015-03-12,297031300,0.012,6945554237,37787,849142,276,3802,한국,한국,(주)미인픽쳐스,씨네그루(주)다우기술,청소년관람불가,"범죄,스릴러",손용호,"김상경,김성균,박성웅,윤승아,조재윤,김의성,기주봉,홍성덕,오대환,이정훈,이진수,박소희,박일우,박혜미,송영창,태욱,김덕순,이다희,이상인,이용출,임종윤"
9,헬머니,2015-03-05,123633500,0.005,4106440172,16605,520987,109,1356,한국,한국,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,코미디,신한솔,"김수미,정만식,김정태,이태란,홍성덕,박승찬,이형빈,강경탁,임재수,박은영,박지영,박혜진,정진혁,채승훈,선현철,손재영,김달선,유병선,유용욱,윤수진,이강철,이규섭,김홍파,한진원,이성민,이승준,이영은,이영은,이은미,김지훈,김원해,이승천,박준금,정혜선,김영옥,길해연,지대한,조영진,장원영,권병길,박충선"
10,채피,2015-03-12,105731200,0.004,4600242954,14046,571012,134,1217,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",닐 블롬캠프,"휴 잭맨,샬토 코플리,시고니 위버,데브 파텔"
11,뷰티풀 라이,2015-03-26,94975600,0.004,98803600,12636,13101,91,1316,미국,미국,,씨제이이앤엠(주),12세이상관람가,드라마,필리프 팔라도,"리즈 위더스푼,아놀드 오셍,게르 두아니,엠마뉴엘 잘"
12,소셜포비아,2015-03-12,62580000,0.003,1952359263,8041,248188,94,1170,한국,한국,한국영화아카데미,CGV아트하우스,15세이상관람가,"스릴러,드라마",홍석재,"변요한,이주승,하윤경,이강욱,류준열,배유람,임지호,엄기성,하상명,전신환,김종수,남문철"
13,송 원,2015-04-01,44830500,0.002,44830500,7140,7140,65,77,미국,미국,,(주)박수엔터테인먼트,15세이상관람가,"드라마,멜로/로맨스",케이트 베커-플로이랜드,"앤 해서웨이,자니 플린"
14,추억의 마니,2015-03-19,53344000,0.002,261518900,6963,34169,95,401,일본,일본,,(주)이수C&E,전체관람가,애니메이션,요네바야시 히로마사,
15,코멧,2015-03-25,48873511,0.002,55145511,6483,7267,121,1547,미국,미국,,(주)지어소프트,15세이상관람가,"판타지,멜로/로맨스",샘 에스마일,"저스틴 롱,에미 로섬"
16,버드맨,2015-03-05,47252300,0.002,1611778300,6004,199684,27,327,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"코미디,드라마",알레한드로 곤잘레스 이냐리투,"마이클 키튼,에드워드 노튼,엠마 스톤,나오미 왓츠"
17,이미테이션 게임,2015-02-17,41408500,0.002,13556348320,5456,1725531,36,344,영국,영국,,메가박스(주)플러스엠,15세이상관람가,"드라마,스릴러",모튼 틸덤,"베네딕트 컴버배치,키이라 나이틀리,매튜 구드"
18,장수상회,2015-04-09,41959000,0.002,41959000,5132,5132,38,59,한국,한국,"(주)빅픽쳐,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,드라마",강제규,"박해빛나,박근형,윤여정,조진웅,한지민,황우슬혜,문가영,찬열,장문규,이준혁,윤소희,백일섭,박소연,이제욱,강석민,박지혜,정해인,최대영,최승훈,송동규,유원준,유원준,윤상훈,윤여정,이강희,임하룡,홍성일,이보영,이상수,이수지,이언정,김재화,남문철"
19,투캅스 인 파리,2015-03-26,25526000,0.001,25526000,5017,5017,51,99,프랑스,프랑스,,노바엔터테인먼트,청소년관람불가,"액션,코미디,범죄",다비드 샤혼,"오마 사이,로랑 라피트"
20,엘리제궁의 요리사,2015-03-19,35520700,0.001,150452000,4722,19670,46,264,프랑스,프랑스,,판씨네마(주),12세이상관람가,코미디,크리스티앙 뱅상,"캐서린 프로트,아르띄르 뒤퐁,이폴리트 지라르도"
21,그 사람 그 사랑 그 세상,2014-11-20,33156900,0.001,223015400,4590,30239,28,267,한국,한국,KBS,"THE 픽쳐스,(주)팝엔터테인먼트",전체관람가,다큐멘터리,권혁만,"강석우,최강희,이광기"
22,나쁜 녀석들,2015-03-26,32905300,0.001,34041300,4561,4703,59,824,호주,호주,,와이드 릴리즈(주),15세이상관람가,"범죄,액션",줄리어스 에이버리,"이완 맥그리거,브렌튼 스웨이츠,알리시아 비칸데르"
23,리바이어던,2015-03-19,24988500,0.001,61510100,3149,7661,23,192,러시아,러시아,,오드,청소년관람불가,"가족,드라마",안드레이 즈비아진체프,"알렉세이 세레브리야코프,엘레나 리야도바"
24,워킹걸,2015-01-07,14450000,0.001,1188505479,2889,149389,5,9,한국,한국,"(주)홍필름,(주)수필름",메가박스(주)플러스엠,청소년관람불가,"코미디,멜로/로맨스",정범식,"조여정,클라라,김태우,배유람,정범식,정범식,박주희,백경인,조은영,손진우,배성우,유찬호,김세미,라미란,김승주,이민아,황준호,이승원,이시현,박상민,조재윤,김영옥,김보연,오나라"
25,도라에몽 : 스탠 바이 미,2015-02-12,18949500,0.001,3673999429,2590,502497,35,121,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"야마자키 타카시,야기 류이치","미즈타 와사비,오오하라 메구미"
26,오즈의 마법사: 돌아온 도로시,2015-02-12,17965400,0.001,2155938800,2583,295680,25,126,미국,미국,,(주)박수엔터테인먼트,전체관람가,"애니메이션,판타지,뮤지컬,어드벤처,가족","윌 핀,댄 세인트 피에르","레아 미셸,패트릭 스튜어트,휴 댄시,댄 애크로이드"
27,세계일주,2015-03-26,18431400,0.001,26463400,2495,3499,56,488,한국,한국,(주)쿠나,(주)나이너스엔터테인먼트,12세이상관람가,"가족,어드벤처",이항배,"김정태,박하영,구승현,최정우,지대한,나윤성,이종경"
28,드래곤 블레이드,2015-03-12,18681500,0.001,420845800,2488,55292,10,37,중국,중국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처",이인항,"성룡,존 쿠삭,애드리언 브로디,시원"
29,챔피언,,3782000,0,3782000,1881,1881,1,20,미국,미국,,,,드라마,마크 로브슨,"커크 더글라스,아서 케네디"
30,트레이서,2015-03-19,13424000,0.001,192967000,1746,25512,73,190,미국,미국,,"(주)영화사오원,(주)브리즈픽처스",15세이상관람가,액션,다니엘 벤마요,"테일러 로트너,마리 아브게로폴로스"
31,태양을 쏴라,2015-03-19,12211000,0.001,126046400,1725,17444,55,125,한국,한국,필름라인,(유)조이앤시네마,청소년관람불가,멜로/로맨스,김태식,"강지환,윤진서,박정민,안석환,윤성준"
32,국제시장,2014-12-17,10754500,0,1.11E+11,1643,14251063,11,84,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수"
33,깊고 푸른 밤,1985-03-01,2960000,0,5418000,1470,2115,1,10,한국,한국,동수,,연소자관람불가,"드라마,멜로/로맨스",배창호,"장미희,안성기"
34,을화,1979-09-28,2504000,0,5460000,1247,2725,1,10,한국,한국,(주)동아수출공사,,국민학생관람불가,드라마,변장호,"백일섭,김지미,유장현,정애란,이순재"
35,코블러,2015-04-08,8742000,0,8742000,1078,1078,4,9,미국,미국,,씨네그루(주)다우기술,15세이상관람가,"판타지,코미디",토마스 맥카시,"아담 샌들러,더스틴 호프만,스티브 부세미"
36,순수의 시대,2015-03-05,8097900,0,3739949828,1062,469764,20,135,한국,한국,"(주)화인웍스,(주)키메이커",씨제이이앤엠(주),청소년관람불가,"사극,드라마",안상훈,"신하균,장혁,강한나,강하늘,박혜준,정현국,권승구,서지오,권지훈,천준호,최아람,양영조,김경애,오하늬,윤민규,이광기,김민수,이상민,이수민,손병호,박갑진,최무성,기주봉,이재용,문영동,조희봉"
