순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,트랜스포머: 최후의 기사,2017-06-21,14325929228 ,0.563,16585193528 ,1727416 ,2015213 ,1727 ,49807 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"액션,어드벤처,SF",마이클 베이,"마크 월버그,안소니 홉킨스,로라 하드독,조쉬 더하멜"
2,하루,2017-06-15,2767114254 ,0.109,8600911472 ,345243 ,1069298 ,666 ,14013 ,한국,한국,(주)라인필름,CGV아트하우스,15세이상관람가,스릴러,조선호,"김명민,변요한,유재명,조은형,신혜선"
3,미이라,2017-06-06,1918579098 ,0.075,29922992578 ,239119 ,3614137 ,591 ,10557 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,판타지",알렉스 커츠먼,"톰 크루즈,소피아 부텔라,애나벨 월리스,러셀 크로우,하비에르 보텟,제이크 존슨,코트니 B. 반스,딜란 스미스"
4,박열,2017-06-28,1220241500 ,0.048,1342275500 ,205876 ,221151 ,917 ,4223 ,한국,한국,박열문화산업전문유한회사,메가박스(주)플러스엠,12세이상관람가,드라마,이준익,"이제훈,최희서,김인우,권율,민진웅"
5,악녀,2017-06-08,1235745674 ,0.049,9434504844 ,154129 ,1169009 ,470 ,7113 ,한국,한국,(주)앞에있다,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,액션,정병길,"김옥빈,신하균,성준,김서형,조은지,이승주,정해균,박철민,손민지,민예지,김연우,주문수"
6,리얼,2017-06-28,913991600 ,0.036,917801600 ,150412 ,150838 ,970 ,4113 ,한국,한국,코브픽쳐스,씨제이이앤엠(주),청소년관람불가,액션,이사랑,"김수현,성동일,이성민,최진리,조우진,이경영,김홍파,정인겸,최권,한지은"
7,더 서클,2017-06-22,511795500 ,0.02,519819500 ,62702 ,63732 ,169 ,4554 ,미국,미국,,(주)메인타이틀픽쳐스,12세이상관람가,"드라마,SF,스릴러",제임스 폰솔트,"엠마 왓슨,톰 행크스"
8,노무현입니다,2017-05-25,453889600 ,0.018,14261567312 ,59719 ,1814963 ,315 ,3533 ,한국,한국,영화사 풀,"CGV아트하우스,영화사 풀",12세이상관람가,다큐멘터리,이창재,노무현
9,원더 우먼,2017-05-31,296837600 ,0.012,17361242186 ,36770 ,2150979 ,172 ,1540 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",팻티 젠킨스,"갤 가돗,로빈 라이트,크리스 파인,데이빗 듈리스,코니 닐슨,엘레나 아나야"
10,다크 하우스,2017-06-22,278070600 ,0.011,282456600 ,34198 ,34747 ,278 ,2910 ,미국,미국,,"(주)스톰픽쳐스코리아,(주)디스테이션",청소년관람불가,"공포(호러),스릴러",대런 린 보우즈만,"제시카 론디스,조 앤더슨,린 샤예"
11,첫키스만 50번째,2004-04-15,194840800 ,0.008,1409990300 ,24824 ,209251 ,139 ,1732 ,미국,미국,콜럼비아 픽쳐스 필름 프로덕션,"팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",15세관람가,코미디,피터 시걸,"아담 샌들러,드류 베리모어"
12,언더더씨,2017-06-22,181892000 ,0.007,184500000 ,23651 ,23977 ,163 ,1002 ,미국,미국,,(주)팝엔터테인먼트,전체관람가,애니메이션,에반 트라멜,"김연우,황창영,김경희,이현"
13,꼬마참새 리차드: 아프리카 원정대,2017-06-15,156579300 ,0.006,427950400 ,21282 ,57326 ,158 ,711 ,독일,"독일,벨기에,룩셈부르크,노르웨이",,씨네그루(주)키다리이엔티,전체관람가,애니메이션,"토비 젠켈,레자 메마리","김서영,구민선,변영희,사문영,임채헌,황창영,이현"
14,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,130736200 ,0.005,24926841022 ,15956 ,3043990 ,73 ,649 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,코미디","요아킴 뢰닝,에스펜 샌버그","조니 뎁,카야 스코델라리오,올랜도 블룸,하비에르 바르뎀,브렌튼 스웨이츠,제프리 러쉬,데이빗 웬햄,골시프테 파라하니,스티븐 그레이엄,케빈 맥널리,폴 매카트니,마틴 클레바,로드니 아피프"
15,엘르,2017-06-15,90996300 ,0.004,213481900 ,11450 ,26879 ,30 ,463 ,프랑스,"프랑스,독일,벨기에",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,"드라마,스릴러",폴 버호벤,"이자벨 위페르,로랑 라피트,앤 콘시니"
16,꼬마돼지 베이브의 대모험,2017-06-15,67191400 ,0.003,242360500 ,10043 ,34581 ,119 ,487 ,독일,독일,,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처",테레사 스트로젝,
17,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,78719000 ,0.003,290758500 ,9860 ,34388 ,51 ,417 ,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,애니메이션,히시다 마사카즈,
