순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,귀향,2016-02-24,13311357804 ,0.324,14357144204 ,1738518 ,1907746 ,876 ,22198 ,한국,한국,주식회사 제이오엔터테인먼트코리아,(주)와우픽쳐스,15세이상관람가,드라마,조정래,"손숙,강하나,서미지,최리,정인기,오지혜,김시은,이채현,임성철,임혜영,박주현,박지희,박진경,장현익,정광윤,정부경,정승현,안재성,이경훈,이민영,이선희,이수현,이승현,이여원,김완기,김은나"
2,주토피아,2016-02-17,6985417600 ,0.17,11771230000 ,927099 ,1574413 ,735 ,12913 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라"
3,데드풀,2016-02-17,6949412367 ,0.169,24310259788 ,820270 ,2928909 ,655 ,19430 ,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,SF",팀 밀러,"라이언 레놀즈,모레나 바카린,에드 스크레인,지나 카라노,T.J. 밀러,브리아나 힐데브란드"
4,동주,2016-02-17,3162453194 ,0.077,5997061557 ,407867 ,794952 ,543 ,10930 ,한국,한국,(주) 루스이소니도스,메가박스(주)플러스엠,12세이상관람가,드라마,이준익,"강하늘,박정민,김인우,최홍일,김정석,최희서,신윤주,문성근,최종률,전재형,정운봉,이선주,허욱진"
5,검사외전,2016-02-03,2801944000 ,0.068,76419965764 ,355801 ,9595701 ,485 ,8879 ,한국,한국,"(주)영화사 월광,(주)사나이픽처스",(주)쇼박스,15세이상관람가,"범죄,코미디",이일형,"황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승민,이승우,이승준,이승훈,이승훈,최현준"
6,좋아해줘,2016-02-17,1530035900 ,0.037,6290753237 ,191314 ,813712 ,391 ,6031 ,한국,한국,"리양필름주식회사,(주)제이케이필름",씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,코미디",박현진,"이미연,최지우,김주혁,유아인,강하늘,이솜,하석진,지윤호,한재영,선주아,이춘우,이한승,이현서,장원진,전호성,송창현,이서연,이성진,이승연"
7,남과 여,2016-02-25,1395577433 ,0.034,1457341433 ,171836 ,179476 ,449 ,8267 ,한국,한국,(주)영화사봄,(주)쇼박스,청소년관람불가,멜로/로맨스,이윤기,"전도연,공유,이미소,정선경,윤세아,김혜옥,박민지,전준호,오정완,조희,윤신혜,이보영,이상희"
8,순정,2016-02-24,1086027533 ,0.026,1639705133 ,146692 ,227381 ,442 ,7829 ,한국,한국,(주)주피터필름,(주)리틀빅픽쳐스,12세이상관람가,드라마,이은희,"도경수,김소현,연준석,이다윗,주다영,박용우,박해준,김지호,이범수,이대연,황석정,박정민,김권,오유진,박충선,조우람,최민석"
9,스포트라이트,2016-02-24,1091786587 ,0.027,1253224687 ,136056 ,162007 ,320 ,5438 ,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"드라마,스릴러",토마스 맥카시,"마이클 키튼,마크 러팔로,레이첼 맥아담스"
10,제 5침공,2016-02-25,991013500 ,0.024,992056500 ,129435 ,129584 ,312 ,4308 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",J 블레이크슨,"클로이 모레츠,닉 로빈슨,알렉스 로"
11,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,2016-02-25,298091000 ,0.007,300245000 ,50300 ,50659 ,155 ,1521 ,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,다라 오코넬,"하성용,정재헌,엄상현,윤승희,김정은"
12,쿵푸팬더3,2016-01-28,335055800 ,0.008,31312804456 ,45301 ,3981233 ,164 ,1210 ,미국,미국,드림웍스 애니메이션,씨제이이앤엠(주),전체관람가,"애니메이션,액션,어드벤처","여인영,알레산드로 칼로니","잭 블랙,안젤리나 졸리,더스틴 호프만,성룡,세스 로건,루시 리우,데이빗 크로스,J.K. 시몬스"
13,대니쉬 걸,2016-02-17,235232500 ,0.006,842713484 ,28960 ,106122 ,72 ,900 ,미국,"미국,영국",,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,드라마,톰 후퍼,"에디 레드메인,알리시아 비칸데르,엠버 허드,벤 위쇼"
14,레터스 투 갓,2016-02-25,121531600 ,0.003,159635600 ,17784 ,23485 ,119 ,1237 ,미국,미국,,(주)모멘텀엔터테인먼트,전체관람가,"가족,드라마",데이빗 닉슨,"태너 맥과이어,제프리 존슨"
15,캐롤,2016-02-04,121927900 ,0.003,2515507816 ,14219 ,303508 ,55 ,568 ,미국,"미국,영국",,CGV아트하우스,청소년관람불가,드라마,토드 헤인즈,"케이트 블란쳇,루니 마라,카일 챈들러,제이크 레이시,사라 폴슨"
