순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,원더 우먼,2017-05-31,11491713198 ,0.276,12838026398 ,1377454 ,1587714 ,1034 ,28376 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",팻티 젠킨스,"갤 가돗,로빈 라이트,크리스 파인,데이빗 듈리스,코니 닐슨,엘레나 아나야"
2,미이라,2017-06-06,9043379200 ,0.217,9043379200 ,1088249 ,1088249 ,1257 ,13537 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,판타지",알렉스 커츠먼,"톰 크루즈,소피아 부텔라,애나벨 월리스,러셀 크로우,하비에르 보텟,제이크 존슨,코트니 B. 반스,딜란 스미스"
3,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,6902571302 ,0.166,22222895422 ,847262 ,2712459 ,776 ,19864 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,코미디","요아킴 뢰닝,에스펜 샌버그","조니 뎁,카야 스코델라리오,올랜도 블룸,하비에르 바르뎀,브렌튼 스웨이츠,제프리 러쉬,데이빗 웬햄,골시프테 파라하니,스티븐 그레이엄,케빈 맥널리,폴 매카트니,마틴 클레바,로드니 아피프"
4,대립군,2017-05-31,4766206002 ,0.114,5661550002 ,599799 ,746783 ,786 ,19242 ,한국,한국,"리얼라이즈픽쳐스(주),이십세기폭스 인터내셔널 프로덕션,(주)베르디미디어,주식회사 블러썸픽쳐스",이십세기폭스코리아(주),15세이상관람가,"드라마,사극",정윤철,"이정재,여진구,김무열,이솜,박원상,배수빈,김명곤,박해준"
5,노무현입니다,2017-05-25,4620852100 ,0.111,11073095812 ,581728 ,1405527 ,627 ,15355 ,한국,한국,영화사 풀,"CGV아트하우스,영화사 풀",12세이상관람가,다큐멘터리,이창재,노무현
6,겟 아웃,2017-05-17,1973308800 ,0.047,16967589975 ,241333 ,2079931 ,475 ,7738 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),미스터리,스릴러,드라마",조던 필레,"다니엘 칼루야,앨리슨 윌리암스,브래들리 휘트포드,캐서린 키너"
7,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,622126100 ,0.015,626284100 ,82933 ,83395 ,198 ,1735 ,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,야마구치 켄타로,"김현지,한신,김보영,이호산,김영은"
8,보스 베이비,2017-05-03,470314300 ,0.011,18661564304 ,63021 ,2414062 ,253 ,1347 ,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,코미디,가족",톰 맥그라스,"알렉 볼드윈,리사 쿠드로,스티브 부세미,토비 맥과이어,지미 키멜"
9,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,296179500 ,0.007,298837500 ,45456 ,45836 ,167 ,1340 ,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,어드벤처",다라 오코넬,"하성용,정재헌,엄상현,윤승희,김정은"
10,너와 100번째 사랑,2017-05-25,239162000 ,0.006,554761800 ,30214 ,70574 ,114 ,1182 ,일본,일본,,(주)디스테이션,12세이상관람가,"드라마,멜로/로맨스",츠키카와 쇼,"사카구치 켄타로,미와,류세이 료"
