순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,에이리언: 커버넌트,2017-05-09,6009074914,0.236,8957143164,726796,1089170,836,23158,미국,"미국,호주,뉴질랜드",,이십세기폭스코리아(주),15세이상관람가,"SF,스릴러",리들리 스콧,"마이클 패스벤더,캐서린 워터스턴,제임스 프랭코,누미 라파스,가이 피어스,빌리 크루덥,카르멘 에조고,대니 맥브라이드,주시 스몰렛"
2,보안관,2017-05-03,5102404969,0.2,18987034909,634625,2351249,758,21816,한국,한국,"(주)영화사 월광,(주)사나이픽처스",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,코미디",김형주,"이성민,조진웅,김성균,김종수,조우진,임현성,배정남"
3,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,3975220331,0.156,21663958886,460538,2516537,734,16968,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼"
4,보스 베이비,2017-05-03,3586893069,0.141,15466496104,455547,2001403,723,12214,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,코미디,가족",톰 맥그라스,"알렉 볼드윈,리사 쿠드로,스티브 부세미,토비 맥과이어,지미 키멜"
5,석조저택 살인사건,2017-05-09,1752192686,0.069,2670149186,217506,332580,539,11807,한국,한국,주식회사 영화사다,씨네그루(주)키다리이엔티,15세이상관람가,스릴러,"정식,김휘","고수,김주혁,문성근,박성웅,임화영"
6,목소리의 형태,2017-05-09,1012400214,0.04,1771384614,128085,224992,466,6367,일본,일본,,(주)디스테이션,전체관람가,"애니메이션,멜로/로맨스",야마다 나오코,"이리노 미유,하야미 사오리,유키 아오이,오노 켄쇼,카네코 유키,이시카와 유이,토요나가 토시유키"
7,불한당: 나쁜 놈들의 세상,2017-05-17,930733300,0.037,942473300,119985,121534,800,4000,한국,한국,"씨제이이앤엠(주),폴룩스픽쳐스(주)",씨제이이앤엠(주),청소년관람불가,"범죄,액션,드라마",변성현,"설경구,임시완,김희원,전혜진,이경영,김성오,허준호"
8,겟 아웃,2017-05-17,705721100,0.028,705721100,92398,92398,531,2642,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),미스터리,스릴러,드라마",조던 필레,"다니엘 칼루야,앨리슨 윌리암스,브래들리 휘트포드,캐서린 키너"
9,킹 아서: 제왕의 검,2017-05-17,706043100,0.028,739758100,84668,88504,554,4002,영국,"영국,호주,미국",,워너브러더스 코리아(주),12세이상관람가,"판타지,액션,어드벤처",가이 리치,"찰리 허냄,주드 로,에릭 바나,에이단 길렌,디몬 하운수,아스트리드 베흐제-프리스베,애나벨 월리스,케이티 맥그라스"
10,임금님의 사건수첩,2017-04-26,430398400,0.017,12606632823,57378,1626857,429,4305,한국,한국,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,"코미디,어드벤처,액션",문현성,"이선균,안재홍,김희원,주진모,장영남,경수진,정해인,조영진"
11,분노의 질주: 더 익스트림,2017-04-12,217829000,0.009,29968728348,26691,3651541,181,1591,미국,"미국,일본,프랑스,캐나다",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,미셸 로드리게즈,엘자 패터키,에바 멘데스,헬렌 미렌,조다나 브루스터,루카스 블랙,타이레스 깁슨,루다크리스"
12,스머프: 비밀의 숲,2017-04-28,112465300,0.004,3085781600,15343,421932,201,763,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,가족",캘리 애스버리,"데미 로바토,레인 윌슨,조 맨가니엘로,잭 맥브레이어,맨디 파틴킨"
13,"서서평, 천천히 평온하게",2017-04-26,88667300,0.003,673026700,11892,90200,79,631,한국,한국,재단법인 온누리선교재단(CGNTV),커넥트픽쳐스(주),전체관람가,다큐멘터리,"홍주연,홍현정","하정우,윤안나,안은새"
14,8 마일,2003-02-21,83480200,0.003,139401000,9828,16910,69,797,미국,미국,,"유니버설픽쳐스인터내셔널 코리아(유),유아이피-씨아이씨영화및비디오배급(유)","18세관람가,15세이상관람가",드라마,커티스 핸슨,"에미넴,킴 베이싱어,브리트니 머피,안소니 마키"
15,극장판 쿠로코의 농구 라스트 게임,2017-04-27,71042500,0.003,328790000,9563,44132,55,446,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,애니메이션,타다 슌스케,오노 켄쇼
16,특별시민,2017-04-26,57823200,0.002,10479975445,8027,1359721,137,867,한국,한국,(주)팔레트픽처스,(주)쇼박스,15세이상관람가,드라마,박인제,"최민식,곽도원,심은경,문소리,라미란,류혜영,이기홍,진선규,권용덕,이주연"
