순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,신비한 동물사전,2016-11-16,18241358165,0.647,20246361565,2134005,2379264,1431,44326,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,가족,판타지",데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이"
2,가려진 시간,2016-11-16,2672593867,0.095,3358100467,344601,434830,872,20275,한국,한국,(주)바른손이앤에이,(주)쇼박스,12세이상관람가,"드라마,판타지",엄태화,"강동원,신은수,이효제,김희원,권해효,김단율,정우진,엄태구,박종환,김동현,김예지,이영상,조슬예,고민우"
3,닥터 스트레인지,2016-10-26,2398188224,0.085,45996700996,302900,5259664,540,10615,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",스콧 데릭슨,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,마이클 스털버그,베네딕트 왕"
4,스플릿,2016-11-09,1295613309,0.046,5776150539,163053,716204,472,8047,한국,한국,오퍼스픽쳐스,오퍼스픽쳐스,15세이상관람가,드라마,최국희,"유지태,이정현,이다윗,정성화,김지은,김태훈,신민수,윤수현,이정주,이지수,조선묵,조수정,최승"
5,럭키,2016-10-13,660245100,0.023,56298958156,85251,6955866,382,4743,한국,한국,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식"
6,형,2016-11-23,624781500,0.022,737527500,81317,96397,744,2183,한국,한국,굿초이스컷픽쳐스(주),씨제이이앤엠(주),12세이상관람가,"코미디,드라마",권수경,"조정석,도경수,박신혜,권지훈,김승아,김진희,이연수"
7,위자: 저주의 시작,2016-11-09,512303000,0.018,2580116306,67756,324371,305,3651,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,공포(호러),마이크 플래너건,"엘리자베스 리저,애너리즈 바쏘,헨리 토마스"
8,하이큐!! 끝과 시작,2016-11-16,264336500,0.009,372902500,36649,51638,130,1635,일본,일본,,(주)팝엔터테인먼트,12세이상관람가,애니메이션,미츠나카 스스무,"히노 사토시,이리노 미유"
9,감바의 대모험,2016-11-10,234233000,0.008,714285000,31292,94528,259,1157,일본,일본,,(주)영화사 빅,전체관람가,"애니메이션,어드벤처","카와무라 토모히로,코모리 요시히로",
10,"무현, 두 도시 이야기",2016-10-26,203186800,0.007,1275461300,25735,162463,98,1478,한국,한국,"제작위원회 ,엠앤씨에프",(주)모멘텀엔터테인먼트,15세이상관람가,다큐멘터리,전인환,"김원명,노무현"
11,카페 6,2016-11-16,135174200,0.005,173267000,19890,25351,126,1902,대만,대만,,(주)라이크 콘텐츠,12세이상관람가,"멜로/로맨스,코미디",오자운,"동자건,안탁령,임백굉,오양니니"
12,순종,2016-11-17,126892700,0.004,159150700,17480,22113,104,954,한국,한국,(재)CBS,"(재)CBS,(주)영화사 안다미로",전체관람가,다큐멘터리,"김동민,이주훈","최강희,최수종,김은혜,김영화"
13,세상에서 고양이가 사라진다면,2016-11-09,65778900,0.002,487261200,8481,68422,100,811,일본,일본,,(주)크리픽쳐스,12세이상관람가,드라마,나가이 아키라,"사토 타케루,미야자키 아오이,오쿠다 에이지,하라다 미에코"
14,연애담,2016-11-17,67928100,0.002,79005600,8101,9545,38,420,한국,한국,한국영화아카데미,(주)인디플러그,청소년관람불가,멜로/로맨스,이현주,"이상희,류선영,박근록,임성미,김종수,유우람,이성용,이성용,이지수,장병기,차승호"
15,노트북,2004-11-26,58968000,0.002,4225821200,7232,604856,50,508,미국,미국,뉴라인 시네마,"글뫼 주식회사,씨제이엔터테인먼트","15세관람가,15세이상관람가",멜로/로맨스,닉 카사베츠,"레이첼 맥아덤즈,라이언 고슬링"
16,드래곤 네스트: 평화 기사단 VS 블랙 드래곤,2016-11-17,34848500,0.001,47725500,4501,6130,102,438,중국,중국,,THE 픽쳐스,전체관람가,"애니메이션,어드벤처,가족,판타지",송유평,블라이스 오파스
