순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,판도라,2016-12-07,14071439710 ,0.444,15364185910 ,1774500 ,1947524 ,1166 ,34954 ,한국,한국,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성"
2,라라랜드,2016-12-07,6169477040 ,0.195,6720561940 ,726749 ,794179 ,727 ,20632 ,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",다미엔 차젤레,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
3,형,2016-11-23,3193612800 ,0.101,21592838993 ,409085 ,2781521 ,603 ,14323 ,한국,한국,굿초이스컷픽쳐스(주),씨제이이앤엠(주),12세이상관람가,"코미디,드라마",권수경,"조정석,도경수,박신혜,권지훈,김승아,김진희,이연수"
4,미씽: 사라진 여자,2016-11-30,1699509175 ,0.054,8474728046 ,215596 ,1100045 ,545 ,10926 ,한국,한국,다이스필름(주),메가박스(주)플러스엠,15세이상관람가,미스터리,이언희,"서하늬,엄지원,공효진,강태수,김광호,김석태,김용철,김해일,서인덕,안재만"
5,신비한 동물사전,2016-11-16,1721765015 ,0.054,38157205458 ,215547 ,4520586 ,482 ,6850 ,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,가족,판타지",데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이"
6,아기배달부 스토크,2016-12-07,1363386500 ,0.043,1440497700 ,178935 ,189309 ,538 ,5080 ,미국,미국,,워너브러더스 코리아(주),전체관람가,애니메이션,"니콜라스 스톨러,더그 스윗랜드","앤디 샘버그,켈시 그래머,제니퍼 애니스턴,티 버렐"
7,원피스 필름 골드,2016-12-08,1262804300 ,0.04,1266293300 ,159354 ,159749 ,445 ,4489 ,일본,일본,,씨제이이앤엠(주),12세이상관람가,"애니메이션,어드벤처,판타지,액션",미야모토 히로아키,"타나카 마유미,나카이 카즈야,오카무라 아케미,야마구치 캇페이,히라타 히로아키,오오타니 이쿠에,야마구치 유리코,야오 카즈키"
8,"당신, 거기 있어줄래요",2016-12-14,744872000 ,0.023,822816000 ,100576 ,110323 ,756 ,3587 ,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",홍지영,"김윤석,변요한,채서진,김상호,안세하,박혜수,김호정,한한나"
9,잭 리처: 네버 고 백,2016-11-30,506015900 ,0.016,4591241758 ,64847 ,605137 ,370 ,3896 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,범죄,드라마",에드워드 즈윅,"톰 크루즈,코비 스멀더스,로버트 네퍼,알디스 호지,제이슨 더글러스,다니카 야로쉬,홀트 맥칼라니"
10,"나, 다니엘 블레이크",2016-12-08,136913000 ,0.004,151046200 ,17425 ,19202 ,63 ,959 ,영국,영국,,(주)영화사 진진,12세이상관람가,드라마,켄 로치,데이브 존스
11,목숨 건 연애,2016-12-14,77098500 ,0.002,79054500 ,10442 ,10768 ,378 ,1113 ,한국,한국,(주)비에이엔터테인먼트,오퍼스픽쳐스,15세이상관람가,"멜로/로맨스,코미디",송민규,"하지원,천정명,진백림,윤소희,오정세,송민정,정다원,정다원,이동욱,이병희,이상미,지동주,최주형,홍주만,권지훈,김용학,김유이"
12,호비와 동화나라 대모험,2016-12-08,68471500 ,0.002,73926500 ,9762 ,10443 ,81 ,611 ,일본,일본,,(주)머스트씨무비릴리징컴퍼니,전체관람가,애니메이션,히라바야시 이사무,
13,순종,2016-11-17,34811400 ,0.001,335082900 ,4940 ,47191 ,25 ,126 ,한국,한국,(재)CBS,"(재)CBS,(주)영화사 안다미로",전체관람가,다큐멘터리,"김동민,이주훈","최강희,최수종,김은혜,김영화"
14,언더월드: 블러드 워,2016-11-30,32349700 ,0.001,567567100 ,3962 ,72071 ,62 ,409 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,판타지,공포(호러)",안나 포에스터,"케이트 베킨세일,테오 제임스,찰스 댄스,앨리시아 벨라-베일리"
15,"무현, 두 도시 이야기",2016-10-26,28732400 ,0.001,1494126100 ,3689 ,190355 ,30 ,250 ,한국,한국,"제작위원회 ,엠앤씨에프",(주)모멘텀엔터테인먼트,15세이상관람가,다큐멘터리,전인환,"김원명,노무현"
16,미스 사이공 : 25주년 특별 공연,2016-11-24,68066100 ,0.002,780483200 ,3542 ,40375 ,17 ,119 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,공연,브렛 설리반,"알리스태어 브래머,에바 노블자다,홍광호,존 존 브라이언스"
17,테일 오브 테일즈,2016-11-24,24401300 ,0.001,226771200 ,3094 ,28913 ,35 ,252 ,이탈리아,"이탈리아,프랑스",,오드,청소년관람불가,판타지,마테오 가로네,"셀마 헤이엑,뱅상 카셀,스테이시 마틴,토비 존스,존 C. 라일리"
18,마스터,2016-12-21,19433000 ,0.001,19433000 ,2498 ,2498 ,6 ,11 ,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,오달수,진경,김정우,장한별"
19,캡틴 판타스틱,2016-11-30,19756000 ,0.001,104178500 ,2405 ,13727 ,31 ,219 ,미국,미국,,주식회사 더쿱,15세이상관람가,드라마,매트 로스,"비고 모텐슨,조지 맥케이,애너리즈 바쏘"
20,씽,2016-12-21,19176000 ,0.001,26748000 ,2397 ,3659 ,9 ,10 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,뮤지컬",가스 제닝스,"매튜 매커너히,리즈 위더스푼,스칼렛 요한슨,태런 에저튼,세스 맥팔레인"
21,닥터 스트레인지,2016-10-26,19825000 ,0.001,47468081996 ,2384 ,5444609 ,11 ,94 ,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",스콧 데릭슨,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,마이클 스털버그,베네딕트 왕"
22,커튼콜,2016-12-08,18142600 ,0.001,37894600 ,2376 ,5135 ,80 ,570 ,한국,한국,(주)모멘텀엔터테인먼트,(주)모멘텀엔터테인먼트,15세이상관람가,코미디,류훈,"장현성,박철민,전무송,유지수,이이경,채서진,장혁진,서호철,고보결,신문성,김명성,박선주,방한솔,최승호"
23,하이큐!! 끝과 시작,2016-11-16,14954500 ,0,540040000 ,2009 ,75055 ,34 ,230 ,일본,일본,,(주)팝엔터테인먼트,12세이상관람가,애니메이션,미츠나카 스스무,"히노 사토시,이리노 미유"
24,킹 오브 프리즘,2016-08-11,13812000 ,0,823326000 ,1930 ,98950 ,10 ,49 ,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,
25,뚜르: 내 생애 최고의 49일,2017-02-01,15416000 ,0,19051500 ,1927 ,2465 ,6 ,8 ,한국,한국,"미디어길,(주)영화사 북극곰",(주)리틀빅픽쳐스,12세이상관람가,다큐멘터리,"임정하,전일우,박형준,김양래",이윤혁
26,두 남자,2016-11-30,14415200 ,0,458085121 ,1918 ,60114 ,24 ,138 ,한국,한국,(주)엠씨엠씨,씨네그루(주)키다리이엔티,청소년관람불가,"범죄,액션",이성태,"마동석,최민호,김기현,김형주,양희정,이유진"
27,양철북 감독판,,3621000 ,0,3741000 ,1808 ,1832 ,2 ,18 ,독일,"독일,프랑스,폴란드",,,,"드라마,전쟁",폴커 슐렌도르프,"마리오 아도프,데이빗 베넨트"
28,리틀메딕: 몸속탐험대,2016-11-24,13432900 ,0,512870700 ,1799 ,66161 ,24 ,81 ,독일,독일,,(주)팝엔터테인먼트,전체관람가,"애니메이션,가족",피터 클라릿지,
29,핸즈 오브 스톤,2016-12-08,12840000 ,0,13848000 ,1727 ,1853 ,69 ,470 ,미국,"미국,기타",,(주)이수C&E,15세이상관람가,"드라마,액션",조나단 자쿠보위즈,"에드가 라미레즈,로버트 드니로,어셔,아나 디 아르마스,저니 스몰렛,엘렌 바킨,존 터투로,렉 E. 캐시"
30,햄릿,2016-11-24,16894000 ,0.001,114395000 ,1544 ,8657 ,5 ,35 ,영국,영국,,메가박스(주),15세이상관람가,공연,린지 터너,"베네딕트 컴버배치,짐 노튼"
31,연애담,2016-11-17,12158000 ,0,170764800 ,1526 ,20854 ,24 ,170 ,한국,한국,한국영화아카데미,(주)인디플러그,청소년관람불가,멜로/로맨스,이현주,"이상희,류선영,박근록,임성미,김종수,유우람,이성용,이성용,이지수,장병기,차승호"
32,슈팅걸스,,11964000 ,0,15564000 ,1512 ,2169 ,7 ,8 ,한국,한국,"새바엔터테인먼트,(주)아이언 스튜디오",,12세이상관람가,드라마,배효민,"정웅인,김보경,정우림,정지혜"
33,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,11064000 ,0,11064000 ,1444 ,1444 ,8 ,12 ,일본,일본,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,판타지,가족",유야마 쿠니히코,
34,오페라의 유령,2004-12-08,12869500 ,0,9876459000 ,1426 ,1550697 ,5 ,12 ,미국,미국,워너 브러더스 픽쳐스,"(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,씨제이엔터테인먼트","12세이상관람가,12세관람가","뮤지컬,드라마",조엘 슈마허,"제라드 버틀러,에미 로섬,패트릭 윌슨,미란다 리차드슨"
35,나의 살던 고향은,2016-11-24,11133500 ,0,69271600 ,1394 ,8989 ,15 ,91 ,한국,한국,후즈닷컴,(주)시네마달,전체관람가,다큐멘터리,류종헌,김용옥
36,스노우타임,2016-12-15,10356000 ,0,13068000 ,1350 ,1712 ,6 ,14 ,캐나다,캐나다,,(주)영화사 빅,전체관람가,"애니메이션,가족",장 프랑소아 풀리오,
37,걷기왕,2016-10-20,9664000 ,0,708191075 ,1272 ,95086 ,3 ,7 ,한국,한국,㈜인디스토리,CGV아트하우스,12세이상관람가,드라마,백승화,"심은경,박주희,김새벽,허정도,윤지원,안승균,김광규,김정영,이재진,이준용,박민준,장현진,방범석,정규환,오은비,조주형,이규진,이동혁,이수아,최봉석,최효주,황수진,김신동"
38,슈퍼소닉,2016-11-24,10483500 ,0,115860600 ,1239 ,13846 ,15 ,100 ,영국,영국,,주식회사 씨네룩스,15세이상관람가,다큐멘터리,매트 화이트크로스,"노엘 갤러거,리암 갤러거"
39,자백,2016-10-13,9314000 ,0,1120253200 ,1205 ,142611 ,8 ,49 ,한국,한국,한국탐사저널리즘센터,(주)엣나인필름,15세이상관람가,다큐멘터리,최승호,최승호
40,우리 손자 베스트,2016-12-08,6495000 ,0,9420000 ,1202 ,1666 ,11 ,54 ,한국,한국,(주)인디플러그,(주)인디플러그,청소년관람불가,코미디,김수현,"구교환,동방우,김상현,김민화,김진환,남현욱,박선우,박시환,서승현,신창호,오중석,유송호,이봄,정해성,조윤경,최영묵"
41,신밧드 더 무비,2016-12-01,5598000 ,0,58888200 ,1150 ,8495 ,11 ,36 ,일본,일본,,와이드 릴리즈(주),전체관람가,애니메이션,미야시타 신페이,
42,잉글리쉬 페이션트,1997-03-15,8774000 ,0,48134500 ,1147 ,6826 ,14 ,86 ,미국,미국,미라맥스 필름즈,(주)영화사오원,"연소자관람불가,청소년관람불가","멜로/로맨스,드라마,전쟁",안소니 밍겔라,"랄프 파인즈,줄리엣 비노쉬,윌렘 데포"
43,가려진 시간,2016-11-16,6642000 ,0,3935443400 ,1107 ,509030 ,27 ,33 ,한국,한국,(주)바른손이앤에이,(주)쇼박스,12세이상관람가,"드라마,판타지",엄태화,"강동원,신은수,이효제,김희원,권해효,김단율,정우진,엄태구,박종환,김동현,김예지,이영상,조슬예,고민우"
44,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,9423000 ,0,9423000 ,1047 ,1047 ,5 ,5 ,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,야쿠와 신노스케,"채민지,김정아,최낙윤,이현주,조현정,곽규미,김현욱,김민정"
45,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,8364000 ,0,8364000 ,1046 ,1046 ,5 ,6 ,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,이영준,"양정화,엄상현,이소영"
46,감바의 대모험,2016-11-10,4590000 ,0,872790700 ,957 ,116998 ,7 ,37 ,일본,일본,,(주)영화사 빅,전체관람가,"애니메이션,어드벤처","카와무라 토모히로,코모리 요시히로",
47,"나의 위대한 친구, 세잔",2016-12-15,6396000 ,0,18292800 ,863 ,2325 ,1 ,3 ,프랑스,프랑스,,그린나래미디어(주),15세이상관람가,드라마,다니엘르 톰슨,"기욤 까네,기욤 갈리엔"
48,시소,2016-11-10,5423000 ,0,53388700 ,807 ,7001 ,5 ,29 ,한국,한국,(주)에스엠 컬처앤콘텐츠,"(주)대명문화공장,(주)리틀빅픽쳐스",전체관람가,다큐멘터리,고희영,"이동우,임재신,김윤태,김진희"
49,무영탑,,1604000 ,0,1604000 ,802 ,802 ,1 ,10 ,한국,한국,,,,드라마,김수용,"신영균,김지미,윤연경"
50,북 오브 러브,2016-11-30,5902000 ,0,57901000 ,743 ,7728 ,22 ,117 ,중국,중국,,"롯데쇼핑㈜롯데엔터테인먼트,(주)퍼스트런",15세이상관람가,멜로/로맨스,설효로,"탕웨이,오수파"
51,다가오는 것들,2016-09-29,5762000 ,0,254527834 ,727 ,31674 ,3 ,40 ,프랑스,프랑스,,찬란,15세이상관람가,드라마,미아 한센-로브,"이자벨 위페르,에디뜨 스콥"
52,작은 형,2016-11-30,3749000 ,0,10728500 ,708 ,1697 ,9 ,47 ,한국,한국,"파인스토리,(주)인베스트하우스",파인스토리,15세이상관람가,드라마,심광진,"전석호,진용욱,민지아,김구민,김민지,김준희,김지혜,이지은,이창원,한결"
53,스플릿,2016-11-09,4968000 ,0,6102138539 ,681 ,758094 ,4 ,11 ,한국,한국,오퍼스픽쳐스,오퍼스픽쳐스,15세이상관람가,드라마,최국희,"유지태,이정현,이다윗,정성화,김지은,김태훈,신민수,윤수현,이정주,이지수,조선묵,조수정,최승"
54,다음 침공은 어디?,2016-09-08,4621000 ,0,144932700 ,622 ,18625 ,2 ,24 ,미국,미국,,판씨네마(주),15세이상관람가,다큐멘터리,마이클 무어,
55,줄리에타,2016-11-17,5021500 ,0,67677500 ,607 ,8504 ,8 ,45 ,스페인,스페인,,주식회사 쇼미미디어앤트레이딩,15세이상관람가,드라마,페드로 알모도바르,"엠마 수아레즈,로시 드 팔마"
56,럭키,2016-10-13,4922000 ,0,56443265256 ,602 ,6974991 ,1 ,3 ,한국,한국,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식"
57,도성풍운 3,2016-11-30,4633000 ,0,64114500 ,556 ,11790 ,5 ,35 ,홍콩,홍콩,,(주)드림팩트엔터테인먼트,15세이상관람가,"코미디,드라마",왕정,"주윤발,유덕화"
58,와룡선생 상경기,,1088000 ,0,6606000 ,544 ,2033 ,1 ,12 ,한국,한국,신필름,,,코미디,김용덕,"김희갑,허장강,윤인자,엄앵란"
59,홀리데이 인,,1591000 ,0,1591000 ,529 ,529 ,1 ,15 ,,,,,,,,
60,교수목,,1044000 ,0,2296000 ,522 ,1148 ,1 ,12 ,미국,미국,워너 브러더스 픽쳐스,,,"드라마,멜로/로맨스,서부극(웨스턴)","칼 말든,델머 데이비스","게리 쿠퍼,마리아 쉘,칼 말든"
61,비치온더비치,2016-12-08,3827500 ,0,6436900 ,488 ,870 ,16 ,116 ,한국,한국,비치사,(주)로카,청소년관람불가,멜로/로맨스,정가영,"정가영,김최용준,이하윤"
62,건힐의 결투,,838000 ,0,4865000 ,463 ,2491 ,1 ,7 ,미국,미국,,,,"스릴러,서부극(웨스턴)",존 스터지스,"커크 더글라스,앤소니 퀸"
63,아프리칸 닥터,2016-11-03,1935000 ,0,13070500 ,436 ,2057 ,4 ,13 ,프랑스,프랑스,,M&M 인터내셔널,12세이상관람가,"코미디,드라마",줄리앙 람발디,"마크 진가,아이사 마이가,조나단 랑베르,루퍼스"
64,내 심장이 건너 뛴 박동,2016-12-15,3387000 ,0,6299000 ,431 ,853 ,1 ,3 ,프랑스,프랑스,,주식회사 씨네룩스,15세이상관람가,드라마,자크 오디아르,"로맹 뒤리스,오레 아티카,닐스 아르스트럽"
65,어바웃 레이,2016-11-24,3058100 ,0,72535302 ,410 ,9848 ,7 ,49 ,미국,미국,,오퍼스픽쳐스,15세이상관람가,"코미디,드라마",게비 델랄,"엘르 패닝,나오미 왓츠,수잔 서랜든"
