순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,닥터 스트레인지,2016-10-26,20516660089 ,0.617,24417191389 ,2289152 ,2842766 ,1500 ,57919 ,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",스콧 데릭슨,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,마이클 스털버그,베네딕트 왕"
2,럭키,2016-10-13,8490396583 ,0.255,47450882856 ,1050146 ,5868492 ,881 ,27939 ,한국,한국,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식"
3,혼숨,2016-10-26,1472194800 ,0.044,1688867800 ,183148 ,217435 ,498 ,7991 ,한국,한국,(주)무비스퀘어,(주)프레인글로벌,15세이상관람가,공포(호러),이두환,"류덕환,조복래,박형서,조동혁,이규섭,이수빈,조혜원"
4,인페르노,2016-10-19,753724028 ,0.023,5351597803 ,94018 ,651924 ,417 ,5897 ,미국,"미국,일본,터키,헝가리",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,스릴러",론 하워드,"톰 행크스,펠리시티 존스,벤 포스터,이르판 칸,오마 사이,시드 바벳 크누센,안나 울라루"
5,노트북,2004-11-26,366761000 ,0.011,3624299200 ,44195 ,533455 ,135 ,2634 ,미국,미국,뉴라인 시네마,"글뫼 주식회사,씨제이엔터테인먼트","15세관람가,15세이상관람가",멜로/로맨스,닉 카사베츠,"레이첼 맥아덤즈,라이언 고슬링"
6,"무현, 두 도시 이야기",2016-10-26,197932700 ,0.006,224047700 ,25482 ,29866 ,66 ,936 ,한국,한국,"제작위원회 ,엠앤씨에프",(주)모멘텀엔터테인먼트,15세이상관람가,다큐멘터리,전인환,"김원명,노무현"
7,미스 페레그린과 이상한 아이들의 집,2016-09-28,184881700 ,0.006,21774136386 ,23467 ,2709985 ,180 ,1661 ,미국,"미국,벨기에,영국",,이십세기폭스코리아(주),12세이상관람가,"미스터리,판타지",팀 버튼,"에바 그린,사무엘 L. 잭슨,아사 버터필드,앨리슨 제니,킴 디킨스,주디 덴치,크리스 오다우드"
8,쿠보와 전설의 악기,2016-10-26,112107883 ,0.003,123820883 ,16373 ,18203 ,100 ,1313 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,어드벤처,가족,판타지",트래비스 나이트,"샤를리즈 테론,랄프 파인즈,루니 마라,매튜 매커너히,조지 타케이,캐리-히로유키 타가와,브렌다 바카로"
9,자백,2016-10-13,110105100 ,0.003,887733100 ,14152 ,113539 ,64 ,740 ,한국,한국,한국탐사저널리즘센터,(주)엣나인필름,15세이상관람가,다큐멘터리,최승호,최승호
10,걷기왕,2016-10-20,82964000 ,0.002,654311875 ,11846 ,86376 ,117 ,1125 ,한국,한국,㈜인디스토리,CGV아트하우스,12세이상관람가,드라마,백승화,"심은경,박주희,김새벽,허정도,윤지원,안승균,김광규,김정영,이재진,이준용,박민준,장현진,방범석,정규환,오은비,조주형,이규진,이동혁,이수아,최봉석,최효주,황수진,김신동"
11,선생님의 일기,2016-11-02,64475900 ,0.002,97033200 ,9426 ,13801 ,146 ,787 ,태국,태국,,"(주)드림팩트엔터테인먼트,(주)미로스페이스",12세이상관람가,"멜로/로맨스,드라마",니티왓 다라톤,레일라 분야삭
12,파이트 클럽,1999-11-13,70012300 ,0.002,93433500 ,8680 ,11903 ,70 ,708 ,미국,미국,"아트린슨프로덕션즈,폭스2000픽처스,리젠시 엔터프라이즈,타우러스 필름",(주)팝엔터테인먼트,"18세관람가,청소년관람불가","액션,범죄,드라마,스릴러",데이빗 핀처,"브래드 피트,에드워드 노튼,헬레나 본햄 카터"
13,세븐,1995-11-11,58000800 ,0.002,70879300 ,7433 ,9335 ,62 ,650 ,미국,미국,뉴라인 시네마,(주)드림팩트엔터테인먼트,"연소자관람불가,청소년관람불가","범죄,스릴러",데이빗 핀처,"브래드 피트,모건 프리먼,기네스 팰트로우"
14,스플릿,2016-11-09,55679000 ,0.002,57671000 ,7018 ,7350 ,35 ,46 ,한국,한국,오퍼스픽쳐스,오퍼스픽쳐스,15세이상관람가,드라마,최국희,"유지태,이정현,이다윗,정성화,김지은,김태훈,신민수,윤수현,이정주,이지수,조선묵,조수정,최승"
15,죽여주는 여자,2016-10-06,50266400 ,0.002,839591300 ,6981 ,113946 ,68 ,420 ,한국,한국,"한국영화아카데미,주식회사 뭉클픽쳐스",CGV아트하우스,청소년관람불가,드라마,이재용,"윤여정,전무송,윤계상,박성진,윤효진"
16,브리짓 존스의 베이비,2016-09-28,49990700 ,0.002,6651615874 ,6294 ,817713 ,39 ,364 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,멜로/로맨스",샤론 맥과이어,"르네 젤위거,콜린 퍼스,패트릭 뎀시"
17,맨 인 더 다크,2016-10-05,49797600 ,0.001,8475409672 ,5762 ,1002844 ,54 ,474 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,스릴러,페드 알바레즈,"제인 레비,딜런 미네트,스티븐 랭,다니엘 조바토"
18,라우더 댄 밤즈,2016-10-27,42460100 ,0.001,50667100 ,5411 ,6502 ,55 ,542 ,노르웨이,"노르웨이,프랑스,덴마크",,그린나래미디어(주),15세이상관람가,드라마,요아킴 트리에,"제시 아이젠버그,이자벨 위페르,가브리엘 번"
19,와와의 학교 가는 날,2016-10-27,25588700 ,0.001,42745000 ,3999 ,7316 ,48 ,332 ,중국,중국,,(주)마노엔터테인먼트,전체관람가,드라마,펑천,"딩지아리,아나무랑,차오시웬"
20,가려진 시간,2016-11-16,30478000 ,0.001,30478000 ,3921 ,3921 ,9 ,13 ,한국,한국,(주)바른손이앤에이,(주)쇼박스,12세이상관람가,"드라마,판타지",엄태화,"강동원,신은수,이효제,김희원,권해효,김단율,정우진,엄태구,박종환,김동현,김예지,이영상,조슬예,고민우"
21,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,2016-09-28,18441500 ,0.001,417039000 ,3081 ,69363 ,39 ,170 ,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,다라 오코넬,
22,키즈모노가타리 II : 열혈편,2016-10-20,23711000 ,0.001,109705000 ,3070 ,14165 ,43 ,346 ,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,드라마,판타지,액션",신보 아키유키,"카미야 히로시,사카모토 마아야,호리에 유이,사쿠라이 타카히로"
23,미드나잇 인 파리,2012-07-05,22155828 ,0.001,2750443617 ,2954 ,371262 ,26 ,234 ,미국,"미국,스페인",,"(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트",15세이상관람가,"코미디,멜로/로맨스,판타지",우디 알렌,"오웬 윌슨,마리온 꼬띨라르,레이첼 맥아담스,애드리언 브로디"
24,킹 오브 프리즘,2016-08-11,22166000 ,0.001,724358000 ,2927 ,85485 ,11 ,84 ,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,
25,극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-13,22226000 ,0.001,262954400 ,2838 ,31760 ,65 ,196 ,한국,한국,동우에이앤이(주),(주)박수엔터테인먼트,전체관람가,애니메이션,히시다 마사카즈,
26,다가오는 것들,2016-09-29,21871534 ,0.001,193741734 ,2624 ,24368 ,12 ,104 ,프랑스,프랑스,,찬란,15세이상관람가,드라마,미아 한센-로브,"이자벨 위페르,에디뜨 스콥"
27,토마스와 친구들: 용감한 기관차와 괴물소동,2016-10-13,14249700 ,0,184420400 ,2275 ,25723 ,30 ,116 ,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,롭 실베스트리,
28,비틀스: 에잇 데이즈 어 위크 ? 투어링 이어즈,2016-10-19,16276725 ,0,126612625 ,2046 ,15893 ,17 ,136 ,영국,"영국,미국",,메가박스(주)플러스엠,12세이상관람가,"드라마,다큐멘터리",론 하워드,"존 레논,폴 매카트니,조지 해리슨,링고 스타"
29,검은 초상,,3308000 ,0,3797000 ,1654 ,1817 ,1 ,20 ,미국,미국,,,,"드라마,미스터리,스릴러",마이클 고든,"앤소니 퀸,라나 터너"
30,위풍당당 질리 홉킨스,2016-10-26,9735000 ,0,12468500 ,1451 ,1937 ,35 ,270 ,미국,미국,,주식회사 쇼미미디어앤트레이딩,전체관람가,"코미디,가족,드라마",스티븐 헤렉,"소피 넬리스,캐시 베이츠,글렌 클로즈,옥타비아 스펜서,줄리아 스타일즈,빌 콥스"
31,감바의 대모험,2016-11-10,10812000 ,0,11820000 ,1420 ,1546 ,6 ,7 ,일본,일본,,(주)영화사 빅,전체관람가,"애니메이션,어드벤처","카와무라 토모히로,코모리 요시히로",
32,아수라,2016-09-28,7712500 ,0,20568076662 ,1315 ,2592834 ,24 ,54 ,한국,한국,(주)사나이픽처스,씨제이이앤엠(주),청소년관람불가,"범죄,액션",김성수,"정우성,황정민,주지훈,곽도원,정만식,김원해,김종수,김해곤,윤지혜,오연아,윤제문,이종성,장근영,박지환,손영진,양영일,유정호,윤성민,이가경,이광기,이상민,채성원,김남조,노남석,박갑진"
33,피터와 드래곤,2016-09-28,9802500 ,0,862240600 ,1285 ,108616 ,15 ,37 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"어드벤처,가족,판타지",데이빗 로워리,"브라이스 달라스 하워드,오크스 페글리,웨스 벤틀리,칼 어번,로버트 레드포드,크레이그 홀,이시아 휘틀록 주니어"
34,설리: 허드슨강의 기적,2016-09-28,8977000 ,0,5215775354 ,1282 ,624039 ,4 ,28 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,드라마,클린트 이스트우드,"톰 행크스,아론 에크하트,로라 린니"
35,로스트 인 더스트,2016-11-03,10132000 ,0,12404000 ,1140 ,1424 ,17 ,18 ,미국,미국,,메가박스(주)플러스엠,15세이상관람가,"범죄,드라마",데이빗 맥킨지,"크리스 파인,벤 포스터,제프 브리지스"
36,춘몽,2016-10-13,9508100 ,0,111371700 ,1136 ,13978 ,17 ,97 ,한국,한국,률필름,"(주)프레인글로벌,(주)스톰픽쳐스코리아",15세이상관람가,드라마,장률,"한예리,양익준,박정범,윤종빈,신민아,유연석,김의성,김태훈,조달환,이재환,임해준,장우진,백종관,백주은,백현진,양영민,정석휘,정재필,조달환,오세현,오재은,윤상일,이관훈,이서,조현정,노슬기"
37,세상에서 고양이가 사라진다면,2016-11-09,8784000 ,0,13776000 ,1098 ,1722 ,4 ,5 ,일본,일본,,(주)크리픽쳐스,12세이상관람가,드라마,나가이 아키라,"사토 타케루,미야자키 아오이,오쿠다 에이지,하라다 미에코"
38,별을 쫓는 아이,2011-08-25,5115000 ,0,439680000 ,1023 ,62825 ,1 ,3 ,일본,일본,,"(주)박수엔터테인먼트,에이원엔터테인먼트",전체관람가,애니메이션,신카이 마코토,
39,플라워 쇼,2016-10-27,6740900 ,0,8468900 ,966 ,1221 ,15 ,121 ,아일랜드,아일랜드,,(주)디스테이션,12세이상관람가,드라마,비비안 드 쿠시,엠마 그린웰
40,"색, 계",2007-11-08,7264000 ,0,12562970700 ,908 ,1912677 ,2 ,4 ,미국,미국,,"(주)제이앤씨미디어그룹,씨제이엔터테인먼트",청소년관람불가,"드라마,멜로/로맨스",이안,"탕웨이,양조위"
