순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,매드 맥스: 분노의 도로,2015-05-14,10406720409,0.296,20014769626,1195638,2287154,730,21228,미국,"미국,호주",,워너브러더스 코리아(주),15세이상관람가,"액션,어드벤처,스릴러",조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼"
2,스파이,2015-05-21,8082128677,0.23,8198437677,1025806,1039004,665,20932,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,코미디",폴 페이그,"주드 로,제이슨 스타뎀,멜리사 맥카시"
3,악의 연대기,2015-05-14,5649497267,0.161,14589509063,716729,1839347,575,18157,한국,한국,(주)비에이엔터테인먼트,씨제이이앤엠(주),15세이상관람가,스릴러,백운학,"손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,김태강,정원중,지대한,장준녕,정준원"
4,간신,2015-05-21,5535306510,0.157,5606813510,685319,694266,697,19933,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,사극,민규동,"주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류선영,김강일,정만식,최일화"
5,어벤져스: 에이지 오브 울트론,2015-04-23,2332888209,0.066,87928602866,292564,10411424,454,8100,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",조스 웨던,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,돈 치들,애런 존슨,엘리자베스 올슨,폴 베타니,코비 스멀더스,제임스 스페이더,사무엘 L. 잭슨,수현"
6,홈,2015-05-21,1819428891,0.052,1848034891,244609,247715,532,6321,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,판타지",팀 존슨,"짐 파슨스,리한나,제니퍼 로페즈,스티브 마틴"
7,무뢰한,2015-05-27,387296500,0.011,403109500,56044,58057,482,2319,한국,한국,(주)사나이픽처스,CGV아트하우스,청소년관람불가,멜로/로맨스,오승욱,"김남길,전도연,박성웅,곽도원,김민재,강태영,박지환,정재웅,조민지,조원희,송승현,오하늬,유지연,하은진,이동진,이학주,정재헌,지승현"
8,투모로우랜드,2015-05-27,151848000,0.004,151848000,23457,23457,419,1029,미국,미국,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,미스터리,SF",브래드 버드,"조지 클루니,휴 로리,브릿 로버트슨"
9,차이나타운,2015-04-29,124117513,0.004,11983065167,15296,1471209,148,1622,한국,한국,폴룩스픽쳐스(주),CGV아트하우스,청소년관람불가,"범죄,드라마",한준희,"김혜수,김고은,엄태구,박보검,고경표,오대환,배유람,이혁준,백동현,조경섭,권지훈,김경애,오유진,우종현,유지현,김성종,이상희,이수경,김수안,정석용,이대연,이루리,안재홍,기주봉,조복래,이민지"
10,위아영,2015-05-14,106183600,0.003,431561087,13113,54084,70,815,미국,미국,,"(주)브리즈픽처스,(주)영화사오원",15세이상관람가,"코미디,드라마",노아 바움백,"벤 스틸러,나오미 왓츠,아만다 사이프리드,아담 드라이버"
11,스틸 앨리스,2015-04-29,67897200,0.002,814667146,8571,105782,41,432,미국,미국,,그린나래미디어(주),12세이상관람가,드라마,"리처드 글랫저,워시 웨스트모어랜드","줄리안 무어,알렉 볼드윈,크리스틴 스튜어트,케이트 보스워스"
12,다이노 타임,2015-04-30,50555800,0.001,2090574100,6914,281906,45,228,한국,"한국,미국",주식회사 토이온,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,코미디","최윤석,존 카프카","멜라니 그리피스,제인 린치,윌리엄 볼드윈,스티븐 볼드윈,롭 슈나이더,유리 로웬탈"
13,말할 수 없는 비밀,2008-01-10,42040500,0.001,1084782300,5243,154171,32,270,대만,"대만,홍콩",,"(주)엔케이컨텐츠,(주)스폰지이엔티",12세이상관람가,"멜로/로맨스,드라마",주걸륜,"주걸륜,계륜미,황추생,증개현"
14,장수상회,2015-04-09,20512500,0.001,8714704143,3297,1160853,19,107,한국,한국,"(주)빅픽쳐,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,드라마",강제규,"박해빛나,박근형,윤여정,조진웅,한지민,황우슬혜,문가영,찬열,장문규,이준혁,윤소희,백일섭,박소연,이제욱,강석민,박지혜,정해인,최대영,최승훈,송동규,유원준,유원준,윤상훈,윤여정,이강희,임하룡,홍성일,이보영,이상수,이수지,이언정,김재화,남문철"
15,트래쉬,2015-05-14,19967900,0.001,173818413,2841,24096,20,149,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"어드벤처,드라마,스릴러",스티븐 달드리,"루니 마라,마틴 쉰,릭슨 테베즈,와그너 모라,셀튼 멜로"
16,리틀 포레스트 2: 겨울과 봄,2015-05-14,20027500,0.001,56275100,2685,7278,23,163,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,모리 준이치,"하시모토 아이,마츠오카 마유"
17,와일드 테일즈: 참을 수 없는 순간,2015-05-21,20544900,0.001,24376900,2544,2945,16,146,스페인,"스페인,아르헨티나",,와이드 릴리즈(주),청소년관람불가,"코미디,스릴러",데미안 스지프론,"리카르도 다린,레오나르도 스바라글리아,다리오 그랜디네티"
18,하나와 앨리스: 살인사건,2015-05-27,14636000,0,15644000,2108,2234,65,130,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,이와이 슌지,"아오이 유우,스즈키 안"
19,하비,,4162000,0,4225000,2071,2084,1,20,,,,,,,,
20,언프렌디드: 친구삭제,2015-05-07,14372600,0,1638518941,2018,218861,21,181,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",레오 가브리아제,"샐리 헤닝,모세 제이콥 스톰,윌 펠츠,헤더 소서맨"
21,위험한 상견례 2,2015-04-29,12767900,0,3573539754,1970,472430,9,94,한국,한국,"(주)전망좋은 영화사,TCO(주)더콘텐츠온,(주)마음에드는영화사","롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",15세이상관람가,"멜로/로맨스,코미디",김진영,"진세연,홍종현,신정근,임수연,정명호,박진수,박태규,조영란,조용재,오재호,유성진,이동민,이상현,이상협,이석현,차종호,이철민,김선영,신대섭,박은혜"
22,피치 퍼펙트: 언프리티 걸즈,2015-05-28,16785000,0,38495000,1853,4346,5,11,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,뮤지컬",엘리자베스 뱅크스,"안나 켄드릭,헤일리 스테인펠드,레벨 윌슨"
23,산다,2015-05-21,11718800,0,24817700,1516,3347,33,325,한국,한국,"세컨드윈드 필름,(유)산다문화산업전문회사",(주)리틀빅픽쳐스,청소년관람불가,드라마,박정범,"박정범,이승연,근휘,이재동,이재복,이찬호,장민애,전용선,전지현,고상훈,정동구,서진원,서호영,성민지,성민지,최소영,최수복,신시정,신유경,신준호,신혜진,오현석,유보라,이두희,허은실,현용주,황경현,이성호,이수진,이승연,이승준,이은미,이은우,주영호,박희본"
24,노아의 방주: 남겨진 녀석들,2015-04-30,9697600,0,1584952300,1353,219411,10,40,독일,"독일,벨기에,룩셈부르크,아일랜드",,씨네그루(주)다우기술,전체관람가,애니메이션,토비 젠켈,"김하영,배진홍,윤세웅"
25,해피 홀리데이,2015-05-14,10599000,0,95296300,1317,12573,10,45,영국,영국,,(주)스톰픽쳐스코리아,12세이상관람가,"코미디,드라마","앤디 해밀턴,가이 젠킨","로자먼드 파이크,데이빗 테넌트,빌리 코놀리"
26,국제시장,2014-12-17,8844000,0,1.10913E+11,1159,14257114,3,5,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수"
27,윈터 슬립,2015-05-07,8296000,0,45513800,1137,5818,7,46,터키,"터키,프랑스,독일",,㈜영화사 백두대간,15세이상관람가,드라마,누리 빌제 세일란,"할룩 빌기너,멜리사 소젠,드멧 아크백,네잣 이슬러"
28,신은 죽지 않았다,2015-04-16,8746500,0,250055300,1101,33812,9,56,미국,미국,,"(주)씨타마운틴픽쳐스,(주)에스와이코마드",12세이상관람가,드라마,해롤드 크론크,"쉐인 하퍼,케빈 소르보,트리샤 라파체,코리 올리버,하딜 싯투"
29,적도,2015-05-28,7764000,0,7764000,1070,1070,4,5,홍콩,홍콩,,판씨네마(주),15세이상관람가,액션,"렁록만,써니 럭","지진희,시원,장학우,장가휘,여문락,왕학기,장첸,윤진이,이태란,김해숙"
30,비비안 마이어를 찾아서,2015-04-30,8697100,0,138300100,1065,17286,11,61,미국,미국,,오드,전체관람가,다큐멘터리,"존 말루프,찰리 시스켈",
31,싸이코,,2059000,0,3594000,1022,1285,1,8,미국,미국,,(주)영화사 안다미로,청소년관람불가,"공포(호러),스릴러,미스터리",알프레드 히치콕,"안소니 퍼킨스,베라 마일즈,존 개빈,마틴 발삼,존 맥킨타이어,사이먼 오클랜드,본 테일러,프랭크 알버트슨,루렌 터틀,패트리샤 히치콕,존 앤더슨,자넷 리"
32,써드 퍼슨 - 감독판,2015-05-28,7566000,0,10298000,1010,1326,6,6,미국,미국,,(주)프레인글로벌,청소년관람불가,"드라마,미스터리,멜로/로맨스",폴 해기스,"리암 니슨,밀라 쿠니스,애드리언 브로디,올리비아 와일드,제임스 프랭코"
33,잡식가족의 딜레마,2015-05-07,6403200,0,36023300,929,5144,12,77,한국,한국,"스튜디오두마,(주)시네마달",(주)시네마달,전체관람가,다큐멘터리,황윤,
34,아스테릭스: 신들의 전당,2015-04-30,5123000,0,108059000,863,15255,22,41,프랑스,프랑스,,(주)나이너스엔터테인먼트,전체관람가,애니메이션,"루이 클리시,알렉상드르 아스티에",
35,마이 페어 웨딩,2015-06-04,6640000,0,15235000,830,1997,5,9,한국,한국,(주)레인보우팩토리,(주)영화사 진진,12세이상관람가,다큐멘터리,장희선,"김조광수,김승환,한가람,김선경,김용균,김태용,김현주,소준문,백재호,윤소라,이원재,이윤정,이준호"
36,막걸스,2015-05-21,6323000,0,13923000,811,1868,20,165,한국,한국,(주)한국시나리오작가영상제작단,(주)드림팩트엔터테인먼트,15세이상관람가,코미디,김기영,"홍아름,창조,임원희,양택조,김영옥,정의갑,이종국,이희우,장진혁,전수환,정만영,박은영,정석,정소리,박지은,최영일,최은진,윤석훈,윤성옥,한승완,이예은,이유정,이은정,김영옥,남태부"
37,연애의 맛,2015-05-07,5729500,0,1713877653,798,212924,16,139,한국,한국,(주)청우필름,"(주)와우픽쳐스,(주)쇼박스",청소년관람불가,"멜로/로맨스,코미디",김아론,"오지호,최령,강예원,이종호,이혜란,박지환,정우일,정현진,유예원,이동진,형윤석,이승준,이은지,이은지,김중희,이은지,이은지,오민석"
38,철도원,2000-02-04,2310000,0,6249000,762,1380,1,16,일본,일본,,,전체관람가,"가족,드라마",후루하타 야스오,"다카쿠라 켄,히로스에 료코"
39,트립 투 이탈리아,2015-06-04,4945000,0,6518500,734,917,3,4,영국,영국,,찬란,15세이상관람가,"코미디,드라마",마이클 윈터바텀,"스티브 쿠건,롭 브라이든"
40,빌리와 용감한 녀석들 3,2015-04-30,3732000,0,688100600,712,96803,3,9,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처",척 파워스,"엄상현,조현정"
41,별아 내 가슴에,1958-05-31,4900000,0,4900000,700,700,1,9,한국,한국,한국영화배급㈜,,,멜로/로맨스,홍성기,"김지미,김정훈"
42,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,2015-04-23,3929700,0,1084331600,627,150068,5,24,일본,일본,,(주)이수C&E,전체관람가,"애니메이션,코미디,어드벤처",다카하시 와타루,
43,분노의 질주: 더 세븐,2015-04-01,4663500,0,26454098694,612,3247955,3,29,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",제임스 완,"빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀"
44,전망 좋은 집 2,2015-05-27,2981000,0,2981000,599,599,20,20,한국,한국,영화사 인연,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",경석호,"정시현,이수진,이승현,이은미"
45,바람과 함께 사라지다,1972-12-23,3521000,0,40574000,503,14035,1,4,미국,미국,메트로-골드윈-마이어,,"12세이상관람가,국민학생관람불가","드라마,사극,전쟁",빅터 플레밍,"클라크 게이블,비비안 리,레슬리 하워드"
46,차일드 44,2015-05-28,3856000,0,6048000,482,756,2,2,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,스릴러,다니엘 에스피노사,"톰 하디,게리 올드만,조엘 킨나만,누미 라파스,뱅상 카셀"
47,약장수,2015-04-23,2145000,0,311220400,450,42991,2,17,한국,한국,(주)26컴퍼니,"(주)대명문화공장,(주)나이너스엔터테인먼트",15세이상관람가,드라마,조치언,"김인권,박철민,이주실,임석진,강일수,박지윤,박혜진,최민혁,윤준혁,이은주,김형범,장소연,조민기,이찬호"
48,하숙생,,896000,0,3238000,448,1619,1,5,한국,한국,,,,기타,정진우,"신성일,김지미"
49,미션,1986-12-24,890000,0,87168748,445,25514,1,6,영국,영국,,(주)피터팬픽쳐스,"12세이상관람가,국민학생관람불가,15세이상관람가",드라마,롤랑 조페,"로버트 드니로,제레미 아이언스,에이단 퀸"
50,깊고 푸른 밤,1985-03-01,865000,0,7373000,432,3092,1,16,한국,한국,동수,,연소자관람불가,"드라마,멜로/로맨스",배창호,"장미희,안성기"
51,명령불복종 교사,2015-05-14,2557000,0,8129200,426,1268,7,39,한국,한국,두물머리픽쳐스,(주)인디플러그,전체관람가,다큐멘터리,서동일,"최혜원,정재호,김경희,오정희,김윤주,송용운,박선희,박세영"
52,코인라커,2015-05-28,2364000,0,3572000,394,545,2,2,한국,한국,(주)씨타마운틴픽쳐스,(주)드림팩트엔터테인먼트,청소년관람불가,드라마,김태경,"손여은,이영훈,한지은,편보승"
53,십계,1973-06-16,746000,0,20522072,373,11253,1,4,미국,미국,파라마운트 픽쳐스,,전체관람가,"드라마,가족",세실 B. 데밀,"앤 박스터,찰톤 헤스톤,에드워드 G. 로빈슨"
54,쾌걸 조로,,720000,0,3997000,360,1996,1,12,미국,미국,,,15세이상관람가,,,"타이론 파워,린다 다넬"
55,명량: 회오리 바다를 향하여,2015-05-07,1880000,0,58202500,350,7986,10,60,한국,한국,(주)빅스톤픽쳐스,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,다큐멘터리,"정세교,김한민","김한민,오타니 료헤이,이해영,권율,장준녕"
56,신이 보낸 사람,2014-02-13,676000,0,3069121600,338,424721,1,6,한국,한국,주식회사 태풍코리아,"(주)씨타마운틴픽쳐스,(주)마인스 엔터테인먼트",15세이상관람가,드라마,김진무,"김인권,홍경인,최규환,기주봉,안병경,조덕제,김재화,박정희,임준규,정동철,정유동,정현기,권혁주,황규연,이정수,이정민,김상준,김은혜,최규환,안병경,오산하"
57,샌 안드레아스,2015-06-03,2934000,0,2934000,326,326,1,1,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,드라마,스릴러",브래드 페이튼,"드웨인 존슨,알렉산드리아 다다리오"
57,연평해전,2015-06-24,2608000,0,2608000,326,326,1,1,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일"
59,반짝이는 박수 소리,2015-04-23,1665000,0,24577100,319,3836,5,32,한국,한국,영화사 낭만,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),전체관람가,다큐멘터리,이길보라,"이상국,길경희,이길보라,이광희,정임순,이광희"
60,위플래쉬,2015-03-12,2417000,0,12633621645,284,1586160,4,29,미국,미국,,(주)쇼박스,15세이상관람가,드라마,다미엔 차젤레,"마일즈 텔러,J.K. 시몬스"
61,원스 어폰 어 타임 인 아메리카,1984-12-10,3221000,0,254620600,277,19424,3,13,미국,"미국,이탈리아",워너 브러더스 픽쳐스,(주)프레인글로벌,"국민학생관람불가,청소년관람불가",액션,세르지오 레오네,"엘리자베스 맥거번,트리트 윌리엄스,조 페시,제임스 우즈,제니퍼 코넬리,로버트 드니로"
62,마지막 황제,1988-12-23,538000,0,10035500,268,3470,1,9,영국,"영국,미국",,"예지림엔터테인먼트,아티잔엔터테인먼트,콜럼비아 픽쳐스 코포레이션","12세이상관람가,중학생이상관람가","드라마,사극",베르나르도 베르톨루치,
63,결혼하지 않아도 괜찮을까,2015-04-09,1950000,0,93766500,238,11461,4,24,일본,일본,,프리비젼엔터테인먼트,12세이상관람가,드라마,미노리카와 오사무,"시바사키 코우,마키 요코,테라지마 시노부"
64,자이언트,1974-02-28,712000,0,6108712,236,4764,1,6,미국,미국,워너 브러더스 픽쳐스,,12세이상관람가,드라마,조지 스티븐스,"록 허드슨,제임스 딘,엘리자베스 테일러"
65,오드리 헵번의 파계,,466000,0,3640000,233,1820,1,3,미국,미국,,,,드라마,프레드 진네만,"오드리 헵번,피터 핀치"
66,스물,2015-03-25,1624000,0,23557469686,232,3043917,1,1,한국,한국,"(주)영화나무,(주)아이에이치큐",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이병헌,"김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영"
67,이브의 모든 것,,450000,0,6890000,225,3229,1,9,미국,미국,,,,드라마,,
68,파리오페라발레 갈라쇼,2015-05-02,4177000,0,20011000,218,1076,12,21,프랑스,프랑스,,에스디시코리아 주식회사,전체관람가,공연,브리지트 르페브르,
69,리틀 포레스트: 여름과 가을,2015-02-12,1589500,0,70347200,211,9199,3,13,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,모리 준이치,"하시모토 아이,마츠오카 마유"
70,위자,2015-04-16,1412000,0,570989035,202,73716,1,4,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,공포(호러)",스틸즈 화이트,"올리비아 쿡,더글라스 스미스"
71,개를 훔치는 완벽한 방법,2014-12-31,920000,0,2327100465,184,305814,1,1,한국,한국,(주)삼거리픽쳐스,"(주)리틀빅픽쳐스,(주)대명문화공장",전체관람가,"드라마,가족",김성호,"김혜자,이레,최민수,강혜정,이천희,김솔,김원중,김도엽,박성규,이지원,정택호,김재화,홍은택,이기영,류선영,조은지"
72,SICAF2015 경쟁: 시카프 온라인,,1092000,0,1092000,182,182,1,1,기타,기타,,,,애니메이션,,
73,에벌리,2015-06-04,1260000,0,1260000,180,180,1,1,미국,미국,,와이드 릴리즈(주),청소년관람불가,액션,조 린치,셀마 헤이엑
74,오페라의 유령 : 25주년 특별 공연,,2224000,0,1815434500,178,101933,1,3,영국,영국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,뮤지컬,"카메론 맥킨토시,로렌스 코너","라민 카림루,시에라 보게스"
75,령 : 저주받은 사진,2015-06-04,1557000,0,1557000,173,173,1,1,일본,일본,,(주)스톰픽쳐스코리아,15세이상관람가,공포(호러),아사토 마리,"나카조 아야미,모리카와 아오이,야마야 카스미"
76,엘리펀트 송,2015-06-11,1183000,0,1183000,169,169,1,1,캐나다,캐나다,,(주)엣나인필름,15세이상관람가,"미스터리,드라마",찰스 비네임,"브루스 그린우드,자비에 돌란"
77,혜경궁 홍씨,2015-06-04,1120000,0,1120000,160,160,1,1,한국,한국,(주)컴퍼니 숨,(주)씨타마운틴픽쳐스,12세이상관람가,"공연,사극,드라마",장동홍,"김소희,윤여성,정태화,이동준,이승헌,황석정"
78,SICAF2015 경쟁: 학생 2,,948800,0,948800,159,159,1,2,기타,기타,,,,애니메이션,,
79,SICAF2015 경쟁: 단편 2,,916000,0,916000,155,155,1,2,기타,기타,,,,애니메이션,,
80,사이코패스,2015-05-28,1232000,0,1232000,154,154,1,1,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,판타지,스릴러,범죄,SF",시오타니 나오요시,"하나자와 카나,세키 토모카즈"
81,SICAF2015 경쟁: 단편 3,,896000,0,896000,150,150,1,2,기타,기타,,,,애니메이션,,
82,투 라이프,2015-05-07,832000,0,18066000,146,2716,5,25,프랑스,프랑스,,주식회사 씨네룩스,15세이상관람가,드라마,장 자크 질베르만,"줄리 드빠르디유,조한나 터 스티지,수잔 클레망"
83,SICAF2015 경쟁: 단편 4,,862900,0,862900,145,145,1,2,기타,기타,,,,애니메이션,,
84,하늘의 황금마차,2014-09-04,994000,0,17201300,142,2330,1,1,한국,한국,"국가인권위원회,주식회사 자파리필름",(주)영화사 진진,12세이상관람가,드라마,오멸,"문석범,김동호,양정원,이경준,킹스턴 루디스카,성낙원,손형식,장정인,조상원,조수범,한승진"
85,카르멘,2015-04-11,3378000,0,32555500,129,1295,4,12,미국,미국,,(주)인스터피씨엠,12세이상관람가,공연,"매튜 다이아몬드,파블로 헤라스 카사도",아니타 하팅
86,세컨 찬스,2015-06-11,1008000,0,1008000,126,126,1,1,덴마크,덴마크,,"(주)영화사오원,(주)브리즈픽처스",청소년관람불가,드라마,수잔 비에르,"니콜라이 코스터 왈도,마리아 보네비에,니꼴라이 리 카스,율리히 톰센"
87,데모닉,2015-06-25,992000,0,992000,124,124,1,1,미국,"미국,영국",,(주)와우픽쳐스,15세이상관람가,"공포(호러),스릴러",윌 캐논,"마리아 벨로,프랭크 그릴로,코디 혼"
87,"땡큐, 대디",2015-04-23,1125000,0,236660561,124,33022,3,6,프랑스,프랑스,,(주)영화사 빅,전체관람가,드라마,닐스 타베니어,"자크 검블린,알렉산드라 라미"
89,2015 EUSFF 섹션1,,533000,0,1087000,123,255,1,3,기타,기타,,,,기타,,
90,생선가게 막내,,715000,0,715000,120,120,1,2,체코,"체코,슬로바키아,프랑스",,,,애니메이션,얀 발레이,
91,두엔데,,696000,0,696000,116,116,1,2,스페인,스페인,,,,애니메이션,샘,
92,그날이 오면,,222000,0,4909000,111,2341,1,3,미국,미국,,,,"드라마,SF",스탠리 크래이머,"그레고리 펙,에바 가드너"
92,엘리노어 릭비: 그 남자 그 여자,2015-04-09,647000,0,385171400,111,47700,2,8,미국,미국,,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제임스 맥어보이,제시카 차스테인,이자벨 위페르,윌리엄 허트"
94,인디포럼2015 친애하는 이방인,,640000,0,640000,108,108,1,2,한국,한국,,,,기타,"김혜미,오도건,김상현",
95,은밀한 유혹,2015-06-04,963000,0,963000,107,107,1,1,한국,한국,"(주)영화사비단길,(주)수필름",씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,범죄",윤재구,"임수정,유연석,이경영,박철민,진경,도희,조희성,최민우,이광수,홍정표,민혜경,이동훈,곽민호"
96,2015 EUSFF 섹션5,,477000,0,897000,104,215,1,3,기타,기타,,,,기타,,
