순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,위플래쉬,2015-03-12,4302522816,0.224,7549259716,543627,952776,574,15211,미국,미국,,(주)쇼박스,15세이상관람가,드라마,다미엔 차젤레,"마일즈 텔러,J.K. 시몬스"
2,킹스맨 : 시크릿 에이전트,2015-02-11,3887424375,0.202,44839863395,481643,5452244,546,14515,미국,"미국,영국",,이십세기폭스코리아(주),청소년관람불가,"액션,스릴러",매튜 본,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인"
3,신데렐라,2015-03-19,3189781400,0.166,3268201400,412478,420640,531,14386,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,멜로/로맨스,케네스 브래너,"릴리 제임스,리처드 매든,케이트 블란쳇,헬레나 본햄 카터,홀리데이 그레인저,소피 맥쉐라"
4,런 올 나이트,2015-03-19,1800210925,0.094,1813568925,227324,228725,411,11026,미국,미국,,워너브러더스 코리아(주),청소년관람불가,"액션,스릴러",자움 콜렛 세라,"리암 니슨,조엘 킨나만,에드 해리스,커먼,제네시스 로드리게스"
5,살인의뢰,2015-03-12,1653490091,0.086,6692023037,202579,817625,448,12414,한국,한국,(주)미인픽쳐스,씨네그루(주)다우기술,청소년관람불가,"범죄,스릴러",손용호,"김상경,김성균,박성웅,윤승아,조재윤,김의성,기주봉,홍성덕,오대환,이정훈,이진수,박소희,박일우,박혜미,송영창,태욱,김덕순,이다희,이상인,이용출,임종윤"
6,스물,2015-03-25,1017793600,0.053,1138434600,154937,169662,786,4239,한국,한국,"(주)영화나무,(주)아이에이치큐",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이병헌,"김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영"
7,채피,2015-03-12,943497300,0.049,4508258954,121499,559078,366,6878,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",닐 블롬캠프,"휴 잭맨,샬토 코플리,시고니 위버,데브 파텔"
8,소셜포비아,2015-03-12,432833809,0.023,1898610163,55463,241506,245,3826,한국,한국,한국영화아카데미,CGV아트하우스,15세이상관람가,"스릴러,드라마",홍석재,"변요한,이주승,하윤경,이강욱,류준열,배유람,임지호,엄기성,하상명,전신환,김종수,남문철"
9,헬머니,2015-03-05,420993800,0.022,3997648672,54107,506577,216,3146,한국,한국,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,코미디,신한솔,"김수미,정만식,김정태,이태란,홍성덕,박승찬,이형빈,강경탁,임재수,박은영,박지영,박혜진,정진혁,채승훈,선현철,손재영,김달선,유병선,유용욱,윤수진,이강철,이규섭,김홍파,한진원,이성민,이승준,이영은,이영은,이은미,김지훈,김원해,이승천,박준금,정혜선,김영옥,길해연,지대한,조영진,장원영,권병길,박충선"
10,인서전트,2015-03-25,255168300,0.013,255168300,38443,38443,431,2006,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"SF,액션",로베르트 슈벤트케,"쉐일린 우들리,테오 제임스,케이트 윈슬렛,나오미 왓츠,매기 큐,안셀 엘고트,마일즈 텔러,대니얼 대 킴"
11,추억의 마니,2015-03-19,206728900,0.011,215386900,27162,28223,242,2707,일본,일본,,(주)이수C&E,전체관람가,애니메이션,요네바야시 히로마사,
12,이미테이션 게임,2015-02-17,198596000,0.01,13519309320,25371,1720747,114,1353,영국,영국,,메가박스(주)플러스엠,15세이상관람가,"드라마,스릴러",모튼 틸덤,"베네딕트 컴버배치,키이라 나이틀리,매튜 구드"
13,트레이서,2015-03-19,174463000,0.009,184349000,23194,24403,249,3327,미국,미국,,"(주)영화사오원,(주)브리즈픽처스",15세이상관람가,액션,다니엘 벤마요,"테일러 로트너,마리 아브게로폴로스"
14,태양을 쏴라,2015-03-19,122132400,0.006,125244400,16953,17342,156,1966,한국,한국,필름라인,(유)조이앤시네마,청소년관람불가,멜로/로맨스,김태식,"강지환,윤진서,박정민,안석환,윤성준"
15,엘리제궁의 요리사,2015-03-19,113972800,0.006,121296300,14877,15873,112,1487,프랑스,프랑스,,판씨네마(주),12세이상관람가,코미디,크리스티앙 뱅상,"캐서린 프로트,아르띄르 뒤퐁,이폴리트 지라르도"
16,버드맨,2015-03-05,59044600,0.003,1568888000,7466,194370,25,305,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"코미디,드라마",알레한드로 곤잘레스 이냐리투,"마이클 키튼,에드워드 노튼,엠마 스톤,나오미 왓츠"
17,순수의 시대,2015-03-05,32921000,0.002,3732691428,5210,468826,59,360,한국,한국,"(주)화인웍스,(주)키메이커",씨제이이앤엠(주),청소년관람불가,"사극,드라마",안상훈,"신하균,장혁,강한나,강하늘,박혜준,정현국,권승구,서지오,권지훈,천준호,최아람,양영조,김경애,오하늬,윤민규,이광기,김민수,이상민,이수민,손병호,박갑진,최무성,기주봉,이재용,문영동,조희봉"
18,도라에몽 : 스탠 바이 미,2015-02-12,33872900,0.002,3655273929,4640,499945,59,188,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"야마자키 타카시,야기 류이치","미즈타 와사비,오오하라 메구미"
19,리바이어던,2015-03-19,31674500,0.002,39228100,3970,4899,25,239,러시아,러시아,,오드,청소년관람불가,"가족,드라마",안드레이 즈비아진체프,"알렉세이 세레브리야코프,엘레나 리야도바"
20,오즈의 마법사: 돌아온 도로시,2015-02-12,22541100,0.001,2139128400,3164,293305,35,134,미국,미국,,(주)박수엔터테인먼트,전체관람가,"애니메이션,판타지,뮤지컬,어드벤처,가족","윌 핀,댄 세인트 피에르","레아 미셸,패트릭 스튜어트,휴 댄시,댄 애크로이드"
21,와일드 카드,2015-03-19,22417000,0.001,23425000,2944,3070,69,718,미국,미국,,(주)영화사 빅,청소년관람불가,"범죄,액션",사이먼 웨스트,"제이슨 스타뎀,스탠리 투치,마이클 안가라노"
22,모던 타임즈,1988-07-02,20997900,0.001,28710900,2708,4909,40,416,미국,미국,"찰리채플린프로덕션,유나이티드 아티스트",(주)엣나인필름,"연소자관람가,전체관람가",코미디,찰리 채플린,"찰리 채플린,파울레트 고다드"
23,국제시장,2014-12-17,16578900,0.001,1.11E+11,2673,14249541,23,181,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수"
24,드래곤 블레이드,2015-03-12,20608200,0.001,402661300,2510,52867,41,290,중국,중국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처",이인항,"성룡,존 쿠삭,애드리언 브로디,시원"
25,케인호의 반란,,4556000,0,5008000,2273,2499,1,16,미국,미국,,,,"드라마,전쟁",,
25,파울볼,2015-04-02,18123000,0.001,22443000,2273,2813,3,7,한국,한국,(주)티피에스컴퍼니,오퍼스픽쳐스,전체관람가,다큐멘터리,"조정래,김보경","김성근,조진웅,박지은,박진영,설재훈,이경태,이동현,이상훈,이상훈,이성진,이승엽,이승재,이승주"
27,우주로봇 씨어,2015-03-12,10114600,0.001,88422000,1600,13162,29,91,중국,중국,,"(주)마인스 엔터테인먼트,(유)영화사 화수분",전체관람가,애니메이션,"왕장준,부걸","엄상현,김성연,안장혁"
28,을화,1979-09-28,3116000,0,4310000,1558,2155,1,10,한국,한국,(주)동아수출공사,,국민학생관람불가,드라마,변장호,"백일섭,김지미,유장현,정애란,이순재"
29,스폰지밥 3D,2015-02-18,10565000,0.001,2454051000,1433,324402,27,69,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,코미디",폴 티비트,"안토니오 반데라스,클랜시 브라운,톰 케니,전태열,이인성,최한"
30,코멧,2015-03-25,9941000,0.001,11653000,1398,1612,82,199,미국,미국,,(주)지어소프트,15세이상관람가,"판타지,멜로/로맨스",샘 에스마일,"저스틴 롱,에미 로섬"
31,그라운드의 이방인,2015-03-19,9850500,0.001,15696000,1373,2369,28,323,한국,한국,㈜인디스토리,㈜인디스토리,전체관람가,다큐멘터리,김명준,"김근,양시철,배수찬,권해효,박용진,정원덕,조은성,김정아"
32,나이아가라,,2281000,0,8224000,1138,4223,1,15,미국,미국,,,15세관람가,"드라마,기타,스릴러",헨리 해서웨이,"마릴린 몬로,조셉 코튼,진 피터스"
33,송 원,2015-04-01,8508000,0,8508000,1088,1088,3,4,미국,미국,,(주)박수엔터테인먼트,15세이상관람가,"드라마,멜로/로맨스",케이트 베커-플로이랜드,"앤 해서웨이,자니 플린"
34,조선명탐정 : 사라진 놉의 딸,2015-02-11,6470000,0,30456309428,1060,3871920,9,55,한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,코미디,어드벤처",김석윤,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민"
35,빅 히어로,2015-01-21,7879500,0,21989944365,1041,2801539,17,53,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,코미디","돈 홀,크리스 윌리암스","라이언 포터,스콧 애짓,다니엘 헤니,제이미 정,T.J. 밀러,제네시스 로드리게스,데이몬 웨이언스 주니어,마야 루돌프,제임스 크롬웰,알란 터딕"
36,윈드랜드,2015-04-02,7992000,0,7992000,999,999,5,5,이탈리아,이탈리아,,예지림엔터테인먼트,전체관람가,애니메이션,세르지오 맨피오,"김경희,탁원정,권문정,박상훈,윤세웅"
37,모스트 바이어런트,2015-04-02,7480000,0,10824000,935,1434,1,3,미국,미국,,(주)영화사 진진,15세이상관람가,범죄,J.C 챈더,"오스카 아이삭,제시카 차스테인"
38,쎄시봉,2015-02-05,4400000,0,13563787911,839,1713619,3,9,한국,한국,"유한회사 제이필름,(주)무브픽쳐스",씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디,드라마",김현석,"김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래,김인권,장미진,강명찬,정수교,조성관,천준호,최남주,최성택,최성택,최충열,송민석,박소담,오하늬,윤준호,이미소,김승찬,이병훈,이상희,이승현,안재홍,이대연,이동훈,권해효"
39,세계일주,2015-03-26,6201400,0,8105400,775,1013,4,8,한국,한국,(주)쿠나,(주)나이너스엔터테인먼트,12세이상관람가,"가족,어드벤처",이항배,"김정태,박하영,구승현,최정우,지대한,나윤성,이종경"
40,트라이브,2015-01-29,4031000,0,79044400,712,10155,6,21,우크라이나,"우크라이나,네덜란드",,오드,청소년관람불가,드라마,미로슬라브 슬라보슈비츠키,"그레고리브 페센코,야나 노비코바"
41,착한 여자,2015-03-25,2908000,0,2908000,702,702,20,20,한국,한국,영화사 인연,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,경석호,"김정연,주연서,정연,이승현,이연서,이원"
