순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,내부자들,2015-11-19,14190749177 ,0.542,32025085137 ,1755778 ,4019452 ,1129 ,35800 ,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명"
2,열정같은소리하고있네,2015-11-25,2805959184 ,0.107,3244183484 ,374707 ,444742 ,566 ,17172 ,한국,한국,반짝반짝영화사(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정기훈,"정재영,박보영,오달수,배성우,류덕환,류현경,진경,윤균상,최홍원,김보람,김정훈,서동원,신정훈,육진영,이미경,이상훈,이영진,이병준,유하복"
3,검은 사제들,2015-11-05,2809309423 ,0.107,38956257792 ,369953 ,4990803 ,538 ,11743 ,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철"
4,도리화가,2015-11-25,1651992339 ,0.063,1996254039 ,224403 ,280379 ,563 ,14233 ,한국,한국,"(주)영화사 담담,(주)어바웃필름",씨제이이앤엠(주),12세이상관람가,"사극,드라마",이종필,"류승룡,배수지,송새벽,김남길,이동휘,안재홍,김태훈,조정숙,황태양,권유진,김은지,김은지,김정곤,박선,박솔지,박윤호,이광호,이상우,이유나,이윤정,이준,이지은,이혜진,진선규"
5,헝거게임: 더 파이널,2015-11-18,1367624700 ,0.052,5427592563 ,181066 ,722158 ,409 ,6612 ,미국,미국,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처",프란시스 로렌스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,필립 세이모어 호프만,줄리안 무어,우디 해럴슨,엘리자베스 뱅크스,도날드 서덜랜드"
6,괴물의 아이,2015-11-25,882033416 ,0.034,1000865216 ,117371 ,135468 ,363 ,6161 ,일본,일본,,"CGV아트하우스,(주)리틀빅픽쳐스",12세이상관람가,"애니메이션,판타지,어드벤처",호소다 마모루,"야쿠쇼 코지,미야자키 아오이,소메타니 쇼타,히로세 스즈"
7,007 스펙터,2015-11-11,543044000 ,0.021,14119375630 ,71024 ,1797440 ,216 ,2477 ,영국,"영국,미국",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,범죄,스릴러",샘 멘데스,"다니엘 크레이그,레아 세이두,크리스토프 왈츠,모니카 벨루치"
8,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,2015-11-26,384405900 ,0.015,396595900 ,52482 ,53996 ,344 ,2148 ,일본,일본,,"(주)스마일이엔티,(주)영화사오원",전체관람가,"액션,SF",와타나베 카츠야,"시손 쥰,세키네 츠토무"
9,크림슨 피크,2015-11-25,308906800 ,0.012,353893400 ,37113 ,43622 ,255 ,3336 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"판타지,스릴러",길예르모 델 토로,"톰 히들스턴,제시카 차스테인,미아 와시코브스카,찰리 허냄"
10,이터널 선샤인,2005-11-10,274889600 ,0.01,3188965900 ,34050 ,424262 ,88 ,1017 ,미국,미국,포커스피쳐스,"(주)노바미디어,코리아픽쳐스(주)",15세관람가,멜로/로맨스,미셸 공드리,"짐 캐리,케이트 윈슬렛,커스틴 던스트,마크 러팔로,일라이저 우드"
11,프리덤,2015-11-19,176016700 ,0.007,529849100 ,24742 ,74371 ,94 ,887 ,미국,미국,,(주)씨타마운틴픽쳐스,12세이상관람가,"드라마,가족",피터 쿠센스,"쿠바 구딩 주니어,베르나르드 포처,윌리엄 새들러"
12,위선자들,2015-11-26,45357600 ,0.002,53763600 ,7134 ,8158 ,82 ,269 ,한국,한국,(주)영화사메이플러스,"THE 픽쳐스,(주)씨타마운틴픽쳐스",청소년관람불가,드라마,김진홍,"권민중,김정균,장두이,최할리,신소미,경준,송은진,주연서,나동주,류제현,문진영,안정균,이태헌,임창용,조솔"
13,아이돌 마스터 무비 : 빛의 저편으로!,2015-11-19,46266000 ,0.002,143918000 ,6418 ,19753 ,36 ,224 ,일본,일본,,(주)머스트씨무비릴리징컴퍼니,전체관람가,애니메이션,니시고리 아츠시,
14,파더 앤 도터,2015-12-10,45776000 ,0.002,45776000 ,5563 ,5563 ,34 ,56 ,미국,"미국,이탈리아",,(주)박수엔터테인먼트,15세이상관람가,드라마,가브리엘 무치노,"아만다 사이프리드,러셀 크로우,아론 폴"
15,부에나 비스타 소셜 클럽,2001-03-01,39504334 ,0.002,143134034 ,4667 ,18555 ,34 ,221 ,독일,독일,,오드,전체관람가,다큐멘터리,빔 벤더스,"꼼빠이 세군도,조아킴 쿠더"
16,개구리왕국,2015-11-12,28381500 ,0.001,332363000 ,4512 ,48275 ,28 ,124 ,중국,중국,,예지림엔터테인먼트,전체관람가,"애니메이션,어드벤처",넬슨 신,
17,나를 미치게 하는 여자,2015-12-10,22085000 ,0.001,46799000 ,4417 ,8787 ,8 ,19 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"코미디,멜로/로맨스",주드 아패토우,"에이미 슈머,빌 헤이더"
18,인터스텔라,2014-11-06,43830000 ,0.002,82371390000 ,4383 ,10283774 ,16 ,32 ,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,SF,크리스토퍼 놀란,"매튜 매커너히,앤 해서웨이,마이클 케인,제시카 차스테인,케이시 애플렉"
19,서태지밴드 콘서트투어 '콰이어트나이트',2015-11-26,38221000 ,0.001,38221000 ,4243 ,4243 ,6 ,73 ,한국,한국,(주)서태지컴퍼니,(주)서태지컴퍼니,전체관람가,공연,서태지,서태지
