순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,쥬라기 월드,2015-06-11,19676585983 ,0.704,19713387983 ,2228158 ,2230919 ,1290 ,43949 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오"
2,샌 안드레아스,2015-06-03,3365662483 ,0.12,13204338752 ,420143 ,1558772 ,631 ,20064 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,드라마,스릴러",브래드 페이튼,"드웨인 존슨,알렉산드리아 다다리오"
3,매드 맥스: 분노의 도로,2015-05-14,1754314717 ,0.063,32035521762 ,214950 ,3736176 ,414 ,11228 ,미국,"미국,호주",,워너브러더스 코리아(주),15세이상관람가,"액션,어드벤처,스릴러",조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼"
4,스파이,2015-05-21,1574393700 ,0.056,17992883758 ,195508 ,2265293 ,384 ,9771 ,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,코미디",폴 페이그,"주드 로,제이슨 스타뎀,멜리사 맥카시"
5,간신,2015-05-21,467540400 ,0.017,8878664310 ,57921 ,1101501 ,257 ,4113 ,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,사극,민규동,"주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류선영,김강일,정만식,최일화"
6,악의 연대기,2015-05-14,196036400 ,0.007,17350915232 ,24954 ,2190711 ,188 ,2515 ,한국,한국,(주)비에이엔터테인먼트,씨제이이앤엠(주),15세이상관람가,스릴러,백운학,"손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,김태강,정원중,지대한,장준녕,정준원"
7,은밀한 유혹,2015-06-04,144192000 ,0.005,1123809247 ,18503 ,143502 ,197 ,2388 ,한국,한국,"(주)영화사비단길,(주)수필름",씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,범죄",윤재구,"임수정,유연석,이경영,박철민,진경,도희,조희성,최민우,이광수,홍정표,민혜경,이동훈,곽민호"
8,무뢰한,2015-05-27,130016500 ,0.005,3207113831 ,16032 ,407862 ,93 ,1365 ,한국,한국,(주)사나이픽처스,CGV아트하우스,청소년관람불가,멜로/로맨스,오승욱,"김남길,전도연,박성웅,곽도원,김민재,강태영,박지환,정재웅,조민지,조원희,송승현,오하늬,유지연,하은진,이동진,이학주,정재헌,지승현"
9,꼬마 유령,2015-06-11,81702500 ,0.003,83967500 ,11363 ,11896 ,176 ,1009 ,독일,"독일,스위스",,(주)영화사오원,전체관람가,"판타지,가족",알랑 그스포너,
10,엘리펀트 송,2015-06-11,72496100 ,0.003,75261100 ,9212 ,9607 ,49 ,677 ,캐나다,캐나다,,(주)엣나인필름,15세이상관람가,"미스터리,드라마",찰스 비네임,"브루스 그린우드,자비에 돌란"
11,한여름의 판타지아,2015-06-11,71190800 ,0.003,74646900 ,8719 ,9193 ,46 ,656 ,한국,"한국,일본",모쿠슈라,㈜인디스토리,전체관람가,드라마,장건재,"김새벽,이와세 료,임형국"
12,카이트,2015-06-11,45844000 ,0.002,45844000 ,7787 ,7787 ,50 ,112 ,미국,미국,,(주)누리픽쳐스,청소년관람불가,"범죄,액션",랄프 지만,"사무엘 L. 잭슨,인디아 아이슬리,캘런 맥오리피"
13,트립 투 이탈리아,2015-06-04,34080400 ,0.001,131192800 ,4358 ,16970 ,31 ,347 ,영국,영국,,찬란,15세이상관람가,"코미디,드라마",마이클 윈터바텀,"스티브 쿠건,롭 브라이든"
14,극비수사,2015-06-18,30415000 ,0.001,50059000 ,4072 ,6663 ,18 ,25 ,한국,한국,"(주)제이콘컴퍼니,(주)영화사신세계",(주)쇼박스,15세이상관람가,"드라마,범죄",곽경택,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철"
15,홈,2015-05-21,28328200 ,0.001,2680332091 ,3679 ,359018 ,94 ,348 ,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,판타지",팀 존슨,"짐 파슨스,리한나,제니퍼 로페즈,스티브 마틴"
16,어벤져스: 에이지 오브 울트론,2015-04-23,25545100 ,0.001,88581112366 ,3239 ,10494314 ,33 ,256 ,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",조스 웨던,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,돈 치들,애런 존슨,엘리자베스 올슨,폴 베타니,코비 스멀더스,제임스 스페이더,사무엘 L. 잭슨,수현"
17,세컨 찬스,2015-06-11,20511000 ,0.001,23079300 ,2607 ,2885 ,29 ,269 ,덴마크,덴마크,,"(주)영화사오원,(주)브리즈픽처스",청소년관람불가,드라마,수잔 비에르,"니콜라이 코스터 왈도,마리아 보네비에,니꼴라이 리 카스,율리히 톰센"
18,나의 절친 악당들,2015-06-25,19613000 ,0.001,19613000 ,2374 ,2374 ,9 ,10 ,한국,한국,"휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),청소년관람불가,"범죄,액션,드라마",임상수,"류승범,고준희,류현경,샘 오취리,김응수,정원중,양익준,김주혁,이정배,임상수,정인호,최보람,안상완,윤여정,이래규,한효준,홍성훈,이상미,홍의정,이상화,김태영,김형규"
19,신은 죽지 않았다,2015-04-16,15538000 ,0.001,275006000 ,2101 ,37212 ,5 ,55 ,미국,미국,,"(주)씨타마운틴픽쳐스,(주)에스와이코마드",12세이상관람가,드라마,해롤드 크론크,"쉐인 하퍼,케빈 소르보,트리샤 라파체,코리 올리버,하딜 싯투"
20,경성학교: 사라진 소녀들,2015-06-18,16519500 ,0.001,21919500 ,2083 ,2758 ,6 ,9 ,한국,한국,"청년필름(주),비밀의화원",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"미스터리,드라마",이해영,"박보영,엄지원,박소담,공예지,주보비,박성연,심희섭,고원희,박주희,이혜리,박지선,조원철,최영근,최지명,신수연,김경애,김대성,김대호,오현정,김동현,이다희,황석영,이연정,이예은,이은경,윤정미,서미지"
21,령 : 저주받은 사진,2015-06-04,14716900 ,0.001,270994753 ,1864 ,35639 ,29 ,253 ,일본,일본,,(주)스톰픽쳐스코리아,15세이상관람가,공포(호러),아사토 마리,"나카조 아야미,모리카와 아오이,야마야 카스미"
22,카라마조프가의 형제들,,3112000 ,0,4652000 ,1546 ,2316 ,1 ,16 ,미국,미국,,,,드라마,리차드 브룩스,"율 브린너,마리아 쉘"
23,베스트 오브 미,2015-06-18,8802000 ,0,8802000 ,978 ,978 ,3 ,3 ,미국,미국,,메가박스(주)플러스엠,15세이상관람가,"드라마,멜로/로맨스",마이클 호프만,"미셸 모나한,제임스 마스던,라이아나 리버라토,루크 브레이시"
24,피치 퍼펙트: 언프리티 걸즈,2015-05-28,7369500 ,0,591516497 ,883 ,75598 ,8 ,74 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,뮤지컬",엘리자베스 뱅크스,"안나 켄드릭,헤일리 스테인펠드,레벨 윌슨"
25,하나와 앨리스: 살인사건,2015-05-27,6806500 ,0,104643100 ,826 ,13326 ,10 ,67 ,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,이와이 슌지,"아오이 유우,스즈키 안"
26,성난 화가,2015-06-18,6366000 ,0,8230000 ,824 ,1057 ,2 ,3 ,한국,"한국,에스토니아",(주)트리필름,(주)트리필름,청소년관람불가,액션,전규환,"유준상,문종원,이주영,박효진,권민철,이은호,황석하"
27,네이든,2015-06-25,6311000 ,0,8065000 ,779 ,1029 ,2 ,4 ,영국,영국,,(주)블룸즈베리리소시스리미티드,12세이상관람가,드라마,모건 매튜스,"아사 버터필드,샐리 호킨스,라프 스팰"
28,투모로우랜드,2015-05-27,5962900 ,0,2082790000 ,754 ,265727 ,13 ,91 ,미국,미국,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,미스터리,SF",브래드 버드,"조지 클루니,휴 로리,브릿 로버트슨"
29,전송가,,1238000 ,0,9887000 ,619 ,4926 ,1 ,10 ,미국,미국,유니버셜 픽쳐스,,,"전쟁,드라마",더글라스 서크,"록 허드슨,안나 카스피,댄 두리아,돈 드 프레,마사 하이어"
30,마이 페어 웨딩,2015-06-04,4480500 ,0,32981500 ,604 ,4300 ,16 ,135 ,한국,한국,(주)레인보우팩토리,(주)영화사 진진,12세이상관람가,다큐멘터리,장희선,"김조광수,김승환,한가람,김선경,김용균,김태용,김현주,소준문,백재호,윤소라,이원재,이윤정,이준호"
31,위아영,2015-05-14,4864000 ,0,485933360 ,595 ,60780 ,6 ,27 ,미국,미국,,"(주)브리즈픽처스,(주)영화사오원",15세이상관람가,"코미디,드라마",노아 바움백,"벤 스틸러,나오미 왓츠,아만다 사이프리드,아담 드라이버"
32,사이코패스,2015-05-28,4782500 ,0,187453000 ,553 ,23153 ,4 ,44 ,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,판타지,스릴러,범죄,SF",시오타니 나오요시,"하나자와 카나,세키 토모카즈"
33,도쿄 트라이브,2015-06-18,4409000 ,0,5129974 ,516 ,613 ,3 ,16 ,일본,일본,,어뮤즈,청소년관람불가,액션,소노 시온,"스즈키 료헤이,소메타니 쇼타"
34,호야와 토리: 드래곤 숲의 비밀,2015-06-04,3025000 ,0,41632200 ,510 ,6002 ,26 ,85 ,일본,일본,,(주)팝엔터테인먼트,전체관람가,애니메이션,하타 마사미,
35,말할 수 없는 비밀,2008-01-10,4283000 ,0,1106986400 ,490 ,156751 ,6 ,33 ,대만,"대만,홍콩",,"(주)엔케이컨텐츠,(주)스폰지이엔티",12세이상관람가,"멜로/로맨스,드라마",주걸륜,"주걸륜,계륜미,황추생,증개현"
36,애인,2015-06-17,2454000 ,0,2454000 ,457 ,457 ,20 ,20 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,,"문주연,최준열"
37,애정이 꽃피는 나무,,896000 ,0,2505000 ,448 ,1248 ,1 ,9 ,미국,미국,메트로-골드윈-마이어,,,"드라마,전쟁",에드워드 디미트릭,"몽고메리 클리프트,엘리자베스 테일러,에바 마리 세인트"
38,폼페이 최후의 날,1976-01-31,838000 ,0,7573000 ,425 ,3746 ,1 ,16 ,이탈리아,"이탈리아,스페인,서독",,,,드라마,마리오 보나드,"크리스틴 카우프먼,스티브 리브스"
39,누레예프 갈라,2015-06-11,7298500 ,0,7298500 ,418 ,418 ,7 ,27 ,독일,독일,,그린나래미디어(주),전체관람가,공연,발레리 오브샤니코프,
40,스틸 앨리스,2015-04-29,3101000 ,0,868122546 ,400 ,112469 ,5 ,25 ,미국,미국,,그린나래미디어(주),12세이상관람가,드라마,"리처드 글랫저,워시 웨스트모어랜드","줄리안 무어,알렉 볼드윈,크리스틴 스튜어트,케이트 보스워스"
41,아름다운 팔도강산,1972-01-01,783000 ,0,9749000 ,389 ,4873 ,1 ,14 ,한국,한국,보한산업,,,드라마,강혁,"김희갑,황정순"
42,심야식당,2015-06-18,2991944 ,0,9059444 ,388 ,1141 ,1 ,3 ,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,마츠오카 조지,"코바야시 카오루,오다기리 조,타카오카 사키"
43,정글번치: 너구리 해적단과 보물지도,2015-06-25,3096000 ,0,6712000 ,387 ,839 ,24 ,26 ,프랑스,프랑스,,(주)팝엔터테인먼트,전체관람가,애니메이션,에즈라 와이즈,
44,외출,2015-06-11,2090000 ,0,2090000 ,371 ,371 ,20 ,26 ,한국,한국,(주)영화사 사계절,(주)영화사 사계절,청소년관람불가,멜로/로맨스,기대호,"정서윤,전현수"
45,언프렌디드: 친구삭제,2015-05-07,2528000 ,0,1644210941 ,360 ,219690 ,1 ,7 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",레오 가브리아제,"샐리 헤닝,모세 제이콥 스톰,윌 펠츠,헤더 소서맨"
46,윈터 슬립,2015-05-07,2760000 ,0,56922300 ,345 ,7295 ,5 ,19 ,터키,"터키,프랑스,독일",,㈜영화사 백두대간,15세이상관람가,드라마,누리 빌제 세일란,"할룩 빌기너,멜리사 소젠,드멧 아크백,네잣 이슬러"
47,미스 줄리,2015-06-18,2286000 ,0,4203000 ,332 ,568 ,1 ,2 ,노르웨이,"노르웨이,영국,캐나다,미국,프랑스,아일랜드",,그린나래미디어(주),15세이상관람가,드라마,리브 울만,"제시카 차스테인,콜린 파렐"
48,리틀 포레스트 2: 겨울과 봄,2015-05-14,2296944 ,0,69767544 ,327 ,9119 ,4 ,24 ,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,모리 준이치,"하시모토 아이,마츠오카 마유"
49,마돈나,2015-07-02,2608000 ,0,2608000 ,326 ,326 ,1 ,1 ,한국,한국,준필름,(주)리틀빅픽쳐스,청소년관람불가,드라마,신수원,"서영희,권소현,김영민,변요한,박지영,조정문,최성대,최윤,탁도연,오성택,윤보라,김세미,이상희,이선영,박남혁,유순철,노수산나,최희진,박현영"
50,진홍의 도적,,616000 ,0,616000 ,308 ,308 ,1 ,12 ,미국,미국,,,,"액션,코미디,어드벤처",로버트 시오드막,"버트 랭카스터,닉 크라바트"
51,약장수,2015-04-23,912000 ,0,313238400 ,304 ,43562 ,1 ,22 ,한국,한국,(주)26컴퍼니,"(주)대명문화공장,(주)나이너스엔터테인먼트",15세이상관람가,드라마,조치언,"김인권,박철민,이주실,임석진,강일수,박지윤,박혜진,최민혁,윤준혁,이은주,김형범,장소연,조민기,이찬호"
52,루키노 비스콘티 회고전,2007-12-07,2140000 ,0,9153000 ,298 ,1343 ,1 ,3 ,기타,기타,,,,기타,,
53,자매의 화원,,568000 ,0,568000 ,284 ,284 ,1 ,12 ,한국,한국,,,,"드라마,멜로/로맨스",신상옥,
54,미드나잇 인 파리,2012-07-05,2218000 ,0,2670603034 ,265 ,360613 ,1 ,7 ,미국,"미국,스페인",,"(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트",15세이상관람가,"코미디,멜로/로맨스,판타지",우디 알렌,"오웬 윌슨,마리온 꼬띨라르,레이첼 맥아담스,애드리언 브로디"
55,뭔가 보여드리겠읍니다,1980-06-06,460000 ,0,1806000 ,230 ,903 ,1 ,5 ,한국,한국,(주)화천공사,,연소자관람가,코미디,김수형,"이주일,김윤미,이승현,김병조,이상해"
56,장수상회,2015-04-09,654000 ,0,8727869643 ,218 ,1163089 ,1 ,8 ,한국,한국,"(주)빅픽쳐,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,드라마",강제규,"박해빛나,박근형,윤여정,조진웅,한지민,황우슬혜,문가영,찬열,장문규,이준혁,윤소희,백일섭,박소연,이제욱,강석민,박지혜,정해인,최대영,최승훈,송동규,유원준,유원준,윤상훈,윤여정,이강희,임하룡,홍성일,이보영,이상수,이수지,이언정,김재화,남문철"
57,차일드 44,2015-05-28,1662000 ,0,168643231 ,216 ,21604 ,2 ,8 ,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,스릴러,다니엘 에스피노사,"톰 하디,게리 올드만,조엘 킨나만,누미 라파스,뱅상 카셀"
58,써드 퍼슨 - 감독판,2015-05-28,1649000 ,0,86849400 ,209 ,10877 ,6 ,36 ,미국,미국,,(주)프레인글로벌,청소년관람불가,"드라마,미스터리,멜로/로맨스",폴 해기스,"리암 니슨,밀라 쿠니스,애드리언 브로디,올리비아 와일드,제임스 프랭코"
59,혜경궁 홍씨,2015-06-04,2452500 ,0,9514500 ,184 ,1097 ,4 ,19 ,한국,한국,(주)컴퍼니 숨,(주)씨타마운틴픽쳐스,12세이상관람가,"공연,사극,드라마",장동홍,"김소희,윤여성,정태화,이동준,이승헌,황석정"
60,와일드 테일즈: 참을 수 없는 순간,2015-05-21,1416000 ,0,36904600 ,181 ,4560 ,4 ,10 ,스페인,"스페인,아르헨티나",,와이드 릴리즈(주),청소년관람불가,"코미디,스릴러",데미안 스지프론,"리카르도 다린,레오나르도 스바라글리아,다리오 그랜디네티"
61,러브 이즈 크라임,2015-05-30,1253000 ,0,1522000 ,179 ,226 ,2 ,5 ,프랑스,"프랑스,스위스",,(주)더블앤조이픽쳐스,청소년관람불가,"드라마,스릴러","아르노 라리외,장-마리 라리외","마티유 아말릭,카린 비아르,마이웬 르 베스코,사라 포레스티에"
61,우리 생애 최고의 해,,358000 ,0,1214884 ,179 ,2045 ,1 ,6 ,미국,미국,사무엘 골드윈 컴퍼니,,,"멜로/로맨스,드라마",윌리엄 와일러,"미르나 로이,프레드릭 마치,다나 앤드류스,테레사 라이트"
63,리스본행 야간열차,2014-06-05,1365000 ,0,591220336 ,166 ,76581 ,1 ,3 ,독일,"독일,스위스,포르투갈",,(주)나이너스엔터테인먼트,15세이상관람가,"미스터리,멜로/로맨스,스릴러",빌 어거스트,"제레미 아이언스,멜라니 로랑,잭 휴스턴,마르티나 게덱"
64,마지막 4중주,2013-07-25,1352000 ,0,815800000 ,165 ,108717 ,1 ,4 ,미국,미국,,(주)티캐스트,15세이상관람가,드라마,야론 질버만,"필립 세이모어 호프만,크리스토퍼 월켄,캐서린 키너,마크 이바니르"
65,말하지 못한 비밀,2015-10-22,1120000 ,0,1120000 ,160 ,160 ,1 ,1 ,한국,한국,디와이엔터테인먼트 주식회사,(주)씨타마운틴픽쳐스,청소년관람불가,드라마,송동윤,"우주원,신재승,신지수,고아라,최진환,채기준,김선영,김소연,양윤정,김재혁,김주희,신영규,문백현,성민수"
66,007 살인번호,,323000 ,0,15256000 ,155 ,7581 ,1 ,4 ,영국,영국,,,,"액션,어드벤처",테렌스 영,"숀 코네리,우슬라 안드레스,버나드 리"
67,리틀드래곤 코코넛,2015-07-02,952000 ,0,952000 ,136 ,136 ,1 ,1 ,독일,독일,,(주)영화사 빅,전체관람가,애니메이션,"허버트 베일란드,니나 웰스",
68,데모닉,2015-06-25,810000 ,0,1802000 ,135 ,259 ,1 ,1 ,미국,"미국,영국",,(주)와우픽쳐스,15세이상관람가,"공포(호러),스릴러",윌 캐논,"마리아 벨로,프랭크 그릴로,코디 혼"
68,"알로, 슈티",2015-07-02,810000 ,0,810000 ,135 ,135 ,1 ,1 ,프랑스,프랑스,,"(주)프레인글로벌,(주)콘텐츠판다",12세이상관람가,코미디,대니 분,"카드 메라드,대니 분,조 펠릭스,안네 마리빈"
70,그레이트 뷰티,2014-06-12,1014000 ,0,332805373 ,128 ,43210 ,1 ,3 ,이탈리아,"이탈리아,프랑스",,(주)영화사 진진,청소년관람불가,드라마,파올로 소렌티노,토니 세르빌로
71,루키노 비스콘티 특별전,,887000 ,0,7021000 ,127 ,1257 ,1 ,1 ,이탈리아,이탈리아,,,,기타,,
72,돈 조반니,2015-06-06,3190500 ,0,5741500 ,125 ,230 ,6 ,15 ,독일,독일,,(주)케빈앤컴퍼니,12세이상관람가,공연,크리스토프 에센바흐,
73,세비야의 이발사,2015-06-06,2890500 ,0,7404000 ,115 ,303 ,4 ,11 ,미국,미국,,(주)인스터피씨엠,전체관람가,공연,미켈레 마리오티,
74,알라모,,226000 ,0,226000 ,113 ,113 ,1 ,3 ,미국,미국,,,,전쟁,존 웨인,"존 웨인,리차드 위드마크,프랭키 아발론"
75,키스 미 어게인,2015-06-11,823000 ,0,823000 ,104 ,104 ,2 ,22 ,이탈리아,"이탈리아,프랑스",,㈜영화사 백두대간,청소년관람불가,드라마,가브리엘 무치노,"스테파노 아코르시,비토리아 푸치니,발레리아 브루니 테데쉬,피에르프란체스코 파비노"
76,커밍 홈,2015-05-28,632000 ,0,4734000 ,100 ,773 ,3 ,14 ,스웨덴,"스웨덴,아이슬란드",,(재)영화의전당,12세이상관람가,"드라마,멜로/로맨스",막시밀리언 훌트,"모아 감멜,아니타 월,시몬 J. 베르거,에리크 룬드퀴비스트"
77,다이노 타임,2015-04-30,640500 ,0,2098134900 ,98 ,283069 ,3 ,25 ,한국,"한국,미국",주식회사 토이온,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,코미디","최윤석,존 카프카","멜라니 그리피스,제인 린치,윌리엄 볼드윈,스티븐 볼드윈,롭 슈나이더,유리 로웬탈"
78,그녀,2014-05-22,485000 ,0,2863937600 ,97 ,351527 ,1 ,1 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스",스파이크 존즈,"호아킨 피닉스,스칼렛 요한슨,에이미 아담스,루니 마라"
79,비비안 마이어를 찾아서,2015-04-30,673000 ,0,146519700 ,93 ,18322 ,3 ,15 ,미국,미국,,오드,전체관람가,다큐멘터리,"존 말루프,찰리 시스켈",
80,산다,2015-05-21,691000 ,0,32359200 ,92 ,4361 ,6 ,30 ,한국,한국,"세컨드윈드 필름,(유)산다문화산업전문회사",(주)리틀빅픽쳐스,청소년관람불가,드라마,박정범,"박정범,이승연,근휘,이재동,이재복,이찬호,장민애,전용선,전지현,고상훈,정동구,서진원,서호영,성민지,성민지,최소영,최수복,신시정,신유경,신준호,신혜진,오현석,유보라,이두희,허은실,현용주,황경현,이성호,이수진,이승연,이승준,이은미,이은우,주영호,박희본"
81,연평해전,2015-06-24,677000 ,0,45773000 ,91 ,6172 ,2 ,2 ,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일"
82,후궁탈출,2015-06-03,1716000 ,0,4062500 ,87 ,212 ,10 ,17 ,프랑스,프랑스,,에스디시코리아 주식회사,전체관람가,공연,자보 브리트만,
