순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,엑스맨: 아포칼립스,2016-05-25,13694356220 ,0.456,15693029920 ,1604297 ,1907570 ,1262 ,35904 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",브라이언 싱어,"제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,오스카 아이삭,니콜라스 홀트,로즈 번,타이 쉐리던,소피 터너,올리비아 문,루카스 틸"
2,곡성,2016-05-12,7429659215 ,0.248,47626158121 ,915150 ,5878158 ,914 ,23401 ,한국,한국,"사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),15세이상관람가,"미스터리,스릴러,드라마",나홍진,"곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경"
3,아가씨,2016-06-01,2286850020 ,0.076,2297479020 ,299243 ,300792 ,1016 ,4749 ,한국,한국,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",씨제이이앤엠(주),청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재"
4,앵그리버드 더 무비,2016-05-19,1371632100 ,0.046,3529106844 ,178804 ,460744 ,556 ,4189 ,미국,"미국,핀란드",,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"퍼갈 레일리,클레이 케이티스",
5,싱 스트리트,2016-05-19,1277619212 ,0.043,3196773664 ,155505 ,394504 ,410 ,5350 ,아일랜드,"아일랜드,영국,미국",,(주)이수C&E,15세이상관람가,"드라마,멜로/로맨스",존 카니,"퍼디아 월시-필로,루시 보인턴,잭 레이너"
6,계춘할망,2016-05-19,980177500 ,0.033,3160376148 ,130769 ,418734 ,441 ,5522 ,한국,한국,"지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",(주)콘텐츠 난다긴다,15세이상관람가,"가족,드라마",창,"윤여정,김고은,김희원,신은정,최민호,류준열,양익준,박민지,남태부,강경탁,안지혜,이상화,이슬비,이윤혁"
7,나의 소녀시대,2016-05-12,849648500 ,0.028,2688043000 ,101494 ,328710 ,195 ,3191 ,대만,대만,,오드,15세이상관람가,"멜로/로맨스,드라마",프랭키 첸,"송운화,왕대륙"
8,캡틴 아메리카: 시빌 워,2016-04-27,462976000 ,0.015,72546741227 ,57389 ,8661727 ,242 ,2439 ,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,SF,스릴러","안소니 루소,조 루소","크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨,세바스찬 스탠,안소니 마키,돈 치들,제레미 레너,톰 홀랜드"
9,오베라는 남자,2016-05-25,370837988 ,0.012,464704088 ,46850 ,59349 ,255 ,2700 ,스웨덴,스웨덴,,"(주)싸이더스,(주)디스테이션",12세이상관람가,드라마,하네스 홀름,"롤프 라스가드,바하르 파르스,필립 버그,이다 엥볼"
10,미 비포 유,2016-06-01,189314900 ,0.006,233718900 ,25214 ,30537 ,384 ,1415 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"멜로/로맨스,드라마",테아 샤록,"에밀리아 클라크,샘 클라플린,매튜 루이스"
