순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,앤트맨,2015-09-03,7436296755 ,0.335,20897130255 ,902325 ,2506008 ,869 ,28587 ,미국,"미국,영국",,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,SF",페이튼 리드,"폴 러드,마이클 더글라스,에반젤린 릴리,코리 스톨"
2,베테랑,2015-08-05,4317642200 ,0.195,98802837132 ,543930 ,12608910 ,674 ,19015 ,한국,한국,(주)외유내강,씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,김성종,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류선영,정재헌,안길강,마동석,김응수"
3,사도,2015-09-16,1924541700 ,0.087,1989663700 ,256376 ,264692 ,1123 ,6138 ,한국,한국,(주)타이거픽쳐스,(주)쇼박스,12세이상관람가,사극,이준익,"송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,안태훈,조승연"
4,함정,2015-09-10,1891567500 ,0.085,1950161500 ,231233 ,240411 ,445 ,8670 ,한국,한국,(주)데이드림 엔터테인먼트,(주)인벤트스톤,청소년관람불가,"스릴러,범죄",권형진,"마동석,조한선,김민경,지안,이정원,최선주,하태웅"
5,뷰티 인사이드,2015-08-20,1343911019 ,0.061,15903977131 ,166888 ,2022274 ,363 ,6791 ,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"판타지,멜로/로맨스",백,"오상철,한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,유재상,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,이미도,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,신동미,이진성,김시은"
6,암살,2015-07-22,914804300 ,0.041,98159952481 ,117979 ,12665466 ,379 ,5332 ,한국,한국,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭"
7,메이즈 러너: 스코치 트라이얼,2015-09-16,870327600 ,0.039,930275600 ,113185 ,119859 ,680 ,3385 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍"
8,셀프/리스,2015-09-10,850911764 ,0.038,855353764 ,108232 ,108752 ,340 ,6475 ,미국,미국,,(주)이수C&E,15세이상관람가,"SF,액션,스릴러",타셈 싱,"라이언 레놀즈,벤 킹슬리,매튜 구드"
9,오피스,2015-09-03,791925481 ,0.036,3439559230 ,101188 ,438377 ,337 ,5621 ,한국,한국,(주)영화사꽃,(주)리틀빅픽쳐스,15세이상관람가,"스릴러,미스터리",홍원찬,"고아성,박성웅,배성우,김의성,류현경,이채은,오대환,박정민,이정환,최철수,안지혜,이성진,이영수,최병모,기주봉"
10,스트레이트 아웃 오브 컴턴,2015-09-10,286602100 ,0.013,291890100 ,34263 ,34849 ,185 ,2123 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,드라마,F. 게리 그레이,"오셔 잭슨 주니어,코리 호킨스,제이슨 미첼,닐 브라운 주니어,알디스 호지,폴 지아마티"
