순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,판도라,2016-12-07,11849496052 ,0.367,27213681962 ,1496263 ,3443787 ,1184 ,32053 ,한국,한국,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성"
2,라라랜드,2016-12-07,6046210338 ,0.187,12766772278 ,715177 ,1509356 ,710 ,16258 ,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",다미엔 차젤레,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
3,"당신, 거기 있어줄래요",2016-12-14,5398419648 ,0.167,6221235648 ,674610 ,784933 ,767 ,22636 ,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",홍지영,"김윤석,변요한,채서진,김상호,안세하,박혜수,김호정,한한나"
4,마스터,2016-12-21,3138736100 ,0.097,3158169100 ,413802 ,416300 ,1448 ,6735 ,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,오달수,진경,김정우,장한별"
5,형,2016-11-23,1416873100 ,0.044,23009712093 ,183806 ,2965327 ,475 ,7649 ,한국,한국,굿초이스컷픽쳐스(주),씨제이이앤엠(주),12세이상관람가,"코미디,드라마",권수경,"조정석,도경수,박신혜,권지훈,김승아,김진희,이연수"
6,신비한 동물사전,2016-11-16,931016000 ,0.029,39088221458 ,115762 ,4636348 ,346 ,3811 ,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,가족,판타지",데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이"
7,아기배달부 스토크,2016-12-07,834646900 ,0.026,2275144600 ,110998 ,300307 ,475 ,3136 ,미국,미국,,워너브러더스 코리아(주),전체관람가,애니메이션,"니콜라스 스톨러,더그 스윗랜드","앤디 샘버그,켈시 그래머,제니퍼 애니스턴,티 버렐"
8,원피스 필름 골드,2016-12-08,415652300 ,0.013,1681945600 ,52993 ,212742 ,281 ,2160 ,일본,일본,,씨제이이앤엠(주),12세이상관람가,"애니메이션,어드벤처,판타지,액션",미야모토 히로아키,"타나카 마유미,나카이 카즈야,오카무라 아케미,야마구치 캇페이,히라타 히로아키,오오타니 이쿠에,야마구치 유리코,야오 카즈키"
9,미씽: 사라진 여자,2016-11-30,399968210 ,0.012,8874696256 ,52132 ,1152177 ,281 ,3342 ,한국,한국,다이스필름(주),메가박스(주)플러스엠,15세이상관람가,미스터리,이언희,"서하늬,엄지원,공효진,강태수,김광호,김석태,김용철,김해일,서인덕,안재만"
10,목숨 건 연애,2016-12-14,258534300 ,0.008,337588800 ,34340 ,45108 ,393 ,4591 ,한국,한국,(주)비에이엔터테인먼트,오퍼스픽쳐스,15세이상관람가,"멜로/로맨스,코미디",송민규,"하지원,천정명,진백림,윤소희,오정세,송민정,정다원,정다원,이동욱,이병희,이상미,지동주,최주형,홍주만,권지훈,김용학,김유이"
