순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,샌 안드레아스,2015-06-03,9022143369,0.468,9838676269,1042976,1138629,847,31028,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,드라마,스릴러",브래드 페이튼,"드웨인 존슨,알렉산드리아 다다리오"
2,매드 맥스: 분노의 도로,2015-05-14,3339673822,0.173,30281207045,408188,3521226,536,16074,미국,"미국,호주",,워너브러더스 코리아(주),15세이상관람가,"액션,어드벤처,스릴러",조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼"
3,스파이,2015-05-21,2972738178,0.154,16418490058,370002,2069785,475,13917,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,코미디",폴 페이그,"주드 로,제이슨 스타뎀,멜리사 맥카시"
4,은밀한 유혹,2015-06-04,952358247,0.049,979617247,121633,124999,394,12405,한국,한국,"(주)영화사비단길,(주)수필름",씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,범죄",윤재구,"임수정,유연석,이경영,박철민,진경,도희,조희성,최민우,이광수,홍정표,민혜경,이동훈,곽민호"
5,간신,2015-05-21,767571500,0.04,8411123910,95087,1043580,313,5613,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,사극,민규동,"주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류선영,김강일,정만식,최일화"
6,악의 연대기,2015-05-14,587973600,0.031,17154878832,74035,2165757,278,4619,한국,한국,(주)비에이엔터테인먼트,씨제이이앤엠(주),15세이상관람가,스릴러,백운학,"손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,김태강,정원중,지대한,장준녕,정준원"
7,무뢰한,2015-05-27,492447900,0.026,3077097331,60921,391830,294,5236,한국,한국,(주)사나이픽처스,CGV아트하우스,청소년관람불가,멜로/로맨스,오승욱,"김남길,전도연,박성웅,곽도원,김민재,강태영,박지환,정재웅,조민지,조원희,송승현,오하늬,유지연,하은진,이동진,이학주,정재헌,지승현"
8,령 : 저주받은 사진,2015-06-04,250256853,0.013,256277853,33106,33775,253,3604,일본,일본,,(주)스톰픽쳐스코리아,15세이상관람가,공포(호러),아사토 마리,"나카조 아야미,모리카와 아오이,야마야 카스미"
9,투모로우랜드,2015-05-27,162891600,0.008,2076827100,21191,264973,208,2422,미국,미국,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,미스터리,SF",브래드 버드,"조지 클루니,휴 로리,브릿 로버트슨"
10,홈,2015-05-21,159509500,0.008,2652003891,20594,355339,244,1243,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,판타지",팀 존슨,"짐 파슨스,리한나,제니퍼 로페즈,스티브 마틴"
11,어벤져스: 에이지 오브 울트론,2015-04-23,89611300,0.005,88555567266,11143,10491075,76,680,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",조스 웨던,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,돈 치들,애런 존슨,엘리자베스 올슨,폴 베타니,코비 스멀더스,제임스 스페이더,사무엘 L. 잭슨,수현"
12,트립 투 이탈리아,2015-06-04,79308300,0.004,97112400,10314,12612,51,836,영국,영국,,찬란,15세이상관람가,"코미디,드라마",마이클 윈터바텀,"스티브 쿠건,롭 브라이든"
13,피치 퍼펙트: 언프리티 걸즈,2015-05-28,49025600,0.003,584146997,6173,74715,36,391,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,뮤지컬",엘리자베스 뱅크스,"안나 켄드릭,헤일리 스테인펠드,레벨 윌슨"
14,호야와 토리: 드래곤 숲의 비밀,2015-06-04,35199200,0.002,38607200,5066,5492,198,1036,일본,일본,,(주)팝엔터테인먼트,전체관람가,애니메이션,하타 마사미,
15,사이코패스,2015-05-28,28884500,0.001,182670500,3590,22600,42,335,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,판타지,스릴러,범죄,SF",시오타니 나오요시,"하나자와 카나,세키 토모카즈"
16,에벌리,2015-06-04,18036500,0.001,20988500,2839,3223,47,227,미국,미국,,와이드 릴리즈(주),청소년관람불가,액션,조 린치,셀마 헤이엑
17,쥬라기 월드,2015-06-11,36802000,0.002,36802000,2761,2761,7,8,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오"
18,극비수사,2015-06-18,19644000,0.001,19644000,2591,2591,5,12,한국,한국,"(주)제이콘컴퍼니,(주)영화사신세계",(주)쇼박스,15세이상관람가,"드라마,범죄",곽경택,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철"
19,차일드 44,2015-05-28,18957000,0.001,166981231,2415,21388,14,62,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,스릴러,다니엘 에스피노사,"톰 하디,게리 올드만,조엘 킨나만,누미 라파스,뱅상 카셀"
20,하나와 앨리스: 살인사건,2015-05-27,17190500,0.001,97836600,2112,12500,26,217,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,이와이 슌지,"아오이 유우,스즈키 안"
21,스틸 앨리스,2015-04-29,16286500,0.001,865021546,2025,112069,29,200,미국,미국,,그린나래미디어(주),12세이상관람가,드라마,"리처드 글랫저,워시 웨스트모어랜드","줄리안 무어,알렉 볼드윈,크리스틴 스튜어트,케이트 보스워스"
22,위아영,2015-05-14,13081000,0.001,481069360,1509,60185,18,115,미국,미국,,"(주)브리즈픽처스,(주)영화사오원",15세이상관람가,"코미디,드라마",노아 바움백,"벤 스틸러,나오미 왓츠,아만다 사이프리드,아담 드라이버"
