순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,내부자들,2015-11-19,9976545630 ,0.44,42001630767 ,1233268 ,5252720 ,1022 ,34052 ,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명"
2,하트 오브 더 씨,2015-12-03,3892207200 ,0.172,3908735200 ,454472 ,456173 ,535 ,16668 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,드라마",론 하워드,"크리스 헴스워스,킬리언 머피,벤 위쇼,샬롯 라일리,브렌단 글리슨,벤자민 워커"
3,검은 사제들,2015-11-05,1876135300 ,0.083,40832393092 ,244096 ,5234899 ,443 ,9203 ,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철"
4,극적인 하룻밤,2015-12-03,1922764182 ,0.085,1934049182 ,236360 ,237722 ,434 ,12674 ,한국,한국,"(주)연우무대,(주)인사이드픽쳐스",CGV아트하우스,청소년관람불가,"멜로/로맨스,코미디",하기호,"윤계상,한예리,박효주,조복래,박병은,정수영,조영균,하정완,한정국,김수정,한지은,이지훈,정수연,김재화,박현지,진선규,김의성"
5,열정같은소리하고있네,2015-11-25,1038952718 ,0.046,4283136202 ,142262 ,587004 ,407 ,7187 ,한국,한국,반짝반짝영화사(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정기훈,"정재영,박보영,오달수,배성우,류덕환,류현경,진경,윤균상,최홍원,김보람,김정훈,서동원,신정훈,육진영,이미경,이상훈,이영진,이병준,유하복"
6,시카리오: 암살자의 도시,2015-12-03,599466652 ,0.026,606915652 ,75549 ,76497 ,227 ,3907 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"범죄,미스터리,스릴러",드니 빌뇌브,"에밀리 블런트,베니치오 델 토로,조슈 브롤린"
7,사우스포,2015-12-03,561641748 ,0.025,674070748 ,74976 ,88833 ,335 ,5753 ,미국,미국,,씨네그루(주)다우기술,15세이상관람가,"드라마,액션",안톤 후쿠아,"제이크 질렌할,레이첼 맥아담스,포레스트 휘테커,나오미 해리스"
8,헝거게임: 더 파이널,2015-11-18,450472700 ,0.02,5878065263 ,59105 ,781263 ,186 ,2415 ,미국,미국,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처",프란시스 로렌스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,필립 세이모어 호프만,줄리안 무어,우디 해럴슨,엘리자베스 뱅크스,도날드 서덜랜드"
9,맥베스,2015-12-03,385821800 ,0.017,396129800 ,51236 ,52455 ,141 ,2119 ,영국,"영국,프랑스,미국",,판씨네마(주),15세이상관람가,드라마,저스틴 커젤,"마이클 패스벤더,마리옹 꼬띠아르"
10,괴물의 아이,2015-11-25,358084100 ,0.016,1358949316 ,48005 ,183473 ,197 ,1840 ,일본,일본,,"CGV아트하우스,(주)리틀빅픽쳐스",12세이상관람가,"애니메이션,판타지,어드벤처",호소다 마모루,"야쿠쇼 코지,미야자키 아오이,소메타니 쇼타,히로세 스즈"
11,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,2015-11-26,248153300 ,0.011,644749200 ,33597 ,87593 ,266 ,1380 ,일본,일본,,"(주)스마일이엔티,(주)영화사오원",전체관람가,"액션,SF",와타나베 카츠야,"시손 쥰,세키네 츠토무"
12,도리화가,2015-11-25,222863300 ,0.01,2219117339 ,32422 ,312801 ,224 ,2313 ,한국,한국,"(주)영화사 담담,(주)어바웃필름",씨제이이앤엠(주),12세이상관람가,"사극,드라마",이종필,"류승룡,배수지,송새벽,김남길,이동휘,안재홍,김태훈,조정숙,황태양,권유진,김은지,김은지,김정곤,박선,박솔지,박윤호,이광호,이상우,이유나,이윤정,이준,이지은,이혜진,진선규"
13,이터널 선샤인,2005-11-10,189180500 ,0.008,3378146400 ,22771 ,447033 ,61 ,735 ,미국,미국,포커스피쳐스,"(주)노바미디어,코리아픽쳐스(주)",15세관람가,멜로/로맨스,미셸 공드리,"짐 캐리,케이트 윈슬렛,커스틴 던스트,마크 러팔로,일라이저 우드"
14,007 스펙터,2015-11-11,122188300 ,0.005,14241563930 ,15648 ,1813088 ,52 ,603 ,영국,"영국,미국",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,범죄,스릴러",샘 멘데스,"다니엘 크레이그,레아 세이두,크리스토프 왈츠,모니카 벨루치"
15,대호,2015-12-16,107586000 ,0.005,112311000 ,12863 ,13538 ,23 ,46 ,한국,한국,(주)사나이픽처스,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,사극,박훈정,"최민식,정만식,김상호,성유빈,오스기 렌,정석원,김홍파,라미란,이은우,현승민,우정국,박인수,김진혁,양준호,양호성,윤성민,이상민,장한별,주창욱,남연우,유재명,박지환"
16,스윗 프랑세즈,2015-12-03,93583800 ,0.004,123955800 ,12585 ,16723 ,94 ,1068 ,영국,"영국,프랑스,미국",,그린나래미디어(주),15세이상관람가,"멜로/로맨스,전쟁",사울 딥,"미쉘 윌리엄스,마티아스 쇼에나에츠"
17,프리덤,2015-11-19,71093900 ,0.003,600943000 ,10436 ,84807 ,53 ,416 ,미국,미국,,(주)씨타마운틴픽쳐스,12세이상관람가,"드라마,가족",피터 쿠센스,"쿠바 구딩 주니어,베르나르드 포처,윌리엄 새들러"
18,렛 미 인,2008-11-13,63122900 ,0.003,665306700 ,8322 ,98487 ,58 ,729 ,스웨덴,스웨덴,,"씨네그루(주)다우기술,(주)영화사구안",15세이상관람가,"공포(호러),드라마",토마스 알프레드슨,"카레 헤레브란트,리나 레안데르손"
19,히말라야,2015-12-16,48209000 ,0.002,48209000 ,6690 ,6690 ,13 ,26 ,한국,한국,(주)제이케이필름,씨제이이앤엠(주),12세이상관람가,드라마,이석훈,"황정민,정우,조성하,김인권,라미란,김원해,이해영,전배수,정유미,유선,한명환,김재준,박민우,배상민,이춘우,이혜진,최종률"
20,파더 앤 도터,2015-12-10,41823000 ,0.002,87599000 ,4887 ,10450 ,12 ,25 ,미국,"미국,이탈리아",,(주)박수엔터테인먼트,15세이상관람가,드라마,가브리엘 무치노,"아만다 사이프리드,러셀 크로우,아론 폴"
21,나쁜 나라,2015-12-03,29560000 ,0.001,34878000 ,4241 ,4979 ,19 ,181 ,한국,한국,4.16 세월호 참사 시민기록위원회,"배급위원회,(주)시네마달",12세이상관람가,다큐멘터리,"김진열,이수정,정일건","최경덕,박지민"
22,부에나 비스타 소셜 클럽,2001-03-01,28823100 ,0.001,171957134 ,3416 ,21971 ,20 ,177 ,독일,독일,,오드,전체관람가,다큐멘터리,빔 벤더스,"꼼빠이 세군도,조아킴 쿠더"
23,개구리왕국,2015-11-12,19696700 ,0.001,352059700 ,3265 ,51540 ,14 ,84 ,중국,중국,,예지림엔터테인먼트,전체관람가,"애니메이션,어드벤처",넬슨 신,
24,아이돌 마스터 무비 : 빛의 저편으로!,2015-11-19,22368000 ,0.001,166286000 ,3070 ,22823 ,27 ,123 ,일본,일본,,(주)머스트씨무비릴리징컴퍼니,전체관람가,애니메이션,니시고리 아츠시,
25,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,19770000 ,0.001,19770000 ,2167 ,2167 ,6 ,12 ,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기"
26,오명,,4254000 ,0,7059000 ,2122 ,3377 ,1 ,20 ,미국,미국,,,15세관람가,"멜로/로맨스,스릴러",알프레드 히치콕,"캐리 그랜트,잉그리드 버그만"
27,더 랍스터,2015-10-29,16021500 ,0.001,426457900 ,1864 ,51809 ,12 ,83 ,영국,"영국,그리스,아일랜드,네덜란드,프랑스",,"(주)영화사오원,(주)브리즈픽처스",청소년관람불가,"판타지,멜로/로맨스",요르고스 란티모스,"콜린 파렐,레이첼 와이즈,레아 세이두,벤 위쇼,존 C. 라일리"
28,나를 미치게 하는 여자,2015-12-10,9223000 ,0,56022000 ,1785 ,10572 ,7 ,8 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"코미디,멜로/로맨스",주드 아패토우,"에이미 슈머,빌 헤이더"
29,서태지밴드 콘서트투어 '콰이어트나이트',2015-11-26,14448600 ,0.001,52669600 ,1665 ,5908 ,6 ,78 ,한국,한국,(주)서태지컴퍼니,(주)서태지컴퍼니,전체관람가,공연,서태지,서태지
