순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,검은 사제들,2015-11-05,17314790654 ,0.601,17380513654 ,2175495 ,2183079 ,1088 ,37543 ,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철"
2,마션,2015-10-08,1628571300 ,0.056,38861935995 ,206527 ,4774442 ,415 ,7763 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,SF",리들리 스콧,"맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그"
3,그놈이다,2015-10-28,1608442798 ,0.056,7692304052 ,203458 ,991359 ,494 ,11747 ,한국,한국,상상필름(주),CGV아트하우스,15세이상관람가,스릴러,윤준형,"주원,유해진,이유영,류혜영,서현우,이준혁,윤석진,김민서,김현정,박지윤,장인섭,윤다경"
4,스파이 브릿지,2015-11-05,1496752798 ,0.052,1550608798 ,192084 ,198416 ,425 ,8653 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"스릴러,드라마",스티븐 스필버그,"톰 행크스,마크 라이런스,오스틴 스토웰"
5,007 스펙터,2015-11-11,1452847500 ,0.05,1454387500 ,188165 ,188319 ,991 ,4443 ,영국,"영국,미국",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,범죄,스릴러",샘 멘데스,"다니엘 크레이그,레아 세이두,크리스토프 왈츠,모니카 벨루치"
6,더 셰프,2015-11-05,1223844348 ,0.042,1252379848 ,153081 ,156680 ,409 ,10110 ,미국,미국,,(주)이수C&E,15세이상관람가,드라마,존 웰스,"브래들리 쿠퍼,시에나 밀러,오마 사이,다니엘 브륄,엠마 톰슨,우마 서먼"
7,더 폰,2015-10-22,777473100 ,0.027,12222775968 ,100801 ,1581593 ,390 ,7291 ,한국,한국,(주)미스터로맨스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"스릴러,액션",김봉주,"손현주,엄지원,배성우,김성종,권지훈,조용관,정한빈,정진근,장한별,임태훈,이확광,김성종,이병권,김경애,김광섭,이광기,김영민,김용환,김소영,김주희,김태환,김한준,서병철,백동현,이철민,노정의,장인섭,조달환,황석정"
8,인턴,2015-09-24,774447300 ,0.027,28142018648 ,96491 ,3561291 ,263 ,3849 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,코미디,낸시 마이어스,"앤 해서웨이,로버트 드니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스"
9,이터널 선샤인,2005-11-10,686404200 ,0.024,1815794500 ,82204 ,254978 ,100 ,2055 ,미국,미국,포커스피쳐스,"(주)노바미디어,코리아픽쳐스(주)",15세관람가,멜로/로맨스,미셸 공드리,"짐 캐리,케이트 윈슬렛,커스틴 던스트,마크 러팔로,일라이저 우드"
10,이스케이프,2015-11-05,326179300 ,0.011,334772300 ,42377 ,43356 ,264 ,3678 ,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,스릴러",존 에릭 도들,"오웬 윌슨,피어스 브로스넌,레이크 벨"
11,아더와 미니모이 3: 두 세계의 전쟁,2015-11-05,300460800 ,0.01,303484800 ,41625 ,42129 ,267 ,1389 ,프랑스,프랑스,,(주)라이크 콘텐츠,전체관람가,애니메이션,뤽 베송,"프레디 하이모어,미아 패로우,페니 밸포어"
12,하늘을 걷는 남자,2015-10-28,345155500 ,0.012,2234992153 ,31125 ,233642 ,154 ,1677 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,로버트 저메키스,"조셉 고든 레빗,벤 킹슬리,샬롯 르 본"
13,러브 라이브! 더 스쿨 아이돌 무비,2015-09-03,159479000 ,0.006,967541500 ,21713 ,127829 ,26 ,144 ,일본,일본,,(주)박수엔터테인먼트,전체관람가,애니메이션,쿄고쿠 타카히코,"토쿠이 소라,파일,쿠보 유리카,이이다 리호,쿠스다 아이나,난죠 요시노,미모리 스즈코,우치다 아야,닛타 에미"
14,더 랍스터,2015-10-29,95496100 ,0.003,275298800 ,11436 ,33726 ,53 ,611 ,영국,"영국,그리스,아일랜드,네덜란드,프랑스",,"(주)영화사오원,(주)브리즈픽처스",청소년관람불가,"판타지,멜로/로맨스",요르고스 란티모스,"콜린 파렐,레이첼 와이즈,레아 세이두,벤 위쇼,존 C. 라일리"
15,맨 프롬 UNCLE,2015-10-28,59248400 ,0.002,845965353 ,7369 ,108466 ,71 ,579 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,코미디",가이 리치,"헨리 카빌,아미 해머,알리시아 비칸데르,엘리자베스 데비키,휴 그랜트"
16,더 기프트,2015-11-05,52828748 ,0.002,60895248 ,6844 ,7979 ,116 ,1194 ,호주,"호주,미국",,메가박스(주)플러스엠,15세이상관람가,"미스터리,스릴러",조엘 에저튼,"조엘 에저튼,제이슨 베이트먼,레베카 홀"
17,내부자들,2015-11-19,50358000 ,0.002,79041000 ,5856 ,9393 ,15 ,26 ,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명"
18,에이미,2015-11-05,41018300 ,0.001,51637300 ,4906 ,6235 ,31 ,308 ,영국,영국,,주식회사 더쿱,청소년관람불가,다큐멘터리,아시프 카파디아,"에이미 와인하우스,마크 론슨,피트 도허티"
19,특종: 량첸살인기,2015-10-22,37063000 ,0.001,4739901118 ,4738 ,614455 ,88 ,657 ,한국,한국,"(주)우주필름,(주)뱅가드스튜디오",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,스릴러,노덕,"조정석,이미숙,이하나,김의성,배성우,김대명,태인호,김수안,김기호,김민재,오주환,이정은,최병모,윤다경"
20,사우스포,2015-12-03,31984000 ,0.001,31984000 ,3998 ,3998 ,12 ,21 ,미국,미국,,씨네그루(주)다우기술,15세이상관람가,"드라마,액션",안톤 후쿠아,"제이크 질렌할,레이첼 맥아담스,포레스트 휘테커,나오미 해리스"
21,위아 유어 프렌즈,2015-11-12,25310000 ,0.001,151004000 ,3128 ,18896 ,16 ,22 ,미국,"미국,영국,프랑스",,씨네그루(주)다우기술,청소년관람불가,"드라마,멜로/로맨스",맥스 조셉,"잭 에프런,에밀리 라타이코프스키"
22,괴물의 아이,2015-11-25,23396500 ,0.001,23396500 ,2358 ,2358 ,20 ,20 ,일본,일본,,"CGV아트하우스,(주)리틀빅픽쳐스",12세이상관람가,"애니메이션,판타지,어드벤처",호소다 마모루,"야쿠쇼 코지,미야자키 아오이,소메타니 쇼타,히로세 스즈"
23,프리덤,2015-11-19,16440000 ,0.001,18267000 ,2188 ,2449 ,7 ,12 ,미국,미국,,(주)씨타마운틴픽쳐스,12세이상관람가,"드라마,가족",피터 쿠센스,"쿠바 구딩 주니어,베르나르드 포처,윌리엄 새들러"
24,더 원 아이 러브,2015-11-05,16553500 ,0.001,26509500 ,2049 ,3172 ,58 ,473 ,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"판타지,멜로/로맨스",찰리 맥도웰,"마크 듀플라스,엘리자베스 모스"
25,아마데우스 감독판,2015-10-29,17689800 ,0.001,69703400 ,2006 ,8342 ,14 ,84 ,미국,미국,,시네마 뉴원,12세이상관람가,드라마,밀로스 포만,"톰 헐스,F. 머레이 아브라함"
26,더 크로니클: 뮤턴트의 반격,2015-11-12,15535000 ,0.001,15535000 ,1998 ,1998 ,4 ,10 ,일본,일본,,(주)영화사오원,15세이상관람가,"SF,액션",제제 다카히사,"오카다 마사키,소메타니 쇼타,나루미 리코"
27,뮨: 달의 요정,2015-09-24,14416200 ,0.001,2322294100 ,1937 ,317561 ,17 ,54 ,프랑스,프랑스,,씨네그루(주)다우기술,전체관람가,애니메이션,"알렉상드르 헤보얀,베노이트 필립폰","조슈아 J. 발라드,오마 사이"
