순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,봉이 김선달,2016-07-06,9342430242 ,0.28,10469972442 ,1172745 ,1321839 ,942 ,24707 ,한국,한국,"(주)엠픽처스,(주)에스엔케이픽처스",씨제이이앤엠(주),12세이상관람가,사극,박대민,"유승호,조재현,고창석,라미란,시우민,연우진,전석호,서예지,주영호,박예슬,박상현,박진성,유일한,이선희"
2,도리를 찾아서,2016-07-06,9124205398 ,0.274,9765810998 ,1109719 ,1189311 ,1091 ,24925 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,어드벤처,코미디",앤드류 스탠튼,"엘렌 드제너스,알버트 브룩스,다이안 키튼"
3,굿바이 싱글,2016-06-29,5200095560 ,0.156,15065593575 ,635688 ,1878105 ,771 ,18354 ,한국,한국,"호두앤유 엔터테인먼트(주),(주)영화사람",(주)쇼박스,15세이상관람가,"코미디,드라마",김태곤,"김혜수,마동석,김현수,김용건,서현진,곽시양,전석호,이미도,이성민,황미영,이형미,박지영,정준화,유성진,윤환,이수경,최문석,홍민희"
4,나우 유 씨 미 2,2016-07-13,4033076300 ,0.121,4040668300 ,498455 ,499404 ,861 ,7449 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"범죄,액션",존 추,"제시 아이젠버그,마크 러팔로,우디 해럴슨,데이브 프랑코,다니엘 래드클리프,리지 캐플란,주걸륜,마이클 케인,모건 프리먼"
5,레전드 오브 타잔,2016-06-29,1407590500 ,0.042,7068699217 ,169410 ,841908 ,481 ,7140 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처",데이빗 예이츠,"알렉산더 스카스가드,마고 로비,크리스토프 왈츠,사무엘 L. 잭슨,디몬 하운수,존 허트,짐 브로드벤트"
6,컨저링 2,2016-06-09,484703400 ,0.015,15640549429 ,58512 ,1914340 ,178 ,1921 ,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),제임스 완,"베라 파미가,패트릭 윌슨,프란카 포텐테,프란시스 오코너,스털링 제린스"
7,인디펜던스 데이 : 리써전스,2016-06-22,412822300 ,0.012,12746558240 ,51342 ,1497557 ,265 ,2638 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,SF",롤랜드 에머리히,"빌 풀만,리암 헴스워스,제프 골드블럼,비비카 A. 폭스,제시 어셔"
8,500일의 썸머,2010-01-21,346405300 ,0.01,2089517000 ,40354 ,264134 ,127 ,1692 ,미국,미국,스네이크 프리뷰,"(주)팝엔터테인먼트,이십세기폭스코리아(주)",15세이상관람가,"드라마,멜로/로맨스",마크 웹,"조셉 고든 레빗,주이 데샤넬,제프리 아렌드,클로이 모레츠"
9,잔예 - 살아서는 안되는 방,2016-07-07,325981700 ,0.01,331403700 ,39712 ,40393 ,287 ,2870 ,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"공포(호러),미스터리",나카무라 요시히로,"다케우치 유코,하시모토 아이"
10,사냥,2016-06-29,284846300 ,0.009,4903664015 ,35583 ,644724 ,348 ,4099 ,한국,한국,(주)빅스톤픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,이우철,"안성기,조진웅,한예리,권율,손현주,박병은"
11,미 비포 유,2016-06-01,289267600 ,0.009,7543190790 ,35172 ,929895 ,123 ,1343 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"멜로/로맨스,드라마",테아 샤록,"에밀리아 클라크,샘 클라플린,매튜 루이스"
12,정글북,2016-06-09,275739700 ,0.008,21494127334 ,33644 ,2534327 ,201 ,1412 ,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"어드벤처,드라마",존 파브로,"닐 세티,빌 머레이,스칼렛 요한슨,벤 킹슬리,이드리스 엘바,루피타 뇽오,크리스토퍼 월켄,지안카를로 에스포지토"
13,언더 워터,2016-07-13,224314100 ,0.007,224314100 ,29441 ,29441 ,372 ,1204 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",자움 콜렛 세라,"블레이크 라이블리,오스카 제나다"
14,아가씨,2016-06-01,241476000 ,0.007,35108841491 ,29421 ,4274426 ,167 ,1538 ,한국,한국,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",씨제이이앤엠(주),청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재"
15,나이스 가이즈,2016-07-06,149154738 ,0.004,187610838 ,18994 ,24207 ,249 ,2883 ,미국,미국,,메가박스(주)플러스엠,청소년관람불가,"범죄,미스터리,스릴러",쉐인 블랙,"러셀 크로우,라이언 고슬링,맷 보머,킴 베이싱어,레이첼 브룩 스미스"
16,빅뱅 메이드,2016-06-30,134839700 ,0.004,420295300 ,16288 ,49909 ,53 ,630 ,한국,한국,(주)와이지엔터테인먼트,씨제이 씨지브이(CJ CGV)(주),12세이상관람가,다큐멘터리,변진호,"G-드래곤,태양,최승현,대성,승리"
17,특별수사: 사형수의 편지,2016-06-16,112641400 ,0.003,9929854065 ,14380 ,1241882 ,140 ,1303 ,한국,한국,(주)콘텐츠케이,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",권종관,"김명민,김상호,성동일,김영애,김향기,김뢰하,박수영,박혁권,최병모,오민석,이지훈,박지환,신구,이한위,이문식,김명국,정택호,차상민,이성욱,이승훈"
18,벤허,1972-09-07,117647800 ,0.004,171259032 ,12188 ,32376 ,93 ,816 ,미국,미국,메트로-골드윈-마이어,(주)팝엔터테인먼트,"12세이상관람가,연소자관람가,전체관람가","드라마,액션",윌리엄 와일러,"찰톤 헤스톤,잭 호킨스,하야 할라이드,스티븐 보이드"
19,트릭,2016-07-13,78367900 ,0.002,79009900 ,10406 ,10513 ,390 ,1333 ,한국,한국,엘씨오픽쳐스,"(주)스톰픽쳐스코리아,(주)이수C&E",15세이상관람가,"스릴러,드라마",이창열,"이정진,강예원,김태훈,선동혁,이희진,장윤정,박정환,조호성,주민구,이상철,이수진,한성식,홍장현"
20,언어의 정원,2013-08-14,29787000 ,0.001,430251381 ,7686 ,60978 ,35 ,403 ,일본,일본,,"에이원엔터테인먼트,(주)팝엔터테인먼트",12세이상관람가,애니메이션,신카이 마코토,"이리노 미유,하나자와 카나,히라노 후미"
20,초속5센티미터,2007-06-21,29787000 ,0.001,207142500 ,7686 ,33420 ,35 ,403 ,일본,일본,,"대원디지털엔터테인먼트,(주)팝엔터테인먼트",전체관람가,"애니메이션,드라마,멜로/로맨스",신카이 마코토,미즈하시 켄지
22,극장판 프리즘스톤 올스타 셀렉션,2016-07-07,55341200 ,0.002,68821800 ,6649 ,8154 ,109 ,562 ,한국,"한국,일본",동우에이앤이(주),(주)박수엔터테인먼트,전체관람가,"애니메이션,드라마,판타지",김영범,
23,환상의 빛,2016-07-07,53634200 ,0.002,69377900 ,6612 ,8813 ,37 ,339 ,일본,일본,,주식회사 씨네룩스,15세이상관람가,드라마,고레에다 히로카즈,"마키코 에수미,나이토 타카시,아사노 타다노부"
24,키즈모노가타리 I : 철혈편,2016-06-30,39850000 ,0.001,157358500 ,5160 ,20649 ,43 ,402 ,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,드라마,판타지,액션",신보 아키유키,"카미야 히로시,사카모토 마아야,호리에 유이,사쿠라이 타카히로"
25,우리들,2016-06-16,38687900 ,0.001,241060660 ,5106 ,31417 ,38 ,354 ,한국,한국,(주)아토,(주)엣나인필름,전체관람가,드라마,윤가은,"최수인,설혜인,이서연,박혜진,안정우,전석민,주재윤,최승혁"
26,로렐,2016-07-07,37815000 ,0.001,46068000 ,4949 ,6015 ,62 ,596 ,미국,미국,,(주)엣나인필름,15세이상관람가,"드라마,멜로/로맨스",피터 솔레트,"줄리안 무어,엘렌 페이지,마이클 섀넌,스티브 카렐"
27,불의 전차,2016-06-16,30618200 ,0.001,259257500 ,4564 ,39605 ,24 ,154 ,영국,영국,,(주)프레인글로벌,12세이상관람가,드라마,휴 허드슨,"니콜라스 파렐,나이젤 하버스,벤 크로스"
28,본 투 비 블루,2016-06-09,38831900 ,0.001,710444335 ,4412 ,87880 ,18 ,154 ,캐나다,"캐나다,영국,미국",,그린나래미디어(주),청소년관람불가,드라마,로버트 뷔드로,"에단 호크,카르멘 에조고"
29,데몰리션,2016-07-13,29293800 ,0.001,42421800 ,3919 ,5453 ,168 ,373 ,미국,미국,,(주)리틀빅픽쳐스,청소년관람불가,드라마,장 마크 발레,"제이크 질렌할,나오미 왓츠,유다 르위스,크리스 쿠퍼"
30,곡성,2016-05-12,32711000 ,0.001,55853045882 ,3820 ,6878577 ,23 ,184 ,한국,한국,"사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),15세이상관람가,"미스터리,스릴러,드라마",나홍진,"곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경"
31,서프러제트,2016-06-23,32454600 ,0.001,207345700 ,3713 ,25468 ,19 ,195 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,사라 가브론,"캐리 멀리건,헬레나 본햄 카터,메릴 스트립,벤 위쇼"
32,본 얼티메이텀,2007-09-12,26113000 ,0.001,13236463000 ,2901 ,1995894 ,11 ,12 ,미국,미국,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,스릴러,미스터리,어드벤처",폴 그린그래스,"맷 데이먼,줄리아 스타일즈"
33,계춘할망,2016-05-19,21514000 ,0.001,3596884348 ,2720 ,481840 ,10 ,19 ,한국,한국,"지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",(주)콘텐츠 난다긴다,15세이상관람가,"가족,드라마",창,"윤여정,김고은,김희원,신은정,최민호,류준열,양익준,박민지,남태부,강경탁,안지혜,이상화,이슬비,이윤혁"
34,더 웨이브,2016-07-13,18739700 ,0.001,28586700 ,2510 ,3700 ,122 ,294 ,노르웨이,노르웨이,,(주)팝엔터테인먼트,12세이상관람가,"액션,드라마",로아 우타우,"크리스토퍼 조너,아네 달 토프,조나스 호프 오프테브로,이디스 하겐루드 산드,프리드쇼프 소헤임,토마스 보 라센,라도 해드직"
35,비밀은 없다,2016-06-23,16920500 ,0.001,2017031239 ,2384 ,249406 ,27 ,93 ,한국,한국,"(주)영화사거미,필름트레인",씨제이이앤엠(주),청소년관람불가,스릴러,이경미,"손예진,김주혁,장재우,장한승,신지훈,이민아,이상희"
36,소야곡,,3236000 ,0,3236000 ,1618 ,1618 ,1 ,16 ,미국,미국,,,,멜로/로맨스,진 네글레스코,"조안 크로포드,존 가필드"
37,미친개들,2016-07-07,12637100 ,0,16501100 ,1583 ,2066 ,46 ,319 ,프랑스,"프랑스,캐나다",,(주)디스테이션,청소년관람불가,"액션,드라마,스릴러",에릭 하네조,"귀욤 고익스,램버트 윌슨,비르지니 르도엥"
38,부산행,2016-07-20,11128000 ,0,13534000 ,1395 ,1796 ,6 ,9 ,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,스릴러",연상호,"공유,김정희,정유미,김율호,마동석,최우식,안소희,김의성,김수안,박민우,박민혁,임종훈,박종관,장문성,박혜진,손지훈,손지훈,연상호,조춘호,지동현,윤미중,이동하,이윤상,최창수,편준의,허성우,황유경"
39,오베라는 남자,2016-05-25,11116000 ,0,700764888 ,1253 ,88099 ,4 ,34 ,스웨덴,스웨덴,,"(주)싸이더스,(주)디스테이션",12세이상관람가,드라마,하네스 홀름,"롤프 라스가드,바하르 파르스,필립 버그,이다 엥볼"
40,싱 스트리트,2016-05-19,8593700 ,0,4472639072 ,1100 ,558400 ,10 ,67 ,아일랜드,"아일랜드,영국,미국",,(주)이수C&E,15세이상관람가,"드라마,멜로/로맨스",존 카니,"퍼디아 월시-필로,루시 보인턴,잭 레이너"
41,무기여 잘 있거라,1974-01-01,3003000 ,0,15985034 ,1001 ,8780 ,1 ,9 ,미국,미국,,,,"드라마,멜로/로맨스",찰스 비더,"록 허드슨,제니퍼 존스,비토리오 데 시카"
42,안개 낀 부두,,1860000 ,0,2700000 ,930 ,1071 ,1 ,10 ,프랑스,프랑스,,,,드라마,마르셀 카르네,
43,황혼,,2394000 ,0,4541000 ,798 ,1867 ,1 ,12 ,미국,미국,,,,드라마,윌리엄 와일러,"로렌스 올리비에,제니퍼 존스"
44,"사랑해, 매기",2016-07-27,5474000 ,0,11186000 ,782 ,1553 ,5 ,5 ,멕시코,멕시코,,와이드 릴리즈(주),15세이상관람가,"코미디,드라마",유지니오 델베즈,유지니오 델베즈
45,홀리워킹데이,2016-06-30,4729000 ,0,11043500 ,668 ,1526 ,17 ,113 ,한국,한국,홍시픽쳐스,무브먼트,전체관람가,다큐멘터리,이희원,곽주현
46,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-20,5780000 ,0,5780000 ,665 ,665 ,2 ,3 ,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,타카하시 시게하루,"토마츠 하루카,유키 아오이,세키 토모카즈,코자쿠라 에츠코"
47,헝그리 하트,2016-06-30,4490200 ,0,17500800 ,622 ,2447 ,14 ,83 ,이탈리아,이탈리아,,찬란,15세이상관람가,"드라마,스릴러",사베리오 코스탄조,"아담 드라이버,알바 로흐와쳐"
48,거상의 길,,1234000 ,0,5299000 ,617 ,2647 ,1 ,12 ,미국,미국,,,미정,"드라마,어드벤처",윌리엄 디터리,"엘리자베스 테일러,피터 핀치,다나 앤드류스"
49,"열차 안의 낯선 자들, 의혹의 전망차",,1220000 ,0,4938000 ,605 ,2449 ,1 ,12 ,미국,미국,,,12세관람가,"범죄,미스터리,멜로/로맨스,스릴러",알프레드 히치콕,"팔리 그레인저,루스 로만,로버트 워커"
50,웨포나이즈드,2016-07-06,2770000 ,0,2870000 ,554 ,574 ,1 ,2 ,미국,미국,,제인앤유,청소년관람불가,"액션,SF,스릴러",티모시 우드워드 주니어,"미키 루크,톰 시즈모어,조니 메스너"
51,순애보,,974000 ,0,974000 ,487 ,487 ,1 ,8 ,한국,한국,,,,멜로/로맨스,한형모,"성소민,이빈화,김의향"
51,워크래프트: 전쟁의 서막,2016-06-09,3987500 ,0,10142271205 ,487 ,1163274 ,4 ,19 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,판타지",던칸 존스,"트래비스 핌멜,벤 포스터,폴라 패튼,도미닉 쿠퍼,클랜시 브라운,토비 켑벨"
53,러브,,4216500 ,0,4216500 ,415 ,415 ,3 ,10 ,프랑스,프랑스,,,,멜로/로맨스,가스파 노에,
54,라이엇,2016-07-06,2000000 ,0,2100000 ,400 ,420 ,1 ,2 ,미국,미국,,제인앤유,청소년관람불가,액션,존 라이드,"돌프 룬드그렌,척 리델"
55,베로니카의 이중생활,1991-11-09,2709000 ,0,11531600 ,397 ,1516 ,6 ,27 ,폴란드,폴란드,,㈜영화사 백두대간,연소자관람불가,"드라마,멜로/로맨스,판타지",크지슈토프 키에슬로프스키,"이렌느 야곱,필립 볼테르,상드린 뒤마"
56,셀,2016-06-29,3424000 ,0,43755600 ,393 ,5434 ,7 ,43 ,미국,미국,,(주)드림팩트엔터테인먼트,청소년관람불가,"공포(호러),SF,스릴러",토드 윌리엄스,"사무엘 L. 잭슨,존 쿠삭,이사벨 퍼만"
57,일식,,730000 ,0,4513000 ,365 ,1638 ,1 ,4 ,이탈리아,"이탈리아,프랑스",,,,"멜로/로맨스,드라마",미켈란젤로 안토니오니,"모니카 비티,알랑 드롱,프란시스코 라발"
58,쿼바디스,1973-01-13,695000 ,0,20120982 ,363 ,12594 ,1 ,4 ,미국,미국,메트로-골드윈-마이어,,연소자관람가,"드라마,사극",머빈 르로이,"데보라 카,로버트 테일러,레오 겐"
59,에브리바디 원츠 썸!!,2016-07-14,2959000 ,0,7256000 ,359 ,877 ,2 ,4 ,미국,미국,,(주)디스테이션,청소년관람불가,코미디,리차드 링클레이터,"블레이크 제너,조이 도이치,글렌 포웰,라이언 구즈만,테일러 후츨린,포레스트 빅커리"
60,투란도트,2016-07-02,8313000 ,0,17089500 ,343 ,714 ,6 ,14 ,미국,미국,,(주)인스터피씨엠,전체관람가,공연,,
61,나의 산티아고,2016-07-14,2385000 ,0,4457000 ,340 ,636 ,3 ,6 ,독일,독일,,(주)영화사 진진,12세이상관람가,코미디,줄리아 폰 하인츠,"데비드 스트리에소브,마르티나 게덱,카타리나 탈바흐"
62,록키 호러 픽쳐 쇼,1998-06-20,2219000 ,0,12985000 ,339 ,1875 ,2 ,3 ,미국,"미국,영국",이십세기폭스필름코퍼레이션,"(주)팝엔터테인먼트,(주)피터팬픽쳐스",18세 미만인 자는 관람할 수 없는 등급,"공포(호러),뮤지컬,코미디",짐 셔먼,"팀 커리,수잔 서랜든"
63,지저스 크라이스트 슈퍼스타,,1940850 ,0,1940850 ,331 ,331 ,2 ,3 ,미국,미국,,,,"드라마,뮤지컬",노만 주이슨,
64,이터널 선샤인,2005-11-10,2908500 ,0,3779619792 ,327 ,495866 ,3 ,7 ,미국,미국,포커스피쳐스,"(주)노바미디어,코리아픽쳐스(주)",15세관람가,멜로/로맨스,미셸 공드리,"짐 캐리,케이트 윈슬렛,커스틴 던스트,마크 러팔로,일라이저 우드"
64,호수의 이방인,,2745000 ,0,14725000 ,327 ,2140 ,3 ,9 ,프랑스,프랑스,,(주)영화사 진진,,드라마,알랭 기로디,
66,혼도,,620000 ,0,3528000 ,321 ,1519 ,1 ,6 ,미국,미국,워너 브러더스 픽쳐스,,,서부극(웨스턴),존 페로우,"존 웨인,제랄딘 페이지"
67,백엔의 사랑,2016-06-16,2506000 ,0,41177100 ,311 ,5516 ,6 ,37 ,일본,일본,,주식회사 씨네룩스,청소년관람불가,"멜로/로맨스,드라마",타케 마사하루,"안도 사쿠라,아라이 히로후미"
68,제3의앵글 : 형형색색대만전,,1830000 ,0,1830000 ,305 ,305 ,1 ,2 ,대만,대만,,,,애니메이션,BITO,
69,주말부부,2016-07-08,1540000 ,0,1540000 ,291 ,291 ,21 ,21 ,한국,한국,(주)전망좋은 영화사,(주)전망좋은 영화사,청소년관람불가,"멜로/로맨스,드라마",기대호,장태산
70,신은 죽지 않았다 2,2016-04-07,2320000 ,0,248208600 ,290 ,34285 ,2 ,2 ,미국,미국,,"(주)에스와이코마드,글뫼 주식회사",12세이상관람가,드라마,해롤드 크론크,"멜리사 조안 하트,제시 멧칼피"
71,길다,,582000 ,0,3545000 ,286 ,1760 ,1 ,12 ,미국,미국,,,,"멜로/로맨스,스릴러",찰스 비더,"리타 헤이워드,글렌 포드,조지 맥크리디"
72,카우보이 비밥-천국의문,2003-10-03,2829100 ,0,3057100 ,285 ,342 ,1 ,2 ,일본,일본,,콜럼비아트라이스타㈜,12세관람가,"애니메이션,액션",와타나베 신이치로,"이시즈카 운쇼,야마데라 고이치"
72,콰이강의 다리,1981-04-10,546000 ,0,18597000 ,285 ,9233 ,1 ,4 ,미국,미국,콜럼비아 픽쳐스 코포레이션,,연소자관람가,"드라마,전쟁",데이빗 린,"알렉 기네스,하야카와 세슈,잭 호킨스"
74,너는 착한 아이,2016-03-24,1755000 ,0,41762800 ,278 ,5643 ,2 ,3 ,일본,일본,,(주)디스테이션,전체관람가,드라마,오미보,"코라 켄고,오노 마치코,이케와키 치즈루"
75,그린 맨션,,538000 ,0,9793000 ,269 ,4864 ,1 ,6 ,미국,미국,,,,멜로/로맨스,멜 페레,"오드리 헵번,안소니 퍼킨스"
76,캐롤,2016-02-04,2232000 ,0,2631173116 ,261 ,317661 ,4 ,8 ,미국,"미국,영국",,CGV아트하우스,청소년관람불가,드라마,토드 헤인즈,"케이트 블란쳇,루니 마라,카일 챈들러,제이크 레이시,사라 폴슨"
77,마탄의 사수,2016-07-03,6237000 ,0,10482500 ,260 ,436 ,9 ,15 ,독일,독일,,(주)케빈앤컴퍼니,12세이상관람가,공연,크리스티안 틸레만,
78,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,1512000 ,0,3292094700 ,252 ,445266 ,2 ,2 ,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기"
78,피아니스트 세이모어의 뉴욕 소네트,2016-04-07,2195000 ,0,179236700 ,252 ,22027 ,3 ,12 ,미국,미국,,(주)영화사 진진,전체관람가,다큐멘터리,에단 호크,
80,흑기사,1973-10-24,493000 ,0,16946000 ,245 ,8451 ,1 ,4 ,미국,미국,메트로-골드윈-마이어,,,"드라마,멜로/로맨스,사극",리차드 소프,"마가리타 로버츠,아이니스 맥켄지"
81,프로듀서스,2007-01-26,1432850 ,0,15820350 ,244 ,2312 ,1 ,2 ,미국,미국,유니버셜 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,12세관람가,"코미디,뮤지컬",수잔 스트로맨,"네이단 레인,매튜 브로데릭"
82,유리코의 아로마,2016-07-11,1262000 ,0,1262000 ,242 ,242 ,20 ,20 ,일본,일본,,(주)제이에이와이이엔터테인먼트,청소년관람불가,멜로/로맨스,요시다 코타,"에구치 노리코,마츠노이 미야비"
83,비포 선라이즈,1996-03-30,1992000 ,0,434002200 ,239 ,53253 ,3 ,5 ,미국,"미국, 오스트리아,스위스",캐슬 락 엔터테인먼트,(주)드림팩트엔터테인먼트,"고등학생이상관람가,15세이상관람가","멜로/로맨스,드라마",리차드 링클레이터,"에단 호크,줄리 델피"
84,양치기들,2016-06-02,2077000 ,0,48817200 ,231 ,6092 ,1 ,2 ,한국,한국,한국영화아카데미,CGV아트하우스,청소년관람불가,"드라마,범죄,스릴러",김진황,"박종환,차래형,송하준,윤정일,김종수,류준열,방민호,손지훈,송여진,이소정,최윤주,김철영,민영선"
85,갈대,,627000 ,0,627000 ,230 ,230 ,1 ,6 ,영국,영국,,,,"범죄,드라마,스릴러",바실 디어든,"지나 롤로브리지다,숀 코네리,랄프 리차드슨,알렉산더 녹스"
85,어린여자 : 맛있는 관음,2016-07-08,1202000 ,0,1202000 ,230 ,230 ,20 ,20 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민환,"강예나,홍단"
87,카이: 거울 호수의 전설,2016-08-17,2240000 ,0,2240000 ,224 ,224 ,1 ,1 ,한국,한국,"주식회사 다다쇼,(주)영화사레드피터",메가박스(주)플러스엠,전체관람가,애니메이션,이성강,"김영은,박고운,강진아,이창규,임무권,이건우,채민지"
88,공포의 보수,,444000 ,0,4495000 ,222 ,2245 ,1 ,9 ,미국,미국,,,,"어드벤처,드라마,스릴러",앙리 조르주 클루조,"이브 몽땅,샤를 바넬,피터 반 에이크"
88,행복까지 30일,2016-06-09,1130000 ,0,19354700 ,222 ,2664 ,2 ,5 ,인도,인도,,"예지림엔터테인먼트,미디어소프트",전체관람가,드라마,M. 마니칸단,아이시와리아 라제시
90,스포트라이트,2016-02-24,1744000 ,0,2390611755 ,218 ,297944 ,1 ,1 ,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"드라마,스릴러",토마스 맥카시,"마이클 키튼,마크 러팔로,레이첼 맥아담스"
91,이레셔널 맨,2016-07-21,1498000 ,0,1498000 ,214 ,214 ,1 ,1 ,미국,미국,,(주)프레인글로벌,청소년관람불가,"범죄,드라마,미스터리",우디 앨런,"호아킨 피닉스,엠마 스톤,파커 포시,제이미 블랙리"
92,나만의 승진 테크닉,2016-07-07,1089000 ,0,1089000 ,213 ,213 ,20 ,20 ,한국,한국,주식회사 대양미디어,노바엔터테인먼트,청소년관람불가,멜로/로맨스,강백호,
93,빌리 엘리어트,2001-02-16,1246000 ,0,10888000 ,212 ,1369 ,1 ,2 ,영국,"영국,프랑스",,"(주)팝엔터테인먼트,유아이피-씨아이씨영화및비디오배급(유)","12세이상관람가,12세관람가","가족,드라마",스티븐 달드리,"제이미 벨,줄리 월터스"
94,태양의 왕,,567000 ,0,567000 ,207 ,207 ,1 ,8 ,미국,미국,,,,어드벤처,J. 리 톰슨,"율 브린너,조지 차키리스"
95,전쟁과 애욕,,525000 ,0,525000 ,191 ,191 ,1 ,6 ,미국,미국,,,,"드라마,전쟁",존 스터지스,"프랭크 시내트라,지나 롤로브리지다,스티브 맥퀸"
95,프랑코포니아,2016-06-16,1140000 ,0,29889400 ,191 ,4036 ,5 ,25 ,프랑스,"프랑스,독일,네덜란드",,(주)영화사 안다미로,12세이상관람가,드라마,알렉산더 소쿠로프,"루이-도 드 렝퀘셍,빈센트 네메스"
97,삼례,2016-06-23,1455600 ,0,23750600 ,188 ,3189 ,5 ,24 ,한국,한국,리람,(주)인디플러그,15세이상관람가,"드라마,판타지",이현정,"이선호,김보라,오동진,이선호"
98,"가장 따뜻한 색, 블루",2014-01-16,1596500 ,0,399411400 ,186 ,51918 ,3 ,6 ,프랑스,프랑스,,판씨네마(주),청소년관람불가,"드라마,멜로/로맨스",압델라티프 케시시,"레아 세이두,아델 에그자르코풀로스,살림 케치우셰"
98,부러진 화살,2012-01-18,352000 ,0,25937714000 ,186 ,3460065 ,1 ,3 ,한국,한국,(주)아우라픽처스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정지영,"안성기,박원상,나영희,김지호,이승훈,이춘연,이홍표,임태연,장길수,장현남,전윤희,조세래,조완기,조유미,최린,최필선,한현근,허웅,이미화,김지연,이익태,이제희,이지석,배연태,백성기,신종훈,오대환,정원중,조동인,김준배,조덕제,박길수,한기중"
100,지저스 크라이스트 슈퍼스타,2012-11-22,1069200 ,0,87706200 ,183 ,6859 ,1 ,2 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,로렌스 코너,"팀 민친,멜라니 씨,크리스 모일스,벤 포스터"
101,경쟁: 시카프 온라인,,1092000 ,0,1092000 ,182 ,182 ,1 ,1 ,기타,기타,,,,애니메이션,"안나 콘스탄티노바,루 푸리치,솔렌 르 마르샹드,댄 리헤우져,아쉬칸 라고자",
102,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,2016-06-02,1095500 ,0,350321000 ,181 ,58518 ,6 ,13 ,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,어드벤처",다라 오코넬,"하성용,정재헌,엄상현,윤승희,김정은,김율"
