순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,사도,2015-09-16,15628331379 ,0.509,17617995079 ,1981157 ,2245849 ,1210 ,45359 ,한국,한국,(주)타이거픽쳐스,(주)쇼박스,12세이상관람가,사극,이준익,"송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,안태훈,조승연"
2,메이즈 러너: 스코치 트라이얼,2015-09-16,9463242397 ,0.308,10393517997 ,1195123 ,1314982 ,804 ,26180 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍"
3,베테랑,2015-08-05,1948766518 ,0.063,100751603650 ,247090 ,12856000 ,424 ,9110 ,한국,한국,(주)외유내강,씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,김성종,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류선영,정재헌,안길강,마동석,김응수"
4,앤트맨,2015-09-03,1897412682 ,0.062,22794542937 ,241162 ,2747170 ,398 ,9741 ,미국,"미국,영국",,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,SF",페이튼 리드,"폴 러드,마이클 더글라스,에반젤린 릴리,코리 스톨"
5,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,2015-09-17,362332300 ,0.012,379930300 ,50829 ,53086 ,351 ,2251 ,일본,일본,,(주)와우픽쳐스,전체관람가,"애니메이션,SF,어드벤처",오오스기 요시히로,"미즈타 와사비,오오하라 메구미,심형탁"
6,뷰티 인사이드,2015-08-20,201474600 ,0.007,16105451731 ,25417 ,2047691 ,148 ,1414 ,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"판타지,멜로/로맨스",백,"오상철,한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,유재상,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,이미도,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,신동미,이진성,김시은"
7,암살,2015-07-22,159524600 ,0.005,98319477081 ,20980 ,12686446 ,129 ,1170 ,한국,한국,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭"
8,러브 라이브! 더 스쿨 아이돌 무비,2015-09-03,134531500 ,0.004,543508500 ,17997 ,70207 ,38 ,261 ,일본,일본,,(주)박수엔터테인먼트,전체관람가,애니메이션,쿄고쿠 타카히코,"토쿠이 소라,파일,쿠보 유리카,이이다 리호,쿠스다 아이나,난죠 요시노,미모리 스즈코,우치다 아야,닛타 에미"
9,함정,2015-09-10,138118700 ,0.004,2088280200 ,17264 ,257675 ,200 ,2131 ,한국,한국,(주)데이드림 엔터테인먼트,(주)인벤트스톤,청소년관람불가,"스릴러,범죄",권형진,"마동석,조한선,김민경,지안,이정원,최선주,하태웅"
10,탐정 : 더 비기닝,2015-09-24,141693500 ,0.005,209551500 ,16423 ,24775 ,49 ,144 ,한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",김정훈,"권상우,성동일,박해준,이승준,조복래,오정세,박준면,이일화,서영희,강민지,홍서현,천유나,차승연,정종훈,정승연,이현기,이찬희,김승배,김은지,김태훈,김하늘,김희영,모일영,박민철,박성일,박시영,박지혜,최성원,홍은택,이해영,지대한"
11,스트레이트 아웃 오브 컴턴,2015-09-10,77295100 ,0.003,369185200 ,9036 ,43885 ,34 ,390 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,드라마,F. 게리 그레이,"오셔 잭슨 주니어,코리 호킨스,제이슨 미첼,닐 브라운 주니어,알디스 호지,폴 지아마티"
12,앙: 단팥 인생 이야기,2015-09-10,62560800 ,0.002,158715800 ,7870 ,20257 ,41 ,512 ,일본,일본,,그린나래미디어(주),12세이상관람가,드라마,가와세 나오미,"키키 키린,나가세 마사토시"
13,미라클 벨리에,2015-08-27,40198800 ,0.001,882719589 ,5273 ,115743 ,38 ,378 ,프랑스,프랑스,,(주)영화사 진진,12세이상관람가,드라마,에릭 라티고,"로앤 에머라,카렝 비야,프랑소아 다미앙,에릭 엘모스니노"
14,서부전선,2015-09-24,33442000 ,0.001,38842000 ,4224 ,4899 ,10 ,16 ,한국,한국,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"전쟁,드라마",천성일,"설경구,여진구,이경영,정성화,정인기,김원해,김태훈,정석원,한민수,조상원,이찬유,김선영,이은형,이소명,유순철,김동규,오성택,김명환,김민지,김종석,김지영,김태훈,박시연,박아형,박지연,박지원,최호중,김시은,조희봉"
15,춘희막이,2015-09-30,25877000 ,0.001,42483000 ,3973 ,6471 ,14 ,23 ,한국,한국,(주)하이하버픽쳐스,"메가박스(주)플러스엠,(주)엣나인필름",12세이상관람가,다큐멘터리,박혁지,"김춘희,최막이"
16,오피스,2015-09-03,19201000 ,0.001,3458760230 ,2491 ,440868 ,36 ,334 ,한국,한국,(주)영화사꽃,(주)리틀빅픽쳐스,15세이상관람가,"스릴러,미스터리",홍원찬,"고아성,박성웅,배성우,김의성,류현경,이채은,오대환,박정민,이정환,최철수,안지혜,이성진,이영수,최병모,기주봉"
17,지금은맞고그때는틀리다,2015-09-24,20087700 ,0.001,20087700 ,2458 ,2458 ,17 ,19 ,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)넥스트엔터테인먼트월드(NEW)",청소년관람불가,드라마,홍상수,"정재영,김민희,윤여정,기주봉,최화정,유준상,서영화,고아성"
18,자니 기타,,4814000 ,0,4997000 ,2402 ,2463 ,1 ,16 ,미국,미국,,,,서부극(웨스턴),니콜라스 레이,"조안 크로포드,스터링 헤이든"
19,대니 콜린스,2015-09-30,16842000 ,0.001,31114000 ,2218 ,4160 ,9 ,11 ,미국,미국,,"(주)나이너스엔터테인먼트,(주)지어소프트",15세이상관람가,드라마,댄 포겔맨,"알 파치노,아네트 베닝,제니퍼 가너,바비 카나베일,크리스토퍼 플러머"
20,셀프/리스,2015-09-10,17080400 ,0.001,872434164 ,2103 ,110855 ,33 ,268 ,미국,미국,,(주)이수C&E,15세이상관람가,"SF,액션,스릴러",타셈 싱,"라이언 레놀즈,벤 킹슬리,매튜 구드"
21,미스터 하이네켄,2015-09-17,14562300 ,0,29494300 ,1999 ,3711 ,54 ,511 ,영국,"영국,네덜란드,벨기에",,(주)스톰픽쳐스코리아,15세이상관람가,"액션,스릴러",다니엘 알프레드슨,"짐 스터게스,샘 워싱턴,라이언 콴튼,안소니 홉킨스"
22,피케이: 별에서 온 얼간이,2015-09-03,14611000 ,0,348894800 ,1943 ,44939 ,11 ,85 ,인도,인도,,(주)와우픽쳐스,15세이상관람가,"코미디,드라마",라즈쿠마르 히라니,"아미르 칸,아누쉬카 샤르마"
23,칼릴 지브란의 예언자,2015-09-10,14029500 ,0,50824800 ,1866 ,6733 ,19 ,135 ,미국,"미국,프랑스,캐나다,기타,카타르",,판씨네마(주),전체관람가,애니메이션,로저 알러스,"리암 니슨,셀마 헤이엑,존 크랜신스키,쿠벤자네 왈리스"
24,이민자,2015-09-03,14135800 ,0,119929400 ,1794 ,15222 ,20 ,134 ,미국,미국,,주식회사 씨네룩스,15세이상관람가,"드라마,미스터리,멜로/로맨스",제임스 그레이,"마리옹 꼬띠아르,호아킨 피닉스,제레미 레너"
25,마션,2015-10-08,14868000 ,0,14868000 ,1712 ,1712 ,6 ,6 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,SF",리들리 스콧,"맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그"
