순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,너의 이름은.,2017-01-04,8979652208 ,0.27,22107565650 ,1109935 ,2738299 ,845 ,24405 ,일본,일본,,메가박스(주)플러스엠,12세이상관람가,"애니메이션,드라마,멜로/로맨스",신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논"
2,모아나,2017-01-12,6726684892 ,0.202,6767440892 ,857483 ,862566 ,953 ,21032 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"론 클레멘츠,존 머스커","드웨인 존슨,아우이 크라발호,알란 터딕,제메인 클레멘트,테무에라 모리슨"
3,마스터,2016-12-21,3393825700 ,0.102,57734308465 ,409033 ,7107550 ,647 ,11840 ,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,오달수,진경,김정우,장한별"
4,얼라이드,2017-01-11,3069475779 ,0.092,3433502079 ,370437 ,418161 ,546 ,12380 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"스릴러,드라마,멜로/로맨스",로버트 저메키스,"브래드 피트,마리옹 꼬띠아르,리지 캐플란,매튜 구드,자레드 해리스"
5,더 킹,2017-01-18,2330229200 ,0.07,2332147200 ,302704 ,302978 ,1125 ,5435 ,한국,한국,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",한재림,"조인성,정우성,배성우,김아중,류준열,김의성,김민재,정성모,정은채,김소진,황승언,이주연,정준용"
6,어쌔신 크리드,2017-01-11,2332711621 ,0.07,2807722021 ,282354 ,344211 ,566 ,12391 ,미국,"미국,영국,프랑스",,이십세기폭스코리아(주),15세이상관람가,"액션,어드벤처,판타지,SF",저스틴 커젤,"마이클 패스벤더,마리옹 꼬띠아르,아리안 라베드,제레미 아이언스,브렌단 글리슨,마이클 K. 윌리엄스"
7,라라랜드,2016-12-07,1421913808 ,0.043,24865410422 ,168869 ,2968166 ,360 ,4432 ,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",다미엔 차젤레,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
8,공조,2017-01-18,1216187100 ,0.037,1271631400 ,159970 ,166451 ,900 ,4178 ,한국,한국,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠(주),15세이상관람가,액션,김성훈,"현빈,유해진,김주혁,장영남,이해영,윤아,이동휘"
9,패신저스,2017-01-04,608925600 ,0.018,5455146918 ,74470 ,666423 ,397 ,4476 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"어드벤처,SF",모튼 틸덤,"크리스 프랫,제니퍼 로렌스,마이클 쉰,앤디 가르시아,로렌스 피쉬번"
10,씽,2016-12-21,512551700 ,0.015,13205784189 ,67587 ,1722329 ,286 ,2583 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,뮤지컬",가스 제닝스,"매튜 매커너히,리즈 위더스푼,스칼렛 요한슨,태런 에저튼,세스 맥팔레인"
11,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,432685400 ,0.013,2633222800 ,59962 ,356670 ,311 ,2600 ,러시아,러시아,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,가족,판타지",알렉세이 트시칠린,"박지윤,엄상현,남도형,박상훈,이재범"
12,터닝메카드W: 블랙미러의 부활,2017-01-18,343952700 ,0.01,347570700 ,51390 ,51883 ,500 ,1253 ,한국,한국,㈜희원엔터테인먼트,씨네그루(주)키다리이엔티,전체관람가,애니메이션,홍헌표,"소연,윤아영,신용우,장광,강호철,안영미,윤미나"
13,사랑하기 때문에,2017-01-04,328115600 ,0.01,2660953040 ,42920 ,338797 ,261 ,2619 ,한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,멜로/로맨스",주지홍,"차태현,김유정,서현진,박근형,선우용녀,성동일,배성우,임주환,김윤혜,오나라,김사희,장도윤,김강훈"
14,반지의 제왕 : 반지원정대 (확장판),2017-01-11,348974500 ,0.01,424374900 ,26201 ,32053 ,74 ,824 ,뉴질랜드,"뉴질랜드,미국",,(주)디스테이션,12세이상관람가,"판타지,어드벤처,액션",피터 잭슨,"일라이저 우드,이안 맥켈런,리브 타일러,비고 모텐슨,숀 애스틴,케이트 블란쳇,존 라이스 데이비스,빌리 보이드,도미니크 모나한,올랜도 블룸,크리스토퍼 리,휴고 위빙,숀 빈,이안 홈,앤디 서키스"
15,너브,2017-01-11,183711600 ,0.006,223129400 ,22269 ,27367 ,151 ,1796 ,미국,미국,,(주)박수엔터테인먼트,15세이상관람가,"어드벤처,스릴러","헨리 유스트,아리엘 슐만","엠마 로버츠,줄리엣 루이스"
16,녹터널 애니멀스,2017-01-11,158033779 ,0.005,195387179 ,19454 ,24053 ,219 ,2103 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,스릴러",톰 포드,"에이미 아담스,제이크 질렌할,마이클 섀넌,애런 존슨,아일라 피셔,아미 해머,로라 린니,앤드리아 리즈브로프,마이클 쉰,그레이엄 베켈,닐 잭슨,지나 말론,크리스틴 바우어"
17,판도라,2016-12-07,106731500 ,0.003,36030561064 ,15176 ,4577645 ,66 ,620 ,한국,한국,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성"
18,로그 원: 스타워즈 스토리,2016-12-28,108957300 ,0.003,9021345094 ,12936 ,1015759 ,46 ,384 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF",가렛 에드워즈,"펠리시티 존스,디에고 루나,매즈 미켈슨,리즈 아메드,포레스트 휘테커,견자단,알란 터딕,강문"
19,7년-그들이 없는 언론,2017-01-12,74610000 ,0.002,95358000 ,9407 ,12090 ,105 ,1004 ,한국,한국,한국탐사저널리즘센터,(주)인디플러그,12세이상관람가,다큐멘터리,김진혁,"강지웅,권성민,권석재,노종면,박성제,박성호,박진수,우장균,이근행,이용마,정영하,정유신,조승호,최승호,현덕수"
20,여교사,2017-01-04,65376300 ,0.002,927723960 ,7986 ,113067 ,65 ,550 ,한국,한국,(주)외유내강,필라멘트픽쳐스,청소년관람불가,드라마,김태용,"김하늘,유인영,이원근,이기우"
