순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,강남 1970,2015-01-21,9101313193,0.266,10379337993,1126632,1289783,841,20927,한국,한국,"(주)모베라픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,드라마",유하,"이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호"
2,빅 히어로,2015-01-21,7796773500,0.228,8480357100,977729,1059822,825,19281,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,코미디","돈 홀,크리스 윌리암스","라이언 포터,스콧 애짓,다니엘 헤니,제이미 정,T.J. 밀러,제네시스 로드리게스,데이몬 웨이언스 주니어,마야 루돌프,제임스 크롬웰,알란 터딕"
3,국제시장,2014-12-17,6208387300,0.182,94973345330,812246,12217807,649,16665,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수"
4,오늘의 연애,2015-01-14,3471250856,0.102,13111976687,446508,1661146,499,12889,한국,한국,(주)팝콘에프앤엠,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디",박진표,"이승기,문채원,이서진,장진우,이경진,이동진,임하룡,이상협,김광규,김부선,가인,임종윤,남능미"
5,박물관이 살아있다 : 비밀의 무덤,2015-01-14,1974090100,0.058,7132558106,268774,961217,417,7544,미국,"미국,영국",,이십세기폭스코리아(주),전체관람가,"어드벤처,코미디,가족",숀 레비,"벤 스틸러,로빈 윌리엄스,댄 스티븐스,오웬 윌슨,벤 킹슬리,레벨 윌슨"
6,허삼관,2015-01-14,1390075700,0.041,6983029769,182811,899801,393,6170,한국,한국,"(주)두타연,(주)판타지오픽쳐스",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,하정우,"하정우,하지원,전혜진,장광,주진모,성동일,이경영,김영애,정만식,조진웅,김기천,김성균,윤은혜,황보라,강민지,전현석,정우진,이경원,이민호,이수인,이승준,이승호,김재화,김시은"
7,존 윅,2015-01-21,732891837,0.021,883041137,91213,110661,315,5213,미국,미국,,(주)나이너스엔터테인먼트,청소년관람불가,"액션,스릴러","데이빗 레이치,채드 스타헬스키","키아누 리브스,애드리앤 팰리키,윌렘 데포"
8,아메리칸 스나이퍼,2015-01-14,514680244,0.015,2212204438,63580,274644,151,1966,미국,미국,,워너브러더스 코리아(주),청소년관람불가,액션,클린트 이스트우드,"브래들리 쿠퍼,시에나 밀러"
9,내 심장을 쏴라,2015-01-28,408700000,0.012,423566000,62500,64376,430,2202,한국,한국,(주)주피터필름,"(주)리틀빅픽쳐스,(주)이수C&E",15세이상관람가,드라마,문제용,"이민기,여진구,유오성,김정태,김기천,신구,송영창,박충선,박두식,한혜린,이준혁,임문영,강영묵,정유정,권소영,이규섭,김재화,엄효섭,김보라"
10,엑스 마키나,2015-01-21,482468463,0.014,552140763,59606,68609,207,3057,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"SF,스릴러",알렉스 가랜드,"돔놀 글리슨,알리시아 비칸데르,오스카 아이삭"
11,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,2015-01-14,239288700,0.007,1630331100,33185,230191,196,1503,일본,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,유야마 쿠니히코,
12,마다가스카의 펭귄,2014-12-31,224260500,0.007,12434292059,31482,1651649,133,1000,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,코미디,어드벤처,가족","에릭 다넬,사이몬 J.스미스","베네딕트 컴버배치,존 말코비치,톰 맥그라스,크리스 밀러,크리스토퍼 나이츠,켄 정"
13,와일드,2015-01-22,195963500,0.006,203809000,24722,25597,58,814,미국,미국,,이십세기폭스코리아(주),청소년관람불가,드라마,장 마크 발레,"리즈 위더스푼,가비 호프만,로라 던"
14,워터 디바이너,2015-01-28,141954400,0.004,167845400,21953,25117,326,1174,미국,"미국,호주,터키",,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,전쟁",러셀 크로우,"러셀 크로우,올가 쿠릴렌코,제이 코트니"
15,아메리칸 셰프,2015-01-07,172691000,0.005,757899929,21388,93991,43,454,미국,미국,,(주)영화사 진진,15세이상관람가,코미디,존 파브로,"존 파브로,엠제이 안소니,소피아 베르가라,스칼렛 요한슨,더스틴 호프만,로버트 다우니 주니어,존 레귀자모"
16,"님아, 그 강을 건너지 마오",2014-11-27,140029300,0.004,37224113179,18563,4780809,111,901,한국,한국,아거스필름,"CGV아트하우스,(주)대명문화공장",전체관람가,다큐멘터리,진모영,"조병만,강계열"
17,유아 낫 유,2015-01-21,90046900,0.003,134066400,11347,16688,103,977,미국,미국,,(주)마인스 엔터테인먼트,15세이상관람가,드라마,조지 C. 울프,"힐러리 스웽크,에미 로섬,조쉬 더하멜"
18,빅 아이즈,2015-01-28,68276800,0.002,71281800,10322,10668,272,641,미국,미국,,판씨네마(주),12세이상관람가,드라마,팀 버튼,"에이미 아담스,크리스토프 왈츠"
19,개를 훔치는 완벽한 방법,2014-12-31,76558400,0.002,1841579065,10241,242573,30,281,한국,한국,(주)삼거리픽쳐스,"(주)리틀빅픽쳐스,(주)대명문화공장",전체관람가,"드라마,가족",김성호,"김혜자,이레,최민수,강혜정,이천희,김솔,김원중,김도엽,박성규,이지원,정택호,김재화,홍은택,이기영,류선영,조은지"
20,더 이퀄라이저,2015-01-28,65185900,0.002,120501900,9338,17022,251,616,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"액션,범죄,스릴러",안톤 후쿠아,"덴젤 워싱턴,클로이 모레츠,마튼 초카스"
21,테이큰 3,2015-01-01,69617400,0.002,16097060100,9022,2005923,38,332,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,범죄,스릴러",올리비에 메가턴,"리암 니슨,팜케 얀센,매기 그레이스,존 그리스,포레스트 휘테커"
22,패딩턴,2015-01-07,60571800,0.002,2320048129,8356,313826,56,349,영국,"영국,프랑스,캐나다",,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"코미디,가족,어드벤처",폴 킹,"니콜 키드먼,벤 위쇼,휴 보네빌,샐리 호킨스"
23,미스터 터너,2015-01-22,52277200,0.002,57952200,6823,7512,29,323,영국,"영국,프랑스,독일",,(주)영화사 진진,청소년관람불가,드라마,마이크 리,"티모시 스폴,폴 제슨,도로시 앳킨슨,마리온 베일리"
24,쎄시봉,2015-02-05,54755000,0.002,54755000,6641,6641,25,40,한국,한국,"유한회사 제이필름,(주)무브픽쳐스",씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디,드라마",김현석,"김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래,김인권,장미진,강명찬,정수교,조성관,천준호,최남주,최성택,최성택,최충열,송민석,박소담,오하늬,윤준호,이미소,김승찬,이병훈,이상희,이승현,안재홍,이대연,이동훈,권해효"
25,진격의 거인: 홍련의 화살,2015-01-28,39711200,0.001,40719200,5070,5182,82,251,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,판타지",아라키 테츠로,
26,인터스텔라,2014-11-06,27976400,0.001,82221680400,3471,10266833,10,80,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,SF,크리스토퍼 놀란,"매튜 매커너히,앤 해서웨이,마이클 케인,제시카 차스테인,케이시 애플렉"
27,위플래쉬,2015-03-12,25344000,0.001,27521000,3168,3439,11,16,미국,미국,,(주)쇼박스,15세이상관람가,드라마,다미엔 차젤레,"마일즈 텔러,J.K. 시몬스"
28,킹스맨 : 시크릿 에이전트,2015-02-11,24488000,0.001,26070000,3138,3364,9,16,미국,"미국,영국",,이십세기폭스코리아(주),청소년관람불가,"액션,스릴러",매튜 본,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인"
29,내일을 위한 시간,2015-01-01,22975400,0.001,302248900,2964,37146,28,178,벨기에,"벨기에,프랑스,이탈리아",,그린나래미디어(주),12세이상관람가,드라마,"장 피에르 다르덴,뤽 다르덴","마리옹 꼬띠아르,파브리지오 롱기온"
30,블랙버드,2015-01-28,18168700,0.001,20478700,2778,3072,131,304,미국,미국,,(주)영화사 빅,15세이상관람가,드라마,지나 프린스-바이스우드,"구구 바샤-로,네이트 파커,미니 드라이버"
31,시에라 마드레의 보물,,5308000,0,7158000,2613,3303,1,15,미국,미국,,,,드라마,존 휴스턴,"험프리 보가트,월터 휴스톤"
32,유닛7,2015-01-22,14368000,0,14668000,2602,2652,20,54,스페인,스페인,,와이드 릴리즈(주),청소년관람불가,"드라마,범죄,액션",알베르토 로드리게즈,"마리오 카사스,안토니오 드 라 토레"
33,어우동: 주인 없는 꽃,2015-01-29,7193000,0,15473000,2360,3280,3,17,한국,한국,"(유)조이앤컨텐츠그룹,㈜리필름",(주)드림팩트엔터테인먼트,청소년관람불가,멜로/로맨스,이수성,"백도빈,송은채,여욱환,남경읍,이종민,이탁건,임준혁,장현희,정서경,박종환,정지나,조경민,주창욱,서재호,최충열,송유진,양정민,이건우,이광기,김선웅,김아람,이상헌,이성근,황소라,황정훈,황주호,정태성"
34,마미,2014-12-18,14171000,0,432647100,1744,54625,11,47,캐나다,"캐나다,프랑스",,(주)엣나인필름,15세이상관람가,드라마,자비에 돌란,"앤 도벌,안토니-올리버 피론,수잔 클레망"
35,생각보다 맑은,2015-01-22,12325600,0,18415600,1623,2575,17,194,한국,한국,Studio Allo,"애니메이션 배급, 씨앗,㈜인디스토리",12세이상관람가,애니메이션,한지원,"엄상현,양정화,한지원,한지원,이홍수,이홍수,이홍수,이호민,이영기,유아람,서정원,서정원"
36,서유기 : 모험의 시작,2015-02-05,12269000,0,12269000,1575,1575,7,8,중국,중국,,"영화사 민들레,(주)씨타마운틴픽쳐스",12세이상관람가,"코미디,액션,판타지","주성치,곽자건","서기,문장,황보"
37,폭스캐처,2015-02-05,12561100,0,12561100,1535,1535,16,18,미국,미국,,그린나래미디어(주),청소년관람불가,"드라마,스릴러",베넷 밀러,"채닝 테이텀,스티브 카렐,마크 러팔로"
38,킹스 스피치,2011-03-17,2827000,0,5967318800,1407,807829,1,8,영국,"영국,호주",,(주)화앤담이엔티,12세이상관람가,드라마,톰 후퍼,"콜린 퍼스,제프리 러쉬,헬레나 본햄 카터"
39,눈의 여왕 2: 트롤의 마법거울,2014-12-24,6674000,0,4478313600,1395,617688,6,17,러시아,러시아,,씨네그루(주)다우기술,전체관람가,"애니메이션,판타지,가족",알렉세이 트시칠린,
40,뽀로로 극장판 눈요정 마을 대모험,,4928000,0,1280832700,1371,256924,6,44,한국,한국,(주)오콘,,전체관람가,애니메이션,김현호,"이선,함수정,홍소영,이미자,정미숙,김환진"
41,이별까지 7일,2015-01-15,8984500,0,49788406,1214,6689,17,109,일본,일본,,(주)수키픽쳐스,12세이상관람가,드라마,이시이 유야,"츠마부키 사토시,하라다 미에코,이케마츠 소스케,나가츠카 쿄조"
42,아이 킬드 마이 마더,2015-01-15,9070500,0,31805586,1183,4112,14,73,캐나다,캐나다,,(주)엣나인필름,청소년관람불가,드라마,자비에 돌란,"자비에 돌란,앤 도벌,수잔 클레망,프란시스 아노드"
43,바티칸 뮤지엄,2015-01-08,12129000,0,92627500,1165,9704,4,33,이탈리아,이탈리아,,(주)팝엔터테인먼트,전체관람가,다큐멘터리,루카 드 마타,채시라
44,호빗: 다섯 군대 전투,2014-12-17,8380200,0,24262492685,1118,2835952,4,28,미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,판타지",피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,올랜도 블룸,크리스토퍼 리,휴고 위빙,에반젤린 릴리"
45,클라우즈 오브 실스마리아,2014-12-18,8526500,0,256942599,1059,32237,3,22,프랑스,"프랑스,스위스,독일",,(주)나이너스엔터테인먼트,15세이상관람가,드라마,올리비에 아사야스,"줄리엣 비노쉬,크리스틴 스튜어트,클로이 모레츠"
46,여인잔혹사 물레야 물레야,1984-02-25,2022000,0,7449000,1011,3722,1,12,한국,한국,한림영화,,연소자관람불가,사극,이두용,"김지영,문정숙,최성관,원미경,신일룡"
47,최강전사 미니특공대 : 새로운 악당의 습격,2015-02-05,8048000,0,8048000,1006,1006,4,4,한국,한국,(주)삼지애니메이션,에이원엔터테인먼트,전체관람가,애니메이션,이영준,"엄상현,전태열,신용우"
48,서부 개척사,,1626000,0,4135000,813,2064,1,9,미국,미국,,,,"서부극(웨스턴),어드벤처,드라마","존 포드,헨리 해서웨이,조지 마샬","캐롤 베이커,리 J. 콥"
49,파리의 연인,,1440000,0,5892000,720,2931,1,12,미국,미국,파라마운트 픽쳐스,,15세관람가,"멜로/로맨스,코미디,뮤지컬",스탠리 도넌,"오드리 헵번,프레드 아스테어"
50,무드 인디고,2014-12-11,5406600,0,368760100,709,45792,8,45,프랑스,"프랑스,벨기에",,(주)프레인글로벌,15세이상관람가,"드라마,판타지",미셸 공드리,"로맹 뒤리스,오드리 토투,게드 엘마레,아이사 마이가,오마 사이"
51,나의 사적인 여자친구,2015-01-08,5168500,0,70726100,658,8942,8,42,프랑스,프랑스,,찬란,청소년관람불가,"코미디,드라마",프랑소와 오종,"로맹 뒤리스,아나이스 드무스티에,라파엘 페르소나즈"
52,닥터 지바고,1978-01-01,1289000,0,31282000,640,15214,1,9,미국,미국,메트로-골드윈-마이어,,중학생이상관람가,"드라마,멜로/로맨스",데이빗 린,"오마 샤리프,줄리 크리스티,제랄딘 채플린"
53,아름다운 팔도강산,1972-01-01,1248000,0,8138000,624,4069,1,5,한국,한국,보한산업,,,드라마,강혁,"김희갑,황정순"
54,갓 헬프 더 걸,2015-02-12,3768000,0,4723000,575,695,1,2,영국,영국,,찬란,15세이상관람가,"뮤지컬,멜로/로맨스",스튜어트 머독,"에밀리 브라우닝,올리 알렉산더,한나 머레이"
55,언브로큰,2015-01-07,4180000,0,1992799292,568,255723,4,29,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,드라마,전쟁",안젤리나 졸리,"잭 오코넬,돔놀 글리슨,가렛 헤드룬드,핀 위트록"
56,모정,1972-12-09,1055000,0,25877000,526,12889,1,8,미국,미국,이십세기폭스필름코퍼레이션,,12세관람가,"드라마,전쟁",헨리 킹,"윌리엄 홀든,제니퍼 존스"
56,목숨,2014-12-04,3622000,0,288644600,526,37613,6,30,한국,한국,(주)비트윈픽처스,필라멘트픽쳐스,12세이상관람가,다큐멘터리,이창재,"박진우,신창열,김호경,유진희"
58,스톤 부인의 로마의 봄,,990000,0,4444000,495,2222,1,8,미국,"미국,영국",,,15세이상관람가,드라마,호세 쿠인테로,"워렌 비티,비비안 리"
59,엔드 오브 디 어스,2015-01-29,3944000,0,3944000,493,493,1,2,캐나다,"캐나다,미국",,(주)콘텐츠판다,청소년관람불가,"공포(호러),스릴러","데렉 리,클리프 프라우즈","데렉 리,클리프 프라우즈"
60,쿼바디스,2014-12-10,3489000,0,150875500,485,20076,8,46,한국,한국,주식회사 단유필름,"주식회사 단유필름,주식회사 푸르모디티",12세이상관람가,다큐멘터리,김재환,"이종윤,안석환,남명렬"
61,워킹걸,2015-01-07,3533000,0,1156189479,478,143019,16,62,한국,한국,"(주)홍필름,(주)수필름",메가박스(주)플러스엠,청소년관람불가,"코미디,멜로/로맨스",정범식,"조여정,클라라,김태우,배유람,정범식,정범식,박주희,백경인,조은영,손진우,배성우,유찬호,김세미,라미란,김승주,이민아,황준호,이승원,이시현,박상민,조재윤,김영옥,김보연,오나라"
62,황태자의 첫사랑,,894000,0,12931000,447,6419,1,4,미국,미국,메트로-골드윈-마이어,,,"드라마,뮤지컬",리처드 소프,"앤 블리스,에드몬드 퍼돔"
63,기술자들,2014-12-24,2557000,0,19890295783,428,2563746,2,5,한국,한국,(주)트리니티엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,액션",김홍선,"김우빈,김영철,고창석,이현우,조윤희,임주환,조달환,권지훈,김원진,노선식,박갑진,유원선,윤대원,윤주환,이상민,이수민,채성원,천준호,최현우,최춘범,한지은,지승현"
