순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,터미네이터 제니시스,2015-07-02,15699563324 ,0.428,15709553324 ,1894340 ,1895339 ,1113 ,40428 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,SF,스릴러",앨런 테일러,"아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,제이 코트니,J.K. 시몬스,다요 오케니이,맷 스미스,코트니 B. 반스,이병헌,아론 V. 윌리엄슨"
2,연평해전,2015-06-24,12268658031 ,0.334,28001711090 ,1624450 ,3692778 ,907 ,28909 ,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일"
3,쥬라기 월드,2015-06-11,3767692255 ,0.103,44369647926 ,489598 ,5110534 ,545 ,10780 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오"
4,극비수사,2015-06-18,2667824945 ,0.073,21469677497 ,347680 ,2740341 ,423 ,10112 ,한국,한국,"(주)제이콘컴퍼니,(주)영화사신세계",(주)쇼박스,15세이상관람가,"드라마,범죄",곽경택,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철"
5,소수의견,2015-06-24,531946569 ,0.014,2737714305 ,69199 ,362861 ,231 ,2582 ,한국,한국,(주)하리마오픽쳐스,(주)시네마서비스,15세이상관람가,드라마,김성제,"윤계상,유해진,김옥빈,이경영,장광,권해효,손아람,박주형,이은미,이은우,김의성,조복래,김종수,박충선"
6,19곰 테드 2,2015-06-25,280143800 ,0.008,1347999100 ,33946 ,167144 ,100 ,1222 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,코미디,세스 맥팔레인,"마크 월버그,세스 맥팔레인,아만다 사이프리드,모건 프리먼,리암 니슨"
7,리틀드래곤 코코넛,2015-07-02,221903100 ,0.006,235268100 ,29976 ,31598 ,209 ,1227 ,독일,독일,,(주)영화사 빅,전체관람가,애니메이션,"허버트 베일란드,니나 웰스",
8,라자루스,2015-07-02,202140300 ,0.006,208898300 ,25678 ,26529 ,89 ,1168 ,미국,미국,,(유)조이앤시네마,15세이상관람가,공포(호러),데이빗 겔브,"올리비아 와일드,에반 피터스,마크 듀플라스"
9,심야식당,2015-06-18,170123900 ,0.005,912099174 ,21164 ,115589 ,53 ,721 ,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,마츠오카 조지,"코바야시 카오루,오다기리 조,타카오카 사키"
10,마돈나,2015-07-02,94661300 ,0.003,108477300 ,12234 ,13961 ,65 ,990 ,한국,한국,준필름,(주)리틀빅픽쳐스,청소년관람불가,드라마,신수원,"서영희,권소현,김영민,변요한,박지영,조정문,최성대,최윤,탁도연,오성택,윤보라,김세미,이상희,이선영,박남혁,유순철,노수산나,최희진,박현영"
11,호비와 엄마나무섬의 비밀,2015-07-02,61996500 ,0.002,65452500 ,9169 ,9601 ,74 ,597 ,일본,일본,,(주)머스트씨무비릴리징컴퍼니,전체관람가,애니메이션,히라바야시 이사무,
12,"알로, 슈티",2015-07-02,60107400 ,0.002,67875900 ,7719 ,8635 ,33 ,399 ,프랑스,프랑스,,"(주)프레인글로벌,(주)콘텐츠판다",12세이상관람가,코미디,대니 분,"카드 메라드,대니 분,조 펠릭스,안네 마리빈"
13,손님,2015-07-09,69262200 ,0.002,69904200 ,7505 ,7612 ,18 ,39 ,한국,한국,(주)유비유필름,씨제이이앤엠(주),15세이상관람가,"판타지,공포(호러)",김광태,"류승룡,이성민,천우희,이준,정경호,김정영,박시연,이민지,백승호,유재현,이서연,이승준,전국환,정준원"
14,나의 절친 악당들,2015-06-25,56853000 ,0.002,1047051164 ,7148 ,132615 ,113 ,909 ,한국,한국,"휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),청소년관람불가,"범죄,액션,드라마",임상수,"류승범,고준희,류현경,샘 오취리,김응수,정원중,양익준,김주혁,이정배,임상수,정인호,최보람,안상완,윤여정,이래규,한효준,홍성훈,이상미,홍의정,이상화,김태영,김형규"
15,정글번치: 너구리 해적단과 보물지도,2015-06-25,46561000 ,0.001,264896100 ,6722 ,36964 ,76 ,273 ,프랑스,프랑스,,(주)팝엔터테인먼트,전체관람가,애니메이션,에즈라 와이즈,
16,학교괴담 : 저주의 언령,2015-07-02,47503100 ,0.001,48711100 ,6459 ,6610 ,70 ,660 ,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"미스터리,공포(호러)",오치아이 마사유키,"코니시 아야노,야마베 미유,아라이 히토미"
17,한여름의 판타지아,2015-06-11,46232800 ,0.001,220691600 ,6145 ,28359 ,59 ,417 ,한국,"한국,일본",모쿠슈라,㈜인디스토리,전체관람가,드라마,장건재,"김새벽,이와세 료,임형국"
18,매드 맥스: 분노의 도로,2015-05-14,45161000 ,0.001,32836848962 ,5472 ,3835825 ,13 ,149 ,미국,"미국,호주",,워너브러더스 코리아(주),15세이상관람가,"액션,어드벤처,스릴러",조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼"
19,우먼 인 골드,2015-07-09,33452200 ,0.001,56292200 ,4370 ,7225 ,8 ,26 ,미국,"미국,영국",,(주)팝엔터테인먼트,12세이상관람가,드라마,사이먼 커티스,"헬렌 미렌,라이언 레놀즈,다니엘 브륄"
20,모든 비밀스러운 것들,2015-07-02,30687000 ,0.001,33947000 ,4315 ,4745 ,49 ,350 ,미국,미국,,와이드 릴리즈(주),15세이상관람가,스릴러,에이미 버그,"다코타 패닝,엘리자베스 뱅크스,다이안 레인,다니엘 맥도날드"
21,네이든,2015-06-25,22012000 ,0.001,88902200 ,2885 ,11597 ,25 ,165 ,영국,영국,,(주)블룸즈베리리소시스리미티드,12세이상관람가,드라마,모건 매튜스,"아사 버터필드,샐리 호킨스,라프 스팰"
22,폴라로이드,2015-07-16,20317500 ,0.001,36195000 ,2709 ,4853 ,8 ,12 ,한국,"한국,중국",(주)아우라씨엔씨,와이드 릴리즈(주),전체관람가,"드라마,가족",주호성,"양범,조민서,윤주상,이한위,안병경,강이슬,김길수,김목현,김윤수,김응민,김정아,김태용,김현수,박찬효,서동기,유가영,이태곤,장나라,정숙향,정윤지,정재연,주호성,차소정,최예원,한동헌,황서인,황서인"
23,데모닉,2015-06-25,18968700 ,0.001,309831100 ,2474 ,40643 ,21 ,170 ,미국,"미국,영국",,(주)와우픽쳐스,15세이상관람가,"공포(호러),스릴러",윌 캐논,"마리아 벨로,프랭크 그릴로,코디 혼"
24,미라클 벨리에,2015-08-27,17504000 ,0,28068000 ,2169 ,3567 ,6 ,8 ,프랑스,프랑스,,(주)영화사 진진,12세이상관람가,드라마,에릭 라티고,"로앤 에머라,카렝 비야,프랑소아 다미앙,에릭 엘모스니노"
25,러덜리스,2015-07-09,15401800 ,0,26362800 ,1947 ,3471 ,6 ,17 ,미국,미국,,그린나래미디어(주),12세이상관람가,"코미디,드라마",윌리엄 H. 머시,"빌리 크루덥,안톤 옐친,셀레나 고메즈,로렌스 피쉬번,펠리시티 허프먼"
26,시마론,,3821000 ,0,3821000 ,1908 ,1908 ,1 ,16 ,,,,,,,,
27,피아니스트,2003-01-01,11695600 ,0,80325900 ,1675 ,10226 ,8 ,62 ,프랑스,프랑스,,"(주)씨네월드,(주)드림팩트엔터테인먼트",12세관람가,드라마,로만 폴란스키,"애드리언 브로디,토마스 크레취만,프랭크 핀레이"
28,쓰리 썸머 나잇,2015-07-15,12312000 ,0,12312000 ,1539 ,1539 ,5 ,8 ,한국,한국,"더램프(주),㈜감독의집","(주)리틀빅픽쳐스,(주)인벤트스톤",청소년관람불가,코미디,김상진,"김동욱,임원희,손호준,윤제문,류현경,심은진,이채영,전은진,정승민,박현수,홍광석,김승필,이신범"
