순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,분노의 질주: 더 세븐,2015-04-01,5550794074,0.391,24547484555,679096,3008375,813,25685,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",제임스 완,"빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀"
2,장수상회,2015-04-09,3058852226,0.216,6763990443,403406,897033,619,19660,한국,한국,"(주)빅픽쳐,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,드라마",강제규,"박해빛나,박근형,윤여정,조진웅,한지민,황우슬혜,문가영,찬열,장문규,이준혁,윤소희,백일섭,박소연,이제욱,강석민,박지혜,정해인,최대영,최승훈,송동규,유원준,유원준,윤상훈,윤여정,이강희,임하룡,홍성일,이보영,이상수,이수지,이언정,김재화,남문철"
3,스물,2015-03-25,1711313426,0.121,23315774686,216268,3011252,520,15313,한국,한국,"(주)영화나무,(주)아이에이치큐",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이병헌,"김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영"
4,더 건맨,2015-04-16,778185065,0.055,804599065,100479,103791,349,8807,프랑스,"프랑스,스페인,영국",,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"액션,스릴러",피에르 모렐,"숀 펜,하비에르 바르뎀,이드리스 엘바,레이 윈스톤,마크 라이런스"
5,킹스맨 : 시크릿 에이전트,2015-02-11,666624400,0.047,50297091495,81036,6120822,254,3990,미국,"미국,영국",,이십세기폭스코리아(주),청소년관람불가,"액션,스릴러",매튜 본,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인"
6,위자,2015-04-16,549716035,0.039,551762035,70704,71044,337,5977,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,공포(호러)",스틸즈 화이트,"올리비아 쿡,더글라스 스미스"
7,화장,2015-04-09,272860500,0.019,1012225200,36784,134474,238,3938,한국,한국,(주)명필름,(주)리틀빅픽쳐스,청소년관람불가,드라마,임권택,"안성기,김규리,김호정,박혜미,윤종호,이소정,이은경,안석환,연우진,김병춘,주현"
8,위플래쉬,2015-03-12,275455300,0.019,12525123645,33883,1572815,162,2072,미국,미국,,(주)쇼박스,15세이상관람가,드라마,다미엔 차젤레,"마일즈 텔러,J.K. 시몬스"
9,유고와 라라: 하늘고래와 구름섬 대모험,2015-04-09,147775800,0.01,284072200,20506,39091,167,740,중국,중국,,와이드 릴리즈(주),전체관람가,애니메이션,왕운비,"이재현,박리나,홍진욱,임채헌,윤세웅,유지원,권문정"
10,신은 죽지 않았다,2015-04-16,124658700,0.009,137238700,16571,18157,137,1639,미국,미국,,"(주)씨타마운틴픽쳐스,(주)에스와이코마드",12세이상관람가,드라마,해롤드 크론크,"쉐인 하퍼,케빈 소르보,트리샤 라파체,코리 올리버,하딜 싯투"
11,신데렐라,2015-03-19,86791900,0.006,5496472700,11400,715971,103,594,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,멜로/로맨스,케네스 브래너,"릴리 제임스,리처드 매든,케이트 블란쳇,헬레나 본햄 카터,홀리데이 그레인저,소피 맥쉐라"
12,검은손,2015-04-16,86124665,0.006,89058665,11187,11513,178,2524,한국,한국,골든타이드픽처스(주),(주)스톰픽쳐스코리아,청소년관람불가,공포(호러),박재식,"김성수,한고은,배그린,신정선,전현숙,서범석,한성아,이철민,유하복,차은재"
13,엘리노어 릭비: 그 남자 그 여자,2015-04-09,88971400,0.006,337990100,10773,41950,73,734,미국,미국,,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제임스 맥어보이,제시카 차스테인,이자벨 위페르,윌리엄 허트"
14,한 번 더 해피엔딩,2015-04-08,71280700,0.005,350772851,9213,45493,76,818,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"멜로/로맨스,코미디",마크 로렌스,"휴 그랜트,마리사 토메이,앨리슨 제니,벨라 헤스콧"
15,원스 어폰 어 타임 인 아메리카,1984-12-10,88897200,0.006,212466600,6078,16376,28,229,미국,"미국,이탈리아",워너 브러더스 픽쳐스,(주)프레인글로벌,"국민학생관람불가,청소년관람불가",액션,세르지오 레오네,"엘리자베스 맥거번,트리트 윌리엄스,조 페시,제임스 우즈,제니퍼 코넬리,로버트 드니로"
16,생 로랑,2015-04-16,46203600,0.003,53426600,5850,6774,51,622,프랑스,프랑스,,(주)팝엔터테인먼트,청소년관람불가,드라마,베르트랑 보넬로,"가스파르 울리엘,레아 세이두,루이스 가렐"
17,코블러,2015-04-08,41540800,0.003,318637732,5449,41444,65,582,미국,미국,,씨네그루(주)다우기술,15세이상관람가,"판타지,코미디",토마스 맥카시,"아담 샌들러,더스틴 호프만,스티브 부세미"
18,"땡큐, 대디",2015-04-23,38116000,0.003,61560000,5350,9061,13,21,프랑스,프랑스,,(주)영화사 빅,전체관람가,드라마,닐스 타베니어,"자크 검블린,알렉산드라 라미"
19,나쁜 사랑,2015-04-16,29564500,0.002,32665500,3828,4271,35,390,프랑스,프랑스,,주식회사 씨네룩스,15세이상관람가,"멜로/로맨스,드라마",브누와 쟉꼬,"샤를로뜨 갱스부르,까뜨린느 드뇌브,키아라 마스트로얀니,브누와 뽀엘부르드"
20,엘리노어 릭비: 그 남자,2015-04-09,31156700,0.002,59518200,3710,7055,18,189,미국,미국,,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제임스 맥어보이,제시카 차스테인"
21,어벤져스: 에이지 오브 울트론,2015-04-23,38415000,0.003,38415000,3501,3501,6,13,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",조스 웨던,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,돈 치들,애런 존슨,엘리자베스 올슨,폴 베타니,코비 스멀더스,제임스 스페이더,사무엘 L. 잭슨,수현"
22,엘리노어 릭비: 그 여자,2015-04-09,29129400,0.002,51741500,3440,6122,18,157,미국,미국,,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제시카 차스테인,제임스 맥어보이"
23,노아의 방주: 남겨진 녀석들,2015-04-30,27524000,0.002,27524000,3231,3231,6,15,독일,"독일,벨기에,룩셈부르크,아일랜드",,씨네그루(주)다우기술,전체관람가,애니메이션,토비 젠켈,"김하영,배진홍,윤세웅"
24,결혼하지 않아도 괜찮을까,2015-04-09,22614000,0.002,63926500,2717,7790,22,217,일본,일본,,프리비젼엔터테인먼트,12세이상관람가,드라마,미노리카와 오사무,"시바사키 코우,마키 요코,테라지마 시노부"
25,살인의뢰,2015-03-12,15290000,0.001,6986156737,2570,855920,8,39,한국,한국,(주)미인픽쳐스,씨네그루(주)다우기술,청소년관람불가,"범죄,스릴러",손용호,"김상경,김성균,박성웅,윤승아,조재윤,김의성,기주봉,홍성덕,오대환,이정훈,이진수,박소희,박일우,박혜미,송영창,태욱,김덕순,이다희,이상인,이용출,임종윤"
26,마지막 황제,1988-12-23,4858000,0,9057500,2395,2978,1,15,영국,"영국,미국",,"예지림엔터테인먼트,아티잔엔터테인먼트,콜럼비아 픽쳐스 코포레이션","12세이상관람가,중학생이상관람가","드라마,사극",베르나르도 베르톨루치,
27,뱀파이어 아카데미,2015-04-09,9240000,0.001,43600500,1869,7649,5,35,미국,"미국,영국,루마니아",,(주)누리픽쳐스,15세이상관람가,"액션,코미디,판타지",마크 워터스,"조이 더치,루시 프라이,다닐라 코즈로브스키"
28,명량: 회오리 바다를 향하여,2015-05-07,12894000,0.001,12894000,1759,1759,5,6,한국,한국,(주)빅스톤픽쳐스,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,다큐멘터리,"정세교,김한민","김한민,오타니 료헤이,이해영,권율,장준녕"
29,차이나타운,2015-04-29,13614000,0.001,13614000,1649,1649,4,8,한국,한국,폴룩스픽쳐스(주),CGV아트하우스,청소년관람불가,"범죄,드라마",한준희,"김혜수,김고은,엄태구,박보검,고경표,오대환,배유람,이혁준,백동현,조경섭,권지훈,김경애,오유진,우종현,유지현,김성종,이상희,이수경,김수안,정석용,이대연,이루리,안재홍,기주봉,조복래,이민지"
30,국제시장,2014-12-17,6497000,0,1.10897E+11,1585,14253844,5,31,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수"
31,K 미싱 킹즈,2015-04-16,10454000,0.001,10454000,1372,1372,12,135,일본,일본,,(주)머스트씨무비릴리징컴퍼니,12세이상관람가,애니메이션,스즈키 신고,"나미카와 다이스케,오노 다이스케,코마츠 미카코,츠다 켄지로"
32,이미테이션 게임,2015-02-17,9767000,0.001,13573982820,1187,1727837,6,21,영국,영국,,메가박스(주)플러스엠,15세이상관람가,"드라마,스릴러",모튼 틸덤,"베네딕트 컴버배치,키이라 나이틀리,매튜 구드"
33,위대한 독재자,1988-11-19,9016000,0.001,10614000,1175,1359,18,200,미국,미국,,"(주)엣나인필름,㈜영화사 백두대간","연소자관람가,전체관람가",코미디,찰리 채플린,"찰리 채플린,파울레트 고다드"
34,파울볼,2015-04-02,7468500,0.001,229549000,1070,30302,13,123,한국,한국,(주)티피에스컴퍼니,오퍼스픽쳐스,전체관람가,다큐멘터리,"조정래,김보경","김성근,조진웅,박지은,박진영,설재훈,이경태,이동현,이상훈,이상훈,이성진,이승엽,이승재,이승주"
35,팔로우,2015-04-02,8159000,0.001,277742743,910,33477,5,24,미국,미국,,"(주)영화사오원,(주)브리즈픽처스",청소년관람불가,공포(호러),데이빗 로버트 밋첼,"마이카 먼로,키어 길크리스,다니엘 조바토,제이크 웨어리"
36,송 원,2015-04-01,7697500,0.001,349455643,869,46971,8,54,미국,미국,,(주)박수엔터테인먼트,15세이상관람가,"드라마,멜로/로맨스",케이트 베커-플로이랜드,"앤 해서웨이,자니 플린"
37,그 사람 그 사랑 그 세상,2014-11-20,5980500,0,299947000,864,41584,6,8,한국,한국,KBS,"THE 픽쳐스,(주)팝엔터테인먼트",전체관람가,다큐멘터리,권혁만,"강석우,최강희,이광기"
38,옐로우버드,2015-02-18,7722000,0.001,146786300,858,18878,3,6,프랑스,프랑스,,"(주)영화사오원,(주)브리즈픽처스",전체관람가,"애니메이션,가족","도미니크 몽페리,크리스티앙 드 비타","세스 그린,다코타 패닝,대니 글로버"
39,아스테릭스: 신들의 전당,2015-04-30,6736000,0,6736000,842,842,4,4,프랑스,프랑스,,(주)나이너스엔터테인먼트,전체관람가,애니메이션,"루이 클리시,알렉상드르 아스티에",
40,빌리와 용감한 녀석들 3,2015-04-30,7782000,0.001,7782000,829,829,3,4,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처",척 파워스,"엄상현,조현정"
40,윈드랜드,2015-04-02,4617500,0,172076200,829,24261,16,55,이탈리아,이탈리아,,예지림엔터테인먼트,전체관람가,애니메이션,세르지오 맨피오,"김경희,탁원정,권문정,박상훈,윤세웅"
42,약장수,2015-04-23,5589000,0,24068000,827,3203,3,4,한국,한국,(주)26컴퍼니,"(주)대명문화공장,(주)나이너스엔터테인먼트",15세이상관람가,드라마,조치언,"김인권,박철민,이주실,임석진,강일수,박지윤,박혜진,최민혁,윤준혁,이은주,김형범,장소연,조민기,이찬호"
43,청춘의 증언,2015-04-09,5530500,0,59370700,793,7891,13,74,영국,영국,,판씨네마(주),12세이상관람가,드라마,제임스 켄트,"알리시아 비칸데르,킷 해링턴,태런 에저튼,콜린 모건"
44,모데카이,2015-02-18,6650000,0,622105020,775,77726,2,4,미국,미국,,(주)나이너스엔터테인먼트,15세이상관람가,"액션,코미디",데이빗 코엡,"조니 뎁,기네스 팰트로우,이완 맥그리거"
45,초원의 빛,1972-03-18,1509000,0,28792000,752,14302,1,7,미국,미국,워너 브러더스 픽쳐스,,,"멜로/로맨스,드라마",엘리아 카잔,"워렌 비티,나탈리 우드"
46,채피,2015-03-12,4822000,0,4608329654,740,572193,2,14,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",닐 블롬캠프,"휴 잭맨,샬토 코플리,시고니 위버,데브 파텔"
47,워킹걸,2015-01-07,6333000,0,1194838479,736,150125,3,5,한국,한국,"(주)홍필름,(주)수필름",메가박스(주)플러스엠,청소년관람불가,"코미디,멜로/로맨스",정범식,"조여정,클라라,김태우,배유람,정범식,정범식,박주희,백경인,조은영,손진우,배성우,유찬호,김세미,라미란,김승주,이민아,황준호,이승원,이시현,박상민,조재윤,김영옥,김보연,오나라"
