순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
19,러브 액츄얼리,2003-12-05,33127100 ,0.001,1973690608 ,4180 ,287307 ,31 ,161 ,미국,"미국,영국",,"UIP코리아,(유)조이앤시네마","15세관람가,15세이상관람가","멜로/로맨스,드라마,코미디",리차드 커티스,"휴 그랜트,콜린 퍼스,알란 릭맨,엠마 톰슨,리암 니슨,로라 린니,키이라 나이틀리,마틴 맥커천,빌 나이히"
20,이터널 선샤인,2005-11-10,30323700 ,0.001,3720734092 ,3610 ,489063 ,15 ,112 ,미국,미국,포커스피쳐스,"(주)노바미디어,코리아픽쳐스(주)",15세관람가,멜로/로맨스,미셸 공드리,"짐 캐리,케이트 윈슬렛,커스틴 던스트,마크 러팔로,일라이저 우드"
21,맥베스,2015-12-03,28577600 ,0.001,735086253 ,3542 ,96420 ,16 ,109 ,영국,"영국,프랑스,미국",,판씨네마(주),15세이상관람가,드라마,저스틴 커젤,"마이클 패스벤더,마리옹 꼬띠아르"
22,그녀에게,2003-04-18,26221352 ,0.001,34867352 ,3249 ,4568 ,19 ,165 ,스페인,스페인,,"판씨네마(주),㈜미로비젼","18세관람가,청소년관람불가","멜로/로맨스,드라마",페드로 알모도바르,"하비에 카마라,다리오 그랜디네티,레오노르 와틀링,로자리오 플로레스"
23,라스트 탱고,2015-12-31,25056900 ,0.001,31399400 ,3222 ,3997 ,19 ,156 ,독일,"독일,아르헨티나",,(주)미로스페이스,12세이상관람가,다큐멘터리,게르만 크랄,
24,그날의 분위기,2016-01-14,21718000 ,0,21718000 ,2903 ,2903 ,9 ,10 ,한국,한국,영화사 문(주),(주)쇼박스,15세이상관람가,멜로/로맨스,조규장,"김정희,문채원,유연석,조재윤,김슬기,이해영,이연두,박민우,이창해,인교진,임영,박태영,정경옥,박호진,정라엘,서정희,오형근,이범희,이은정"
25,열정의 랩소디,,5024000 ,0,5698000 ,2512 ,2849 ,1 ,15 ,미국,미국,,,12세관람가,드라마,"빈센트 미넬리,조지 쿠커","커크 더글라스,앤소니 퀸"
26,마카담 스토리,2015-12-24,14502800 ,0,60927000 ,1912 ,7649 ,17 ,131 ,프랑스,프랑스,,주식회사 씨네룩스,12세이상관람가,드라마,사무엘 벤쉬트리,"이자벨 위페르,마이클 피트,발레리아 브루니 테데스키,구스타브 드 케르베른,타사딧 만디,쥴 벤쉬트리"
27,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,15586000 ,0,15586000 ,1771 ,1771 ,5 ,8 ,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,하시모토 마사카즈,
28,레버넌트: 죽음에서 돌아온 자,2016-01-14,14213000 ,0,18180000 ,1757 ,2234 ,4 ,6 ,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"어드벤처,드라마",알레한드로 곤잘레스 이냐리투,"레오나르도 디카프리오,톰 하디"
29,괴물의 아이,2015-11-25,12824500 ,0,1663464116 ,1625 ,224587 ,11 ,66 ,일본,일본,,"CGV아트하우스,(주)리틀빅픽쳐스",12세이상관람가,"애니메이션,판타지,어드벤처",호소다 마모루,"야쿠쇼 코지,미야자키 아오이,소메타니 쇼타,히로세 스즈"
30,오빠생각,2016-01-21,12738000 ,0,12738000 ,1558 ,1558 ,3 ,5 ,한국,한국,(주)조이래빗,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,전쟁",이한,"임시완,고아성,이희준,이준혁,정준원,이레,김영재,임윤경,정대웅,정병두,정세훈,이건하,이성욱,이승빈,이승준,이연화,홍동영,홍솔,강현구,정준용"
31,잡아야 산다,2016-01-07,12114000 ,0,16762000 ,1396 ,1957 ,4 ,4 ,한국,한국,더퀸디앤엠 주식회사,오퍼스픽쳐스,15세이상관람가,"코미디,액션",오인천,"김승우,김정태,한상혁,신강우,김민규,문용석,오만석,최호중,이해준,조창근,윤다영,서범식,이한위,안길강,장현기,장훈남,박혜미,정구영,서경배,정인혜,손지훈,정혜연,조권수,강현우,윤진영,이동진,이민경,이상헌,이선미,이승연,김욱"
32,두 여인,,2688000 ,0,10480000 ,1278 ,5038 ,1 ,11 ,이탈리아,"이탈리아,프랑스",,,,,비토리오 데 시카,"장 폴 벨몽도,소피아 로렌"
33,자이언트,1974-02-28,1958000 ,0,10317712 ,979 ,6600 ,1 ,9 ,미국,미국,워너 브러더스 픽쳐스,,12세이상관람가,드라마,조지 스티븐스,"록 허드슨,제임스 딘,엘리자베스 테일러"
34,나쁜 나라,2015-12-03,6345000 ,0,116279400 ,965 ,17164 ,12 ,104 ,한국,한국,4.16 세월호 참사 시민기록위원회,"배급위원회,(주)시네마달",12세이상관람가,다큐멘터리,"김진열,이수정,정일건","최경덕,박지민"
35,더 랍스터,2015-10-29,7427000 ,0,463592300 ,865 ,56134 ,5 ,24 ,영국,"영국,그리스,아일랜드,네덜란드,프랑스",,"(주)영화사오원,(주)브리즈픽처스",청소년관람불가,"판타지,멜로/로맨스",요르고스 란티모스,"콜린 파렐,레이첼 와이즈,레아 세이두,벤 위쇼,존 C. 라일리"
36,노예 12년,2014-02-27,2530000 ,0,3646953700 ,842 ,498885 ,1 ,12 ,미국,"미국,영국",,"판씨네마(주),(주)프레인글로벌",15세이상관람가,드라마,스티브 맥퀸,"치웨텔 에지오포,마이클 패스벤더,베네딕트 컴버배치,브래드 피트,드와이트 헨리,쿠벤자네 왈리스,타란 킬램"
37,극적인 하룻밤,2015-12-03,6332000 ,0,2616628429 ,782 ,321632 ,7 ,33 ,한국,한국,"(주)연우무대,(주)인사이드픽쳐스",CGV아트하우스,청소년관람불가,"멜로/로맨스,코미디",하기호,"윤계상,한예리,박효주,조복래,박병은,정수영,조영균,하정완,한정국,김수정,한지은,이지훈,정수연,김재화,박현지,진선규,김의성"
38,강화도령,,1532000 ,0,4142000 ,766 ,2071 ,1 ,12 ,한국,한국,,,,"사극,멜로/로맨스",신상옥,"최은희,도금봉"
39,포인트 브레이크,2016-01-07,6064000 ,0,12272000 ,758 ,1534 ,1 ,2 ,미국,미국,,"(주)시네마서비스,(주)나이너스엔터테인먼트",15세이상관람가,"범죄,액션",에릭슨 코어,"루크 브레이시,에드가 라미레즈,테레사 팔머"
40,유스,2016-01-07,4609000 ,0,18040000 ,691 ,2281 ,1 ,3 ,이탈리아,"이탈리아,프랑스,스위스,영국",,그린나래미디어(주),15세이상관람가,드라마,파올로 소렌티노,"마이클 케인,하비 케이틀,레이첼 와이즈,폴 다노,제인 폰다"
41,독립협회와 청년 이승만,,1336000 ,0,1336000 ,668 ,668 ,1 ,8 ,한국,한국,,,,드라마,신상옥,"김진규,김승호,황정순,엄앵란"
42,마담 보바리,2015-12-10,5238800 ,0,56183900 ,635 ,7197 ,5 ,32 ,미국,미국,,(주)영화사 진진,청소년관람불가,드라마,소피 바르트,"미아 와시코브스카,에즈라 밀러,폴 지아마티,리스 이판"
43,부에나 비스타 소셜 클럽,2001-03-01,5401000 ,0,197193201 ,612 ,25110 ,4 ,16 ,독일,독일,,오드,전체관람가,다큐멘터리,빔 벤더스,"꼼빠이 세군도,조아킴 쿠더"
44,더 셰프,2015-11-05,4654000 ,0,1487172148 ,611 ,187122 ,1 ,3 ,미국,미국,,(주)이수C&E,15세이상관람가,드라마,존 웰스,"브래들리 쿠퍼,시에나 밀러,오마 사이,다니엘 브륄,엠마 톰슨,우마 서먼"
