순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,마션,2015-10-08,9650486634 ,0.442,27343401295 ,1163809 ,3348174 ,1040 ,32162 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,SF",리들리 스콧,"맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그"
2,인턴,2015-09-24,3868176200 ,0.177,23098201807 ,491568 ,2918987 ,529 ,14732 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,코미디,낸시 마이어스,"앤 해서웨이,로버트 드니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스"
3,성난 변호사,2015-10-08,2671665900 ,0.122,8044589539 ,344475 ,1039227 ,469 ,13166 ,한국,한국,"씨제이이앤엠(주),(주)영화사 빛나는 제국,우수영화사",씨제이이앤엠(주),15세이상관람가,"범죄,액션",허종호,"오상철,이선균,김고은,임원희,장현성,최재웅,김윤혜,홍성덕,배유람,권귀덕,조경섭,조경섭,정진근,장명진,이확광,이형섭,이은택,이수민,이기창,유영진,김현정,노영화,송원종,박지영"
4,트랜스포터: 리퓰드,2015-10-15,1144819115 ,0.052,1152707115 ,145911 ,146897 ,432 ,8915 ,프랑스,"프랑스,중국",,씨네그루(주)다우기술,15세이상관람가,"액션,범죄,스릴러",카밀 들라마레,"에드 스크레인,론 샤바놀"
5,탐정 : 더 비기닝,2015-09-24,1011249800 ,0.046,20298716673 ,133071 ,2602702 ,335 ,6144 ,한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",김정훈,"권상우,성동일,박해준,이승준,조복래,오정세,박준면,이일화,서영희,강민지,홍서현,천유나,차승연,정종훈,정승연,이현기,이찬희,김승배,김은지,김태훈,김하늘,김희영,모일영,박민철,박성일,박시영,박지혜,최성원,홍은택,이해영,지대한"
6,사도,2015-09-16,988023900 ,0.045,48562368801 ,131515 ,6208131 ,371 ,6247 ,한국,한국,(주)타이거픽쳐스,(주)쇼박스,12세이상관람가,사극,이준익,"송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,안태훈,조승연"
7,더 비지트,2015-10-15,377764881 ,0.017,380162881 ,48822 ,49159 ,279 ,3884 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"스릴러,공포(호러)",M. 나이트 샤말란,"디애너 듀나건,피터 맥로비,에드 옥슨볼드,올리비아 데종"
8,비밀,2015-10-15,338223600 ,0.016,354542100 ,46097 ,48056 ,305 ,4717 ,한국,한국,"영화사 도로시(주),(주)에스에이치기획",CGV아트하우스,15세이상관람가,"미스터리,드라마","박은경,이동하","성동일,김유정,손호준,임형준,서예지,진경,김동현,김동현,김요한,김우희,김원준,김은정,송호연,박세은,박재영,남일우"
9,아델라인 : 멈춰진 시간,2015-10-15,271471619 ,0.012,283424619 ,35218 ,36713 ,239 ,3229 ,미국,미국,,(주)쇼박스,12세이상관람가,"판타지,멜로/로맨스",리 톨랜드 크리거,"블레이크 라이블리,미치엘 휘즈먼,캐시 베이커"
10,팬,2015-10-08,151340900 ,0.007,1404769592 ,20181 ,182969 ,138 ,1089 ,미국,미국,,워너브러더스 코리아(주),전체관람가,"판타지,어드벤처",조 라이트,"휴 잭맨,가렛 헤드룬드,루니 마라,리바이 밀러,아만다 사이프리드"
11,더 폰,2015-10-22,157955000 ,0.007,164123000 ,17813 ,18634 ,37 ,85 ,한국,한국,(주)미스터로맨스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"스릴러,액션",김봉주,"손현주,엄지원,배성우,김성종,권지훈,조용관,정한빈,정진근,장한별,임태훈,이확광,김성종,이병권,김경애,김광섭,이광기,김영민,김용환,김소영,김주희,김태환,김한준,서병철,백동현,이철민,노정의,장인섭,조달환,황석정"
12,슈퍼 스파이: 수상한 임무,2015-10-15,122477700 ,0.006,135209700 ,16846 ,18400 ,173 ,962 ,스페인,스페인,,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",전체관람가,애니메이션,하비에르 페서,
13,리그레션,2015-10-15,120480885 ,0.006,129185885 ,15638 ,16629 ,143 ,1806 ,스페인,"스페인,캐나다",,(주)박수엔터테인먼트,15세이상관람가,스릴러,알레한드로 아메나바르,"엠마 왓슨,에단 호크,아론 애쉬모어,데이빗 듈리스,데본 보스틱"
14,라이프,2015-10-15,100550300 ,0.005,104423300 ,12611 ,13049 ,99 ,1440 ,캐나다,"캐나다,독일, 오스트리아,미국",,"(주)영화사오원,(주)프레인글로벌",15세이상관람가,드라마,안톤 코르빈,"데인 드한,로버트 패틴슨,벤 킹슬리,조엘 에저튼"
15,메이즈 러너: 스코치 트라이얼,2015-09-16,94607500 ,0.004,21584280749 ,12290 ,2742699 ,68 ,613 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍"
16,온리 유,2015-10-15,82128200 ,0.004,85680200 ,11030 ,11474 ,111 ,1257 ,중국,중국,,(주)영화사 빅,15세이상관람가,"멜로/로맨스,코미디",장하오,"탕웨이,요범"
17,뮨: 달의 요정,2015-09-24,78628100 ,0.004,2220393800 ,10825 ,303342 ,105 ,387 ,프랑스,프랑스,,씨네그루(주)다우기술,전체관람가,애니메이션,"알렉상드르 헤보얀,베노이트 필립폰","조슈아 J. 발라드,오마 사이"
18,특종: 량첸살인기,2015-10-22,72114000 ,0.003,176977000 ,9957 ,24712 ,34 ,61 ,한국,한국,"(주)우주필름,(주)뱅가드스튜디오",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,스릴러,노덕,"조정석,이미숙,이하나,김의성,배성우,김대명,태인호,김수안,김기호,김민재,오주환,이정은,최병모,윤다경"
