순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,미션 임파서블: 로그네이션,2015-07-30,28175007484 ,0.399,28184535484 ,3562086 ,3563337 ,1202 ,40550 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,스릴러,어드벤처",크리스토퍼 맥쿼리,"톰 크루즈,제레미 레너,사이몬 페그,알렉 볼드윈,레베카 퍼거슨"
2,암살,2015-07-22,23060280116 ,0.326,59327539502 ,2960563 ,7650389 ,1094 ,32184 ,한국,한국,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭"
3,미니언즈,2015-07-29,8897768678 ,0.126,10210969178 ,1209948 ,1405690 ,792 ,17070 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"피에르 꼬팽,카일 발다","산드라 블록,존 햄,마이클 키튼"
4,인사이드 아웃,2015-07-09,4897588438 ,0.069,33076655736 ,663547 ,4302496 ,521 ,9478 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,코미디",피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더"
5,베테랑,2015-08-05,3203980600 ,0.045,3332719600 ,423276 ,439640 ,957 ,5141 ,한국,한국,(주)외유내강,씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,김성종,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류선영,정재헌,안길강,마동석,김응수"
6,극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,873230100 ,0.012,3577459400 ,123939 ,507506 ,229 ,2037 ,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,"타카하시 시게하루,우시로 신지",
7,명탐정 코난 : 화염의 해바라기,2015-08-05,369307400 ,0.005,371242400 ,54213 ,54428 ,323 ,562 ,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,시즈노 코분,"타카야마 미나미,야마자키 와카나,코야마 리키야,야마구치 캇페이"
8,고녀석 맛나겠다2 : 함께라서 행복해,2015-07-29,261576500 ,0.004,295725000 ,37268 ,42247 ,142 ,1035 ,한국,한국,(주)미디어캐슬,(주)리틀빅픽쳐스,전체관람가,"애니메이션,가족,어드벤처","최경석,노나카 카즈미","엄상현,시영준,안장혁,정주원,안효민,이경태,이경태"
9,연평해전,2015-06-24,191154900 ,0.003,45507717930 ,27678 ,6033885 ,118 ,853 ,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일"
