순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,보안관,2017-05-03,"11,987,710,340",24.6%,"13,884,629,940","1,487,764","1,716,624","1,091","24,662",한국,한국,"(주)영화사 월광,(주)사나이픽처스",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,코미디",김형주,"이성민,조진웅,김성균,김종수,조우진,임현성,배정남"
2,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,"12,736,054,755",26.1%,"17,688,738,555","1,485,098","2,055,999","1,218","30,117",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼"
3,보스 베이비,2017-05-03,"10,020,532,635",20.5%,"11,879,603,035","1,306,171","1,545,856","1,116","19,973",미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,코미디,가족",톰 맥그라스,"알렉 볼드윈,리사 쿠드로,스티브 부세미,토비 맥과이어,지미 키멜"
4,임금님의 사건수첩,2017-04-26,"3,613,482,205",7.4%,"12,176,234,423","457,910","1,569,479",678,"11,981",한국,한국,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,"코미디,어드벤처,액션",문현성,"이선균,안재홍,김희원,주진모,장영남,경수진,정해인,조영진"
5,에이리언: 커버넌트,2017-05-09,"2,948,068,250",6.0%,"2,948,068,250","362,374","362,374",841,"7,128",미국,"미국,호주,뉴질랜드",,이십세기폭스코리아(주),15세이상관람가,"SF,스릴러",리들리 스콧,"마이클 패스벤더,캐서린 워터스턴,제임스 프랭코,누미 라파스,가이 피어스,빌리 크루덥,카르멘 에조고,대니 맥브라이드,주시 스몰렛"
6,분노의 질주: 더 익스트림,2017-04-12,"1,631,731,700",3.3%,"29,750,899,348","200,087","3,624,850",462,"5,359",미국,"미국,일본,프랑스,캐나다",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,미셸 로드리게즈,엘자 패터키,에바 멘데스,헬렌 미렌,조다나 브루스터,루카스 블랙,타이레스 깁슨,루다크리스"
7,특별시민,2017-04-26,"1,133,622,000",2.3%,"10,422,152,245","143,206","1,351,694",549,"6,155",한국,한국,(주)팔레트픽처스,(주)쇼박스,15세이상관람가,드라마,박인제,"최민식,곽도원,심은경,문소리,라미란,류혜영,이기홍,진선규,권용덕,이주연"
8,스머프: 비밀의 숲,2017-04-28,"1,025,530,300",2.1%,"2,973,316,300","140,438","406,589",488,"3,512",미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,가족",캘리 애스버리,"데미 로바토,레인 윌슨,조 맨가니엘로,잭 맥브레이어,맨디 파틴킨"
9,석조저택 살인사건,2017-05-09,"906,160,500",1.9%,"917,956,500","113,587","115,074",493,"3,892",한국,한국,주식회사 영화사다,씨네그루(주)키다리이엔티,15세이상관람가,스릴러,"정식,김휘","고수,김주혁,문성근,박성웅,임화영"
