순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,겟 아웃,2017-05-17,9623862755 ,0.366,10329583855 ,1169047 ,1261445 ,945 ,25578 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),미스터리,스릴러,드라마",조던 필레,"다니엘 칼루야,앨리슨 윌리암스,브래들리 휘트포드,캐서린 키너"
2,불한당: 나쁜 놈들의 세상,2017-05-17,4817800545 ,0.183,5760273845 ,590980 ,712514 ,860 ,23958 ,한국,한국,"씨제이이앤엠(주),폴룩스픽쳐스(주)",씨제이이앤엠(주),청소년관람불가,"범죄,액션,드라마",변성현,"설경구,임시완,김희원,전혜진,이경영,김성오,허준호"
3,킹 아서: 제왕의 검,2017-05-17,2391904555 ,0.091,3131662655 ,295164 ,383668 ,588 ,13445 ,영국,"영국,호주,미국",,워너브러더스 코리아(주),12세이상관람가,"판타지,액션,어드벤처",가이 리치,"찰리 허냄,주드 로,에릭 바나,에이단 길렌,디몬 하운수,아스트리드 베흐제-프리스베,애나벨 월리스,케이티 맥그라스"
4,보스 베이비,2017-05-03,1847492500 ,0.07,17313988604 ,235117 ,2236520 ,645 ,7401 ,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,코미디,가족",톰 맥그라스,"알렉 볼드윈,리사 쿠드로,스티브 부세미,토비 맥과이어,지미 키멜"
5,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,1633660800 ,0.062,1633660800 ,208363 ,208363 ,1356 ,6959 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,코미디","요아킴 뢰닝,에스펜 샌버그","조니 뎁,카야 스코델라리오,올랜도 블룸,하비에르 바르뎀,브렌튼 스웨이츠,제프리 러쉬,데이빗 웬햄,골시프테 파라하니,스티븐 그레이엄,케빈 맥널리,폴 매카트니,마틴 클레바,로드니 아피프"
6,보안관,2017-05-03,1565494700 ,0.06,20552529609 ,198141 ,2549390 ,604 ,11887 ,한국,한국,"(주)영화사 월광,(주)사나이픽처스",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,코미디",김형주,"이성민,조진웅,김성균,김종수,조우진,임현성,배정남"
7,에이리언: 커버넌트,2017-05-09,1553520300 ,0.059,10510663464 ,188676 ,1277846 ,538 ,9904 ,미국,"미국,호주,뉴질랜드",,이십세기폭스코리아(주),15세이상관람가,"SF,스릴러",리들리 스콧,"마이클 패스벤더,캐서린 워터스턴,제임스 프랭코,누미 라파스,가이 피어스,빌리 크루덥,카르멘 에조고,대니 맥브라이드,주시 스몰렛"
8,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,1469533200 ,0.056,23133492086 ,179673 ,2696210 ,498 ,7045 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼"
9,목소리의 형태,2017-05-09,307322200 ,0.012,2078706814 ,39165 ,264157 ,221 ,1916 ,일본,일본,,(주)디스테이션,전체관람가,"애니메이션,멜로/로맨스",야마다 나오코,"이리노 미유,하야미 사오리,유키 아오이,오노 켄쇼,카네코 유키,이시카와 유이,토요나가 토시유키"
10,석조저택 살인사건,2017-05-09,128286900 ,0.005,2798436086 ,17085 ,349665 ,252 ,2067 ,한국,한국,주식회사 영화사다,씨네그루(주)키다리이엔티,15세이상관람가,스릴러,"정식,김휘","고수,김주혁,문성근,박성웅,임화영"
11,로스트 인 파리,2017-05-18,90760400 ,0.003,102492900 ,11577 ,12847 ,85 ,826 ,프랑스,"프랑스,벨기에",,그린나래미디어(주),12세이상관람가,"멜로/로맨스,어드벤처","도미니크 아벨,피오나 고든","피오나 고든,도미니크 아벨"
12,길,2017-05-11,47059200 ,0.002,68694600 ,11530 ,15053 ,72 ,142 ,한국,한국,블루블랙(주),(주)더블앤조이픽쳐스,12세이상관람가,드라마,정인봉,"김혜자,송재호,허진,온주완"
13,키즈모노가타리 III : 냉혈편,2017-05-18,62252500 ,0.002,62252500 ,7816 ,7816 ,81 ,670 ,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,드라마,액션,판타지",신보 아키유키,"카미야 히로시,사카모토 마아야,호리에 유이,사쿠라이 타카히로"
14,정글북,2017-05-18,52386800 ,0.002,59901800 ,6821 ,7830 ,120 ,534 ,인도,인도,,(주)팝엔터테인먼트,전체관람가,애니메이션,타파스 차크라바르티,
15,부니베어: 브램블의 신비한 모험,2017-05-18,45003000 ,0.002,48262000 ,6476 ,6884 ,170 ,683 ,중국,중국,,예지림엔터테인먼트,전체관람가,애니메이션,정량,"박상훈,홍진욱,윤세웅,임채헌"
16,노무현입니다,2017-05-25,60491900 ,0.002,67167900 ,6313 ,7328 ,25 ,44 ,한국,한국,영화사 풀,"CGV아트하우스,영화사 풀",12세이상관람가,다큐멘터리,이창재,노무현
17,마차 타고 고래고래,2017-05-18,45913500 ,0.002,68427500 ,5584 ,8159 ,83 ,753 ,한국,한국,(주)광대무변,와이드 릴리즈(주),15세이상관람가,드라마,안재석,"조한선,박효주,김신의,한지상,김재범,윤경호,조진웅"
18,"서서평, 천천히 평온하게",2017-04-26,38852800 ,0.001,711879500 ,5557 ,95757 ,31 ,258 ,한국,한국,재단법인 온누리선교재단(CGNTV),커넥트픽쳐스(주),전체관람가,다큐멘터리,"홍주연,홍현정","하정우,윤안나,안은새"
19,임금님의 사건수첩,2017-04-26,32359900 ,0.001,12638992723 ,5507 ,1632364 ,64 ,277 ,한국,한국,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,"코미디,어드벤처,액션",문현성,"이선균,안재홍,김희원,주진모,장영남,경수진,정해인,조영진"
20,극장판 쿠로코의 농구 라스트 게임,2017-04-27,37022000 ,0.001,365812000 ,5088 ,49220 ,29 ,201 ,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,애니메이션,타다 슌스케,오노 켄쇼
21,슈퍼 빼꼼: 스파이 대작전,2017-05-03,19953500 ,0.001,692485900 ,2953 ,96597 ,28 ,119 ,한국,한국,(합)알지애니메이션스튜디오,메가박스(주)플러스엠,전체관람가,"애니메이션,코미디",임아론,"김태균,최정현,최낙윤,남도형,윤용식,김성연,박상호,장현주"
22,스머프: 비밀의 숲,2017-04-28,20776900 ,0.001,3106558500 ,2911 ,424843 ,30 ,104 ,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,가족",캘리 애스버리,"데미 로바토,레인 윌슨,조 맨가니엘로,잭 맥브레이어,맨디 파틴킨"
23,오두막,2017-04-20,22280400 ,0.001,511041500 ,2818 ,66802 ,10 ,112 ,미국,미국,,판씨네마(주),12세이상관람가,드라마,스튜어트 하젤딘,"샘 워싱턴,옥타비아 스펜서,라다 미첼,라이언 로빈스,그레이엄 그린,데릭 해밀턴,에밀리 홈즈"
24,언노운 걸,2017-05-03,22004500 ,0.001,189690500 ,2798 ,23548 ,30 ,228 ,벨기에,"벨기에,프랑스",,오드,12세이상관람가,드라마,"뤽 다르덴,장 피에르 다르덴","아델 에넬,올리비에 구르메"
25,이터너티,2017-05-18,19450700 ,0.001,26665600 ,2638 ,3535 ,45 ,270 ,프랑스,프랑스,,(주)라이크 콘텐츠,12세이상관람가,멜로/로맨스,트란 안 홍,"멜라니 로랑,오드리 토투,베레니스 베조,제레미 레니에,펠릭스 보쉬"
26,8 마일,2003-02-21,18875500 ,0.001,158276500 ,2236 ,19146 ,33 ,288 ,미국,미국,,"유니버설픽쳐스인터내셔널 코리아(유),유아이피-씨아이씨영화및비디오배급(유)","18세관람가,15세이상관람가",드라마,커티스 핸슨,"에미넴,킴 베이싱어,브리트니 머피,안소니 마키"
27,나는 부정한다,2017-04-26,17967800 ,0.001,231636625 ,2159 ,28858 ,16 ,119 ,영국,"영국,미국",,(주)티캐스트,12세이상관람가,드라마,믹 잭슨,"레이첼 와이즈,톰 윌킨슨,티모시 스폴,앤드류 스캇,마크 거티스,해리엇 월터,알렉스 제닝스,맥시밀리언 비포트,토드 보이스"
28,세일즈맨,2017-05-11,15814500 ,0.001,70605500 ,2113 ,9354 ,26 ,192 ,이란,"이란,프랑스",,찬란,15세이상관람가,드라마,아쉬가르 파르하디,"샤하브 호세이니,타라네 앨리두스티"
