순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,주토피아,2016-02-17,3663331894 ,0.189,18695492262 ,451644 ,2426840 ,636 ,10486 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라"
2,귀향,2016-02-24,3336103906 ,0.173,24670018942 ,438631 ,3243634 ,669 ,17522 ,한국,한국,주식회사 제이오엔터테인먼트코리아,(주)와우픽쳐스,15세이상관람가,드라마,조정래,"손숙,강하나,서미지,최리,정인기,오지혜,김시은,이채현,임성철,임혜영,박주현,박지희,박진경,장현익,정광윤,정부경,정승현,안재성,이경훈,이민영,이선희,이수현,이승현,이여원,김완기,김은나"
3,런던 해즈 폴른,2016-03-10,3189333983 ,0.165,3194425983 ,394175 ,394943 ,523 ,16988 ,미국,"미국,영국",,메가박스(주)플러스엠,15세이상관람가,"액션,범죄,스릴러",바박 나자피,"제라드 버틀러,아론 에크하트,모건 프리먼,안젤라 바셋"
4,널 기다리며,2016-03-10,3210132660 ,0.166,3239618660 ,388825 ,392487 ,551 ,16418 ,한국,한국,"(주)영화사수작,주식회사 모티브랩,(주)디씨지플러스",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,스릴러,모홍진,"심은경,윤제문,김성오,오태경,정해균,안재홍,김원해,지대한,이호열,장준현,정재숙,정진혁,조제웅,유경훈,이동혁"
5,갓 오브 이집트,2016-03-03,1738472738 ,0.09,6848851724 ,213287 ,823410 ,465 ,10983 ,미국,미국,,"(주)시네마서비스,(주)나이너스엔터테인먼트",12세이상관람가,"어드벤처,판타지",알렉스 프로야스,"제라드 버틀러,니콜라이 코스터 왈도,코트니 이튼,브렌튼 스웨이츠,애비 리"
6,조이,2016-03-10,1052282500 ,0.054,1090170700 ,131635 ,136090 ,405 ,9686 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"코미디,드라마",데이빗 O. 러셀,"제니퍼 로렌스,브래들리 쿠퍼,로버트 드니로"
7,동주,2016-02-17,717351300 ,0.037,8058634589 ,94112 ,1060964 ,327 ,4721 ,한국,한국,(주) 루스이소니도스,메가박스(주)플러스엠,12세이상관람가,드라마,이준익,"강하늘,박정민,김인우,최홍일,김정석,최희서,신윤주,문성근,최종률,전재형,정운봉,이선주,허욱진"
8,데드풀,2016-02-17,754086649 ,0.039,27210072851 ,89487 ,3271447 ,311 ,4945 ,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,SF",팀 밀러,"라이언 레놀즈,모레나 바카린,에드 스크레인,지나 카라노,T.J. 밀러,브리아나 힐데브란드"
9,엽문3: 최후의 대결,2016-03-10,263469600 ,0.014,266345300 ,31278 ,31695 ,130 ,2687 ,홍콩,홍콩,,씨네그루(주)키다리이엔티,12세이상관람가,"액션,드라마",엽위신,"견자단,마이크 타이슨,슝다이린,담요문,장진,진국곤"
10,스포트라이트,2016-02-24,251987800 ,0.013,2212879587 ,30231 ,276520 ,164 ,1827 ,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"드라마,스릴러",토마스 맥카시,"마이클 키튼,마크 러팔로,레이첼 맥아담스"
11,히야,2016-03-10,150721600 ,0.008,163043600 ,18869 ,20376 ,124 ,1322 ,한국,한국,"(주)메이저타운,(주)더재미팩토리,(주)알지엔터웍스",(주)라이크 콘텐츠,12세이상관람가,드라마,김지연,"안보현,호야,박철민,강성미,강민아,최대철,정경호,기주봉,서정우,지청룡,이남희,이승재,이승준,이요한,이우탁,김경오"
12,13시간,2016-03-03,147474900 ,0.008,1142333814 ,18264 ,142513 ,161 ,1930 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,드라마,스릴러",마이클 베이,"존 크랜신스키,파블로 쉬레이버,토비 스티븐스"
13,검사외전,2016-02-03,131010800 ,0.007,77285583564 ,16379 ,9702648 ,116 ,1248 ,한국,한국,"(주)영화사 월광,(주)사나이픽처스",(주)쇼박스,15세이상관람가,"범죄,코미디",이일형,"황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승민,이승우,이승준,이승훈,이승훈,최현준"
14,프란치스코,2016-03-10,94670749 ,0.005,94670749 ,13347 ,13347 ,184 ,1772 ,스페인,"스페인,아르헨티나,이탈리아",,스튜디오 프로그레시브 인큐베이터,12세이상관람가,드라마,베다 도캄포 페이주,"다리오 그랜디네티,실비아 아바스칼"
15,룸,2016-03-03,72590400 ,0.004,631322000 ,9033 ,78643 ,86 ,719 ,아일랜드,"아일랜드,캐나다",,(주)영화사 빅,15세이상관람가,드라마,레니 에이브러햄슨,"브리 라슨,제이콥 트렘블레이"
