순위,영화명,개봉일,매출액 ,매출액(%),누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,정글북,2016-06-09,8776345989 ,0.25,8847969989 ,1023642 ,1030514 ,924 ,21997 ,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"어드벤처,드라마",존 파브로,"닐 세티,빌 머레이,스칼렛 요한슨,벤 킹슬리,이드리스 엘바,루피타 뇽오,크리스토퍼 월켄,지안카를로 에스포지토"
2,아가씨,2016-06-01,7032956602 ,0.2,27720907412 ,858423 ,3362254 ,782 ,19952 ,한국,한국,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",씨제이이앤엠(주),청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재"
3,워크래프트: 전쟁의 서막,2016-06-09,7145980589 ,0.204,7174870589 ,819457 ,821638 ,736 ,21417 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,판타지",던칸 존스,"트래비스 핌멜,벤 포스터,폴라 패튼,도미닉 쿠퍼,클랜시 브라운,토비 켑벨"
4,컨저링 2,2016-06-09,6197342289 ,0.177,6220552289 ,767034 ,769662 ,635 ,13995 ,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),제임스 완,"베라 파미가,패트릭 윌슨,프란카 포텐테,프란시스 오코너,스털링 제린스"
5,곡성,2016-05-12,1719145700 ,0.049,54664575303 ,209103 ,6733789 ,439 ,6923 ,한국,한국,"사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),15세이상관람가,"미스터리,스릴러,드라마",나홍진,"곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경"
6,미 비포 유,2016-06-01,1480686400 ,0.042,4545113082 ,181776 ,559802 ,354 ,5635 ,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"멜로/로맨스,드라마",테아 샤록,"에밀리아 클라크,샘 클라플린,매튜 루이스"
7,엑스맨: 아포칼립스,2016-05-25,1114852742 ,0.032,24290684550 ,137264 ,2916902 ,419 ,5988 ,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",브라이언 싱어,"제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,오스카 아이삭,니콜라스 홀트,로즈 번,타이 쉐리던,소피 터너,올리비아 문,루카스 틸"
8,본 투 비 블루,2016-06-09,266133400 ,0.008,306452300 ,31757 ,36454 ,147 ,2427 ,캐나다,"캐나다,영국,미국",,그린나래미디어(주),청소년관람불가,드라마,로버트 뷔드로,"에단 호크,카르멘 에조고"
9,싱 스트리트,2016-05-19,197388000 ,0.006,4306059572 ,30002 ,533733 ,136 ,1414 ,아일랜드,"아일랜드,영국,미국",,(주)이수C&E,15세이상관람가,"드라마,멜로/로맨스",존 카니,"퍼디아 월시-필로,루시 보인턴,잭 레이너"
10,앵그리버드 더 무비,2016-05-19,224034800 ,0.006,5075392344 ,29105 ,661918 ,165 ,708 ,미국,"미국,핀란드",,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"퍼갈 레일리,클레이 케이티스",
11,극장판 유희왕 더 다크 사이드 오브 디멘션즈,2016-06-09,195511400 ,0.006,203643400 ,24731 ,25641 ,210 ,1322 ,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,쿠와바라 사토시,"엄상현,장성호,강수진"
12,굿바이 싱글,2016-06-29,136641000 ,0.004,180137000 ,16585 ,22022 ,56 ,78 ,한국,한국,"호두앤유 엔터테인먼트(주),(주)영화사람",(주)쇼박스,15세이상관람가,"코미디,드라마",김태곤,"김혜수,마동석,김현수,김용건,서현진,곽시양,전석호,이미도,이성민,황미영,이형미,박지영,정준화,유성진,윤환,이수경,최문석,홍민희"
